,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191114T00-07,12549,9700,1162.0,60,941.0,3,12245,927
20191113T23-07,12701,10355,1162.0,60,953.0,2,13699,1086
20191113T22-07,12713,10867,1162.0,59,951.0,2,14961,1244
20191113T21-07,12811,11184,1162.0,60,947.0,4,15905,1232
20191113T20-07,12888,11307,1162.0,60,976.0,3,16221,1659
20191113T19-07,12538,11072,1162.0,60,920.0,3,15942,2369
20191113T18-07,12698,10608,1162.0,59,914.0,18,14601,3064
20191113T17-07,12249,9476,1163.0,59,906.0,321,13029,3712
20191113T16-07,11583,8786,1163.0,59,901.0,1014,12340,4298
20191113T15-07,11564,8608,1163.0,59,911.0,1301,12257,3856
20191113T14-07,11587,8227,1163.0,59,902.0,1265,12503,3425
20191113T13-07,11648,7949,1164.0,59,904.0,1224,12628,3018
20191113T12-07,11626,7857,1165.0,60,914.0,1212,13239,3415
20191113T11-07,11695,8002,1165.0,59,970.0,1278,14764,3502
20191113T10-07,11839,7970,1165.0,58,1050.0,1194,15450,3678
20191113T09-07,12025,8539,1166.0,58,962.0,742,15880,3514
20191113T08-07,12344,8571,1165.0,58,946.0,122,15369,3849
20191113T07-07,12253,8236,1166.0,59,941.0,0,13709,4166
20191113T06-07,12235,8078,1165.0,60,927.0,-1,11942,3541
20191113T05-07,11828,7828,1165.0,59,944.0,0,11769,3150
20191113T04-07,11788,7712,1166.0,60,960.0,-1,11821,2933
20191113T03-07,11509,7930,1165.0,59,971.0,0,12064,2938
20191113T02-07,11615,8228,1166.0,61,960.0,0,12377,3067
20191113T01-07,11714,8572,1166.0,61,962.0,-2,12219,3159
20191113T00-07,12091,8866,1166.0,61,954.0,0,13078,3754
20191112T23-07,12152,9072,1165.0,61,964.0,-1,14146,4250
20191112T22-07,12132,9832,1165.0,61,977.0,-1,15282,4525
20191112T21-07,12082,10098,1165.0,61,960.0,0,15839,5732
20191112T20-07,12098,10497,1166.0,60,953.0,-1,16393,5681
20191112T19-07,11879,11112,1164.0,59,949.0,-2,16289,6041
20191112T18-07,11693,10549,1164.0,58,934.0,22,15559,5745
20191112T17-07,11395,9210,1163.0,57,926.0,406,14808,6222
20191112T16-07,11203,8382,1164.0,53,920.0,973,14054,5843
20191112T15-07,11318,8520,1164.0,54,933.0,1134,13843,5590
20191112T14-07,11284,8455,1166.0,54,931.0,1143,13870,6536
20191112T13-07,11142,8239,1167.0,55,933.0,1150,13909,6916
20191112T12-07,11198,8305,1167.0,56,970.0,1206,14112,6776
20191112T11-07,11122,8229,1167.0,54,984.0,1226,14451,4453
20191112T10-07,11301,8328,1167.0,55,997.0,1150,15380,5545
20191112T09-07,11714,8595,1167.0,54,998.0,754,16200,5628
20191112T08-07,11853,9347,1167.0,56,992.0,152,15840,5468
20191112T07-07,11854,9093,1167.0,58,980.0,2,13871,4971
20191112T06-07,11678,8428,1168.0,58,981.0,0,12559,6225
20191112T05-07,11537,8048,1166.0,59,973.0,-1,11860,6481
20191112T04-07,11554,8106,1167.0,59,979.0,-2,11993,3921
20191112T03-07,11769,8256,1166.0,59,969.0,0,12749,3520
20191112T02-07,11827,8512,1166.0,59,975.0,-1,12903,6083
20191112T01-07,11913,8921,1166.0,59,983.0,-1,12032,3438
20191112T00-07,12049,9031,1166.0,58,990.0,-1,13241,3143
20191111T23-07,12132,9781,1166.0,59,996.0,-1,14647,2927
20191111T22-07,12397,10326,1165.0,60,989.0,-1,15708,2683
20191111T21-07,12430,10938,1165.0,59,973.0,-1,16828,2914
20191111T20-07,12487,11406,1165.0,60,985.0,0,17009,1866
20191111T19-07,12741,12005,1164.0,59,985.0,-1,17122,1477
20191111T18-07,12568,11597,1163.0,59,969.0,19,16154,1430
20191111T17-07,12418,10399,1163.0,57,953.0,453,14616,1263
20191111T16-07,12392,9622,1163.0,58,956.0,1042,13376,1167
20191111T15-07,12334,9165,1163.0,58,954.0,1204,13658,2002
