,coal,natural gas,petroleum,solar,hydro,wind
20191114T00-07,1780,80,60,0,409,46
20191113T23-07,1783,86,60,0,414,24
20191113T22-07,1775,125,59,0,411,29
20191113T21-07,1786,130,60,0,416,18
20191113T20-07,1836,133,60,0,411,26
20191113T19-07,1892,74,60,0,415,70
20191113T18-07,1944,28,59,0,412,112
20191113T17-07,2042,27,59,0,419,103
20191113T16-07,2048,13,59,2,412,120
20191113T15-07,2043,39,59,6,419,129
20191113T14-07,2036,119,59,6,417,134
20191113T13-07,2035,68,59,6,418,175
20191113T12-07,2041,13,58,7,418,240
20191113T11-07,2037,13,59,7,416,249
20191113T10-07,1970,13,58,5,419,230
20191113T09-07,2016,34,58,1,413,135
20191113T08-07,2046,67,58,0,420,74
20191113T07-07,2032,81,59,0,414,76
20191113T06-07,2032,77,60,0,410,91
20191113T05-07,2024,37,60,0,414,115
20191113T04-07,1990,31,60,0,409,119
20191113T03-07,1958,30,60,0,410,148
20191113T02-07,1955,20,61,0,412,193
20191113T01-07,2041,13,61,0,411,210
20191113T00-07,2041,16,61,0,407,256
20191112T23-07,2042,29,61,0,412,257
20191112T22-07,2021,31,61,0,413,241
20191112T21-07,2013,42,61,0,413,326
20191112T20-07,2025,64,60,0,407,282
20191112T19-07,2002,62,59,0,406,252
20191112T18-07,2002,63,58,0,406,259
20191112T17-07,2001,65,57,0,407,229
20191112T16-07,2013,83,53,0,407,154
20191112T15-07,2014,83,54,1,409,160
20191112T14-07,2012,80,54,3,405,214
20191112T13-07,2027,58,54,4,409,279
20191112T12-07,2025,73,54,5,410,308
20191112T11-07,2028,75,54,3,406,283
20191112T10-07,2033,36,55,3,412,309
20191112T09-07,2033,18,55,2,411,332
20191112T08-07,2031,13,57,0,413,329
20191112T07-07,2035,12,58,0,408,342
20191112T06-07,2018,14,58,0,408,335
20191112T05-07,2020,15,59,0,409,332
20191112T04-07,2016,12,59,0,408,323
20191112T03-07,2024,13,59,0,409,328
20191112T02-07,2019,13,59,0,412,325
20191112T01-07,2000,13,59,0,406,327
20191112T00-07,2038,17,58,0,412,331
20191111T23-07,2044,13,59,0,412,334
20191111T22-07,1973,18,61,0,411,329
20191111T21-07,2038,13,59,0,410,317
20191111T20-07,2042,13,60,0,407,304
20191111T19-07,2040,15,59,0,410,309
20191111T18-07,2043,28,59,0,409,288
20191111T17-07,2044,26,57,0,408,290
20191111T16-07,2045,13,58,4,409,264
20191111T15-07,2049,12,58,8,405,250
20191111T14-07,2040,19,59,7,408,193
20191111T13-07,2042,60,59,6,409,131
20191111T12-07,2039,65,58,4,407,109
20191111T11-07,2042,65,60,3,410,99
20191111T10-07,2043,40,59,2,412,96
20191111T09-07,2040,14,59,0,413,102
20191111T08-07,2039,16,60,0,417,91
20191111T07-07,2035,16,60,0,411,68
20191111T06-07,2026,16,59,0,406,45
20191111T05-07,2030,16,59,0,404,25
20191111T04-07,2035,18,60,0,402,12
20191111T03-07,2008,31,60,0,407,6
20191111T02-07,2008,31,60,0,406,7
20191111T01-07,2030,45,60,0,402,-2
20191111T00-07,2030,69,60,0,405,2
20191110T23-07,2033,70,61,0,416,17
20191110T22-07,2026,88,59,0,415,23
20191110T21-07,2026,111,58,0,420,33
20191110T20-07,2024,117,60,0,419,55
20191110T19-07,2006,119,60,0,419,55
20191110T18-07,2004,67,59,0,418,79
20191110T17-07,2002,15,60,0,417,111
20191110T16-07,1981,13,60,0,418,89
20191110T15-07,1970,12,60,2,418,76
20191110T14-07,1960,14,59,3,418,80
20191110T13-07,1962,44,60,4,416,46
20191110T12-07,1960,89,60,3,414,55
20191110T11-07,1964,80,59,1,415,78
20191110T10-07,1959,31,60,0,415,132
20191110T09-07,1825,30,60,0,413,151
20191110T08-07,1959,17,59,0,414,150
20191110T07-07,2035,12,61,0,410,147
20191110T06-07,2043,13,61,0,410,140
20191110T05-07,2033,12,60,0,409,109
20191110T04-07,2035,13,59,0,409,45
20191110T03-07,2035,13,60,0,411,22
20191110T02-07,2042,12,60,0,409,15
20191110T01-07,2038,20,59,0,410,7
20191110T00-07,2039,66,60,0,411,9
20191109T23-07,2038,76,59,0,415,36
20191109T22-07,2045,43,59,0,417,91
20191109T21-07,2037,26,60,0,417,157
20191109T20-07,2040,22,60,0,415,178
20191109T19-07,1944,105,60,0,417,204
20191109T18-07,1939,130,59,0,418,176
20191109T17-07,1943,87,60,0,418,162
20191109T16-07,1939,68,59,0,416,154
20191109T15-07,1938,40,59,1,418,210
20191109T14-07,1947,31,59,4,416,252
20191109T13-07,1940,11,59,6,421,317
20191109T12-07,1940,10,58,5,417,332
20191109T11-07,1943,30,59,6,416,281
20191109T10-07,1942,26,59,4,420,276
20191109T09-07,1942,10,60,0,418,290
20191109T08-07,1946,12,60,0,421,265
20191109T07-07,2031,16,61,0,411,279
20191109T06-07,2041,9,60,0,417,276
20191109T05-07,2016,10,60,0,411,316
20191109T04-07,1990,10,59,0,400,315
20191109T03-07,1989,24,59,0,414,299
20191109T02-07,1989,23,60,0,411,285
20191109T01-07,1991,32,60,0,409,307
20191109T00-07,1996,30,59,0,412,300
20191108T23-07,2007,14,60,0,416,340
20191108T22-07,2041,28,58,0,411,302
20191108T21-07,2033,10,60,0,415,316
20191108T20-07,2031,9,60,0,414,334
20191108T19-07,2033,9,61,0,416,344
20191108T18-07,2025,8,59,0,414,348
20191108T17-07,1935,9,59,0,415,358
20191108T16-07,1915,9,58,3,416,337
20191108T15-07,1958,8,56,6,411,339
20191108T14-07,1963,8,56,5,417,344
20191108T13-07,1959,9,56,8,414,351
20191108T12-07,1961,9,58,5,417,345
20191108T11-07,1959,29,58,7,415,343
20191108T10-07,1965,52,57,4,415,336
20191108T09-07,1975,61,58,2,414,348
20191108T08-07,2048,64,58,0,413,352
20191108T07-07,2042,72,58,0,411,351
20191108T06-07,2051,43,58,0,411,354
20191108T05-07,2046,31,58,0,408,356
20191108T04-07,2046,31,58,0,411,344
20191108T03-07,2045,27,59,0,411,347
20191108T02-07,2048,26,58,0,408,340
20191108T01-07,2047,20,58,0,407,340
20191108T00-07,2044,25,57,0,412,336
20191107T23-07,2046,12,55,0,413,330
20191107T22-07,2045,12,56,0,417,336
20191107T21-07,2048,11,58,0,414,333
20191107T20-07,2044,12,57,0,416,323
20191107T19-07,2041,12,58,0,415,299
20191107T18-07,2028,12,58,0,416,325
20191107T17-07,1971,10,57,0,418,307
20191107T16-07,2023,10,56,4,419,286
20191107T15-07,2023,13,54,9,419,263
20191107T14-07,2020,21,54,9,420,243
20191107T13-07,1955,13,57,10,417,230
20191107T12-07,2029,26,55,7,417,185
20191107T11-07,2020,63,55,5,415,147
20191107T10-07,2024,62,56,3,415,124
20191107T09-07,2026,65,57,1,417,111
20191107T08-07,2027,83,57,0,418,135
20191107T07-07,2034,71,57,0,410,140
20191107T06-07,2048,63,57,0,412,158
20191107T05-07,2050,59,57,0,410,165
20191107T04-07,2051,59,56,0,411,144
20191107T03-07,2046,63,56,0,412,95
20191107T02-07,2050,60,57,0,412,78
20191107T01-07,2043,66,58,0,409,46
20191107T00-07,2038,77,58,0,407,34
20191106T23-07,2046,66,58,0,417,24
20191106T22-07,2050,67,58,0,418,12
20191106T21-07,2057,131,58,0,418,10
20191106T20-07,2045,140,58,0,418,10
20191106T19-07,2037,145,59,0,420,5
20191106T18-07,2043,123,60,0,406,2
20191106T17-07,2039,70,60,0,403,1
20191106T16-07,2044,52,60,4,405,1
20191106T15-07,2052,47,60,6,401,-1
20191106T14-07,2041,65,60,5,401,-1
20191106T13-07,2033,75,59,4,415,-1
20191106T12-07,2000,67,60,2,413,-3
20191106T11-07,1998,93,59,1,412,0
20191106T10-07,1999,117,59,0,414,1
20191106T09-07,2000,86,58,0,410,1
20191106T08-07,1999,83,59,0,412,8
20191106T07-07,2033,84,60,0,407,29
20191106T06-07,2038,79,60,0,410,57
20191106T05-07,2045,41,58,0,405,64
20191106T04-07,2043,31,59,0,406,60
20191106T03-07,2041,31,59,0,411,59
20191106T02-07,2036,50,59,0,405,79
20191106T01-07,1982,84,60,0,404,96
20191106T00-07,2031,64,61,0,408,101
20191105T23-07,2030,79,60,0,412,98
20191105T22-07,2037,83,59,0,411,75
20191105T21-07,2044,83,59,0,412,116
20191105T20-07,2042,69,60,0,414,160
20191105T19-07,2032,31,60,0,415,217
20191105T18-07,1970,20,60,0,418,271
20191105T17-07,1963,30,60,0,417,246
20191105T16-07,1966,20,59,3,415,259
20191105T15-07,1952,12,59,7,412,301
20191105T14-07,1954,13,59,7,417,289
20191105T13-07,1962,22,59,6,413,265
20191105T12-07,1931,19,59,7,416,251
20191105T11-07,1958,12,59,5,418,289
20191105T10-07,1946,13,60,5,421,273
20191105T09-07,1948,19,60,2,410,278
20191105T08-07,2004,65,60,0,413,261
20191105T07-07,2026,67,61,0,412,279
20191105T06-07,2017,22,61,0,411,295
20191105T05-07,1873,14,60,0,405,306
20191105T04-07,1871,17,60,0,409,319
20191105T03-07,1864,14,60,0,408,317
20191105T02-07,1887,12,61,0,411,298
20191105T01-07,2031,13,61,0,412,255
20191105T00-07,1951,21,60,0,411,188
20191104T23-07,2025,21,60,0,415,131
20191104T22-07,2043,111,60,0,418,72
20191104T21-07,2039,119,61,0,417,59
20191104T20-07,2048,119,61,0,414,52
20191104T19-07,2042,120,60,0,419,27
20191104T18-07,2040,121,60,0,419,17
20191104T17-07,2040,68,59,0,415,14
20191104T16-07,2037,51,59,0,419,11
20191104T15-07,2042,54,58,0,415,13
20191104T14-07,2043,61,60,3,413,6
20191104T13-07,2041,79,59,3,416,5
20191104T12-07,2042,118,59,3,416,7
20191104T11-07,2036,157,58,0,410,5
20191104T10-07,2037,129,59,0,415,7
20191104T09-07,2040,115,59,0,414,6
20191104T08-07,2042,147,59,0,424,4
20191104T07-07,2046,166,59,0,421,4
20191104T06-07,2049,80,60,0,414,1
20191104T05-07,2019,34,60,0,416,19
20191104T04-07,2011,22,60,0,417,28
20191104T03-07,2020,18,60,0,414,46
20191104T02-07,1970,31,60,0,417,52
20191104T01-07,2044,23,60,0,419,83
20191104T00-07,1977,30,59,0,416,124
20191103T23-07,1978,63,59,0,420,114
20191103T22-07,2039,65,59,0,420,129
20191103T21-07,2042,92,59,0,419,140
20191103T20-07,2049,95,60,0,421,129
20191103T19-07,2044,94,59,0,421,156
20191103T18-07,2041,94,57,0,418,173
20191103T17-07,2040,78,57,0,418,134
20191103T16-07,2041,76,56,0,422,143
20191103T15-07,2008,78,57,0,419,149
20191103T14-07,2004,65,58,2,420,170
20191103T13-07,2005,65,58,4,417,151
20191103T12-07,2027,73,58,6,419,125
20191103T11-07,2020,78,58,4,418,90
20191103T10-07,2042,57,57,0,417,124
20191103T09-07,2045,55,59,0,414,147
20191103T08-07,2024,69,60,0,418,187
20191103T07-07,2033,59,61,0,414,199
20191103T06-07,2033,65,60,0,409,226
20191103T05-07,2039,68,60,0,408,194
20191103T04-07,2046,78,60,0,408,214
20191103T03-07,2028,74,61,0,410,250
20191103T02-07,2002,47,59,0,363,278
20191103T01-07,2002,60,59,0,448,278
20191103T01-06,2037,52,59,0,408,243
20191103T00-06,0,0,0,0,0,0
