,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T05Z,0,5144,5366,1038,199,0,2713,500
20191113T04Z,0,5316,5313,1037,178,0,3340,654
20191113T03Z,0,6465,5309,1072,172,0,3666,688
20191113T02Z,0,6964,5359,1079,177,0,4017,786
20191113T01Z,0,7424,5378,1081,178,0,4077,805
20191113T00Z,0,7591,5370,1077,178,0,4229,721
20191112T23Z,0,7318,5384,1075,181,0,4188,667
20191112T22Z,0,7035,5357,1064,181,0,3820,651
20191112T21Z,0,6590,5343,1053,179,0,3747,701
20191112T20Z,0,6352,5335,1048,181,0,3724,703
20191112T19Z,0,6208,5335,1047,182,0,3993,707
20191112T18Z,0,6338,5334,1049,182,0,3953,615
20191112T17Z,0,6297,5333,1046,177,0,3615,506
20191112T16Z,0,6288,5333,1041,178,0,3579,345
20191112T15Z,0,6345,5338,1036,173,0,3444,273
20191112T14Z,0,6028,5344,1022,173,0,3630,237
20191112T13Z,0,5275,5347,973,172,0,3614,235
20191112T12Z,0,4884,5340,938,165,0,3517,195
20191112T11Z,0,3802,5314,888,167,0,2811,179
20191112T10Z,0,3404,5104,810,165,0,2392,192
20191112T09Z,0,3342,4983,798,162,0,2339,187
20191112T08Z,0,3390,4967,798,158,0,2554,201
20191112T07Z,0,3420,4945,798,159,0,2618,192
20191112T06Z,0,3437,5050,813,166,0,2799,192
20191112T05Z,0,4104,5174,835,168,0,3312,214
20191112T04Z,0,4403,5306,878,173,0,3570,261
20191112T03Z,0,5641,5344,952,181,0,3700,250
20191112T02Z,0,6001,5342,1017,181,0,3729,278
20191112T01Z,0,6086,5354,1006,184,0,3754,298
20191112T00Z,0,6418,5365,1037,177,0,3856,316
20191111T23Z,0,6433,5376,1039,177,0,3858,304
20191111T22Z,0,5915,5358,1023,176,0,3721,280
20191111T21Z,0,5555,5322,949,181,0,3691,287
20191111T20Z,0,5404,5329,942,182,0,3649,260
20191111T19Z,0,4828,5331,946,186,0,3727,230
20191111T18Z,0,4641,5333,947,186,0,3760,215
20191111T17Z,0,4489,5338,948,186,0,3708,194
20191111T16Z,0,4543,5326,956,184,0,3846,176
20191111T15Z,0,4650,5339,1030,191,0,3729,129
20191111T14Z,0,4568,5329,1032,190,0,3571,139
20191111T13Z,0,4475,5316,1018,178,0,3661,93
20191111T12Z,0,3867,5321,973,173,0,3368,85
20191111T11Z,0,3485,5179,901,170,0,3363,81
20191111T10Z,0,3195,5033,841,168,0,3213,74
20191111T09Z,0,3082,4892,799,161,0,2921,44
20191111T08Z,0,3105,4892,798,163,0,2757,66
20191111T07Z,0,3083,4952,851,164,0,2811,68
20191111T06Z,0,3112,5029,811,172,0,3019,49
20191111T05Z,0,3565,5074,819,167,0,3369,65
20191111T04Z,0,3760,5300,871,184,0,3597,101
20191111T03Z,0,4252,5312,961,195,0,3671,156
20191111T02Z,0,4634,5311,959,197,0,3560,244
20191111T01Z,0,4859,5322,1023,201,0,3631,305
20191111T00Z,0,4917,5335,1037,199,0,3855,421
20191110T23Z,0,4998,5331,1034,197,0,3786,468
20191110T22Z,0,4541,5307,977,198,0,3542,584
20191110T21Z,0,4341,5308,972,197,0,3564,703
20191110T20Z,0,3973,5293,942,206,0,3621,843
20191110T19Z,0,3869,5301,904,209,0,3520,844
20191110T18Z,0,4010,5299,905,208,0,3648,857
20191110T17Z,0,4210,5317,914,215,0,3435,962
20191110T16Z,0,3985,5309,911,211,0,3520,882
20191110T15Z,0,3791,5313,918,209,0,3296,898
20191110T14Z,0,3902,5309,915,203,0,2944,834
20191110T13Z,0,3775,5319,921,203,0,2587,867
20191110T12Z,0,3741,5223,916,198,0,2106,822
20191110T11Z,0,3202,5266,920,198,0,2274,837
20191110T10Z,0,2939,5105,866,193,0,2328,803
20191110T09Z,0,2919,5033,848,192,0,2457,745
