,coal
20181201T05Z,1248
20181201T04Z,1430
20181201T03Z,1591
20181201T02Z,1586
20181201T01Z,1598
20181201T00Z,1599
20181130T23Z,1587
20181130T22Z,1599
20181130T21Z,1595
20181130T20Z,1581
20181130T19Z,1596
20181130T18Z,1590
20181130T17Z,1583
20181130T16Z,1578
20181130T15Z,1567
20181130T14Z,1582
20181130T13Z,1498
20181130T12Z,1409
20181130T11Z,1223
20181130T10Z,1052
20181130T09Z,1112
20181130T08Z,1107
20181130T07Z,1107
20181130T06Z,1101
20181130T05Z,1105
20181130T04Z,1407
20181130T03Z,1820
20181130T02Z,1815
20181130T01Z,1816
20181130T00Z,1817
20181129T23Z,1808
20181129T22Z,1825
20181129T21Z,1817
20181129T20Z,1775
20181129T19Z,1783
20181129T18Z,1784
20181129T17Z,1804
20181129T16Z,1803
20181129T15Z,1812
20181129T14Z,1813
20181129T13Z,1807
20181129T12Z,1738
20181129T11Z,1680
20181129T10Z,1676
20181129T09Z,1676
20181129T08Z,1676
20181129T07Z,1678
20181129T06Z,1724
20181129T05Z,1798
20181129T04Z,1915
20181129T03Z,1941
20181129T02Z,1947
20181129T01Z,1945
20181129T00Z,1949
20181128T23Z,1948
20181128T22Z,1953
20181128T21Z,1953
20181128T20Z,1947
20181128T19Z,1942
20181128T18Z,1937
20181128T17Z,1936
20181128T16Z,1921
20181128T15Z,1914
20181128T14Z,1917
20181128T13Z,1916
20181128T12Z,1868
20181128T11Z,1500
20181128T10Z,1222
20181128T09Z,1226
20181128T08Z,1223
20181128T07Z,1224
20181128T06Z,1257
20181128T05Z,1342
20181128T04Z,1564
20181128T03Z,1901
20181128T02Z,1901
20181128T01Z,1903
20181128T00Z,1899
20181127T23Z,1890
20181127T22Z,1911
20181127T21Z,1901
20181127T20Z,1895
20181127T19Z,1907
20181127T18Z,1897
20181127T17Z,1894
20181127T16Z,2029
20181127T15Z,2027
20181127T14Z,2008
20181127T13Z,2016
20181127T12Z,2011
20181127T11Z,2016
20181127T10Z,2047
20181127T09Z,2124
20181127T08Z,2130
20181127T07Z,2132
20181127T06Z,2118
20181127T05Z,2117
20181127T04Z,2133
20181127T03Z,2140
20181127T02Z,2134
20181127T01Z,2159
20181127T00Z,2148
20181126T23Z,2132
20181126T22Z,2104
20181126T21Z,2107
20181126T20Z,2112
20181126T19Z,2114
20181126T18Z,2117
20181126T17Z,2073
20181126T16Z,2043
20181126T15Z,2032
20181126T14Z,2004
20181126T13Z,1981
20181126T12Z,1919
20181126T11Z,1873
20181126T10Z,1798
20181126T09Z,1732
20181126T08Z,1655
20181126T07Z,1615
20181126T06Z,1590
20181126T05Z,1602
20181126T04Z,1611
20181126T03Z,1603
20181126T02Z,1605
20181126T01Z,1609
20181126T00Z,1617
20181125T23Z,1609
20181125T22Z,1605
20181125T21Z,1594
20181125T20Z,1569
20181125T19Z,1577
20181125T18Z,1576
20181125T17Z,1587
20181125T16Z,1579
20181125T15Z,1578
20181125T14Z,1562
20181125T13Z,1565
20181125T12Z,1488
20181125T11Z,1136
20181125T10Z,1014
20181125T09Z,1022
20181125T08Z,1013
20181125T07Z,1017
20181125T06Z,1013
20181125T05Z,1011
20181125T04Z,1292
20181125T03Z,1591
20181125T02Z,1588
20181125T01Z,1595
20181125T00Z,1800
20181124T23Z,1997
20181124T22Z,1992
20181124T21Z,1983
20181124T20Z,1981
20181124T19Z,1990
20181124T18Z,1985
20181124T17Z,1988
20181124T16Z,1993
20181124T15Z,1990
20181124T14Z,1980
20181124T13Z,1940
20181124T12Z,1922
20181124T11Z,2008
20181124T10Z,2078
20181124T09Z,2077
20181124T08Z,2082
20181124T07Z,2078
20181124T06Z,2075
20181124T05Z,2070
20181124T04Z,2062
20181124T03Z,2067
20181124T02Z,2051
20181124T01Z,2155
20181124T00Z,2170
20181123T23Z,2167
20181123T22Z,2126
20181123T21Z,1915
20181123T20Z,1635
20181123T19Z,1624
20181123T18Z,1625
20181123T17Z,1628
20181123T16Z,1631
20181123T15Z,1651
20181123T14Z,1972
20181123T13Z,2195
20181123T12Z,2151
20181123T11Z,1830
20181123T10Z,1633
20181123T09Z,1634
20181123T08Z,1644
20181123T07Z,1639
20181123T06Z,1623
20181123T05Z,1648
20181123T04Z,1942
20181123T03Z,2217
20181123T02Z,2218
20181123T01Z,2214
20181123T00Z,2215
20181122T23Z,2200
20181122T22Z,2211
20181122T21Z,2220
20181122T20Z,2209
20181122T19Z,2218
20181122T18Z,2216
20181122T17Z,2209
20181122T16Z,2215
20181122T15Z,2209
20181122T14Z,2220
20181122T13Z,2204
20181122T12Z,2211
20181122T11Z,2207
20181122T10Z,2203
20181122T09Z,2199
20181122T08Z,2201
20181122T07Z,2206
20181122T06Z,2205
20181122T05Z,2206
20181122T04Z,2208
20181122T03Z,2202
20181122T02Z,2201
20181122T01Z,2203
20181122T00Z,2201
20181121T23Z,2216
20181121T22Z,2196
20181121T21Z,2204
20181121T20Z,2195
20181121T19Z,2154
20181121T18Z,2081
20181121T17Z,2159
20181121T16Z,2176
20181121T15Z,2182
20181121T14Z,2149
20181121T13Z,2122
20181121T12Z,2082
20181121T11Z,1838
20181121T10Z,1570
20181121T09Z,1574
20181121T08Z,1578
20181121T07Z,1573
20181121T06Z,1576
20181121T05Z,1581
20181121T04Z,1799
20181121T03Z,2153
20181121T02Z,2165
20181121T01Z,2162
20181121T00Z,2124
20181120T23Z,2159
20181120T22Z,2157
20181120T21Z,2161
20181120T20Z,2159
20181120T19Z,2158
20181120T18Z,2153
20181120T17Z,2154
20181120T16Z,2151
20181120T15Z,2144
20181120T14Z,2150
20181120T13Z,2139
20181120T12Z,2148
20181120T11Z,2132
20181120T10Z,2081
20181120T09Z,2040
20181120T08Z,2026
20181120T07Z,1971
20181120T06Z,1956
20181120T05Z,2045
20181120T04Z,2049
20181120T03Z,2079
20181120T02Z,2056
20181120T01Z,2049
20181120T00Z,2054
20181119T23Z,2038
20181119T22Z,1970
20181119T21Z,1921
20181119T20Z,1920
20181119T19Z,1874
20181119T18Z,1838
20181119T17Z,1896
20181119T16Z,1940
20181119T15Z,1930
20181119T14Z,1926
20181119T13Z,1923
20181119T12Z,1919
20181119T11Z,1881
20181119T10Z,1915
20181119T09Z,1979
20181119T08Z,1971
20181119T07Z,1976
20181119T06Z,1971
20181119T05Z,2008
20181119T04Z,2017
20181119T03Z,2076
20181119T02Z,2070
20181119T01Z,2054
20181119T00Z,2049
20181118T23Z,2047
20181118T22Z,2037
20181118T21Z,2032
20181118T20Z,2042
20181118T19Z,2008
20181118T18Z,1999
20181118T17Z,2008
20181118T16Z,1999
20181118T15Z,1996
20181118T14Z,1926
20181118T13Z,1877
20181118T12Z,1746
20181118T11Z,1597
20181118T10Z,1482
20181118T09Z,1437
20181118T08Z,1413
20181118T07Z,1410
20181118T06Z,1411
20181118T05Z,1404
20181118T04Z,1601
20181118T03Z,1917
20181118T02Z,1920
20181118T01Z,1911
20181118T00Z,1908
20181117T23Z,1914
20181117T22Z,1906
20181117T21Z,1903
20181117T20Z,1903
20181117T19Z,1892
20181117T18Z,1898
20181117T17Z,1928
20181117T16Z,1928
20181117T15Z,1929
20181117T14Z,1933
20181117T13Z,1928
20181117T12Z,1917
20181117T11Z,1909
20181117T10Z,1904
20181117T09Z,1897
20181117T08Z,1866
20181117T07Z,1832
20181117T06Z,1768
20181117T05Z,1699
20181117T04Z,1662
20181117T03Z,1664
20181117T02Z,1671
20181117T01Z,1665
20181117T00Z,1653
20181116T23Z,1663
20181116T22Z,1651
20181116T21Z,1666
20181116T20Z,1661
20181116T19Z,1657
20181116T18Z,1660
20181116T17Z,1651
20181116T16Z,1637
20181116T15Z,1645
20181116T14Z,1639
20181116T13Z,1617
20181116T12Z,1556
20181116T11Z,1407
20181116T10Z,1286
20181116T09Z,1306
20181116T08Z,1310
20181116T07Z,1303
20181116T06Z,1310
20181116T05Z,1313
20181116T04Z,1499
20181116T03Z,1747
20181116T02Z,1750
20181116T01Z,1750
20181116T00Z,1742
20181115T23Z,1721
20181115T22Z,1712
20181115T21Z,1683
20181115T20Z,1665
20181115T19Z,1616
20181115T18Z,1566
20181115T17Z,1545
20181115T16Z,1552
20181115T15Z,1572
20181115T14Z,1724
20181115T13Z,1765
20181115T12Z,1771
20181115T11Z,1773
20181115T10Z,1755
20181115T09Z,1763
20181115T08Z,1763
20181115T07Z,1760
20181115T06Z,1758
20181115T05Z,1752
20181115T04Z,1751
20181115T03Z,1759
20181115T02Z,1737
20181115T01Z,1699
20181115T00Z,1666
20181114T23Z,1675
20181114T22Z,1663
20181114T21Z,1672
20181114T20Z,1669
20181114T19Z,1668
20181114T18Z,1778
20181114T17Z,1854
20181114T16Z,1851
20181114T15Z,1851
20181114T14Z,1837
20181114T13Z,1821
20181114T12Z,1822
20181114T11Z,1663
20181114T10Z,1594
20181114T09Z,1598
20181114T08Z,1592
20181114T07Z,1590
20181114T06Z,1584
20181114T05Z,1597
20181114T04Z,1711
20181114T03Z,1814
20181114T02Z,1817
20181114T01Z,1819
20181114T00Z,1804
20181113T23Z,1800
20181113T22Z,1813
20181113T21Z,1776
20181113T20Z,1734
20181113T19Z,1699
20181113T18Z,1612
20181113T17Z,1536
20181113T16Z,1531
20181113T15Z,1536
