,coal,natural gas,other,solar,hydro,wind
20200106T00-07,2891,1020,110,0.0,67,1489
20200105T23-07,3076,990,113,0.0,66,1535
20200105T22-07,3241,1088,110,0.0,65,1497
20200105T21-07,3408,1076,114,0.0,67,1531
20200105T20-07,3666,1008,110,0.0,65,1421
20200105T19-07,3552,1044,111,0.0,67,1298
20200105T18-07,3353,1027,112,5.0,65,1082
20200105T17-07,2605,911,110,279.0,67,859
20200105T16-07,2374,847,113,571.0,66,610
20200105T15-07,2369,889,112,588.0,65,461
20200105T14-07,2386,806,114,617.0,66,406
20200105T13-07,2772,800,116,615.0,65,230
20200105T12-07,3327,866,116,626.0,67,116
20200105T11-07,3570,967,116,649.0,67,138
20200105T10-07,3523,975,113,536.0,65,212
20200105T09-07,3606,1028,115,146.0,65,412
20200105T08-07,3611,975,113,0.0,65,585
20200105T07-07,3599,951,115,0.0,68,467
20200105T06-07,3476,935,115,0.0,67,490
20200105T05-07,3467,913,113,0.0,68,489
20200105T04-07,3513,933,114,0.0,63,540
20200105T03-07,3483,943,114,0.0,70,727
20200105T02-07,3522,946,115,0.0,66,858
20200105T01-07,3648,926,112,0.0,66,958
20200105T00-07,3574,932,112,0.0,66,1149
20200104T23-07,3401,901,113,0.0,69,1394
20200104T22-07,3287,919,111,0.0,64,1529
20200104T21-07,3334,939,112,0.0,68,1560
20200104T20-07,3292,899,112,0.0,67,1556
20200104T19-07,3218,883,110,0.0,69,1516
20200104T18-07,2918,840,113,4.0,68,1560
20200104T17-07,2284,801,114,188.0,66,1581
20200104T16-07,2008,752,111,539.0,68,1541
20200104T15-07,1878,709,111,606.0,65,1617
20200104T14-07,2067,706,112,570.0,66,1527
20200104T13-07,2269,709,113,534.0,67,1397
20200104T12-07,2338,735,109,478.0,66,1262
20200104T11-07,2669,779,114,328.0,66,1110
20200104T10-07,3060,836,114,189.0,67,1162
20200104T09-07,3383,935,113,58.0,66,1212
20200104T08-07,3322,921,113,0.0,66,1224
20200104T07-07,3061,939,112,0.0,66,1298
20200104T06-07,2671,883,113,0.0,66,1431
20200104T05-07,2528,824,112,0.0,67,1511
20200104T04-07,2675,855,111,0.0,67,1523
20200104T03-07,2709,840,110,0.0,67,1578
20200104T02-07,2862,862,111,0.0,66,1611
20200104T01-07,3122,898,110,0.0,66,1496
20200104T00-07,3338,943,107,0.0,66,1405
20200103T23-07,3284,1031,107,0.0,68,1381
20200103T22-07,3348,1076,110,0.0,65,1286
20200103T21-07,3408,1060,107,0.0,68,1225
20200103T20-07,3466,1088,106,0.0,68,1148
