,coal,natural gas,other,solar,hydro,wind
20191218T00-07,1013,531,10,0,4,7
20191217T23-07,1000,555,2,0,4,37
20191217T22-07,1005,671,0,0,4,91
20191217T21-07,997,724,0,0,4,179
20191217T20-07,984,729,2,0,4,302
20191217T19-07,996,727,0,0,4,320
20191217T18-07,981,679,0,0,4,318
20191217T17-07,944,663,0,26,4,313
20191217T16-07,947,525,0,166,4,314
20191217T15-07,936,475,0,233,4,316
20191217T14-07,930,477,0,237,4,320
20191217T13-07,929,474,0,230,4,343
20191217T12-07,929,451,0,232,4,323
20191217T11-07,949,481,0,235,4,272
20191217T10-07,978,548,0,221,4,228
20191217T09-07,983,540,0,150,4,232
20191217T08-07,993,597,0,23,4,269
20191217T07-07,1001,589,0,0,4,228
20191217T06-07,1005,576,0,0,4,213
20191217T05-07,1005,556,0,0,4,142
20191217T04-07,1002,521,0,0,4,89
20191217T03-07,998,522,0,0,4,80
20191217T02-07,996,525,7,0,4,84
20191217T01-07,992,554,11,0,4,92
20191217T00-07,1015,568,11,0,4,109
20191216T23-07,1017,627,11,0,4,124
20191216T22-07,1016,700,11,0,4,148
20191216T21-07,1015,648,11,0,4,194
20191216T20-07,957,682,11,0,4,368
20191216T19-07,909,770,11,0,4,460
20191216T18-07,1015,722,11,0,4,476
20191216T17-07,993,661,11,20,4,568
20191216T16-07,895,571,11,146,4,582
20191216T15-07,929,475,11,199,4,553
20191216T14-07,930,481,11,187,4,536
20191216T13-07,919,475,11,203,4,506
20191216T12-07,914,470,11,201,4,490
20191216T11-07,947,484,11,202,4,477
20191216T10-07,982,508,11,193,4,447
20191216T09-07,996,600,11,131,4,340
20191216T08-07,995,625,11,21,4,328
20191216T07-07,1001,632,11,0,4,383
20191216T06-07,996,611,10,0,4,320
20191216T05-07,1001,578,10,0,4,260
20191216T04-07,1007,575,11,0,4,283
20191216T03-07,1010,567,11,0,4,374
20191216T02-07,1010,579,11,0,4,407
20191216T01-07,998,552,11,0,4,403
20191216T00-07,977,493,11,0,4,359
20191215T23-07,974,489,11,0,4,359
20191215T22-07,991,520,11,0,4,321
20191215T21-07,1001,522,3,0,4,461
20191215T20-07,999,523,0,0,4,625
20191215T19-07,996,485,0,0,4,640
20191215T18-07,968,470,0,0,4,669
20191215T17-07,902,485,0,21,4,697
20191215T16-07,902,455,0,142,4,699
20191215T15-07,897,429,0,203,4,721
20191215T14-07,920,431,0,203,4,715
20191215T13-07,992,460,0,194,4,635
20191215T12-07,997,482,0,184,4,582
20191215T11-07,990,492,0,167,4,568
20191215T10-07,981,517,0,164,4,570
20191215T09-07,979,510,0,103,4,563
20191215T08-07,995,499,0,17,4,600
20191215T07-07,990,455,0,0,4,654
20191215T06-07,991,447,0,0,4,682
20191215T05-07,993,444,0,0,4,652
20191215T04-07,941,482,0,0,4,614
20191215T03-07,902,480,0,0,4,603
20191215T02-07,988,472,0,0,4,507
20191215T01-07,983,426,0,0,4,542
20191215T00-07,1013,473,0,0,4,479
20191214T23-07,1000,491,0,0,4,500
20191214T22-07,1001,490,0,0,4,566
20191214T21-07,973,467,0,0,4,614
20191214T20-07,875,441,0,0,4,606
20191214T19-07,927,452,0,0,4,608
20191214T18-07,944,455,0,0,4,541
20191214T17-07,909,455,0,19,4,632
20191214T16-07,899,445,0,106,4,659
20191214T15-07,898,444,0,150,4,690
20191214T14-07,893,370,0,171,4,674
20191214T13-07,930,349,0,187,4,604
20191214T12-07,926,363,0,207,4,598
20191214T11-07,937,399,0,217,4,513
20191214T10-07,952,424,0,218,4,461
20191214T09-07,942,444,0,157,4,492
20191214T08-07,943,455,0,25,4,511
20191214T07-07,966,442,0,0,4,480
20191214T06-07,983,438,0,0,4,484
20191214T05-07,1021,438,0,0,4,488
20191214T04-07,1018,435,0,0,4,459
20191214T03-07,1015,440,0,0,4,425
20191214T02-07,1004,439,0,0,4,402
20191214T01-07,1012,462,0,0,4,345
20191214T00-07,1017,500,0,0,4,269
20191213T23-07,1019,477,0,0,4,290
20191213T22-07,1002,481,0,0,4,236
20191213T21-07,983,478,0,0,4,296
20191213T20-07,947,432,0,0,4,344
20191213T19-07,959,396,0,0,4,481
20191213T18-07,938,411,0,0,4,555
20191213T17-07,930,393,0,21,4,556
20191213T16-07,914,384,0,151,4,580
20191213T15-07,912,322,0,201,4,657
20191213T14-07,871,272,0,216,4,681
20191213T13-07,911,340,0,217,4,690
20191213T12-07,932,420,0,210,4,689
20191213T11-07,941,435,0,203,3,687
20191213T10-07,958,423,0,213,2,639
20191213T09-07,974,480,0,132,2,550
20191213T08-07,975,471,0,22,2,545
20191213T07-07,979,471,0,0,2,499
20191213T06-07,912,442,0,0,2,526
20191213T05-07,919,447,0,0,2,526
20191213T04-07,910,447,0,0,2,558
20191213T03-07,883,469,0,0,2,556
20191213T02-07,884,449,0,0,2,567
20191213T01-07,880,451,0,0,2,622
20191213T00-07,776,473,0,0,2,587
20191212T23-07,876,560,0,0,2,625
20191212T22-07,891,578,0,0,2,574
20191212T21-07,883,647,0,0,2,548
20191212T20-07,865,644,0,0,2,539
20191212T19-07,866,653,0,0,2,598
20191212T18-07,825,657,0,0,2,620
20191212T17-07,714,603,0,23,2,652
20191212T16-07,633,590,0,160,2,620
20191212T15-07,537,604,0,222,2,493
20191212T14-07,519,596,0,220,2,405
20191212T13-07,523,591,0,222,2,370
20191212T12-07,539,594,0,200,2,330
20191212T11-07,529,643,0,166,2,310
20191212T10-07,518,647,0,166,2,357
20191212T09-07,529,705,0,96,2,442
20191212T08-07,526,746,0,19,2,485
20191212T07-07,524,729,0,0,2,497
20191212T06-07,523,598,0,0,2,478
20191212T05-07,481,603,0,0,2,428
20191212T04-07,377,641,0,0,2,397
20191212T03-07,372,646,0,0,2,495
20191212T02-07,379,662,0,0,2,453
20191212T01-07,377,665,0,0,2,419
20191212T00-07,380,657,0,0,2,492
20191211T23-07,384,688,0,0,2,552
20191211T22-07,394,759,0,0,2,616
20191211T21-07,392,848,0,0,2,571
20191211T20-07,404,888,0,0,2,526
20191211T19-07,404,923,0,0,2,509
20191211T18-07,363,904,0,0,2,469
20191211T17-07,343,715,0,4,2,478
20191211T16-07,339,608,0,58,2,450
20191211T15-07,333,569,0,121,2,353
20191211T14-07,332,607,0,153,2,297
20191211T13-07,337,631,0,154,2,291
