,coal,natural gas,petroleum,other,hydro,wind
20200106T00-08,347,1037.0,0,21,464,234.0
20200105T23-08,340,1073.0,0,21,460,262.0
20200105T22-08,351,1080.0,0,20,475,287.0
20200105T21-08,348,1082.0,0,21,499,290.0
20200105T20-08,349,1080.0,0,21,593,290.0
20200105T19-08,349,1080.0,0,21,561,301.0
20200105T18-08,348,1077.0,0,22,566,303.0
20200105T17-08,348,1075.0,0,22,540,306.0
20200105T16-08,348,1010.0,0,22,420,291.0
20200105T15-08,347,976.0,0,23,208,308.0
20200105T14-08,351,1005.0,0,21,340,250.0
20200105T13-08,351,998.0,0,22,446,147.0
20200105T12-08,351,1099.0,0,21,566,110.0
20200105T11-08,347,1098.0,0,22,548,81.0
20200105T10-08,347,1080.0,0,21,642,57.0
20200105T09-08,349,1078.0,0,22,576,20.0
20200105T08-08,346,1080.0,0,22,576,28.0
20200105T07-08,348,1079.0,0,21,394,64.0
20200105T06-08,347,1080.0,0,23,378,84.0
20200105T05-08,351,1081.0,0,23,322,90.0
20200105T04-08,372,1081.0,0,25,348,97.0
20200105T03-08,375,1082.0,0,24,348,108.0
20200105T02-08,373,1077.0,0,23,350,36.0
20200105T01-08,373,1082.0,0,25,398,61.0
20200105T00-08,373,1042.0,0,23,568,138.0
20200104T23-08,370,1076.0,0,24,566,193.0
20200104T22-08,370,1015.0,0,25,571,73.0
20200104T21-08,370,972.0,0,23,617,32.0
20200104T20-08,366,942.0,0,25,589,76.0
20200104T19-08,364,921.0,0,24,583,168.0
20200104T18-08,370,917.0,0,22,575,236.0
20200104T17-08,368,903.0,0,22,526,267.0
20200104T16-08,372,849.0,0,24,466,255.0
20200104T15-08,368,809.0,0,24,397,282.0
20200104T14-08,370,766.0,0,23,438,276.0
20200104T13-08,368,843.0,0,25,341,263.0
20200104T12-08,369,869.0,0,23,258,249.0
20200104T11-08,370,888.0,0,25,208,246.0
20200104T10-08,373,893.0,0,24,208,296.0
20200104T09-08,370,899.0,0,23,229,304.0
20200104T08-08,369,917.0,0,25,242,296.0
20200104T07-08,368,912.0,0,23,319,267.0
20200104T06-08,369,910.0,0,23,474,293.0
20200104T05-08,373,891.0,0,25,551,309.0
20200104T04-08,376,821.0,0,23,577,337.0
20200104T03-08,377,789.0,0,24,558,340.0
20200104T02-08,376,786.0,0,24,556,337.0
20200104T01-08,374,784.0,0,26,540,294.0
20200104T00-08,373,1027.0,0,24,614,182.0
20200103T23-08,374,1054.0,0,25,656,161.0
20200103T22-08,377,1049.0,0,25,648,135.0
20200103T21-08,374,1053.0,0,26,635,172.0
20200103T20-08,373,1052.0,0,24,623,223.0
20200103T19-08,380,1047.0,0,25,635,259.0
20200103T18-08,428,1053.0,0,24,566,295.0
20200103T17-08,454,1043.0,0,24,495,265.0
20200103T16-08,454,1033.0,0,26,375,151.0
20200103T15-08,451,987.0,0,26,439,125.0
20200103T14-08,451,968.0,0,25,421,103.0
