,coal,natural gas,petroleum,other,solar,hydro
20191218T00-05,565,845,0,68,0,92
20191217T23-05,642,845,0,74,0,111
20191217T22-05,670,843,0,78,0,160
20191217T21-05,738,811,0,79,0,159
20191217T20-05,795,799,0,78,0,158
20191217T19-05,831,789,0,77,0,159
20191217T18-05,791,796,0,75,0,158
20191217T17-05,610,791,0,79,0,135
20191217T16-05,578,771,0,80,0,92
20191217T15-05,580,760,0,70,0,91
20191217T14-05,653,757,-1,73,1,92
20191217T13-05,666,757,0,70,1,91
20191217T12-05,678,769,0,72,0,91
20191217T11-05,633,790,0,74,0,91
20191217T10-05,610,791,0,72,1,91
20191217T09-05,635,780,0,76,0,95
20191217T08-05,646,785,0,76,0,94
20191217T07-05,544,796,0,73,0,95
20191217T06-05,452,767,-1,75,0,43
20191217T05-05,460,747,0,83,0,11
20191217T04-05,454,734,0,78,0,11
20191217T03-05,460,750,0,80,0,9
20191217T02-05,454,771,0,82,0,11
20191217T01-05,460,669,0,79,0,10
20191217T00-05,455,768,0,84,0,36
20191216T23-05,508,808,0,81,0,94
20191216T22-05,627,807,0,80,0,95
20191216T21-05,630,804,0,80,0,94
20191216T20-05,617,801,0,78,0,156
20191216T19-05,609,798,0,80,0,139
20191216T18-05,501,798,0,79,0,93
20191216T17-05,451,778,0,78,0,55
20191216T16-05,453,745,0,78,2,11
20191216T15-05,454,711,0,75,2,10
20191216T14-05,452,693,0,76,2,11
20191216T13-05,456,723,0,77,2,10
20191216T12-05,456,790,0,76,4,11
20191216T11-05,554,816,0,79,1,64
20191216T10-05,599,831,0,78,3,128
20191216T09-05,842,840,0,79,0,214
20191216T08-05,928,839,0,77,0,216
20191216T07-05,876,838,0,77,0,210
20191216T06-05,714,839,0,80,0,145
20191216T05-05,676,838,0,78,0,94
20191216T04-05,677,835,0,80,0,94
20191216T03-05,639,836,0,79,0,94
20191216T02-05,580,832,0,79,0,94
20191216T01-05,709,841,0,79,0,94
20191216T00-05,716,845,-1,79,0,94
20191215T23-05,718,844,0,75,0,94
20191215T22-05,699,844,0,75,0,122
20191215T21-05,614,843,0,75,0,164
20191215T20-05,669,836,-1,77,0,166
20191215T19-05,646,828,0,77,0,152
20191215T18-05,583,825,0,78,0,54
20191215T17-05,569,819,0,75,0,10
20191215T16-05,566,815,0,75,3,9
20191215T15-05,567,816,0,77,2,10
20191215T14-05,570,819,0,73,3,10
20191215T13-05,622,823,0,76,3,53
20191215T12-05,676,831,0,73,3,91
20191215T11-05,771,808,0,76,3,91
20191215T10-05,921,827,0,74,1,136
20191215T09-05,939,858,0,74,1,162
20191215T08-05,931,858,0,74,0,162
20191215T07-05,927,815,0,75,0,161
20191215T06-05,792,789,0,70,0,146
20191215T05-05,779,820,0,77,0,90
20191215T04-05,776,805,0,75,0,90
20191215T03-05,781,803,0,75,0,92
20191215T02-05,776,799,0,74,0,92
20191215T01-05,777,804,0,75,0,91
20191215T00-05,828,833,0,73,0,62
20191214T23-05,855,837,0,71,0,63
20191214T22-05,853,837,0,76,0,157
20191214T21-05,823,833,0,72,0,156
20191214T20-05,815,831,0,74,0,157
20191214T19-05,821,830,0,75,0,157
20191214T18-05,758,824,0,72,0,145
20191214T17-05,639,820,0,76,1,88
20191214T16-05,597,816,0,74,1,88
20191214T15-05,590,814,0,75,2,86
20191214T14-05,597,819,0,74,2,88
20191214T13-05,713,819,-1,73,3,89
20191214T12-05,847,815,0,74,1,124
20191214T11-05,868,819,0,72,0,156
20191214T10-05,807,827,0,74,1,158
20191214T09-05,719,829,0,72,1,159
20191214T08-05,643,828,-1,75,0,149
20191214T07-05,640,814,0,74,0,87
20191214T06-05,596,817,0,73,0,87
20191214T05-05,574,814,0,76,0,76
20191214T04-05,571,817,0,75,0,10
20191214T03-05,662,796,0,71,0,10
20191214T02-05,575,819,0,74,0,10
20191214T01-05,476,819,0,75,0,10
20191214T00-05,526,801,0,93,0,10
20191213T23-05,628,820,0,58,0,41
20191213T22-05,629,815,0,76,0,79
20191213T21-05,625,811,0,76,0,114
20191213T20-05,667,804,0,76,0,159
20191213T19-05,816,805,0,77,0,155
20191213T18-05,871,847,0,75,0,108
20191213T17-05,885,848,0,76,0,78
20191213T16-05,944,849,0,78,0,59
20191213T15-05,943,850,0,73,0,11
20191213T14-05,945,853,0,74,0,9
20191213T13-05,928,852,0,74,0,79
20191213T12-05,866,857,0,75,0,157
20191213T11-05,740,859,0,76,0,160
20191213T10-05,625,857,0,78,0,211
20191213T09-05,491,799,0,76,0,212
20191213T08-05,506,841,0,77,0,209
20191213T07-05,527,861,0,78,0,214
20191213T06-05,461,848,-1,77,0,99
20191213T05-05,671,753,0,77,0,5
20191213T04-05,609,751,0,79,0,5
20191213T03-05,560,772,0,76,0,5
20191213T02-05,550,811,0,80,0,5
20191213T01-05,560,837,0,77,0,3
20191213T00-05,568,827,0,78,0,5
20191212T23-05,569,836,0,79,0,76
20191212T22-05,575,806,0,77,0,144
20191212T21-05,569,805,0,76,0,159
20191212T20-05,563,841,0,77,0,159
20191212T19-05,577,843,-1,78,0,160
20191212T18-05,603,836,0,78,3,49
20191212T17-05,498,825,0,77,0,4
20191212T16-05,449,815,0,76,0,5
20191212T15-05,449,815,0,75,1,6
20191212T14-05,450,854,0,77,2,5
20191212T13-05,501,863,0,74,2,6
20191212T12-05,652,862,0,72,3,6
20191212T11-05,822,841,0,76,2,74
20191212T10-05,828,856,0,73,1,182
20191212T09-05,824,867,0,72,0,205
20191212T08-05,827,836,0,80,0,206
20191212T07-05,777,853,0,77,0,200
20191212T06-05,793,855,0,74,0,135
20191212T05-05,777,869,0,77,0,86
20191212T04-05,760,849,0,77,0,6
20191212T03-05,728,844,0,76,0,3
20191212T02-05,742,825,0,76,0,3
20191212T01-05,786,838,0,79,0,13
20191212T00-05,764,857,0,76,0,151
20191211T23-05,764,852,0,76,0,156
20191211T22-05,699,848,0,78,0,156
20191211T21-05,694,851,-1,75,0,156
20191211T20-05,707,825,0,76,0,156
20191211T19-05,831,777,0,77,0,158
20191211T18-05,733,781,0,73,0,159
20191211T17-05,485,799,0,75,0,157
20191211T16-05,456,762,0,74,1,123
20191211T15-05,458,788,0,73,2,25
20191211T14-05,456,788,0,74,2,3
20191211T13-05,471,754,0,77,2,3
20191211T12-05,481,791,0,72,5,4
20191211T11-05,502,785,0,76,2,3
20191211T10-05,525,816,0,72,1,3
20191211T09-05,450,820,0,73,1,3
20191211T08-05,475,831,0,73,0,3
20191211T07-05,716,842,0,75,0,2
