,coal,natural gas,nuclear,other,solar,hydro
20200106T00-05,569,1226,995,6,0,65
20200105T23-05,572,1306,995,2,0,67
20200105T22-05,570,1361,995,2,0,66
20200105T21-05,570,1411,994,0,0,66
20200105T20-05,567,1407,994,0,0,68
20200105T19-05,571,1364,994,0,0,65
20200105T18-05,569,1148,994,0,10,67
20200105T17-05,568,907,994,0,184,66
20200105T16-05,570,774,995,0,407,65
20200105T15-05,570,814,992,2,423,68
20200105T14-05,571,795,995,0,402,65
20200105T13-05,571,815,995,0,399,64
20200105T12-05,567,812,993,1,411,64
20200105T11-05,572,891,995,5,431,68
20200105T10-05,569,1043,994,3,419,80
20200105T09-05,571,1078,992,4,195,327
20200105T08-05,570,1107,995,5,8,299
20200105T07-05,570,1109,993,5,0,192
20200105T06-05,568,1062,994,9,0,80
20200105T05-05,569,1008,994,5,0,66
20200105T04-05,564,946,993,2,0,65
20200105T03-05,564,901,995,3,0,65
20200105T02-05,573,889,993,8,0,66
20200105T01-05,570,858,995,6,0,65
20200105T00-05,570,923,994,8,0,65
20200104T23-05,572,961,993,9,0,65
20200104T22-05,569,1025,994,8,0,41
20200104T21-05,570,1034,994,6,0,51
20200104T20-05,570,1020,994,3,0,67
20200104T19-05,568,1028,994,0,0,68
20200104T18-05,569,862,994,1,4,66
20200104T17-05,569,716,993,3,93,67
20200104T16-05,567,715,993,1,227,67
20200104T15-05,571,621,995,7,263,67
20200104T14-05,564,644,993,0,239,65
20200104T13-05,564,679,994,3,241,66
20200104T12-05,568,696,994,0,196,67
20200104T11-05,563,705,995,0,127,67
20200104T10-05,568,751,993,0,42,70
20200104T09-05,566,702,994,0,9,65
20200104T08-05,569,717,994,0,0,66
20200104T07-05,573,835,993,1,0,65
20200104T06-05,571,902,995,0,0,65
20200104T05-05,570,882,994,0,0,66
20200104T04-05,567,862,994,0,0,66
20200104T03-05,567,813,994,0,0,65
20200104T02-05,570,831,994,0,0,66
20200104T01-05,573,841,990,1,0,65
20200104T00-05,573,818,996,3,0,68
20200103T23-05,572,820,996,2,0,85
20200103T22-05,575,829,993,2,0,166
20200103T21-05,571,895,994,1,0,169
20200103T20-05,568,944,994,0,0,167
20200103T19-05,570,1035,993,0,0,179
20200103T18-05,566,1049,993,0,2,110
20200103T17-05,569,920,995,1,59,67
20200103T16-05,573,908,994,0,132,66
20200103T15-05,571,847,993,0,175,66
20200103T14-05,573,857,994,0,179,65
20200103T13-05,567,887,993,0,173,66
20200103T12-05,570,904,994,0,135,64
20200103T11-05,573,905,994,1,120,65
20200103T10-05,569,942,994,1,116,65
20200103T09-05,571,978,994,0,44,75
20200103T08-05,573,979,993,1,3,119
20200103T07-05,570,892,994,1,0,118
20200103T06-05,568,801,995,3,0,118
20200103T05-05,574,816,993,3,0,121
20200103T04-05,570,769,994,2,0,121
20200103T03-05,568,772,994,3,0,120
20200103T02-05,572,790,993,3,0,121
20200103T01-05,574,829,993,3,0,120
20200103T00-05,571,882,994,3,0,122
20200102T23-05,572,1044,993,3,0,120
20200102T22-05,571,1217,994,2,0,121
20200102T21-05,571,1291,994,2,0,162
20200102T20-05,570,1279,993,2,0,223
20200102T19-05,571,1340,995,2,0,209
20200102T18-05,569,1289,993,2,0,172
20200102T17-05,569,1133,993,1,30,118
20200102T16-05,570,1103,994,1,60,121
20200102T15-05,572,1114,995,1,36,154
20200102T14-05,570,1074,993,2,68,190
20200102T13-05,569,1065,995,4,83,190
20200102T12-05,571,987,993,4,87,344
20200102T11-05,572,1015,994,3,80,377
20200102T10-05,569,1060,993,2,43,401
20200102T09-05,593,1085,993,1,21,357
20200102T08-05,637,1122,994,2,0,282
20200102T07-05,631,1118,993,1,0,193
20200102T06-05,607,1055,994,1,0,113
20200102T05-05,568,1031,995,1,0,115
20200102T04-05,567,965,993,1,0,113
20200102T03-05,566,975,993,1,0,114
20200102T02-05,567,958,995,1,0,114
20200102T01-05,566,1003,992,0,0,114
20200102T00-05,569,1042,992,1,0,113
20200101T23-05,566,1079,994,1,0,169
20200101T22-05,573,1089,993,1,0,245
20200101T21-05,567,1088,993,0,0,244
20200101T20-05,569,1075,995,1,0,243
20200101T19-05,571,1094,993,0,0,197
20200101T18-05,567,1033,994,1,4,114
20200101T17-05,569,1012,995,0,144,114
20200101T16-05,572,879,993,2,339,114
20200101T15-05,572,785,994,3,370,115
20200101T14-05,571,824,994,3,356,115
20200101T13-05,570,795,994,3,359,113
20200101T12-05,572,770,994,4,364,114
20200101T11-05,573,819,994,3,418,115
20200101T10-05,572,749,994,3,375,248
20200101T09-05,572,865,993,3,177,328
20200101T08-05,571,1010,993,2,8,273
20200101T07-05,571,1015,994,3,0,213
20200101T06-05,572,980,993,3,0,141
20200101T05-05,569,934,994,3,0,114
20200101T04-05,566,912,995,4,0,115
20200101T03-05,565,951,992,5,0,115
20200101T02-05,570,934,994,4,0,115
20200101T01-05,573,944,994,5,0,114
20200101T00-05,570,999,992,4,0,114
20191231T23-05,569,1001,994,4,0,166
20191231T22-05,565,1019,994,5,0,233
20191231T21-05,572,990,993,2,0,299
20191231T20-05,565,1022,994,1,0,313
20191231T19-05,570,1033,994,0,0,308
20191231T18-05,567,1023,993,1,5,171
20191231T17-05,569,992,993,0,165,115
20191231T16-05,571,918,995,0,407,112
20191231T15-05,569,792,993,0,426,113
20191231T14-05,568,786,994,0,407,111
20191231T13-05,568,778,994,0,399,116
20191231T12-05,568,797,994,0,412,117
20191231T11-05,567,798,994,0,427,111
20191231T10-05,571,809,992,0,418,112
20191231T09-05,569,994,994,0,198,182
20191231T08-05,571,1057,993,0,9,235
20191231T07-05,572,1009,994,1,0,122
20191231T06-05,570,871,994,0,0,113
20191231T05-05,569,888,993,0,0,114
20191231T04-05,567,896,992,1,0,116
20191231T03-05,564,892,995,1,0,115
20191231T02-05,573,896,995,0,0,116
20191231T01-05,572,828,996,1,0,115
20191231T00-05,574,775,993,0,0,117
20191230T23-05,572,872,993,1,0,118
20191230T22-05,571,883,992,0,0,198
20191230T21-05,571,840,994,1,0,258
20191230T20-05,573,792,994,1,0,332
20191230T19-05,569,787,994,0,0,346
20191230T18-05,567,784,993,0,7,211
20191230T17-05,568,762,994,1,116,119
20191230T16-05,569,629,993,0,279,117
20191230T15-05,566,621,994,0,246,118
20191230T14-05,564,674,994,0,227,120
20191230T13-05,567,666,993,1,229,128
20191230T12-05,570,674,994,1,169,183
20191230T11-05,567,683,994,0,91,221
20191230T10-05,569,703,993,1,28,206
20191230T09-05,570,691,995,0,20,158
20191230T08-05,569,687,993,1,0,122
20191230T07-05,567,701,993,1,0,76
20191230T06-05,569,643,993,0,0,76
20191230T05-05,567,662,994,0,0,77
20191230T04-05,565,650,993,0,0,78
20191230T03-05,562,687,994,0,0,77
20191230T02-05,570,663,993,0,0,77
20191230T01-05,571,681,993,0,0,76
20191230T00-05,571,700,994,0,0,79
20191229T23-05,571,817,995,0,0,77
20191229T22-05,570,872,994,0,0,128
20191229T21-05,568,872,993,0,0,209
20191229T20-05,568,870,992,0,0,262
20191229T19-05,568,922,994,0,0,247
20191229T18-05,567,872,995,0,0,215
20191229T17-05,566,771,993,0,15,187
20191229T16-05,571,754,994,0,30,145
20191229T15-05,570,755,994,0,47,102
20191229T14-05,570,730,994,0,114,77
20191229T13-05,570,730,993,0,113,78
20191229T12-05,571,658,995,0,116,78
20191229T11-05,572,625,994,0,118,75
20191229T10-05,568,680,993,0,99,76
20191229T09-05,570,649,993,0,41,116
20191229T08-05,570,670,994,0,1,113
20191229T07-05,568,636,994,0,0,117
20191229T06-05,567,574,994,0,0,115
20191229T05-05,566,567,994,0,0,115
20191229T04-05,562,565,994,0,0,115
20191229T03-05,559,592,994,0,0,118
20191229T02-05,564,582,994,0,0,114
20191229T01-05,567,606,995,0,0,116
20191229T00-05,569,640,991,0,0,117
20191228T23-05,573,680,994,0,0,155
20191228T22-05,569,666,995,0,0,244
20191228T21-05,570,698,994,0,0,289
20191228T20-05,571,732,992,1,0,316
20191228T19-05,570,758,995,2,0,328
20191228T18-05,570,763,994,2,1,257
20191228T17-05,562,679,995,2,35,189
20191228T16-05,570,671,994,2,80,133
20191228T15-05,571,667,994,3,82,127
20191228T14-05,567,621,994,2,151,109
20191228T13-05,567,594,994,3,201,93
20191228T12-05,573,631,994,0,242,93
20191228T11-05,569,665,994,0,265,94
20191228T10-05,571,688,995,1,212,95
20191228T09-05,570,683,994,0,94,99
20191228T08-05,570,683,995,1,2,100
20191228T07-05,569,706,994,0,0,99
20191228T06-05,568,652,994,0,0,97
20191228T05-05,566,736,994,0,0,93
20191228T04-05,565,750,995,1,0,96
20191228T03-05,562,754,994,0,0,95
20191228T02-05,567,761,994,0,0,95
20191228T01-05,570,744,995,0,0,104
20191228T00-05,571,716,995,1,0,160
20191227T23-05,570,655,992,0,0,205
20191227T22-05,569,660,995,0,0,312
20191227T21-05,569,718,995,0,0,319
20191227T20-05,568,791,994,0,0,342
20191227T19-05,570,855,994,0,0,341
20191227T18-05,567,836,994,0,1,271
20191227T17-05,570,753,995,0,57,169
20191227T16-05,572,711,994,0,93,158
20191227T15-05,572,684,994,0,143,161
20191227T14-05,566,732,994,0,204,160
20191227T13-05,568,740,995,0,202,158
20191227T12-05,573,719,994,0,180,159
20191227T11-05,519,764,995,0,155,163
20191227T10-05,512,757,994,0,101,265
20191227T09-05,510,783,994,0,50,230
20191227T08-05,514,783,995,1,4,216
20191227T07-05,544,805,994,0,0,105
20191227T06-05,571,744,993,0,0,92
20191227T05-05,568,742,994,1,0,93
20191227T04-05,566,746,995,0,0,89
20191227T03-05,562,771,995,1,0,94
20191227T02-05,572,720,995,0,0,90
20191227T01-05,569,742,993,1,0,93
20191227T00-05,570,778,994,0,0,93
20191226T23-05,569,838,995,1,0,141
20191226T22-05,570,875,993,1,0,220
20191226T21-05,569,921,994,0,0,217
20191226T20-05,570,942,994,2,0,213
20191226T19-05,569,940,995,0,0,224
20191226T18-05,567,845,995,0,1,172
20191226T17-05,562,738,993,1,87,101
20191226T16-05,568,746,995,0,247,91
20191226T15-05,526,752,994,0,311,94
20191226T14-05,511,752,994,1,352,91
20191226T13-05,509,753,995,0,355,95
20191226T12-05,505,716,993,1,365,94
20191226T11-05,516,714,994,2,369,109
20191226T10-05,510,776,995,0,303,219
20191226T09-05,510,982,994,1,124,247
20191226T08-05,511,1112,994,1,5,187
20191226T07-05,512,1069,994,2,0,138
20191226T06-05,508,958,994,1,0,91
20191226T05-05,508,844,994,1,0,85
20191226T04-05,506,804,994,1,0,89
20191226T03-05,508,789,993,0,0,89
20191226T02-05,515,785,995,1,0,87
20191226T01-05,510,797,995,1,0,88
20191226T00-05,510,857,994,0,0,89
20191225T23-05,510,900,995,1,0,87
20191225T22-05,512,920,994,1,0,96
20191225T21-05,512,790,994,0,0,209
20191225T20-05,510,716,994,2,0,273
20191225T19-05,512,676,994,0,0,269
20191225T18-05,538,611,994,1,5,192
20191225T17-05,567,566,995,1,123,42
20191225T16-05,569,566,995,0,344,35
20191225T15-05,572,566,995,1,393,33
20191225T14-05,568,565,993,1,380,41
20191225T13-05,565,568,995,1,376,47
20191225T12-05,571,566,995,1,380,51
20191225T11-05,568,585,994,1,389,88
20191225T10-05,568,653,995,1,394,100
20191225T09-05,567,780,994,1,182,201
20191225T08-05,566,849,993,3,5,172
20191225T07-05,566,794,993,2,0,124
20191225T06-05,567,687,995,1,0,92
20191225T05-05,563,671,994,1,0,33
20191225T04-05,561,622,994,0,0,17
20191225T03-05,564,612,995,0,0,21
20191225T02-05,568,616,995,1,0,17
20191225T01-05,571,664,992,0,0,16
20191225T00-05,573,699,993,3,0,61
20191224T23-05,568,707,995,0,0,106
20191224T22-05,571,766,994,0,0,142
20191224T21-05,567,769,994,1,0,145
20191224T20-05,571,787,994,1,0,133
20191224T19-05,569,786,995,2,0,140
20191224T18-05,568,709,994,1,2,166
20191224T17-05,567,603,994,2,127,104
20191224T16-05,572,568,994,1,354,95
20191224T15-05,529,567,994,2,384,95
20191224T14-05,522,568,995,0,368,96
20191224T13-05,523,573,995,0,355,96
20191224T12-05,562,601,994,1,340,91
20191224T11-05,567,655,994,1,313,90
20191224T10-05,569,713,994,0,308,98
20191224T09-05,570,797,994,1,131,105
20191224T08-05,570,892,995,0,6,79
20191224T07-05,564,996,995,0,0,23
20191224T06-05,567,913,992,2,0,24
20191224T05-05,570,898,995,1,0,25
20191224T04-05,568,884,993,2,0,25
20191224T03-05,568,902,995,1,0,25
20191224T02-05,571,911,993,0,0,24
20191224T01-05,572,902,995,1,0,24
20191224T00-05,570,944,992,1,0,24
20191223T23-05,570,910,995,0,0,133
20191223T22-05,572,979,993,1,0,188
20191223T21-05,571,1233,995,1,0,214
20191223T20-05,569,1323,994,2,0,159
20191223T19-05,569,1398,992,1,0,151
20191223T18-05,569,1341,995,1,0,153
20191223T17-05,567,1147,993,0,19,100
20191223T16-05,567,1105,994,0,67,98
20191223T15-05,572,1136,994,0,86,99
20191223T14-05,570,1213,993,0,42,96
20191223T13-05,573,1245,993,1,20,98
20191223T12-05,574,1258,994,0,20,149
20191223T11-05,572,1209,994,0,5,228
20191223T10-05,572,1168,994,0,3,233
20191223T09-05,574,1108,993,5,0,197
20191223T08-05,572,1159,993,0,0,157
20191223T07-05,572,1186,994,2,0,97
20191223T06-05,573,1178,994,4,0,89
20191223T05-05,571,1157,994,3,0,91
20191223T04-05,572,1137,992,10,0,92
20191223T03-05,571,1082,994,0,0,90
20191223T02-05,573,1127,995,5,0,91
20191223T01-05,570,1096,992,5,0,92
20191223T00-05,576,1173,994,6,0,91
20191222T23-05,642,1251,994,5,0,96
20191222T22-05,640,1372,994,5,0,99
20191222T21-05,640,1418,992,5,0,155
20191222T20-05,641,1428,994,7,0,196
20191222T19-05,637,1438,993,7,0,216
20191222T18-05,612,1480,994,5,0,181
20191222T17-05,571,1453,994,3,1,123
20191222T16-05,572,1411,994,2,9,114
20191222T15-05,572,1388,993,3,20,115
20191222T14-05,570,1380,994,3,25,116
20191222T13-05,567,1369,993,3,46,117
20191222T12-05,571,1403,995,2,47,71
20191222T11-05,571,1376,994,2,34,119
20191222T10-05,573,1408,992,2,27,108
20191222T09-05,569,1422,995,2,6,56
20191222T08-05,571,1333,994,3,0,52
20191222T07-05,572,1245,994,2,0,53
20191222T06-05,570,1160,992,2,0,52
20191222T05-05,573,1180,994,1,0,52
20191222T04-05,573,1162,994,2,0,54
20191222T03-05,572,1156,995,1,0,53
20191222T02-05,572,1199,992,2,0,53
20191222T01-05,575,1243,994,1,0,54
20191222T00-05,570,1250,994,1,0,52
20191221T23-05,583,1343,993,1,0,53
20191221T22-05,601,1415,993,1,0,53
20191221T21-05,646,1430,994,2,0,52
20191221T20-05,646,1426,994,1,0,53
20191221T19-05,632,1437,992,1,0,60
20191221T18-05,580,1416,993,2,1,77
20191221T17-05,584,1238,994,1,33,52
20191221T16-05,579,1177,994,1,61,53
20191221T15-05,580,1141,993,1,118,50
20191221T14-05,579,1086,994,1,220,53
20191221T13-05,576,1086,993,0,225,133
20191221T12-05,577,1155,993,1,149,218
20191221T11-05,580,1331,994,1,120,191
20191221T10-05,580,1448,993,1,80,177
20191221T09-05,614,1431,994,1,44,194
20191221T08-05,616,1459,993,0,4,146
20191221T07-05,617,1420,993,0,0,89
20191221T06-05,618,1358,993,2,0,52
20191221T05-05,619,1305,994,3,0,52
20191221T04-05,620,1318,993,1,0,55
20191221T03-05,629,1297,994,0,0,53
20191221T02-05,711,1246,994,0,0,55
20191221T01-05,772,1202,994,0,0,55
20191221T00-05,813,1097,1002,1,0,57
20191220T23-05,794,1336,995,0,0,57
20191220T22-05,792,1418,993,0,0,54
20191220T21-05,792,1457,994,1,0,58
20191220T20-05,793,1453,993,5,0,57
20191220T19-05,788,1422,994,4,0,57
20191220T18-05,780,1288,994,4,1,60
