,hydro
20191113T08Z,309
20191113T07Z,481
20191113T06Z,452
20191113T05Z,465
20191113T04Z,618
20191113T03Z,643
20191113T02Z,704
20191113T01Z,675
20191113T00Z,644
20191112T23Z,652
20191112T22Z,625
20191112T21Z,562
20191112T20Z,584
20191112T19Z,567
20191112T18Z,611
20191112T17Z,642
20191112T16Z,615
20191112T15Z,556
20191112T14Z,363
20191112T13Z,267
20191112T12Z,229
20191112T11Z,219
20191112T10Z,245
20191112T09Z,282
20191112T08Z,344
20191112T07Z,439
20191112T06Z,584
20191112T05Z,598
20191112T04Z,663
20191112T03Z,647
20191112T02Z,609
20191112T01Z,642
20191112T00Z,492
20191111T23Z,483
20191111T22Z,495
20191111T21Z,505
20191111T20Z,506
20191111T19Z,500
20191111T18Z,504
20191111T17Z,476
20191111T16Z,487
20191111T15Z,403
20191111T14Z,268
20191111T13Z,256
20191111T12Z,205
20191111T11Z,209
20191111T10Z,246
20191111T09Z,232
20191111T08Z,401
20191111T07Z,450
20191111T06Z,621
20191111T05Z,674
20191111T04Z,744
20191111T03Z,778
20191111T02Z,767
20191111T01Z,731
20191111T00Z,633
20191110T23Z,607
20191110T22Z,625
20191110T21Z,615
20191110T20Z,564
20191110T19Z,566
20191110T18Z,527
20191110T17Z,435
20191110T16Z,397
20191110T15Z,361
20191110T14Z,215
20191110T13Z,197
20191110T12Z,191
20191110T11Z,199
20191110T10Z,190
20191110T09Z,247
20191110T08Z,391
20191110T07Z,417
20191110T06Z,499
20191110T05Z,593
20191110T04Z,647
20191110T03Z,699
20191110T02Z,690
20191110T01Z,714
20191110T00Z,627
20191109T23Z,628
20191109T22Z,635
20191109T21Z,653
20191109T20Z,673
20191109T19Z,742
20191109T18Z,746
20191109T17Z,597
20191109T16Z,546
20191109T15Z,404
20191109T14Z,318
20191109T13Z,286
20191109T12Z,169
20191109T11Z,165
20191109T10Z,187
20191109T09Z,336
20191109T08Z,393
20191109T07Z,495
20191109T06Z,519
20191109T05Z,511
20191109T04Z,709
20191109T03Z,760
20191109T02Z,741
20191109T01Z,706
20191109T00Z,584
20191108T23Z,644
20191108T22Z,668
20191108T21Z,680
20191108T20Z,705
20191108T19Z,703
20191108T18Z,700
20191108T17Z,732
20191108T16Z,688
20191108T15Z,610
20191108T14Z,483
20191108T13Z,342
20191108T12Z,323
20191108T11Z,292
20191108T10Z,294
20191108T09Z,325
20191108T08Z,378
20191108T07Z,467
20191108T06Z,559
20191108T05Z,550
20191108T04Z,544
20191108T03Z,711
20191108T02Z,677
20191108T01Z,712
20191108T00Z,594
20191107T23Z,585
20191107T22Z,584
20191107T21Z,602
20191107T20Z,707
20191107T19Z,731
20191107T18Z,712
20191107T17Z,711
20191107T16Z,702
20191107T15Z,683
20191107T14Z,468
20191107T13Z,326
20191107T12Z,284
20191107T11Z,287
20191107T10Z,290
