,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T06Z,9083,14292,6003.0,-3.0,63,0.0,333,0.0
20191113T05Z,8858,14191,6012.0,-2.0,63,0.0,850,0.0
20191113T04Z,9343,14213,5997.0,0.0,61,0.0,1052,0.0
20191113T03Z,9375,14452,5997.0,0.0,63,0.0,2195,0.0
20191113T02Z,9565,14481,5999.0,-1.0,64,-1.0,3083,0.0
20191113T01Z,9244,14344,5991.0,0.0,62,0.0,3225,0.0
20191113T00Z,9176,14023,5991.0,-1.0,63,0.0,2920,0.0
20191112T23Z,8984,13395,5997.0,-2.0,71,20.0,1458,0.0
20191112T22Z,8369,13092,5991.0,-1.0,70,152.0,281,0.0
20191112T21Z,7858,12654,5978.0,-1.0,67,227.0,185,0.0
20191112T20Z,7803,12772,5975.0,-1.0,67,270.0,230,0.0
20191112T19Z,8034,13326,5960.0,8.0,67,263.0,257,0.0
20191112T18Z,8328,13148,5951.0,-1.0,70,198.0,509,0.0
20191112T17Z,8712,12873,5946.0,9.0,68,165.0,752,0.0
20191112T16Z,8715,12651,5942.0,48.0,69,95.0,623,0.0
20191112T15Z,7911,12268,5941.0,4.0,63,65.0,1140,0.0
20191112T14Z,7381,11608,5940.0,1.0,63,35.0,1489,0.0
20191112T13Z,7129,11229,5940.0,-1.0,62,5.0,1586,0.0
20191112T12Z,6705,10096,5944.0,0.0,61,0.0,1070,0.0
20191112T11Z,6073,9101,5953.0,-1.0,59,0.0,670,0.0
20191112T10Z,5790,8850,5948.0,-1.0,62,0.0,189,0.0
20191112T09Z,5790,8915,5958.0,0.0,64,0.0,103,0.0
20191112T08Z,5952,8751,5951.0,0.0,62,-1.0,109,0.0
20191112T07Z,6039,8793,5953.0,0.0,62,-1.0,195,0.0
20191112T06Z,5948,8835,5958.0,0.0,62,-2.0,409,0.0
20191112T05Z,6244,9298,5956.0,0.0,62,0.0,378,0.0
20191112T04Z,6824,10024,5960.0,0.0,62,0.0,548,0.0
20191112T03Z,6978,10598,5963.0,-1.0,63,0.0,1019,0.0
20191112T02Z,6788,11111,5965.0,0.0,63,0.0,1457,0.0
20191112T01Z,7005,11305,5959.0,-1.0,62,0.0,1792,0.0
20191112T00Z,7391,11379,5955.0,0.0,62,0.0,1442,0.0
20191111T23Z,7377,10861,5955.0,-1.0,64,13.0,605,0.0
20191111T22Z,7152,10356,5960.0,-1.0,63,93.0,336,0.0
20191111T21Z,7154,9964,5959.0,-1.0,65,227.0,226,0.0
20191111T20Z,7055,9906,5958.0,-2.0,69,291.0,197,0.0
20191111T19Z,7107,9954,5964.0,-1.0,71,291.0,239,0.0
20191111T18Z,7076,10196,5968.0,11.0,71,324.0,215,0.0
20191111T17Z,7001,10520,5969.0,0.0,70,336.0,399,0.0
20191111T16Z,6695,10898,5986.0,0.0,70,292.0,902,0.0
20191111T15Z,5976,11493,5998.0,0.0,70,242.0,1491,0.0
20191111T14Z,6591,11780,6001.0,0.0,69,123.0,1643,0.0
20191111T13Z,7083,11823,6005.0,0.0,71,18.0,1758,0.0
20191111T12Z,6951,11229,6000.0,-1.0,68,0.0,1089,0.0
20191111T11Z,6735,10100,5998.0,0.0,71,0.0,286,0.0
20191111T10Z,6420,9723,5998.0,-1.0,65,0.0,108,0.0
20191111T09Z,6038,9489,5990.0,0.0,66,0.0,123,0.0
20191111T08Z,5852,9499,5975.0,0.0,68,-1.0,109,0.0
20191111T07Z,5657,9374,5952.0,-3.0,63,0.0,105,0.0
20191111T06Z,5519,9673,5927.0,-1.0,63,0.0,131,0.0
20191111T05Z,5865,9802,5898.0,0.0,64,0.0,117,0.0
20191111T04Z,5676,10166,5921.0,-1.0,63,0.0,427,0.0
