,coal,natural gas,solar
20191114T00-05,0,493,0
20191113T23-05,0,518,0
20191113T22-05,0,517,0
20191113T21-05,0,517,0
20191113T20-05,0,515,0
20191113T19-05,0,514,0
20191113T18-05,0,513,0
20191113T17-05,0,512,0
20191113T16-05,0,511,0
20191113T15-05,0,511,0
20191113T14-05,0,511,1
20191113T13-05,0,511,1
20191113T12-05,0,513,1
20191113T11-05,0,515,1
20191113T10-05,0,514,1
20191113T09-05,0,517,0
20191113T08-05,0,488,0
20191113T07-05,0,406,0
20191113T06-05,0,350,0
20191113T05-05,0,282,0
20191113T04-05,0,281,0
20191113T03-05,0,278,0
20191113T02-05,0,304,0
20191113T01-05,0,369,0
20191113T00-05,0,460,0
20191112T23-05,0,506,0
20191112T22-05,0,504,0
20191112T21-05,0,503,0
20191112T20-05,0,503,0
20191112T19-05,0,501,0
20191112T18-05,0,497,0
20191112T17-05,0,529,0
20191112T16-05,0,542,1
20191112T15-05,0,539,1
20191112T14-05,0,509,1
20191112T13-05,0,491,1
20191112T12-05,0,493,1
20191112T11-05,0,497,2
20191112T10-05,0,504,2
20191112T09-05,0,513,1
20191112T08-05,0,488,0
20191112T07-05,0,439,0
20191112T06-05,0,379,0
20191112T05-05,0,277,0
20191112T04-05,0,277,0
20191112T03-05,0,276,0
20191112T02-05,0,276,0
20191112T01-05,0,277,0
20191112T00-05,0,429,0
20191111T23-05,0,511,0
20191111T22-05,0,509,0
20191111T21-05,0,509,0
20191111T20-05,0,506,0
20191111T19-05,0,501,0
20191111T18-05,0,495,0
20191111T17-05,0,493,0
20191111T16-05,0,492,1
20191111T15-05,0,492,2
20191111T14-05,0,352,1
20191111T13-05,0,494,1
20191111T12-05,0,354,2
20191111T11-05,0,501,2
20191111T10-05,0,506,2
20191111T09-05,0,513,1
20191111T08-05,0,520,0
20191111T07-05,0,492,0
20191111T06-05,0,395,0
20191111T05-05,0,319,0
20191111T04-05,0,279,0
20191111T03-05,0,279,0
20191111T02-05,0,279,0
20191111T01-05,0,279,0
20191111T00-05,0,379,0
20191110T23-05,0,481,0
20191110T22-05,0,502,0
20191110T21-05,0,500,0
20191110T20-05,0,498,0
20191110T19-05,0,495,0
20191110T18-05,0,493,0
20191110T17-05,0,501,0
20191110T16-05,0,541,1
20191110T15-05,0,0,0
20191110T14-05,0,353,1
20191110T13-05,0,454,2
20191110T12-05,0,491,2
20191110T11-05,0,490,2
20191110T10-05,0,496,2
20191110T09-05,0,500,1
20191110T08-05,0,500,0
20191110T07-05,0,411,0
20191110T06-05,0,364,0
20191110T05-05,0,278,0
20191110T04-05,0,278,0
20191110T03-05,0,278,0
20191110T02-05,0,278,0
20191110T01-05,0,279,0
20191110T00-05,0,278,0
20191109T23-05,0,418,0
20191109T22-05,0,516,0
20191109T21-05,0,516,0
20191109T20-05,0,511,0
20191109T19-05,0,507,0
20191109T18-05,0,503,0
20191109T17-05,0,498,0
20191109T16-05,0,497,1
20191109T15-05,1,497,1
20191109T14-05,0,500,1
20191109T13-05,0,501,1
20191109T12-05,0,504,1
20191109T11-05,0,508,1
20191109T10-05,0,488,1
20191109T09-05,0,437,0
20191109T08-05,0,372,0
20191109T07-05,0,287,0
20191109T06-05,0,274,0
20191109T05-05,0,273,0
20191109T04-05,0,273,0
20191109T03-05,0,271,0
20191109T02-05,0,270,0
