,hydro
20191113T06Z,31
20191113T05Z,31
20191113T04Z,63
20191113T03Z,165
20191113T02Z,785
20191113T01Z,787
20191113T00Z,702
20191112T23Z,433
20191112T22Z,0
20191112T21Z,0
20191112T20Z,0
20191112T19Z,0
20191112T18Z,0
20191112T17Z,0
20191112T16Z,0
20191112T15Z,161
20191112T14Z,394
20191112T13Z,488
20191112T12Z,173
20191112T11Z,155
20191112T10Z,25
20191112T09Z,0
20191112T08Z,0
20191112T07Z,0
20191112T06Z,0
20191112T05Z,0
20191112T04Z,0
20191112T03Z,25
20191112T02Z,40
20191112T01Z,75
20191112T00Z,45
20191111T23Z,25
20191111T22Z,0
20191111T21Z,0
20191111T20Z,0
20191111T19Z,0
20191111T18Z,0
20191111T17Z,0
20191111T16Z,0
20191111T15Z,0
20191111T14Z,160
20191111T13Z,220
20191111T12Z,220
20191111T11Z,88
20191111T10Z,0
20191111T09Z,0
20191111T08Z,0
20191111T07Z,0
20191111T06Z,0
20191111T05Z,0
20191111T04Z,0
20191111T03Z,0
20191111T02Z,0
20191111T01Z,64
20191111T00Z,64
20191110T23Z,64
20191110T22Z,0
20191110T21Z,0
20191110T20Z,0
20191110T19Z,0
20191110T18Z,70
20191110T17Z,70
20191110T16Z,70
20191110T15Z,70
20191110T14Z,185
20191110T13Z,183
20191110T12Z,108
20191110T11Z,25
20191110T10Z,0
20191110T09Z,0
20191110T08Z,0
20191110T07Z,0
20191110T06Z,0
20191110T05Z,0
20191110T04Z,0
20191110T03Z,70
20191110T02Z,135
20191110T01Z,110
20191110T00Z,97
20191109T23Z,0
20191109T22Z,0
20191109T21Z,0
20191109T20Z,0
20191109T19Z,0
20191109T18Z,0
20191109T17Z,0
20191109T16Z,0
20191109T15Z,56
20191109T14Z,168
20191109T13Z,202
20191109T12Z,110
20191109T11Z,25
20191109T10Z,0
20191109T09Z,0
20191109T08Z,0
20191109T07Z,0
20191109T06Z,0
20191109T05Z,0
20191109T04Z,80
20191109T03Z,195
20191109T02Z,342
20191109T01Z,463
20191109T00Z,562
20191108T23Z,235
20191108T22Z,124
20191108T21Z,60
20191108T20Z,35
20191108T19Z,35
20191108T18Z,35
20191108T17Z,35
20191108T16Z,95
20191108T15Z,277
20191108T14Z,345
20191108T13Z,396
20191108T12Z,299
20191108T11Z,0
20191108T10Z,0
20191108T09Z,0
20191108T08Z,0
20191108T07Z,0
20191108T06Z,0
20191108T05Z,0
20191108T04Z,52
20191108T03Z,178
20191108T02Z,478
20191108T01Z,717
20191108T00Z,695
20191107T23Z,345
20191107T22Z,194
20191107T21Z,38
20191107T20Z,55
20191107T19Z,55
20191107T18Z,55
20191107T17Z,71
20191107T16Z,71
20191107T15Z,66
20191107T14Z,56
20191107T13Z,170
20191107T12Z,75
20191107T11Z,0
20191107T10Z,0
20191107T09Z,0
20191107T08Z,0
20191107T07Z,0
20191107T06Z,0
20191107T05Z,0
20191107T04Z,0
20191107T03Z,306
20191107T02Z,508
20191107T01Z,537
20191107T00Z,556
20191106T23Z,241
20191106T22Z,45
20191106T21Z,30
20191106T20Z,30
20191106T19Z,30
20191106T18Z,30
20191106T17Z,30
20191106T16Z,30
20191106T15Z,55
20191106T14Z,258
20191106T13Z,445
20191106T12Z,319
20191106T11Z,0
20191106T10Z,0
20191106T09Z,0
20191106T08Z,0
20191106T07Z,0
20191106T06Z,0
20191106T05Z,0
20191106T04Z,0
20191106T03Z,121
20191106T02Z,303
20191106T01Z,441
20191106T00Z,493
20191105T23Z,207
20191105T22Z,45
20191105T21Z,25
20191105T20Z,25
20191105T19Z,25
20191105T18Z,25
20191105T17Z,25
20191105T16Z,25
20191105T15Z,163
20191105T14Z,394
20191105T13Z,431
20191105T12Z,335
20191105T11Z,0
20191105T10Z,0
20191105T09Z,0
20191105T08Z,0
20191105T07Z,0
20191105T06Z,0
20191105T05Z,0
20191105T04Z,0
20191105T03Z,201
20191105T02Z,386
20191105T01Z,467
20191105T00Z,553
20191104T23Z,210
20191104T22Z,64
20191104T21Z,55
20191104T20Z,0
20191104T19Z,0
20191104T18Z,0
20191104T17Z,93
20191104T16Z,239
20191104T15Z,741
20191104T14Z,1055
20191104T13Z,1087
20191104T12Z,878
20191104T11Z,189
20191104T10Z,0
20191104T09Z,0
20191104T08Z,0
20191104T07Z,0
20191104T06Z,0
20191104T05Z,0
20191104T04Z,0
20191104T03Z,165
20191104T02Z,256
20191104T01Z,497
20191104T00Z,624
20191103T23Z,516
20191103T22Z,161
20191103T21Z,0
20191103T20Z,0
20191103T19Z,0
20191103T18Z,0
20191103T17Z,0
20191103T16Z,0
20191103T15Z,25
20191103T14Z,179
20191103T13Z,247
20191103T12Z,240
20191103T11Z,25
20191103T10Z,0
20191103T09Z,0
20191103T08Z,0
20191103T07Z,0
20191103T06Z,0
20191103T05Z,0
20191103T04Z,0
20191103T03Z,0
20191103T02Z,0
20191103T01Z,50
20191103T00Z,75
20191102T23Z,50
20191102T22Z,0
20191102T21Z,0
20191102T20Z,0
20191102T19Z,0
20191102T18Z,0
20191102T17Z,0
20191102T16Z,60
20191102T15Z,190
20191102T14Z,192
20191102T13Z,753
20191102T12Z,376
20191102T11Z,130
20191102T10Z,149
20191102T09Z,0
20191102T08Z,0
20191102T07Z,0
20191102T06Z,0
20191102T05Z,0
20191102T04Z,0
20191102T03Z,0
20191102T02Z,125
20191102T01Z,388
20191102T00Z,486
20191101T23Z,485
20191101T22Z,352
20191101T21Z,99
20191101T20Z,60
20191101T19Z,60
20191101T18Z,25
20191101T17Z,25
20191101T16Z,38
20191101T15Z,120
20191101T14Z,565
20191101T13Z,684
20191101T12Z,674
20191101T11Z,296
20191101T10Z,25
20191101T09Z,25
20191101T08Z,0
20191101T07Z,0
20191101T06Z,0
20191101T05Z,0
20191101T04Z,0
20191101T03Z,0
20191101T02Z,79
20191101T01Z,417
20191101T00Z,658
20191031T23Z,619
20191031T22Z,555
20191031T21Z,512
20191031T20Z,251
20191031T19Z,238
20191031T18Z,207
20191031T17Z,189
20191031T16Z,54
20191031T15Z,30
20191031T14Z,115
20191031T13Z,228
20191031T12Z,231
20191031T11Z,163
20191031T10Z,0
20191031T09Z,0
20191031T08Z,0
20191031T07Z,0
20191031T06Z,0
20191031T05Z,0
20191031T04Z,0
20191031T03Z,0
20191031T02Z,142
20191031T01Z,522
20191031T00Z,802
20191030T23Z,759
20191030T22Z,695
20191030T21Z,554
20191030T20Z,342
20191030T19Z,313
20191030T18Z,128
20191030T17Z,123
20191030T16Z,32
20191030T15Z,25
20191030T14Z,25
20191030T13Z,100
20191030T12Z,91
20191030T11Z,67
20191030T10Z,0
20191030T09Z,0
20191030T08Z,0
20191030T07Z,0
20191030T06Z,0
20191030T05Z,0
20191030T04Z,0
20191030T03Z,0
20191030T02Z,218
20191030T01Z,675
20191030T00Z,818
20191029T23Z,610
20191029T22Z,497
20191029T21Z,395
20191029T20Z,244
20191029T19Z,145
20191029T18Z,55
20191029T17Z,25
20191029T16Z,25
20191029T15Z,0
20191029T14Z,0
20191029T13Z,30
20191029T12Z,35
20191029T11Z,30
20191029T10Z,0
20191029T09Z,0
20191029T08Z,0
20191029T07Z,0
20191029T06Z,0
20191029T05Z,0
20191029T04Z,0
20191029T03Z,0
20191029T02Z,120
20191029T01Z,803
20191029T00Z,953
20191028T23Z,661
20191028T22Z,500
20191028T21Z,526
20191028T20Z,463
20191028T19Z,326
20191028T18Z,165
20191028T17Z,114
20191028T16Z,111
20191028T15Z,111
20191028T14Z,0
20191028T13Z,0
20191028T12Z,25
20191028T11Z,0
20191028T10Z,0
20191028T09Z,0
20191028T08Z,0
20191028T07Z,0
20191028T06Z,0
20191028T05Z,0
20191028T04Z,0
20191028T03Z,0
20191028T02Z,25
20191028T01Z,184
20191028T00Z,278
20191027T23Z,258
20191027T22Z,255
20191027T21Z,158
20191027T20Z,104
20191027T19Z,75
20191027T18Z,25
20191027T17Z,25
20191027T16Z,0
20191027T15Z,0
20191027T14Z,0
20191027T13Z,0
20191027T12Z,25
20191027T11Z,0
20191027T10Z,0
20191027T09Z,0
20191027T08Z,0
20191027T07Z,0
20191027T06Z,0
20191027T05Z,0
20191027T04Z,0
20191027T03Z,0
20191027T02Z,0
20191027T01Z,58
20191027T00Z,145
20191026T23Z,125
20191026T22Z,133
20191026T21Z,125
20191026T20Z,75
20191026T19Z,25
20191026T18Z,32
20191026T17Z,25
20191026T16Z,25
20191026T15Z,25
20191026T14Z,45
20191026T13Z,71
20191026T12Z,90
20191026T11Z,0
20191026T10Z,0
20191026T09Z,0
20191026T08Z,0
20191026T07Z,0
20191026T06Z,0
20191026T05Z,0
20191026T04Z,0
20191026T03Z,25
20191026T02Z,25
20191026T01Z,250
20191026T00Z,622
20191025T23Z,630
20191025T22Z,568
20191025T21Z,382
20191025T20Z,345
20191025T19Z,442
20191025T18Z,321
20191025T17Z,30
20191025T16Z,35
20191025T15Z,133
20191025T14Z,123
20191025T13Z,132
20191025T12Z,140
20191025T11Z,25
20191025T10Z,0
20191025T09Z,0
20191025T08Z,0
20191025T07Z,0
20191025T06Z,0
20191025T05Z,0
20191025T04Z,0
20191025T03Z,25
20191025T02Z,185
20191025T01Z,692
20191025T00Z,798
20191024T23Z,746
20191024T22Z,614
20191024T21Z,146
20191024T20Z,52
20191024T19Z,25
20191024T18Z,0
20191024T17Z,0
20191024T16Z,0
20191024T15Z,93
20191024T14Z,99
20191024T13Z,399
20191024T12Z,454
20191024T11Z,207
