,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T06Z,8658,13724,6003,-3,58,0,302,0
20191113T05Z,8434,13557,6012,-2,58,0,819,0
20191113T04Z,8916,13655,5997,0,57,0,989,0
20191113T03Z,8946,13889,5997,0,58,0,2030,0
20191113T02Z,9180,13956,5999,-1,59,-1,2298,0
20191113T01Z,8866,13817,5991,0,57,0,2438,0
20191113T00Z,8800,13508,5991,-1,58,0,2218,0
20191112T23Z,8614,13057,5997,-2,66,20,1025,0
20191112T22Z,8018,12844,5991,-1,66,152,281,0
20191112T21Z,7504,12538,5978,-1,62,227,185,0
20191112T20Z,7443,12666,5975,-1,62,270,230,0
20191112T19Z,7669,13229,5960,8,63,263,257,0
20191112T18Z,7959,13050,5951,-1,65,198,509,0
20191112T17Z,8341,12769,5946,9,63,165,752,0
20191112T16Z,8353,12534,5942,48,65,95,623,0
20191112T15Z,7580,12166,5941,4,58,65,979,0
20191112T14Z,7049,11546,5940,1,58,35,1095,0
20191112T13Z,6803,11223,5940,-1,57,5,1098,0
20191112T12Z,6373,10098,5944,0,57,0,897,0
20191112T11Z,5782,9104,5953,-1,54,0,515,0
20191112T10Z,5534,8852,5948,-1,57,0,164,0
20191112T09Z,5533,8917,5958,0,59,0,103,0
20191112T08Z,5692,8753,5951,0,57,-1,109,0
20191112T07Z,5780,8795,5953,0,57,-1,195,0
20191112T06Z,5700,8837,5958,0,57,-2,409,0
20191112T05Z,6001,9300,5956,0,57,0,378,0
20191112T04Z,6581,10026,5960,0,58,0,548,0
20191112T03Z,6764,10600,5963,-1,58,0,994,0
20191112T02Z,6572,11113,5965,0,58,0,1417,0
20191112T01Z,6795,11307,5959,-1,57,0,1717,0
20191112T00Z,7139,11381,5955,0,57,0,1397,0
20191111T23Z,7061,10863,5955,-1,59,13,580,0
20191111T22Z,6840,10358,5960,-1,59,93,336,0
20191111T21Z,6858,9966,5959,-1,60,227,226,0
20191111T20Z,6811,9908,5958,-2,64,291,197,0
20191111T19Z,6845,9956,5964,-1,66,291,239,0
20191111T18Z,6865,10146,5968,11,66,324,215,0
20191111T17Z,6817,10440,5969,0,65,336,399,0
20191111T16Z,6508,10803,5986,0,66,292,902,0
20191111T15Z,5785,11397,5998,0,65,242,1491,0
20191111T14Z,6404,11691,6001,0,64,123,1483,0
20191111T13Z,6884,11759,6005,0,66,18,1538,0
20191111T12Z,6726,11207,6000,-1,64,0,869,0
20191111T11Z,6515,10102,5998,0,66,0,198,0
20191111T10Z,6215,9725,5998,-1,60,0,108,0
20191111T09Z,5858,9491,5990,0,61,0,123,0
20191111T08Z,5666,9501,5975,0,63,-1,109,0
20191111T07Z,5457,9323,5952,-3,59,0,105,0
20191111T06Z,5332,9607,5927,-1,58,0,131,0
20191111T05Z,5655,9694,5898,0,59,0,117,0
20191111T04Z,5450,10036,5921,-1,58,0,427,0
20191111T03Z,5417,10518,5988,0,60,0,778,0
20191111T02Z,5495,10803,5984,0,58,0,1082,0
20191111T01Z,5412,10954,5986,-1,58,0,1262,0
20191111T00Z,5826,11117,5976,-1,58,0,793,0
20191110T23Z,5555,10514,5977,-1,57,25,246,0
20191110T22Z,5301,9852,5981,0,57,164,200,0
20191110T21Z,5137,9588,5980,-1,59,315,229,0
20191110T20Z,5190,9825,5984,0,59,381,218,0
20191110T19Z,4916,9955,5992,0,61,409,240,0
20191110T18Z,4887,9850,5984,-2,61,415,244,0
20191110T17Z,5077,9915,5993,-1,60,374,569,0
20191110T16Z,5224,10321,5996,0,59,364,1074,0
20191110T15Z,5244,11515,6000,-2,60,295,1393,0
20191110T14Z,5378,12305,6013,0,62,152,1673,0
20191110T13Z,5509,12249,6010,-1,62,20,1562,0
20191110T12Z,5692,12082,5998,0,61,-1,762,0
20191110T11Z,5196,11798,6008,-1,61,0,347,0
20191110T10Z,5245,11615,6009,-1,65,0,335,0
20191110T09Z,5487,11138,6010,0,57,0,254,0
20191110T08Z,5361,11157,6009,-2,60,-1,244,0
20191110T07Z,5447,11109,6008,0,62,0,251,0
20191110T06Z,5242,11228,6005,0,63,-2,148,0
20191110T05Z,5160,11244,6005,-2,63,0,170,0
20191110T04Z,5265,11320,6004,-1,61,0,658,0
20191110T03Z,5120,11417,6000,0,62,0,1284,0
20191110T02Z,5112,11375,6002,-2,63,0,1570,0
20191110T01Z,4900,11318,6001,0,61,0,1691,0
20191110T00Z,5159,11478,5993,0,62,0,1101,0
20191109T23Z,5280,11046,6000,0,61,26,319,0
20191109T22Z,5032,10487,5998,-1,63,173,221,0
20191109T21Z,4978,10273,6003,-2,62,318,152,0
20191109T20Z,4862,10452,6002,0,61,387,148,0
20191109T19Z,4735,10812,5997,0,60,411,243,0
20191109T18Z,4607,10990,6009,-1,64,407,384,0
20191109T17Z,4390,11454,6004,0,67,407,799,0
20191109T16Z,4425,12288,6007,-1,62,370,1292,0
20191109T15Z,4779,12735,6007,-1,61,301,1548,0
20191109T14Z,4890,12963,6010,-1,62,156,1801,0
20191109T13Z,5076,13109,6007,-1,63,22,1565,0
20191109T12Z,4824,12907,6010,-1,64,0,955,0
20191109T11Z,4907,12537,6010,-1,63,0,497,0
20191109T10Z,4974,12149,6004,-1,63,0,238,0
20191109T09Z,4812,11922,6006,0,64,0,384,0
20191109T08Z,4816,11923,6005,0,62,0,362,0
20191109T07Z,4948,12024,6001,0,61,0,335,0
20191109T06Z,4778,12553,6001,-1,61,0,87,0
20191109T05Z,4839,12729,5995,-1,59,0,142,0
20191109T04Z,3559,12756,5993,-1,60,0,853,0
20191109T03Z,3733,12677,5988,-2,60,0,1590,0
20191109T02Z,3742,12499,5988,0,59,-1,2166,0
20191109T01Z,5361,12613,5979,0,61,0,2172,0
20191109T00Z,5448,12557,5978,0,59,0,2171,0
20191108T23Z,5364,12477,5974,0,61,3,1285,0
20191108T22Z,5254,12321,5973,0,63,25,586,0
20191108T21Z,5480,12105,5962,-2,63,56,358,0
20191108T20Z,5640,11985,5966,-1,64,85,363,0
20191108T19Z,5583,12114,5965,-1,65,140,261,0
20191108T18Z,5171,11906,5964,0,65,163,403,0
20191108T17Z,5225,12047,5966,0,63,142,458,0
20191108T16Z,5260,12183,5964,0,63,131,724,0
20191108T15Z,5150,12132,5965,-1,63,87,1102,0
20191108T14Z,5352,12207,5957,0,65,42,1257,0
20191108T13Z,5421,12144,5961,-1,64,5,1004,0
20191108T12Z,4585,11006,5960,-1,64,0,980,0
20191108T11Z,4526,9724,5957,-1,64,0,541,0
20191108T10Z,4556,9263,5954,0,65,-1,378,0
20191108T09Z,4473,9222,5949,0,63,0,338,0
20191108T08Z,4472,9474,5941,-1,64,0,349,0
20191108T07Z,4483,9489,5931,0,62,0,611,0
20191108T06Z,4549,9404,5935,0,62,-1,871,0
20191108T05Z,4674,10088,5918,-1,62,-1,1028,0
20191108T04Z,5001,10599,5915,0,64,0,1367,0
20191108T03Z,4470,11153,5912,-2,65,0,1801,0
20191108T02Z,4561,11803,5914,-2,65,0,1864,0
20191108T01Z,4753,12167,5915,-2,60,0,2113,0
20191108T00Z,5669,12275,5910,0,61,0,2056,0
20191107T23Z,5732,12073,5905,0,60,17,65736,0
20191107T22Z,5608,11755,5910,0,60,38,665,0
20191107T21Z,5653,11835,5908,0,59,87,285,0
20191107T20Z,5648,11786,5911,0,59,131,234,0
20191107T19Z,5649,11816,5918,-2,61,155,197,0
20191107T18Z,5525,11666,5919,-2,59,148,169,0
20191107T17Z,5376,11576,5925,7,60,153,223,0
20191107T16Z,4984,11456,5938,47,63,138,569,0
20191107T15Z,4759,11329,5935,8,62,97,1069,0
20191107T14Z,4657,11150,5948,0,63,45,1191,0
20191107T13Z,4618,11301,5947,0,63,5,1183,0
20191107T12Z,4686,10942,5949,0,64,0,592,0
20191107T11Z,4411,9797,5946,0,63,0,101,0
20191107T10Z,4250,9133,5951,-1,61,0,227,0
20191107T09Z,4199,9008,5952,0,65,-1,313,0
20191107T08Z,4157,9056,5945,-2,60,0,399,0
20191107T07Z,4212,9174,5946,-1,61,0,407,0
20191107T06Z,4319,9083,5942,-1,61,0,466,0
20191107T05Z,4635,9630,5947,0,63,0,487,0
20191107T04Z,5059,10359,5943,-1,58,0,659,0
20191107T03Z,5139,10600,5934,-2,60,0,1465,0
20191107T02Z,4973,11110,5940,-1,61,0,1871,0
20191107T01Z,5204,11429,5934,0,60,0,1925,0
20191107T00Z,5386,11478,5929,-1,60,0,1820,0
20191106T23Z,5244,11260,5928,0,59,12,1343,0
20191106T22Z,5360,11379,5923,0,58,110,658,0
20191106T21Z,5103,11262,5927,-1,60,213,432,0
20191106T20Z,5132,11277,5921,0,61,254,306,0
20191106T19Z,5018,11073,5931,24,62,314,324,0
20191106T18Z,5003,10738,5931,10,64,345,433,0
20191106T17Z,4852,10567,5943,-2,68,347,702,0
20191106T16Z,4878,10413,5945,1,60,303,1247,0
20191106T15Z,4948,10292,5954,0,61,243,1441,0
20191106T14Z,5021,10488,5961,-2,60,139,1456,0
20191106T13Z,5053,11262,5960,-1,58,19,1397,0
20191106T12Z,5230,10700,5957,0,58,0,956,0
20191106T11Z,4731,9886,5947,-1,58,-1,472,0
20191106T10Z,4444,9276,5951,0,58,-1,560,0
20191106T09Z,4303,8987,5950,-1,58,0,603,0
20191106T08Z,4113,8743,5950,0,58,0,922,0
20191106T07Z,4073,8865,5938,-1,58,0,952,0
20191106T06Z,4130,10277,5940,-1,249,0,972,0
20191106T05Z,4431,11012,5933,0,249,0,969,0
20191106T04Z,4776,12059,5925,-1,251,-2,1047,0
20191106T03Z,4906,12761,5926,-2,252,0,1395,0
20191106T02Z,4785,13722,5927,0,256,0,1814,0
20191106T01Z,4871,14246,5915,0,255,0,2059,0
20191106T00Z,5103,14355,5913,0,256,-1,1735,0
20191105T23Z,4825,13780,5906,0,254,41,1374,0
20191105T22Z,4823,13600,5894,0,256,296,824,0
20191105T21Z,5132,13451,5898,0,246,558,568,0
20191105T20Z,5281,13468,5901,-1,241,671,320,0
20191105T19Z,5090,13147,5903,-2,248,880,260,0
20191105T18Z,4833,13189,5917,11,247,1038,215,0
20191105T17Z,4818,13434,5927,9,233,896,311,0
20191105T16Z,4807,13327,5936,-1,223,794,480,0
20191105T15Z,4849,13212,5956,0,217,548,899,0
20191105T14Z,4870,13047,5960,-1,225,287,1090,0
20191105T13Z,4849,13193,5968,0,227,52,1200,0
20191105T12Z,4676,12934,5968,0,224,0,692,0
20191105T11Z,4144,12057,5964,-1,222,0,477,0
20191105T10Z,3827,11232,5961,0,218,0,521,0
20191105T09Z,3763,10888,5962,0,225,0,553,0
20191105T08Z,3770,10807,5952,0,214,0,542,0
20191105T07Z,3887,10984,5962,0,215,0,534,0
20191105T06Z,4000,10938,5956,0,205,0,395,0
20191105T05Z,4206,11149,5959,0,199,0,488,0
20191105T04Z,4622,11918,5941,-1,199,0,554,0
20191105T03Z,4686,12727,5950,0,200,0,826,0
20191105T02Z,4795,13182,5947,-4,198,0,1297,0
20191105T01Z,5044,13138,5950,0,201,-1,1869,0
20191105T00Z,5186,13144,5945,-1,205,0,1782,0
20191104T23Z,4992,12803,5949,0,195,30,1077,0
20191104T22Z,5129,12417,5952,0,198,188,600,0
20191104T21Z,5106,12259,5947,0,194,434,519,0
20191104T20Z,5187,12104,5954,0,200,693,468,0
20191104T19Z,5138,11931,5957,0,198,926,384,0
20191104T18Z,5185,12114,5961,0,200,952,441,0
20191104T17Z,5106,12512,5972,0,194,999,693,0
20191104T16Z,4880,12849,5974,-1,189,946,962,0
20191104T15Z,4346,12968,5988,0,189,754,1606,0
20191104T14Z,4801,13340,5992,-1,189,407,2086,0
20191104T13Z,4956,13591,5990,-2,191,122,2033,0
20191104T12Z,4580,13181,5992,-1,192,-1,1162,0
20191104T11Z,4280,12093,5991,0,196,0,874,0
20191104T10Z,4461,11349,5994,0,196,0,402,0
20191104T09Z,4243,10918,5993,-2,198,0,457,0
20191104T08Z,4210,10792,5996,0,197,0,385,0
20191104T07Z,4273,10706,5991,-1,199,0,414,0
20191103T05Z,3712,10695,5987,0,289,-1,1013,0
20191103T04Z,3816,10923,5985,-1,288,0,1030,0
20191103T03Z,3991,11478,5977,0,293,0,1097,0
20191103T02Z,3966,11704,5979,0,297,0,1438,0
20191103T01Z,4232,11762,5982,-1,300,0,1636,0
20191103T00Z,4457,11581,5974,0,299,0,1725,0
20191102T23Z,3866,11226,5976,-1,302,83,1167,0
20191102T22Z,3521,10734,5966,-1,294,682,1152,0
20191102T21Z,3492,10309,5978,0,288,1219,1091,0
20191102T20Z,3852,10218,5965,0,276,1398,1093,0
20191102T19Z,3932,10383,5949,0,262,1448,1099,0
20191102T18Z,3856,10369,5901,-1,246,1441,1102,0
