,other,hydro
20191113T06Z,235,610
20191113T05Z,236,605
20191113T04Z,235,608
20191113T03Z,235,632
20191113T02Z,235,724
20191113T01Z,235,802
20191113T00Z,235,816
20191112T23Z,234,777
20191112T22Z,234,773
20191112T21Z,231,734
20191112T20Z,231,685
20191112T19Z,234,685
20191112T18Z,235,743
20191112T17Z,235,828
20191112T16Z,234,1021
20191112T15Z,235,1053
20191112T14Z,235,1055
20191112T13Z,235,1035
20191112T12Z,234,1063
20191112T11Z,235,563
20191112T10Z,236,512
20191112T09Z,236,514
20191112T08Z,235,511
20191112T07Z,236,515
20191112T06Z,235,521
20191112T05Z,230,525
20191112T04Z,231,875
20191112T03Z,236,1070
20191112T02Z,235,1093
20191112T01Z,236,1096
20191112T00Z,236,1089
20191111T23Z,235,683
20191111T22Z,234,580
20191111T21Z,235,576
20191111T20Z,234,567
20191111T19Z,235,550
20191111T18Z,234,547
20191111T17Z,235,549
20191111T16Z,234,523
20191111T15Z,234,527
20191111T14Z,235,525
20191111T13Z,234,525
20191111T12Z,207,530
20191111T11Z,198,535
20191111T10Z,196,535
20191111T09Z,196,525
20191111T08Z,195,526
20191111T07Z,196,524
20191111T06Z,204,543
20191111T05Z,199,549
20191111T04Z,221,548
20191111T03Z,224,545
20191111T02Z,235,547
20191111T01Z,236,588
20191111T00Z,234,598
20191110T23Z,235,597
20191110T22Z,235,624
20191110T21Z,234,618
20191110T20Z,233,622
20191110T19Z,235,614
20191110T18Z,234,610
20191110T17Z,234,608
20191110T16Z,235,613
20191110T15Z,233,582
20191110T14Z,224,578
20191110T13Z,224,582
20191110T12Z,222,548
20191110T11Z,203,549
20191110T10Z,201,546
20191110T09Z,203,548
20191110T08Z,204,550
20191110T07Z,204,551
20191110T06Z,204,546
20191110T05Z,206,544
20191110T04Z,208,543
20191110T03Z,235,557
20191110T02Z,235,554
20191110T01Z,234,531
20191110T00Z,235,472
20191109T23Z,230,501
20191109T22Z,222,502
20191109T21Z,222,499
20191109T20Z,225,496
20191109T19Z,228,506
20191109T18Z,227,498
20191109T17Z,232,518
20191109T16Z,235,558
20191109T15Z,234,598
20191109T14Z,236,600
20191109T13Z,236,587
20191109T12Z,233,584
20191109T11Z,211,541
20191109T10Z,210,542
20191109T09Z,209,544
20191109T08Z,210,549
20191109T07Z,210,551
20191109T06Z,209,509
20191109T05Z,234,505
20191109T04Z,232,502
20191109T03Z,235,504
20191109T02Z,236,504
20191109T01Z,237,502
20191109T00Z,236,506
20191108T23Z,236,508
20191108T22Z,237,544
20191108T21Z,236,545
20191108T20Z,235,545
20191108T19Z,236,548
20191108T18Z,236,642
20191108T17Z,236,999
20191108T16Z,238,1017
20191108T15Z,236,1009
20191108T14Z,236,1012
20191108T13Z,236,1008
20191108T12Z,236,677
20191108T11Z,237,494
20191108T10Z,236,438
20191108T09Z,237,437
20191108T08Z,236,436
20191108T07Z,236,436
20191108T06Z,236,437
20191108T05Z,236,443
20191108T04Z,236,767
20191108T03Z,235,884
20191108T02Z,237,1028
20191108T01Z,236,1041
20191108T00Z,236,1038
20191107T23Z,237,891
20191107T22Z,236,479
20191107T21Z,236,470
20191107T20Z,236,476
20191107T19Z,236,528
20191107T18Z,236,460
20191107T17Z,236,458
20191107T16Z,236,508
20191107T15Z,235,574
20191107T14Z,234,602
20191107T13Z,233,591
20191107T12Z,205,592
20191107T11Z,176,596
20191107T10Z,174,596
20191107T09Z,174,594
20191107T08Z,174,595
20191107T07Z,175,596
20191107T06Z,174,649
20191107T05Z,175,650
20191107T04Z,176,684
20191107T03Z,190,689
20191107T02Z,191,683
20191107T01Z,200,685
20191107T00Z,200,701
20191106T23Z,200,698
20191106T22Z,199,581
20191106T21Z,181,576
20191106T20Z,182,571
20191106T19Z,152,655
20191106T18Z,151,661
20191106T17Z,151,657
20191106T16Z,150,784
20191106T15Z,149,991
20191106T14Z,138,964
20191106T13Z,135,748
20191106T12Z,135,743
20191106T11Z,133,706
20191106T10Z,125,712
20191106T09Z,121,717
20191106T08Z,111,707
20191106T07Z,111,714
20191106T06Z,94,713
20191106T05Z,94,731
20191106T04Z,64,778
20191106T03Z,27,875
20191106T02Z,0,880
20191106T01Z,0,876
20191106T00Z,0,830
20191105T23Z,0,731
20191105T22Z,0,688
20191105T21Z,0,703
20191105T20Z,0,703
20191105T19Z,0,708
20191105T18Z,0,825
20191105T17Z,0,1042
20191105T16Z,0,1040
20191105T15Z,0,1072
20191105T14Z,0,1071
20191105T13Z,0,1063
20191105T12Z,0,724
20191105T11Z,0,690
20191105T10Z,0,689
20191105T09Z,0,689
20191105T08Z,0,687
20191105T07Z,0,688
20191105T06Z,0,684
20191105T05Z,0,681
20191105T04Z,0,684
20191105T03Z,0,843
20191105T02Z,0,896
20191105T01Z,0,928
20191105T00Z,0,846
20191104T23Z,0,709
20191104T22Z,0,707
20191104T21Z,0,707
20191104T20Z,0,710
20191104T19Z,0,730
20191104T18Z,0,732
20191104T17Z,0,838
20191104T16Z,0,844
20191104T15Z,0,910
20191104T14Z,0,1005
20191104T13Z,0,991
20191104T12Z,0,1005
20191104T11Z,0,865
20191104T10Z,0,863
20191104T09Z,0,863
20191104T08Z,0,864
20191104T07Z,0,864
20191104T06Z,0,803
20191104T05Z,0,799
20191104T04Z,0,799
20191104T03Z,0,964
20191104T02Z,0,968
20191104T01Z,26,966
20191104T00Z,44,964
20191103T23Z,69,971
20191103T22Z,93,969
20191103T21Z,122,968
20191103T20Z,124,999
20191103T19Z,144,998
20191103T18Z,175,996
20191103T17Z,178,894
20191103T16Z,184,885
20191103T15Z,183,799
20191103T14Z,184,798
20191103T13Z,185,802
20191103T12Z,199,799
20191103T11Z,200,801
20191103T10Z,200,799
20191103T09Z,201,798
20191103T08Z,191,795
20191103T07Z,175,799
20191103T06Z,175,798
20191103T05Z,176,796
20191103T04Z,178,796
20191103T03Z,199,800
20191103T02Z,201,798
20191103T01Z,200,801
20191103T00Z,200,799
20191102T23Z,200,892
20191102T22Z,201,892
20191102T21Z,200,1001
20191102T20Z,200,1007
20191102T19Z,199,1005
20191102T18Z,197,1004
20191102T17Z,201,1004
20191102T16Z,200,1000
20191102T15Z,201,999
20191102T14Z,201,999
20191102T13Z,201,1002
20191102T12Z,200,996
20191102T11Z,201,805
20191102T10Z,200,797
20191102T09Z,200,794
20191102T08Z,200,798
20191102T07Z,201,796
20191102T06Z,201,796
20191102T05Z,192,844
20191102T04Z,193,843
20191102T03Z,196,840
20191102T02Z,201,840
20191102T01Z,200,842
20191102T00Z,200,841
20191101T23Z,201,842
20191101T22Z,200,844
20191101T21Z,201,942
20191101T20Z,199,938
20191101T19Z,200,916
20191101T18Z,201,946
20191101T17Z,201,928
20191101T16Z,201,936
