,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191114T00-07,217.0,2615,2625,,-3,-3,1.0,
20191113T23-07,225.0,3039,2624,,0,-1,0.0,
20191113T22-07,235.0,3443,2625,,1,-2,1.0,
20191113T21-07,235.0,3880,2618,,10,2,0.0,
20191113T20-07,244.0,4024,2623,,9,9,0.0,
20191113T19-07,309.0,3865,2622,,0,8,2.0,
20191113T18-07,373.0,3810,2620,,-1,5,0.0,
20191113T17-07,338.0,3524,2620,,0,127,1.0,
20191113T16-07,234.0,2909,2623,,0,416,0.0,
20191113T15-07,164.0,2829,2621,,0,557,0.0,
20191113T14-07,156.0,2691,2625,,0,563,1.0,
20191113T13-07,157.0,2660,2619,,0,564,-1.0,
20191113T12-07,156.0,2551,2618,,-1,553,1.0,
20191113T11-07,156.0,2529,2625,,-10,581,1.0,
20191113T10-07,156.0,2562,2625,,-9,558,1.0,
20191113T09-07,155.0,3001,2629,,0,349,0.0,
20191113T08-07,185.0,3252,2632,,10,70,0.0,
20191113T07-07,188.0,3034,2631,,10,7,1.0,
20191113T06-07,159.0,2468,2630,,-1,-2,0.0,
20191113T05-07,158.0,2103,2624,,-8,-2,1.0,
20191113T04-07,159.0,2023,2621,,-10,-1,0.0,
20191113T03-07,159.0,2065,2621,,-2,-2,1.0,
20191113T02-07,158.0,2139,2619,,0,-1,1.0,
20191113T01-07,158.0,2566,2625,,0,-2,0.0,
20191113T00-07,160.0,2652,2622,,-3,-4,1.0,
20191112T23-07,214.0,3090,2621,,0,-1,0.0,
20191112T22-07,230.0,3408,2622,,0,-2,0.0,
20191112T21-07,231.0,3589,2622,,10,2,1.0,
20191112T20-07,227.0,3720,2618,,9,7,0.0,
20191112T19-07,310.0,3936,2617,,0,9,2.0,
20191112T18-07,354.0,3885,2620,,0,6,-2.0,
20191112T17-07,253.0,3422,2617,,-1,180,0.0,
20191112T16-07,217.0,3036,2616,,0,453,1.0,
20191112T15-07,218.0,3066,2617,,0,555,0.0,
20191112T14-07,218.0,2938,2620,,0,564,1.0,
20191112T13-07,218.0,2863,2620,,0,560,-1.0,
20191112T12-07,218.0,2836,2619,,-1,562,0.0,
20191112T11-07,218.0,2659,2623,,-10,571,2.0,
20191112T10-07,218.0,2615,2627,,-9,539,0.0,
20191112T09-07,234.0,2755,2634,,1,343,1.0,
20191112T08-07,358.0,3165,2641,,10,70,0.0,
20191112T07-07,307.0,3052,2647,,9,9,0.0,
20191112T06-07,219.0,2549,2647,,-1,-3,1.0,
20191112T05-07,222.0,2269,2644,,-8,-1,0.0,
20191112T04-07,226.0,2198,2638,,-10,-3,1.0,
20191112T03-07,226.0,2222,2638,,-2,-2,1.0,
20191112T02-07,224.0,2277,2636,,0,-2,1.0,
20191112T01-07,241.0,2715,2645,,0,-2,0.0,
20191112T00-07,234.0,3020,2652,,-4,-1,0.0,
20191111T23-07,261.0,3354,2649,,0,-3,0.0,
20191111T22-07,291.0,3899,2648,,0,-2,0.0,
20191111T21-07,365.0,4087,2644,,10,3,1.0,
20191111T20-07,375.0,4284,2647,,10,8,0.0,
20191111T19-07,375.0,4387,2644,,0,8,0.0,
20191111T18-07,375.0,4160,2644,,0,6,2.0,
20191111T17-07,374.0,3921,2643,,0,191,0.0,
20191111T16-07,374.0,3674,2648,,0,472,1.0,
20191111T15-07,350.0,3615,2658,,-1,548,0.0,
20191111T14-07,290.0,3333,2653,,0,553,0.0,
20191111T13-07,281.0,3112,2659,,0,547,1.0,
20191111T12-07,282.0,3063,2658,,0,553,0.0,
20191111T11-07,281.0,2838,2662,,-10,565,2.0,
20191111T10-07,281.0,2702,2662,,-10,527,0.0,
20191111T09-07,281.0,2879,2662,,0,313,0.0,
20191111T08-07,281.0,3136,2666,,10,65,1.0,
20191111T07-07,280.0,2818,2662,,9,8,0.0,
20191111T06-07,281.0,2567,2666,,0,-3,1.0,
20191111T05-07,280.0,2241,2661,,-8,-2,0.0,
20191111T04-07,281.0,2232,2660,,-10,-2,-2.0,
20191111T03-07,281.0,2355,2660,,-2,-2,2.0,
20191111T02-07,280.0,2549,2660,,0,-1,0.0,
20191111T01-07,281.0,2576,2660,,-1,-2,1.0,
20191111T00-07,281.0,2801,2654,,-4,-1,0.0,
20191110T22-07,281.0,3179,2653,,1,-1,1.0,
20191110T21-07,280.0,3479,2653,,9,0,0.0,
20191110T20-07,282.0,3664,2651,,10,8,1.0,
20191110T19-07,282.0,3633,2647,,0,8,0.0,
20191110T18-07,274.0,3658,2645,,0,6,1.0,
20191110T17-07,246.0,3260,2647,,0,108,1.0,
20191110T16-07,219.0,2962,2641,,0,330,0.0,
20191110T15-07,219.0,2715,2649,,0,389,1.0,
20191110T14-07,190.0,2423,2645,,0,479,1.0,
20191110T13-07,159.0,2057,2648,,-1,545,1.0,
20191110T12-07,159.0,1987,2651,,0,556,1.0,
20191110T11-07,158.0,1867,2659,,-10,544,0.0,
20191110T10-07,158.0,1761,2657,,-10,463,2.0,
20191110T09-07,158.0,1743,2663,,0,392,-1.0,
20191110T08-07,158.0,1908,2660,,10,82,1.0,
20191110T07-07,159.0,1862,2663,,10,9,0.0,
20191110T06-07,161.0,1932,2660,,0,-1,0.0,
20191110T05-07,162.0,1827,2660,,-8,-4,1.0,
20191110T04-07,190.0,1718,2657,,-10,-1,0.0,
20191110T03-07,191.0,1785,2660,,-2,-3,1.0,
20191110T02-07,161.0,1839,2656,,0,-1,0.0,
20191110T01-07,184.0,2312,2655,,0,-2,0.0,
20191110T00-07,250.0,2491,2652,,-5,-2,1.0,
20191109T23-07,251.0,2974,2649,,0,-1,0.0,
20191109T22-07,248.0,3161,2648,,0,-3,1.0,
20191109T21-07,306.0,3158,2647,,10,3,0.0,
20191109T20-07,351.0,3215,2644,,9,8,0.0,
20191109T19-07,350.0,3326,2639,,0,8,1.0,
20191109T18-07,252.0,3365,2637,,-1,12,0.0,
20191109T17-07,222.0,3104,2642,,0,144,2.0,
20191109T16-07,222.0,2776,2637,,0,386,0.0,
20191109T15-07,217.0,2905,2639,,0,423,-1.0,
20191109T14-07,169.0,2792,2640,,0,439,1.0,
20191109T13-07,179.0,2615,2637,,0,530,-1.0,
20191109T12-07,165.0,2400,2641,,-1,509,1.0,
20191109T11-07,159.0,2295,2650,,-10,506,0.0,
20191109T10-07,161.0,2010,2651,,-9,469,0.0,
20191109T09-07,160.0,2030,2655,,0,309,2.0,
20191109T08-07,177.0,2152,2656,,10,50,0.0,
20191109T07-07,169.0,1890,2654,,10,8,1.0,
20191109T06-07,196.0,1741,2653,,-1,-2,0.0,
20191109T05-07,163.0,1411,2656,,-8,-2,0.0,
20191109T04-07,158.0,1379,2658,,-10,-2,1.0,
20191109T03-07,159.0,1433,2651,,-2,-3,0.0,
20191109T02-07,175.0,1622,2650,,0,-1,1.0,
20191109T01-07,223.0,1724,2647,,0,-3,1.0,
20191109T00-07,274.0,2264,2647,,-5,-1,0.0,
20191108T23-07,290.0,2584,2646,,0,-2,1.0,
20191108T22-07,242.0,2812,2643,,0,-3,0.0,
20191108T21-07,231.0,2745,2639,,10,3,1.0,
20191108T20-07,282.0,2867,2640,,9,8,0.0,
20191108T19-07,321.0,3040,2637,,0,8,0.0,
20191108T18-07,265.0,3205,2638,,0,7,0.0,
20191108T17-07,223.0,2895,2642,,0,114,1.0,
20191108T16-07,223.0,2742,2641,,0,469,1.0,
20191108T15-07,224.0,2704,2642,,-1,552,0.0,
20191108T14-07,223.0,2365,2637,,0,568,0.0,
20191108T13-07,219.0,2364,2640,,0,569,1.0,
20191108T12-07,221.0,2192,2644,,0,527,0.0,
20191108T11-07,221.0,2041,2651,,-10,564,1.0,
20191108T10-07,220.0,2117,2658,,-10,506,1.0,
20191108T09-07,241.0,2192,2663,,1,378,0.0,
20191108T08-07,323.0,2358,2662,,10,77,1.0,
20191108T07-07,261.0,2055,2663,,9,7,0.0,
20191108T06-07,219.0,1590,2661,,0,-1,1.0,
20191108T05-07,217.0,1484,2661,,-9,-3,0.0,
20191108T04-07,217.0,1408,2659,,-9,-2,0.0,
20191108T03-07,217.0,1413,2662,,-2,-1,1.0,
20191108T02-07,217.0,1522,2661,,0,-2,0.0,
20191108T01-07,218.0,1972,2659,,-1,-2,1.0,
20191108T00-07,254.0,2162,2657,,-5,-1,0.0,
20191107T23-07,299.0,2652,2654,,0,-2,0.0,
20191107T22-07,299.0,2895,2652,,0,-2,0.0,
20191107T21-07,298.0,3140,2651,,10,1,0.0,
20191107T20-07,298.0,3119,2652,,10,9,1.0,
20191107T19-07,298.0,3217,2652,,0,8,0.0,
20191107T18-07,298.0,3166,2649,,0,10,1.0,
20191107T17-07,274.0,2894,2649,,0,198,1.0,
20191107T16-07,230.0,2755,2647,,0,490,0.0,
20191107T15-07,214.0,2620,2647,,0,571,1.0,
20191107T14-07,167.0,2352,2645,,0,577,0.0,
20191107T13-07,167.0,2288,2643,,-1,568,1.0,
20191107T12-07,167.0,2097,2643,,0,574,0.0,
20191107T11-07,166.0,2088,2651,,-10,587,-1.0,
20191107T10-07,165.0,2022,2650,,-10,557,1.0,
20191107T09-07,166.0,2345,2661,,0,362,1.0,
20191107T08-07,158.0,2660,2656,,10,70,1.0,
20191107T07-07,150.0,2243,2659,,9,9,0.0,
20191107T06-07,164.0,1841,2657,,0,-2,0.0,
20191107T05-07,220.0,1517,2655,,-8,-2,0.0,
20191107T04-07,220.0,1443,2657,,-10,-1,0.0,
20191107T03-07,220.0,1448,2655,,-2,-3,1.0,
20191107T02-07,220.0,1467,2654,,0,-1,0.0,
20191107T01-07,220.0,1607,2655,,0,-2,1.0,
20191107T00-07,221.0,1826,2651,,-7,-1,1.0,
20191106T23-07,258.0,2144,2651,,-2,-2,0.0,
20191106T22-07,312.0,2700,2647,,0,-5,1.0,
20191106T21-07,327.0,2873,2646,,-4,2,0.0,
20191106T20-07,327.0,2967,2645,,10,8,0.0,
20191106T19-07,327.0,2952,2645,,10,9,1.0,
20191106T18-07,327.0,2969,2645,,10,10,0.0,
20191106T17-07,294.0,2802,2641,,9,210,1.0,
20191106T16-07,261.0,2683,2645,,0,500,1.0,
20191106T15-07,215.0,2448,2645,,0,560,0.0,
20191106T14-07,170.0,2274,2658,,-1,561,1.0,
20191106T13-07,169.0,2059,2657,,-2,507,-1.0,
20191106T12-07,169.0,1897,2657,,-4,543,1.0,
20191106T11-07,187.0,1771,2658,,-4,506,0.0,
20191106T10-07,196.0,1648,2659,,-1,541,-1.0,
20191106T09-07,207.0,1873,2661,,0,294,1.0,
20191106T08-07,306.0,2111,2666,,0,114,1.0,
20191106T07-07,244.0,2073,2661,,0,7,1.0,
20191106T06-07,216.0,1568,2662,,0,-2,0.0,
20191106T05-07,216.0,1518,2661,,-10,-2,0.0,
20191106T04-07,216.0,1404,2657,,-8,-3,1.0,
20191106T03-07,216.0,1411,2658,,0,-1,0.0,
20191106T02-07,215.0,1500,2651,,0,-2,1.0,
20191106T01-07,215.0,1974,2655,,-2,-1,0.0,
20191106T00-07,216.0,2272,2649,,-7,-1,1.0,
20191105T23-07,216.0,2781,2656,,-2,-2,1.0,
20191105T22-07,217.0,3048,2651,,-1,-2,0.0,
20191105T21-07,233.0,3102,2651,,-3,2,1.0,
20191105T20-07,314.0,3304,2649,,10,8,0.0,
20191105T19-07,297.0,3612,2650,,10,7,0.0,
20191105T18-07,253.0,3514,2647,,10,7,1.0,
20191105T17-07,220.0,3115,2645,,10,203,0.0,
20191105T16-07,219.0,2814,2648,,0,488,1.0,
20191105T15-07,219.0,2577,2650,,0,551,1.0,
20191105T14-07,219.0,2435,2651,,-1,558,-1.0,
20191105T13-07,219.0,2397,2652,,-3,568,1.0,
20191105T12-07,219.0,2222,2658,,-4,572,0.0,
20191105T11-07,219.0,2095,2662,,-3,586,1.0,
20191105T10-07,230.0,2129,2664,,-1,563,0.0,
20191105T09-07,288.0,2346,2669,,0,409,0.0,
20191105T08-07,287.0,2669,2664,,0,93,1.0,
20191105T07-07,288.0,2570,2666,,0,8,1.0,
20191105T06-07,241.0,2356,2663,,0,-1,1.0,
20191105T05-07,219.0,2249,2665,,-10,-2,0.0,
20191105T04-07,219.0,2084,2664,,-8,-2,0.0,
20191105T03-07,219.0,2106,2663,,0,-3,1.0,
20191105T02-07,219.0,2190,2661,,-1,-1,0.0,
20191105T01-07,219.0,2384,2663,,-2,-1,1.0,
20191105T00-07,219.0,2502,2660,,-7,-2,-1.0,
20191104T23-07,219.0,2675,2657,,-2,-3,0.0,
20191104T22-07,219.0,2837,2657,,0,-2,2.0,
20191104T21-07,220.0,2948,2656,,-3,2,0.0,
20191104T20-07,220.0,3155,2653,,9,9,1.0,
20191104T19-07,243.0,3201,2655,,10,7,-1.0,
20191104T18-07,306.0,3019,2654,,10,13,-1.0,
20191104T17-07,279.0,2750,2653,,10,224,1.0,
