,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191114T00-07,2775,5731,5249,0,31,-2,315,439
20191113T23-07,2822,6391,5248,0,36,0,404,462
20191113T22-07,2890,6820,5250,0,35,-1,863,528
20191113T21-07,2866,7340,5237,0,45,13,935,516
20191113T20-07,2906,7543,5246,0,43,135,1018,514
20191113T19-07,2959,7269,5245,0,35,140,962,525
20191113T18-07,2918,7194,5240,0,32,144,815,496
20191113T17-07,2775,6576,5241,0,33,418,544,540
20191113T16-07,2547,5441,5247,0,32,1116,370,518
20191113T15-07,2469,5052,5241,0,35,1392,230,493
20191113T14-07,2487,4650,5250,0,33,1366,202,389
20191113T13-07,2504,4591,5238,0,35,1358,199,348
20191113T12-07,2519,4543,5237,0,34,1340,186,338
20191113T11-07,2585,4643,5251,0,25,1403,200,363
20191113T10-07,2639,4911,5250,0,28,1364,233,363
20191113T09-07,2719,5515,5257,0,35,950,377,436
20191113T08-07,2854,6341,5263,0,46,313,680,481
20191113T07-07,2769,6255,5262,0,45,27,415,550
20191113T06-07,2606,5245,5260,0,36,-1,165,587
20191113T05-07,2580,4689,5247,0,27,-1,161,567
20191113T04-07,2560,4404,5242,0,26,0,163,578
20191113T03-07,2575,4483,5240,0,34,-1,187,564
20191113T02-07,2594,4644,5238,0,36,3,311,518
20191113T01-07,2528,5103,5250,0,35,1,302,538
20191113T00-07,2485,5429,5244,0,34,1,379,530
20191112T23-07,2663,6109,5243,0,35,3,489,531
20191112T22-07,2795,6458,5244,0,36,-1,815,524
20191112T21-07,2855,6752,5244,0,45,3,823,504
20191112T20-07,2850,7299,5236,0,46,76,942,502
20191112T19-07,3106,7502,5235,0,34,136,994,509
20191112T18-07,3226,7275,5241,0,29,151,884,503
20191112T17-07,2981,6461,5235,0,23,468,641,530
20191112T16-07,2874,5717,5232,0,24,1081,286,480
20191112T15-07,3017,5217,5235,0,24,1299,257,392
20191112T14-07,2928,5149,5241,0,24,1327,248,345
20191112T13-07,2986,5164,5240,0,24,1321,240,331
20191112T12-07,3121,5206,5239,0,32,1296,236,294
20191112T11-07,3157,4976,5246,0,24,1292,205,222
20191112T10-07,3245,5012,5254,0,27,1219,240,145
20191112T09-07,3310,5703,5269,0,36,828,417,76
