,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T06Z,8302,6661,2039,2,28,0,1594,15263
20191113T05Z,8735,7095,2039,20,28,0,1755,15375
20191113T04Z,9232,7046,2039,20,28,0,2010,15784
20191113T03Z,9863,7769,2039,20,28,0,2029,15452
20191113T02Z,10324,8107,2040,20,29,0,2070,15159
20191113T01Z,11377,8312,2039,20,29,0,2131,14253
20191113T00Z,11637,7875,2040,20,30,7,2186,12898
20191112T23Z,11034,7245,2040,21,30,62,2088,12070
20191112T22Z,11240,7107,2041,30,32,82,2036,11077
20191112T21Z,12251,7940,2041,12,37,78,2034,9605
20191112T20Z,13084,8698,2043,10,37,109,2092,8564
20191112T19Z,14222,9795,2043,14,37,112,2185,6734
20191112T18Z,14925,10696,2043,93,37,118,2209,6030
20191112T17Z,14944,12019,2042,78,36,121,2178,5613
20191112T16Z,15060,12913,2039,90,34,134,2290,4966
20191112T15Z,14728,13603,2039,187,34,76,2318,5247
20191112T14Z,14965,13837,2039,181,35,2,2357,5093
20191112T13Z,15254,13734,2040,190,34,0,2340,4796
20191112T12Z,15180,11569,2039,45,32,0,2101,4530
20191112T11Z,15608,10366,2040,8,32,0,1807,4520
20191112T10Z,15668,9489,2040,0,32,0,1733,4675
20191112T09Z,15558,8872,2040,0,32,0,1675,4899
20191112T08Z,15497,8996,2039,0,32,0,1624,5079
20191112T07Z,15283,8211,2038,0,32,0,1630,6089
20191112T06Z,14870,7879,2038,0,32,0,1756,7280
20191112T05Z,14795,8153,2038,0,32,0,1905,8338
20191112T04Z,14221,7958,2037,0,32,0,2175,9626
20191112T03Z,13836,8107,2037,0,32,0,2195,10750
20191112T02Z,13220,8330,2038,0,31,0,2198,11547
20191112T01Z,12219,8603,2037,0,30,0,2288,12335
20191112T00Z,10145,8181,2037,0,27,2,2210,13857
20191111T23Z,9378,7151,2038,0,26,27,2194,14636
20191111T22Z,9315,6587,2037,0,25,44,2157,14823
20191111T21Z,9748,6160,2037,0,26,62,2045,14761
20191111T20Z,10176,6000,2037,0,27,50,2035,14364
20191111T19Z,10478,5814,2036,0,26,71,2093,13820
