,natural gas,solar,hydro
20191113T05Z,307,0,
20191113T04Z,319,0,
20191113T03Z,333,0,
20191113T02Z,342,0,
20191113T01Z,345,0,
20191113T00Z,342,0,
20191112T23Z,315,0,
20191112T22Z,291,1,
20191112T21Z,278,3,
20191112T20Z,273,5,
20191112T19Z,273,6,
20191112T18Z,278,3,
20191112T17Z,278,6,
20191112T16Z,280,5,
20191112T15Z,266,2,
20191112T14Z,258,4,
20191112T13Z,256,3,
20191112T12Z,244,0,
20191112T11Z,209,0,
20191112T10Z,194,0,
20191112T09Z,193,0,
20191112T08Z,196,0,
20191112T07Z,202,0,
20191112T06Z,214,0,
20191112T05Z,231,0,
20191112T04Z,252,0,
20191112T03Z,275,0,
20191112T02Z,294,0,
20191112T01Z,306,0,
20191112T00Z,313,0,
20191111T23Z,290,0,
20191111T22Z,275,7,
20191111T21Z,267,11,
20191111T20Z,268,11,
20191111T19Z,263,18,
20191111T18Z,257,19,
20191111T17Z,254,18,
20191111T16Z,254,18,
20191111T15Z,259,15,
20191111T14Z,261,10,
20191111T13Z,260,2,
20191111T12Z,247,0,
20191111T11Z,229,0,
20191111T10Z,217,0,
20191111T09Z,211,0,
20191111T08Z,211,0,
20191111T07Z,215,0,
20191111T06Z,223,0,
20191111T05Z,234,0,
20191111T04Z,246,0,
20191111T03Z,260,0,
20191111T02Z,271,0,
20191111T01Z,277,0,
20191111T00Z,281,0,
20191110T23Z,263,1,
20191110T22Z,250,7,
20191110T21Z,242,13,
20191110T20Z,236,17,
20191110T19Z,237,19,
20191110T18Z,241,19,
20191110T17Z,244,19,
20191110T16Z,251,19,
20191110T15Z,260,16,
20191110T14Z,263,10,
20191110T13Z,251,3,
20191110T12Z,236,0,
20191110T11Z,220,0,
20191110T10Z,214,0,
20191110T09Z,211,0,
20191110T08Z,212,0,
20191110T07Z,214,0,
20191110T06Z,221,0,
20191110T05Z,229,0,
20191110T04Z,240,0,
20191110T03Z,250,0,
20191110T02Z,260,0,
20191110T01Z,262,0,
20191110T00Z,268,0,
20191109T23Z,256,1,
20191109T22Z,246,7,
20191109T21Z,239,14,
20191109T20Z,234,18,
20191109T19Z,235,19,
20191109T18Z,237,19,
20191109T17Z,239,19,
20191109T16Z,239,19,
20191109T15Z,236,16,
20191109T14Z,231,10,
20191109T13Z,220,2,
20191109T12Z,208,0,
20191109T11Z,197,0,
20191109T10Z,190,0,
20191109T09Z,189,0,
20191109T08Z,195,0,
20191109T07Z,206,0,
20191109T06Z,213,0,
20191109T05Z,233,0,
20191109T04Z,247,0,
20191109T03Z,263,0,
20191109T02Z,291,0,
20191109T01Z,307,0,
20191109T00Z,308,0,
20191108T23Z,302,0,
20191108T22Z,292,0,
20191108T21Z,286,2,
20191108T20Z,288,3,
20191108T19Z,289,4,
20191108T18Z,287,7,
20191108T17Z,302,2,
20191108T16Z,308,3,
20191108T15Z,293,1,
20191108T14Z,297,1,
20191108T13Z,285,0,
20191108T12Z,253,0,
20191108T11Z,226,0,
20191108T10Z,215,0,
20191108T09Z,213,0,
20191108T08Z,215,0,
20191108T07Z,231,0,
20191108T06Z,245,0,
20191108T05Z,264,0,
20191108T04Z,288,0,
20191108T03Z,311,0,
20191108T02Z,333,0,
20191108T01Z,366,0,
20191108T00Z,366,0,
20191107T23Z,334,0,
20191107T22Z,353,4,
20191107T21Z,330,4,
20191107T20Z,330,8,
20191107T19Z,336,4,
20191107T18Z,334,6,
20191107T17Z,315,5,
20191107T16Z,302,3,
20191107T15Z,292,2,
20191107T14Z,283,1,
20191107T13Z,277,0,
20191107T12Z,255,0,
20191107T11Z,219,0,
20191107T10Z,206,0,
20191107T09Z,204,0,
20191107T08Z,208,0,
20191107T07Z,228,0,
20191107T06Z,243,0,
20191107T05Z,266,0,
20191107T04Z,292,0,
20191107T03Z,317,0,
20191107T02Z,322,0,
20191107T01Z,332,0,
20191107T00Z,350,0,
20191106T23Z,333,0,
20191106T22Z,370,6,
20191106T21Z,358,12,
20191106T20Z,350,14,
20191106T19Z,341,19,
20191106T18Z,328,19,
20191106T17Z,313,18,
20191106T16Z,306,16,
20191106T15Z,302,11,
20191106T14Z,286,5,
20191106T13Z,274,1,
20191106T12Z,249,0,
20191106T11Z,218,0,
20191106T10Z,207,0,
20191106T09Z,207,0,
20191106T08Z,216,0,
20191106T07Z,227,0,
20191106T06Z,240,0,
20191106T05Z,261,0,
20191106T04Z,292,0,
20191106T03Z,319,0,
20191106T02Z,342,0,
20191106T01Z,360,0,
20191106T00Z,368,0,
20191105T23Z,369,0,
20191105T22Z,367,1,
20191105T21Z,360,4,
20191105T20Z,355,10,
20191105T19Z,343,12,
20191105T18Z,326,11,
20191105T17Z,308,13,
20191105T16Z,309,5,
20191105T15Z,312,2,
20191105T14Z,296,1,
20191105T13Z,279,0,
20191105T12Z,249,0,
20191105T11Z,214,0,
20191105T10Z,200,0,
20191105T09Z,197,0,
20191105T08Z,200,0,
20191105T07Z,210,0,
20191105T06Z,223,0,
20191105T05Z,242,0,
20191105T04Z,283,0,
20191105T03Z,307,0,
20191105T02Z,313,0,
20191105T01Z,331,0,
20191105T00Z,332,0,
20191104T23Z,312,0,
20191104T22Z,292,1,
20191104T21Z,284,5,
20191104T20Z,283,5,
20191104T19Z,281,6,
20191104T18Z,275,9,
20191104T17Z,268,13,
20191104T16Z,265,11,
20191104T15Z,266,7,
20191104T14Z,267,3,
20191104T13Z,269,1,
20191104T12Z,252,0,
20191104T11Z,218,0,
20191104T10Z,202,0,
20191104T09Z,195,0,
20191104T08Z,197,0,
20191104T07Z,202,0,
20191104T06Z,211,0,
20191104T05Z,242,0,
20191104T04Z,262,0,
20191104T03Z,277,0,
20191104T02Z,287,0,
20191104T01Z,292,0,
20191104T00Z,273,1,
20191103T23Z,260,6,
20191103T22Z,251,12,
20191103T21Z,246,16,
20191103T20Z,243,17,
20191103T19Z,243,19,
20191103T18Z,245,19,
20191103T17Z,249,19,
20191103T16Z,254,16,
20191103T15Z,256,11,
20191103T14Z,242,3,
20191103T13Z,228,0,
20191103T12Z,213,0,
20191103T11Z,204,0,
20191103T10Z,202,0,
20191103T09Z,202,0,
20191103T08Z,203,0,
20191103T07Z,216,0,
20191103T06Z,209,0,
20191103T05Z,230,0,
20191103T04Z,230,0,
20191103T03Z,247,0,
20191103T02Z,259,0,
20191103T01Z,260,0,
20191103T00Z,264,0,
20191102T23Z,252,1,
20191102T22Z,244,8,
20191102T21Z,240,14,
20191102T20Z,242,18,
20191102T19Z,242,19,
20191102T18Z,242,19,
20191102T17Z,249,19,
20191102T16Z,254,18,
20191102T15Z,252,16,
20191102T14Z,253,11,
20191102T13Z,254,2,
20191102T12Z,246,0,
20191102T11Z,231,0,
20191102T10Z,222,0,
20191102T09Z,215,0,
20191102T08Z,214,0,
20191102T07Z,229,0,
20191102T06Z,238,0,
20191102T05Z,246,0,
20191102T04Z,254,0,
20191102T03Z,268,0,
20191102T02Z,277,0,
20191102T01Z,294,0,
20191102T00Z,296,0,
20191101T23Z,279,1,
20191101T22Z,274,8,
20191101T21Z,260,14,
20191101T20Z,263,18,
20191101T19Z,269,19,
20191101T18Z,282,19,
20191101T17Z,291,19,
20191101T16Z,296,19,
20191101T15Z,298,17,
20191101T14Z,286,11,
20191101T13Z,279,4,
20191101T12Z,309,0,
20191101T11Z,317,0,
20191101T10Z,283,0,
20191101T09Z,275,0,
20191101T08Z,294,0,
20191101T07Z,258,0,
20191101T06Z,264,0,
20191101T05Z,273,0,
20191101T04Z,267,0,
20191101T03Z,269,0,
20191101T02Z,289,0,
20191101T01Z,312,0,
20191101T00Z,343,0,
20191031T23Z,372,0,
20191031T22Z,415,1,
20191031T21Z,442,8,
20191031T20Z,447,11,
20191031T19Z,470,9,
20191031T18Z,444,13,
20191031T17Z,429,15,
20191031T16Z,415,13,
20191031T15Z,393,10,
20191031T14Z,377,4,
20191031T13Z,353,1,
20191031T12Z,351,0,
20191031T11Z,332,0,
20191031T10Z,299,0,
20191031T09Z,285,0,
20191031T08Z,284,0,
20191031T07Z,292,0,
20191031T06Z,305,0,
20191031T05Z,325,0,
20191031T04Z,359,0,
20191031T03Z,347,0,
20191031T02Z,370,0,
20191031T01Z,389,0,
20191031T00Z,399,0,
20191030T23Z,393,1,
20191030T22Z,394,2,
20191030T21Z,396,5,
20191030T20Z,395,8,
20191030T19Z,391,8,
20191030T18Z,392,7,
20191030T17Z,374,7,
20191030T16Z,360,5,
20191030T15Z,346,2,
20191030T14Z,348,1,
20191030T13Z,329,0,
20191030T12Z,320,0,
20191030T11Z,316,0,
20191030T10Z,279,0,
20191030T09Z,263,0,
20191030T08Z,262,0,
20191030T07Z,281,0,
20191030T06Z,303,0,
20191030T05Z,324,0,
20191030T04Z,349,0,
20191030T03Z,321,0,
20191030T02Z,349,0,
20191030T01Z,376,0,
20191030T00Z,377,0,
20191029T23Z,363,1,
20191029T22Z,362,2,
20191029T21Z,346,3,
20191029T20Z,360,3,
20191029T19Z,359,4,
20191029T18Z,356,5,
20191029T17Z,346,4,
20191029T16Z,344,1,
20191029T15Z,340,1,
20191029T14Z,328,1,
20191029T13Z,335,0,
20191029T12Z,330,0,
20191029T11Z,333,0,
20191029T10Z,298,0,
20191029T09Z,284,0,
20191029T08Z,284,0,
20191029T07Z,291,0,
20191029T06Z,303,0,
20191029T05Z,323,0,
20191029T04Z,349,0,
20191029T03Z,332,0,
20191029T02Z,359,0,
20191029T01Z,388,0,
20191029T00Z,407,0,
20191028T23Z,396,1,
20191028T22Z,396,4,
20191028T21Z,390,9,
20191028T20Z,366,12,
20191028T19Z,358,10,
20191028T18Z,346,14,
20191028T17Z,323,16,
20191028T16Z,302,17,
20191028T15Z,283,15,
20191028T14Z,272,10,
20191028T13Z,266,3,
20191028T12Z,271,0,
20191028T11Z,324,0,
20191028T10Z,294,0,
20191028T09Z,282,0,
20191028T08Z,280,0,
20191028T07Z,287,0,
20191028T06Z,299,0,
20191028T05Z,315,0,
20191028T04Z,300,0,
20191028T03Z,292,0,
20191028T02Z,321,0,
20191028T01Z,344,0,
20191028T00Z,358,0,
20191027T23Z,355,1,
20191027T22Z,361,7,
20191027T21Z,355,13,
20191027T20Z,343,17,
20191027T19Z,328,19,
20191027T18Z,309,18,
20191027T17Z,297,12,
20191027T16Z,291,7,
20191027T15Z,279,6,
20191027T14Z,269,3,
20191027T13Z,259,1,
20191027T12Z,255,0,
20191027T11Z,288,0,
20191027T10Z,288,0,
20191027T09Z,291,0,
20191027T08Z,300,0,
20191027T07Z,310,0,
20191027T06Z,322,0,
20191027T05Z,339,0,
20191027T04Z,355,0,
20191027T03Z,335,0,
20191027T02Z,351,0,
20191027T01Z,367,0,
20191027T00Z,372,0,
20191026T23Z,367,0,
20191026T22Z,366,2,
20191026T21Z,360,5,
20191026T20Z,364,6,
20191026T19Z,355,11,
20191026T18Z,338,13,
20191026T17Z,324,9,
20191026T16Z,316,6,
20191026T15Z,300,5,
20191026T14Z,283,2,
20191026T13Z,292,0,
20191026T12Z,281,0,
20191026T11Z,281,0,
20191026T10Z,272,0,
20191026T09Z,271,0,
20191026T08Z,275,0,
20191026T07Z,285,0,
20191026T06Z,302,0,
20191026T05Z,321,0,
20191026T04Z,338,0,
20191026T03Z,336,0,
20191026T02Z,359,0,
20191026T01Z,397,0,
20191026T00Z,408,0,
20191025T23Z,393,0,
20191025T22Z,398,3,
20191025T21Z,398,7,
20191025T20Z,408,11,
20191025T19Z,395,8,
20191025T18Z,380,12,
20191025T17Z,381,13,
20191025T16Z,364,12,
20191025T15Z,343,11,
20191025T14Z,329,5,
20191025T13Z,311,2,
20191025T12Z,286,0,
20191025T11Z,312,0,
20191025T10Z,281,0,
20191025T09Z,270,0,
20191025T08Z,270,0,
20191025T07Z,280,0,
20191025T06Z,300,0,
20191025T05Z,328,0,
20191025T04Z,349,0,
20191025T03Z,303,0,
20191025T02Z,320,0,
20191025T01Z,335,0,
20191025T00Z,346,0,
20191024T23Z,330,0,
20191024T22Z,324,4,
20191024T21Z,337,9,
20191024T20Z,338,11,
20191024T19Z,325,13,
20191024T18Z,310,9,
20191024T17Z,316,6,
20191024T16Z,327,4,
20191024T15Z,320,3,
20191024T14Z,291,2,
20191024T13Z,293,1,
20191024T12Z,288,0,
20191024T11Z,287,0,
20191024T10Z,252,0,
20191024T09Z,245,0,
20191024T08Z,246,0,
20191024T07Z,248,0,
20191024T06Z,275,0,
20191024T05Z,295,0,
20191024T04Z,336,0,
20191024T03Z,267,0,
20191024T02Z,288,0,
20191024T01Z,303,0,
20191024T00Z,306,0,
20191023T23Z,298,2,
20191023T22Z,290,8,
20191023T21Z,285,15,
20191023T20Z,282,19,
20191023T19Z,281,19,
20191023T18Z,276,19,
20191023T17Z,267,19,
20191023T16Z,257,18,
20191023T15Z,252,17,
20191023T14Z,253,11,
20191023T13Z,292,4,
20191023T12Z,320,0,
20191023T11Z,315,0,
20191023T10Z,273,0,
20191023T09Z,262,0,
20191023T08Z,261,0,
20191023T07Z,267,0,
20191023T06Z,281,0,
20191023T05Z,295,0,
20191023T04Z,280,0,
20191023T03Z,270,0,
20191023T02Z,305,0,
20191023T01Z,325,0,
20191023T00Z,341,0,
20191022T23Z,337,1,
20191022T22Z,351,6,
20191022T21Z,350,11,
20191022T20Z,357,15,
20191022T19Z,351,19,
20191022T18Z,342,19,
20191022T17Z,350,10,
20191022T16Z,338,10,
20191022T15Z,326,2,
20191022T14Z,318,2,
20191022T13Z,320,0,
20191022T12Z,313,0,
20191022T11Z,322,0,
20191022T10Z,287,0,
20191022T09Z,275,0,
20191022T08Z,274,0,
20191022T07Z,278,0,
20191022T06Z,286,0,
20191022T05Z,304,0,
20191022T04Z,328,0,
20191022T03Z,314,0,
20191022T02Z,343,0,
20191022T01Z,375,0,
20191022T00Z,399,0,
20191021T23Z,395,0,
20191021T22Z,374,2,
20191021T21Z,362,11,
20191021T20Z,346,17,
20191021T19Z,334,14,
20191021T18Z,328,13,
20191021T17Z,311,16,
20191021T16Z,296,14,
20191021T15Z,278,16,
20191021T14Z,267,11,
20191021T13Z,281,4,
20191021T12Z,291,0,
20191021T11Z,278,0,
20191021T10Z,247,0,
20191021T09Z,239,0,
20191021T08Z,239,0,
20191021T07Z,240,0,
20191021T06Z,251,0,
20191021T05Z,268,0,
20191021T04Z,299,0,
20191021T03Z,279,0,
20191021T02Z,343,0,
20191021T01Z,352,0,
20191021T00Z,354,0,
20191020T23Z,318,2,
20191020T22Z,317,8,
20191020T21Z,303,14,
20191020T20Z,285,18,
20191020T19Z,269,19,
20191020T18Z,288,13,
20191020T17Z,289,7,
20191020T16Z,280,7,
20191020T15Z,279,4,
20191020T14Z,277,2,
20191020T13Z,262,1,
20191020T12Z,262,0,
20191020T11Z,255,0,
20191020T10Z,250,0,
20191020T09Z,249,0,
20191020T08Z,253,0,
20191020T07Z,260,0,
20191020T06Z,273,0,
20191020T05Z,291,0,
20191020T04Z,310,0,
20191020T03Z,284,0,
20191020T02Z,309,0,
20191020T01Z,327,0,
20191020T00Z,338,0,
20191019T23Z,337,0,
20191019T22Z,340,2,
20191019T21Z,330,8,
20191019T20Z,311,9,
20191019T19Z,306,5,
20191019T18Z,299,6,
20191019T17Z,299,3,
20191019T16Z,291,3,
20191019T15Z,303,2,
20191019T14Z,306,1,
20191019T13Z,285,0,
20191019T12Z,272,0,
20191019T11Z,278,0,
20191019T10Z,269,0,
20191019T09Z,263,0,
20191019T08Z,262,0,
20191019T07Z,265,0,
20191019T06Z,272,0,
20191019T05Z,265,0,
20191019T04Z,302,0,
20191019T03Z,288,0,
20191019T02Z,274,0,
20191019T01Z,287,0,
20191019T00Z,297,0,
20191018T23Z,284,0,
20191018T22Z,279,1,
20191018T21Z,288,2,
20191018T20Z,284,2,
