,coal,natural gas,petroleum,other,solar
20191113T05Z,693,1204,0,600,0
20191113T04Z,693,1408,0,655,0
20191113T03Z,694,1635,0,651,0
20191113T02Z,718,1814,0,645,0
20191113T01Z,821,1837,0,646,0
20191113T00Z,870,1897,0,650,0
20191112T23Z,871,1846,0,650,7
20191112T22Z,800,1884,0,648,115
20191112T21Z,755,1873,0,644,220
20191112T20Z,755,1776,0,646,292
20191112T19Z,755,1726,0,644,270
20191112T18Z,755,1576,0,645,277
20191112T17Z,742,1401,0,646,307
20191112T16Z,692,1267,0,643,315
20191112T15Z,692,1143,0,639,306
20191112T14Z,693,1093,0,598,232
20191112T13Z,693,1136,0,593,79
20191112T12Z,693,1125,0,587,0
20191112T11Z,693,937,0,493,0
20191112T10Z,694,824,0,446,0
20191112T09Z,693,790,0,449,0
20191112T08Z,693,833,0,450,0
20191112T07Z,694,901,0,483,0
20191112T06Z,693,987,0,568,0
20191112T05Z,694,1146,0,584,0
20191112T04Z,693,1343,0,637,0
20191112T03Z,698,1566,0,637,0
20191112T02Z,844,1630,0,633,0
20191112T01Z,871,1634,0,636,0
20191112T00Z,869,1651,0,629,0
20191111T23Z,869,1612,0,634,10
20191111T22Z,863,1612,0,639,123
20191111T21Z,836,1568,0,635,273
20191111T20Z,783,1561,0,631,291
20191111T19Z,782,1507,0,630,293
20191111T18Z,779,1395,0,632,308
20191111T17Z,693,1355,0,625,314
20191111T16Z,737,1158,0,625,322
20191111T15Z,710,1017,0,628,320
20191111T14Z,692,926,0,581,268
20191111T13Z,675,947,0,577,92
20191111T12Z,633,970,0,579,1
20191111T11Z,633,834,0,486,0
20191111T10Z,633,758,0,450,0
20191111T09Z,633,723,0,442,0
20191111T08Z,633,741,0,441,0
20191111T07Z,633,808,0,465,0
20191111T06Z,633,894,0,542,0
20191111T05Z,633,1015,0,571,0
20191111T04Z,633,1171,0,623,0
20191111T03Z,633,1333,0,634,0
20191111T02Z,710,1410,0,632,0
20191111T01Z,855,1361,0,633,0
20191111T00Z,862,1411,0,630,0
20191110T23Z,863,1384,0,633,10
