,coal,natural gas,solar,wind
20191218T00-07,352,554.0,0.0,31.0
20191217T23-07,308,653.0,0.0,33.0
20191217T22-07,357,690.0,0.0,32.0
20191217T21-07,358,759.0,0.0,29.0
20191217T20-07,357,792.0,0.0,31.0
20191217T19-07,357,787.0,0.0,37.0
20191217T18-07,357,787.0,0.0,36.0
20191217T17-07,357,639.0,7.0,35.0
20191217T16-07,327,463.0,98.0,39.0
20191217T15-07,279,382.0,147.0,42.0
20191217T14-07,354,286.0,149.0,37.0
20191217T13-07,352,287.0,141.0,40.0
20191217T12-07,287,366.0,143.0,50.0
20191217T11-07,288,383.0,147.0,70.0
20191217T10-07,338,397.0,149.0,70.0
20191217T09-07,358,511.0,129.0,57.0
20191217T08-07,357,731.0,30.0,53.0
20191217T07-07,357,803.0,0.0,52.0
20191217T06-07,358,699.0,0.0,45.0
20191217T05-07,357,599.0,0.0,55.0
20191217T04-07,358,524.0,0.0,64.0
20191217T03-07,358,490.0,0.0,67.0
20191217T02-07,358,472.0,0.0,74.0
20191217T01-07,358,477.0,0.0,72.0
20191217T00-07,357,512.0,0.0,56.0
20191216T23-07,358,566.0,0.0,44.0
20191216T22-07,357,643.0,0.0,45.0
20191216T21-07,358,689.0,0.0,50.0
20191216T20-07,357,720.0,0.0,49.0
20191216T19-07,357,738.0,0.0,37.0
20191216T18-07,357,731.0,0.0,30.0
20191216T17-07,357,600.0,8.0,18.0
20191216T16-07,358,413.0,99.0,14.0
20191216T15-07,318,351.0,146.0,10.0
20191216T14-07,317,335.0,142.0,7.0
20191216T13-07,352,309.0,137.0,2.0
20191216T12-07,352,315.0,140.0,6.0
20191216T11-07,352,377.0,149.0,4.0
20191216T10-07,353,391.0,146.0,7.0
20191216T09-07,351,517.0,130.0,6.0
20191216T08-07,352,728.0,27.0,2.0
20191216T07-07,354,758.0,0.0,14.0
20191216T06-07,352,656.0,0.0,5.0
20191216T05-07,353,548.0,0.0,9.0
20191216T04-07,337,506.0,0.0,3.0
20191216T03-07,338,423.0,0.0,54.0
20191216T02-07,338,410.0,0.0,61.0
20191216T01-07,337,409.0,0.0,66.0
20191216T00-07,337,433.0,0.0,62.0
20191215T23-07,338,466.0,0.0,75.0
20191215T22-07,338,538.0,0.0,77.0
