,coal,natural gas,nuclear,other,solar,hydro,wind
20191218T00-06,10811,25346,5116,22,0,40.0,4709
20191217T23-06,11244,27132,5116,25,0,40.0,4119
20191217T22-06,11830,28501,5116,30,0,40.0,4001
20191217T21-06,11783,29430,5116,29,0,40.0,3586
20191217T20-06,11797,29194,5116,30,0,40.0,3260
20191217T19-06,11388,28541,5117,33,0,40.0,3237
20191217T18-06,9019,26761,5116,35,172,40.0,4222
20191217T17-06,6655,23270,5116,21,1094,40.0,6084
20191217T16-06,6230,21773,5115,19,1543,39.0,6764
20191217T15-06,6282,22455,5117,19,1508,40.0,6521
20191217T14-06,6700,23688,5117,19,1463,39.0,6025
20191217T13-06,7490,24552,5117,15,1426,47.0,5858
20191217T12-06,8496,25578,5117,19,1457,89.0,5761
20191217T11-06,9556,26547,5115,26,1442,107.0,5700
20191217T10-06,10251,26726,5115,26,1283,109.0,6493
20191217T09-06,10395,26979,5114,17,431,47.0,8468
20191217T08-06,10388,27385,5115,17,6,46.0,9449
20191217T07-06,8744,26299,5114,20,0,46.0,10454
20191217T06-06,6946,22505,5115,19,0,45.0,11657
20191217T05-06,6696,18946,5115,18,0,8.0,12276
20191217T04-06,6863,16948,5115,18,0,7.0,12577
20191217T03-06,6970,15824,5114,18,0,7.0,13038
20191217T02-06,6681,15181,5114,19,0,7.0,13948
20191217T01-06,6727,15157,5114,18,0,6.0,14686
20191217T00-06,7252,15703,5114,17,0,0.0,15018
20191216T23-06,8107,16490,5113,18,0,2.0,15489
20191216T22-06,9715,16972,5113,16,0,40.0,15609
20191216T21-06,10015,17520,5113,15,0,40.0,15901
20191216T20-06,10765,17526,5112,14,0,40.0,15304
20191216T19-06,11124,17924,5112,17,0,40.0,14304
20191216T18-06,9036,17566,5112,43,119,40.0,14545
20191216T17-06,7176,16227,5111,24,920,39.0,14660
20191216T16-06,6610,15811,5111,20,1394,39.0,14214
20191216T15-06,7466,16107,5111,20,1446,40.0,13073
20191216T14-06,8921,16431,5109,19,1446,39.0,11729
20191216T13-06,9962,17237,5109,20,1428,82.0,10742
20191216T12-06,10319,18287,5109,20,1404,104.0,9913
20191216T11-06,10706,18503,5110,22,1322,94.0,9230
20191216T10-06,11110,18477,5111,19,1132,69.0,8470
20191216T09-06,11261,18860,5110,19,348,6.0,7944
20191216T08-06,10563,18021,5110,21,5,6.0,9427
20191216T07-06,8172,17192,5108,21,0,6.0,10637
20191216T06-06,6750,14041,5107,20,0,6.0,11218
20191216T05-06,6059,12299,5107,20,0,6.0,11018
20191216T04-06,5933,11353,5107,19,0,6.0,10955
20191216T03-06,5919,11070,5107,19,0,6.0,11061
20191216T02-06,6002,10980,5107,19,0,6.0,11437
20191216T01-06,6358,11393,5107,18,0,6.0,11600
20191216T00-06,7353,11784,5107,20,0,0.0,11871
20191215T23-06,8138,12675,5107,19,0,1.0,12486
20191215T22-06,7928,13577,5107,19,0,40.0,13852
20191215T21-06,8361,14252,5107,17,0,40.0,13990
20191215T20-06,8209,14690,5108,27,0,40.0,14142
20191215T19-06,8056,15009,5108,28,0,40.0,14173
20191215T18-06,7191,14838,5108,30,126,40.0,13489
20191215T17-06,6447,14000,5109,21,928,40.0,12895
20191215T16-06,6254,14114,5109,20,1422,40.0,12339
20191215T15-06,6259,14389,5109,19,1511,40.0,11656
20191215T14-06,6180,14136,5109,20,1484,40.0,11682
20191215T13-06,6062,13623,5110,19,1478,48.0,11934
20191215T12-06,6579,14304,5109,21,1507,52.0,10297
20191215T11-06,7127,14643,5112,21,1503,50.0,8961
20191215T10-06,6855,13982,5113,18,1408,42.0,9621
20191215T09-06,6344,12764,5113,20,512,6.0,11422
20191215T08-06,5952,11684,5113,20,8,6.0,12159
20191215T07-06,5686,10785,5113,20,0,6.0,12326
20191215T06-06,5495,9223,5113,21,0,7.0,13075
20191215T05-06,5489,8909,5114,19,0,7.0,12800
20191215T04-06,5437,8662,5113,16,0,7.0,13047
20191215T03-06,5358,8390,5113,14,0,5.0,13629
20191215T02-06,5288,8685,5112,13,0,5.0,13913
20191215T01-06,5463,9234,5112,12,0,5.0,14008
20191215T00-06,6022,9891,5112,12,0,0.0,14139
20191214T23-06,6506,10749,5112,14,0,0.0,14164
20191214T22-06,6289,12788,5112,12,0,1.0,13473
20191214T21-06,6603,13800,5112,16,0,39.0,12642
20191214T20-06,7076,15184,5112,19,0,39.0,11237
20191214T19-06,8632,16102,5112,24,0,39.0,9247
20191214T18-06,9255,16471,5112,28,119,39.0,6973
20191214T17-06,7963,16296,5112,21,965,39.0,6481
20191214T16-06,7039,16003,5112,19,1486,2.0,6961
20191214T15-06,6561,15894,5113,22,1565,0.0,7405
20191214T14-06,6749,16313,5113,17,1524,0.0,7002
