,natural gas,hydro
20200106T00-08,186,12.0
20200105T23-08,191,12.0
20200105T22-08,200,12.0
20200105T21-08,216,12.0
20200105T20-08,218,12.0
20200105T19-08,218,12.0
20200105T18-08,219,12.0
20200105T17-08,219,12.0
20200105T16-08,193,12.0
20200105T15-08,192,12.0
20200105T14-08,191,13.0
20200105T13-08,189,13.0
20200105T12-08,189,13.0
20200105T11-08,189,13.0
20200105T10-08,192,13.0
20200105T09-08,201,13.0
20200105T08-08,201,13.0
20200105T07-08,191,13.0
20200105T06-08,184,13.0
20200105T05-08,185,13.0
20200105T04-08,186,14.0
20200105T03-08,186,14.0
20200105T02-08,188,14.0
20200105T01-08,192,14.0
20200105T00-08,207,14.0
20200104T23-08,214,14.0
20200104T22-08,205,14.0
20200104T21-08,204,14.0
20200104T20-08,194,14.0
20200104T19-08,196,14.0
20200104T18-08,192,14.0
20200104T17-08,197,14.0
20200104T16-08,200,14.0
20200104T15-08,198,14.0
20200104T14-08,194,14.0
20200104T13-08,193,14.0
20200104T12-08,191,14.0
20200104T11-08,194,14.0
20200104T10-08,197,14.0
20200104T09-08,205,14.0
20200104T08-08,208,14.0
20200104T07-08,197,14.0
20200104T06-08,188,14.0
20200104T05-08,188,14.0
20200104T04-08,188,14.0
20200104T03-08,188,14.0
20200104T02-08,188,14.0
20200104T01-08,191,14.0
20200104T00-08,204,14.0
20200103T23-08,215,14.0
20200103T22-08,267,14.0
20200103T21-08,274,14.0
20200103T20-08,255,14.0
20200103T19-08,244,14.0
20200103T18-08,236,14.0
20200103T17-08,232,14.0
20200103T16-08,204,14.0
20200103T15-08,204,14.0
20200103T14-08,219,14.0
20200103T13-08,220,14.0
20200103T12-08,217,14.0
20200103T11-08,211,14.0
20200103T10-08,211,14.0
20200103T09-08,210,14.0
20200103T08-08,198,14.0
20200103T07-08,197,14.0
20200103T06-08,192,14.0
20200103T05-08,190,14.0
20200103T04-08,190,14.0
20200103T03-08,191,14.0
20200103T02-08,195,14.0
20200103T01-08,200,14.0
20200103T00-08,205,14.0
20200102T23-08,235,14.0
20200102T22-08,231,14.0
20200102T21-08,231,14.0
20200102T20-08,231,14.0
20200102T19-08,236,13.0
20200102T18-08,233,13.0
20200102T17-08,215,13.0
20200102T16-08,192,12.0
20200102T15-08,184,12.0
20200102T14-08,195,12.0
20200102T13-08,196,13.0
20200102T12-08,194,14.0
20200102T11-08,194,14.0
20200102T10-08,193,14.0
