,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191113T06Z,4253,9163,7378,0.0,26,-1.0,2160,0.0
20191113T05Z,4274,9296,7374,0.0,22,0.0,2556,0.0
20191113T04Z,4246,9364,7376,0.0,25,0.0,2958,0.0
20191113T03Z,4221,9288,7377,0.0,25,0.0,3264,0.0
20191113T02Z,4250,9399,7373,0.0,26,0.0,3544,0.0
20191113T01Z,4225,9487,7372,0.0,19,29.0,3569,0.0
20191113T00Z,4195,9817,7373,0.0,17,-1.0,3567,0.0
20191112T23Z,4206,9874,7369,0.0,20,19.0,2766,0.0
20191112T22Z,4057,9543,7363,0.0,22,123.0,1717,0.0
20191112T21Z,4064,9093,7368,0.0,25,192.0,1699,0.0
20191112T20Z,3999,8976,7369,0.0,23,210.0,1900,0.0
20191112T19Z,4013,9302,7370,0.0,28,194.0,2099,0.0
20191112T18Z,4020,9572,7360,0.0,22,186.0,2249,0.0
20191112T17Z,3989,9461,7357,0.0,25,191.0,2710,0.0
20191112T16Z,4023,9538,7361,0.0,23,188.0,2695,0.0
20191112T15Z,4023,9442,7357,0.0,16,127.0,2707,0.0
20191112T14Z,4046,9158,7365,0.0,14,37.0,2708,0.0
20191112T13Z,4121,8071,7353,0.0,14,2.0,3003,0.0
20191112T12Z,4028,6709,7354,0.0,17,0.0,2979,0.0
20191112T11Z,3779,6048,7355,0.0,17,0.0,1656,0.0
20191112T10Z,3476,5549,7351,0.0,22,-1.0,1257,0.0
20191112T09Z,3302,5480,7351,0.0,20,-2.0,602,0.0
20191112T08Z,3269,5194,7342,0.0,25,0.0,597,0.0
20191112T07Z,3376,5076,7343,0.0,20,-1.0,627,0.0
20191112T06Z,3550,4865,7325,0.0,25,0.0,853,0.0
20191112T05Z,3585,4749,7305,0.0,25,-1.0,1361,0.0
20191112T04Z,3749,4601,7299,0.0,23,0.0,1980,0.0
20191112T03Z,3819,4413,7300,0.0,25,0.0,2544,0.0
20191112T02Z,3861,4512,7302,0.0,22,0.0,3115,0.0
20191112T01Z,3811,4379,7302,0.0,20,0.0,3255,0.0
20191112T00Z,3657,4343,7295,0.0,22,0.0,3236,0.0
20191111T23Z,3239,4428,7287,0.0,25,0.0,2630,0.0
20191111T22Z,3030,4016,7290,0.0,26,6.0,2225,0.0
20191111T21Z,3004,3699,7293,0.0,22,10.0,2083,0.0
20191111T20Z,3032,3622,7302,0.0,22,22.0,1997,0.0
20191111T19Z,3162,3605,7307,0.0,26,41.0,1945,0.0
20191111T18Z,3275,3538,7306,0.0,25,61.0,2058,0.0
20191111T17Z,3261,3972,7311,0.0,19,92.0,2114,0.0
20191111T16Z,3311,3785,7311,0.0,20,82.0,2377,0.0
20191111T15Z,3363,3593,7321,0.0,22,77.0,3210,0.0
20191111T14Z,3239,4049,7322,0.0,20,29.0,3375,0.0
20191111T13Z,2847,4411,7325,0.0,20,3.0,3299,0.0
20191111T12Z,2436,4514,7332,0.0,19,0.0,2376,0.0
