,coal,natural gas,nuclear,petroleum,other,solar,hydro,wind
20191218T00-05,105948,178352,98449,3531,7265,150,31048,37209
20191217T23-05,111613,187236,98558,4664,6784,221,34093,38823
20191217T22-05,115299,196440,98543,4885,7256,240,36320,39034
20191217T21-05,118450,202538,98846,5047,7302,250,37533,38118
20191217T20-05,119096,204560,99501,5076,7623,864,38226,36919
20191217T19-05,117942,198849,99484,5106,8320,1871,37870,35934
20191217T18-05,111773,189028,99544,3948,9013,6736,35685,36807
20191217T17-05,107945,182219,99544,3740,9089,10380,33649,36782
20191217T16-05,105957,178262,99491,3747,8930,12258,31415,35793
20191217T15-05,106233,178920,99483,3871,8719,12854,30643,34219
20191217T14-05,108439,180194,99484,3915,8723,13553,31499,32530
20191217T13-05,112568,183360,99469,4657,7841,13159,32571,30857
20191217T12-05,115121,186619,99451,4602,7750,11669,34220,30490
20191217T11-05,116460,190595,99472,4588,7731,7039,33319,31620
20191217T10-05,116438,190691,99475,4330,7651,1874,33813,34206
20191217T09-05,116999,186195,99524,3961,7418,637,30365,35077
20191217T08-05,112033,177879,99488,3093,7785,329,28383,36656
20191217T07-05,103481,166007,99463,2879,7610,181,24354,38639
20191217T06-05,94979,151164,99572,2831,6711,170,21233,39631
20191217T05-05,90227,141471,99552,2786,6464,162,20449,40705
20191217T04-05,88637,137841,99481,2785,6481,157,20865,41530
20191217T03-05,88028,138894,99547,2785,6494,160,22151,42101
20191217T02-05,90225,141729,99583,2844,6475,154,23718,41934
20191217T01-05,94847,146908,99548,2948,6725,233,27058,41903
20191217T00-05,101158,154261,99380,3050,7473,259,29950,40046
20191216T23-05,107316,164885,99476,4064,7002,265,32794,42822
20191216T22-05,112541,173770,99430,4783,7307,274,35108,43355
20191216T21-05,116246,181368,99359,5101,7568,263,36960,42443
20191216T20-05,119770,184902,99312,5135,7442,331,36830,40920
20191216T19-05,117394,181355,99289,5041,7480,2491,35632,40412
20191216T18-05,111799,174614,99238,4806,7531,9784,34734,39860
20191216T17-05,108105,168217,99099,3924,8145,14204,31119,39081
20191216T16-05,107258,165142,98924,3876,7925,15493,27772,37199
20191216T15-05,108814,163186,98825,3879,7861,16823,26783,35252
20191216T14-05,111466,164013,98779,3904,7830,17946,27989,32867
20191216T13-05,113137,165683,98770,4639,7108,18201,29496,31146
20191216T12-05,113990,168405,98841,4648,7166,16077,31809,30008
20191216T11-05,115481,172929,98859,4605,7184,10959,34575,29347
20191216T10-05,116305,174166,98880,4531,7282,4380,36368,28986
20191216T09-05,115254,170474,98871,4534,7544,1855,35691,30419
20191216T08-05,110745,165850,98895,3556,8725,545,33641,31086
20191216T07-05,103368,155027,98923,3329,8697,97,29865,31785
