,coal,natural gas,solar,hydro,wind
20191114T00-07,2318,133,0,560,106
20191113T23-07,2340,136,0,645,92
20191113T22-07,2364,137,0,776,86
20191113T21-07,2485,136,0,839,91
20191113T20-07,2457,134,0,874,115
20191113T19-07,2428,125,0,878,177
20191113T18-07,2379,124,0,886,328
20191113T17-07,2185,107,6,839,423
20191113T16-07,2105,111,42,642,523
20191113T15-07,2157,114,59,590,609
20191113T14-07,2157,107,52,551,660
20191113T13-07,2157,107,51,570,671
20191113T12-07,2181,105,54,655,663
20191113T11-07,2277,108,60,676,627
20191113T10-07,2234,107,61,691,562
20191113T09-07,2228,106,43,759,501
20191113T08-07,2291,109,10,814,632
20191113T07-07,2209,106,0,814,586
20191113T06-07,2160,108,0,695,536
20191113T05-07,2032,108,0,568,446
20191113T04-07,2016,106,0,541,377
20191113T03-07,1959,106,0,536,244
20191113T02-07,2016,106,0,533,230
20191113T01-07,1966,107,0,548,283
20191113T00-07,2053,107,0,557,408
20191112T23-07,2029,108,0,579,488
20191112T22-07,2031,106,0,743,419
20191112T21-07,2071,-221,0,889,413
20191112T20-07,2120,-212,0,887,466
20191112T19-07,2096,-151,0,892,417
20191112T18-07,2008,-263,0,901,339
20191112T17-07,1920,-160,6,865,312
20191112T16-07,1845,-160,42,763,284
20191112T15-07,1807,-160,60,682,295
20191112T14-07,1802,-160,61,630,341
20191112T13-07,1806,-161,56,629,354
20191112T12-07,1825,-165,58,641,380
20191112T11-07,1855,-166,60,700,399
20191112T10-07,1903,-182,58,717,456
20191112T09-07,1900,-283,46,768,524
20191112T08-07,1887,-276,11,809,561
20191112T07-07,1948,-278,0,831,590
20191112T06-07,1912,-219,0,721,590
20191112T05-07,1809,-258,0,618,572
20191112T04-07,1806,-248,0,514,496
20191112T03-07,1808,-222,0,506,431
20191112T02-07,1825,-284,0,511,383
20191112T01-07,1889,-282,0,511,277
20191112T00-07,1882,-285,0,569,231
20191111T23-07,1905,-287,0,638,217
20191111T22-07,2058,-286,0,702,197
20191111T21-07,2106,-285,0,902,168
20191111T20-07,2114,-287,0,969,127
20191111T19-07,2169,-284,0,978,101
20191111T18-07,2173,-283,0,972,86
20191111T17-07,2090,-285,6,894,68
20191111T16-07,2085,-285,37,767,74
20191111T15-07,2083,-285,54,686,76
20191111T14-07,2102,-283,55,648,88
20191111T13-07,2137,-281,53,647,98
20191111T12-07,2174,-279,52,679,101
20191111T11-07,2169,-281,52,672,93
20191111T10-07,2165,-279,49,744,91
20191111T09-07,2134,-279,35,764,84
20191111T08-07,2121,-279,6,769,87
20191111T07-07,2105,-280,0,793,106
20191111T06-07,2017,-285,0,749,106
20191111T05-07,1914,-286,0,627,110
20191111T04-07,1870,-284,0,605,103
20191111T03-07,1838,-284,0,562,100
20191111T02-07,1773,-286,0,511,97
20191111T01-07,1760,-285,0,547,110
20191111T00-07,1757,-276,0,594,218
20191110T23-07,1812,-274,0,625,456
20191110T22-07,1815,-273,0,793,472
20191110T21-07,1771,-272,0,851,369
20191110T20-07,1760,-272,0,901,414
20191110T19-07,1773,-272,0,924,494
20191110T18-07,1790,-267,0,856,549
20191110T17-07,1752,-268,4,745,432
20191110T16-07,1762,-271,19,652,219
20191110T15-07,1765,-268,34,620,158
20191110T14-07,1785,-268,48,616,141
20191110T13-07,1790,-270,46,601,106
20191110T12-07,1785,-275,49,563,85
20191110T11-07,1770,-278,53,578,80
20191110T10-07,1737,-257,48,588,76
