,wind
20191217T23-07,166
20191217T22-07,167
20191217T21-07,142
20191217T20-07,133
20191217T19-07,157
20191217T18-07,166
20191217T17-07,167
20191217T16-07,82
20191217T15-07,50
20191217T14-07,133
20191217T13-07,157
20191217T12-07,170
20191217T11-07,175
20191217T10-07,147
20191217T09-07,163
20191217T08-07,175
20191217T07-07,169
20191217T06-07,169
20191217T05-07,164
20191217T04-07,165
20191217T03-07,166
20191217T02-07,160
20191217T01-07,177
20191216T23-07,169
20191216T22-07,167
20191216T21-07,160
20191216T20-07,168
20191216T19-07,171
20191216T18-07,173
20191216T17-07,177
20191216T16-07,176
20191216T15-07,176
20191216T14-07,175
20191216T13-07,176
20191216T12-07,176
20191216T11-07,175
20191216T10-07,176
20191216T09-07,173
20191216T08-07,174
20191216T07-07,171
20191216T06-07,174
20191216T05-07,172
20191216T04-07,173
20191216T03-07,168
20191216T02-07,165
20191216T01-07,169
20191215T23-07,162
20191215T22-07,149
20191215T21-07,128
20191215T20-07,101
20191215T19-07,45
20191215T18-07,15
20191215T17-07,4
20191215T16-07,0
20191215T15-07,0
20191215T14-07,0
20191215T13-07,0
20191215T12-07,0
20191215T11-07,0
20191215T10-07,2
20191215T09-07,20
20191215T08-07,23
20191215T07-07,79
20191215T06-07,158
20191215T05-07,160
20191215T04-07,134
20191215T03-07,119
20191215T02-07,112
20191215T01-07,92
20191214T23-07,34
20191214T22-07,17
20191214T21-07,2
20191214T20-07,0
20191214T19-07,0
20191214T18-07,0
20191214T17-07,0
20191214T16-07,8
20191214T15-07,40
20191214T14-07,79
20191214T13-07,65
20191214T12-07,65
20191214T11-07,42
20191214T10-07,24
20191214T09-07,42
20191214T08-07,34
20191214T07-07,24
20191214T06-07,25
20191214T05-07,13
20191214T04-07,0
20191214T03-07,1
20191214T02-07,0
20191214T01-07,0
20191213T23-07,0
20191213T22-07,0
20191213T21-07,0
20191213T20-07,0
20191213T19-07,0
20191213T18-07,1
20191213T17-07,0
20191213T16-07,0
20191213T15-07,0
20191213T14-07,0
20191213T13-07,2
20191213T12-07,7
20191213T11-07,3
20191213T10-07,1
20191213T09-07,0
20191213T08-07,0
20191213T07-07,7
20191213T06-07,14
20191213T05-07,35
20191213T04-07,56
20191213T03-07,80
20191213T02-07,67
20191213T01-07,44
20191212T23-07,145
20191212T22-07,175
20191212T21-07,175
20191212T20-07,172
20191212T19-07,176
20191212T18-07,176
20191212T17-07,176
20191212T16-07,176
20191212T15-07,175
20191212T14-07,177
20191212T13-07,172
20191212T12-07,162
20191212T11-07,173
20191212T10-07,132
20191212T09-07,121
20191212T08-07,104
20191212T07-07,130
20191212T06-07,134
20191212T05-07,70
20191212T04-07,97
20191212T03-07,107
20191212T02-07,52
20191212T01-07,38
20191211T23-07,94
20191211T22-07,73
20191211T21-07,52
20191211T20-07,110
20191211T19-07,141
20191211T18-07,100
20191211T17-07,100
20191211T16-07,72
20191211T15-07,83
20191211T14-07,138
20191211T13-07,128
20191211T12-07,138
20191211T11-07,122
20191211T10-07,103
20191211T09-07,113
20191211T08-07,128
20191211T07-07,117
20191211T06-07,127
20191211T05-07,135
20191211T04-07,131
20191211T03-07,103
20191211T02-07,81
20191211T01-07,93
20191210T23-07,95
20191210T22-07,85
20191210T21-07,31
20191210T20-07,1
20191210T19-07,0
20191210T18-07,0
20191210T17-07,0
20191210T16-07,5
20191210T15-07,8
20191210T14-07,9
20191210T13-07,41
20191210T12-07,85
20191210T11-07,78
20191210T10-07,77
20191210T09-07,96
20191210T08-07,141
20191210T07-07,144
20191210T06-07,155
20191210T05-07,157
20191210T04-07,147
20191210T03-07,118
20191210T02-07,83
20191210T01-07,50
20191209T23-07,5
20191209T22-07,0
20191209T21-07,0
20191209T20-07,0
20191209T19-07,2
20191209T18-07,9
20191209T17-07,34
20191209T16-07,40
20191209T15-07,44
20191209T14-07,33
20191209T13-07,71
20191209T12-07,60
20191209T11-07,91
20191209T10-07,111
20191209T09-07,161
20191209T08-07,172
20191209T07-07,175
20191209T06-07,176
20191209T05-07,169
20191209T04-07,110
20191209T03-07,39
20191209T02-07,21
20191209T01-07,9
20191208T23-07,7
20191208T22-07,15
20191208T21-07,32
20191208T20-07,38
20191208T19-07,37
20191208T18-07,20
20191208T17-07,22
20191208T16-07,3
20191208T15-07,0
20191208T14-07,4
20191208T13-07,39
20191208T12-07,71
20191208T11-07,113
20191208T10-07,142
20191208T09-07,126
20191208T08-07,154
20191208T07-07,150
20191208T06-07,127
20191208T05-07,64
20191208T04-07,33
20191208T03-07,11
20191208T02-07,5
20191208T01-07,12
20191207T23-07,79
20191207T22-07,118
20191207T21-07,120
20191207T20-07,125
20191207T19-07,110
20191207T18-07,98
20191207T17-07,78
20191207T16-07,30
20191207T15-07,135
20191207T14-07,167
20191207T13-07,175
20191207T12-07,177
20191207T11-07,176
20191207T10-07,162
20191207T09-07,157
20191207T08-07,174
20191207T07-07,173
20191207T06-07,155
20191207T05-07,150
20191207T04-07,171
20191207T03-07,166
20191207T02-07,168
20191207T01-07,157
20191206T23-07,162
20191206T22-07,175
20191206T21-07,168
20191206T20-07,104
20191206T19-07,78
20191206T18-07,84
20191206T17-07,106
20191206T16-07,150
20191206T15-07,121
20191206T14-07,120
20191206T13-07,139
20191206T12-07,124
20191206T11-07,119
20191206T10-07,119
20191206T09-07,151
20191206T08-07,158
20191206T07-07,162
20191206T06-07,158
20191206T05-07,143
20191206T04-07,80
20191206T03-07,74
20191206T02-07,58
20191206T01-07,52
20191205T23-07,32
20191205T22-07,27
20191205T21-07,34
20191205T20-07,52
20191205T19-07,69
20191205T18-07,63
20191205T17-07,71
20191205T16-07,56
20191205T15-07,58
20191205T14-07,59
20191205T13-07,51
20191205T12-07,29
20191205T11-07,17
20191205T10-07,5
20191205T09-07,0
20191205T08-07,0
20191205T07-07,0
20191205T06-07,0
20191205T05-07,0
20191205T04-07,0
20191205T03-07,1
20191205T02-07,47
20191205T01-07,81
20191204T23-07,140
20191204T22-07,142
20191204T21-07,130
20191204T20-07,140
20191204T19-07,117
20191204T18-07,130
20191204T17-07,174
20191204T16-07,175
20191204T15-07,174
20191204T14-07,175
20191204T13-07,173
20191204T12-07,174
20191204T11-07,172
20191204T10-07,169
20191204T09-07,166
20191204T08-07,176
20191204T07-07,173
20191204T06-07,174
20191204T05-07,169
20191204T04-07,170
20191204T03-07,169
20191204T02-07,154
20191204T01-07,162
20191203T23-07,173
20191203T22-07,174
20191203T21-07,172
20191203T20-07,169
20191203T19-07,173
20191203T18-07,174
20191203T17-07,170
20191203T16-07,172
20191203T15-07,173
20191203T14-07,173
20191203T13-07,174
20191203T12-07,174
20191203T11-07,172
20191203T10-07,140
20191203T09-07,70
20191203T08-07,98
20191203T07-07,114
20191203T06-07,133
20191203T05-07,165
20191203T04-07,164
20191203T03-07,172
20191203T02-07,173
20191203T01-07,174
20191202T23-07,170
20191202T22-07,175
20191202T21-07,176
20191202T20-07,169
20191202T19-07,168
20191202T18-07,173
20191202T17-07,177
20191202T16-07,177
20191202T15-07,176
20191202T14-07,178
20191202T13-07,177
20191202T12-07,177
20191202T11-07,175
20191202T10-07,148
20191202T09-07,168
20191202T08-07,160
20191202T07-07,151
20191202T06-07,131
20191202T05-07,132
20191202T04-07,171
20191202T03-07,176
20191202T02-07,175
20191202T01-07,166
20191201T23-07,166
20191201T22-07,175
20191201T21-07,168
20191201T20-07,168
20191201T19-07,158
20191201T18-07,166
20191201T17-07,174
20191201T16-07,175
20191201T15-07,173
20191201T14-07,177
20191201T13-07,176
20191201T12-07,170
20191201T11-07,169
20191201T10-07,167
20191201T09-07,158
20191201T08-07,172
20191201T07-07,171
20191201T06-07,160
20191201T05-07,139
20191201T04-07,129
20191201T03-07,122
20191201T02-07,143
20191201T01-07,101
20191130T23-07,28
20191130T22-07,35
20191130T21-07,22
20191130T20-07,31
20191130T19-07,56
20191130T18-07,86
20191130T17-07,111
20191130T16-07,102
20191130T15-07,73
20191130T14-07,55
20191130T13-07,32
20191130T12-07,7
20191130T11-07,0
20191130T10-07,0
20191130T09-07,0
20191130T08-07,0
20191130T07-07,0
20191130T06-07,0
20191130T05-07,4
20191130T04-07,12
20191130T03-07,16
20191130T02-07,19
20191130T01-07,21
20191129T23-07,10
20191129T22-07,7
20191129T21-07,12
20191129T20-07,10
20191129T19-07,11
20191129T18-07,6
20191129T17-07,1
20191129T16-07,14
20191129T15-07,12
20191129T14-07,2
20191129T13-07,0
20191129T12-07,0
20191129T11-07,0
20191129T10-07,0
20191129T09-07,0
20191129T08-07,0
20191129T07-07,0
20191129T06-07,0
20191129T05-07,0
20191129T04-07,0
20191129T03-07,0
20191129T02-07,0
20191129T01-07,0
20191128T23-07,0
20191128T22-07,9
20191128T21-07,23
20191128T20-07,45
20191128T19-07,73
20191128T18-07,85
20191128T17-07,104
20191128T16-07,123
20191128T15-07,123
20191128T14-07,127
20191128T13-07,130
20191128T12-07,131
20191128T11-07,119
20191128T10-07,135
20191128T09-07,151
20191128T08-07,144
20191128T07-07,155
20191128T06-07,151
20191128T05-07,148
20191128T04-07,143
20191128T03-07,131
20191128T02-07,127
20191128T01-07,129
20191127T23-07,135
20191127T22-07,132
20191127T21-07,126
20191127T20-07,134
20191127T19-07,151
20191127T18-07,151
20191127T17-07,154
20191127T16-07,152
20191127T15-07,147
20191127T14-07,146
20191127T13-07,138
20191127T12-07,141
20191127T11-07,149
20191127T10-07,140
20191127T09-07,124
20191127T08-07,129
20191127T07-07,126
20191127T06-07,108
20191127T05-07,78
20191127T04-07,49
20191127T03-07,21
20191127T02-07,14
20191127T01-07,7
20191126T23-07,0
20191126T22-07,0
20191126T21-07,0
20191126T20-07,5
20191126T19-07,22
20191126T18-07,28
20191126T17-07,34
20191126T16-07,13
20191126T15-07,1
20191126T14-07,0
20191126T13-07,0
20191126T12-07,0
20191126T11-07,0
20191126T10-07,1
20191126T09-07,1
20191126T08-07,4
20191126T07-07,13
20191126T06-07,16
20191126T05-07,11
20191126T04-07,9
20191126T03-07,4
20191126T02-07,2
20191126T01-07,0
20191125T23-07,0
20191125T22-07,1
20191125T21-07,0
20191125T20-07,5
20191125T19-07,22
20191125T18-07,67
20191125T17-07,54
20191125T16-07,82
20191125T15-07,27
20191125T14-07,26
20191125T13-07,4
20191125T12-07,0
20191125T11-07,10
20191125T10-07,19
20191125T09-07,20
20191125T08-07,47
20191125T07-07,80
20191125T06-07,76
20191125T05-07,128
20191125T04-07,96
20191125T03-07,41
20191125T02-07,8
20191125T01-07,0
20191124T23-07,26
20191124T22-07,181
20191124T21-07,181
20191124T20-07,181
20191124T19-07,181
20191124T18-07,181
20191124T17-07,181
20191124T16-07,181
20191124T15-07,181
20191124T14-07,180
20191124T13-07,181
20191124T12-07,180
20191124T11-07,179
20191124T10-07,178
20191124T09-07,177
20191124T08-07,174
20191124T07-07,138
20191124T06-07,94
20191124T05-07,6
20191124T04-07,0
20191124T03-07,108
20191124T02-07,156
20191124T01-07,118
20191123T23-07,173
20191123T22-07,170
20191123T21-07,178
20191123T20-07,173
20191123T19-07,177
20191123T18-07,180
20191123T17-07,163
20191123T16-07,170
20191123T15-07,148
20191123T14-07,146
20191123T13-07,152
20191123T12-07,166
20191123T11-07,170
20191123T10-07,72
20191123T09-07,52
20191123T08-07,115
20191123T07-07,178
20191123T06-07,168
20191123T05-07,175
20191123T04-07,160
20191123T03-07,158
20191123T02-07,172
20191123T01-07,165
20191122T23-07,126
20191122T22-07,162
20191122T21-07,180
20191122T20-07,179
