,hydro
20191218T00-05,123
20191217T23-05,123
20191217T22-05,123
20191217T21-05,123
20191217T20-05,124
20191217T19-05,123
20191217T18-05,123
20191217T17-05,123
20191217T16-05,124
20191217T15-05,123
20191217T14-05,123
20191217T13-05,124
20191217T12-05,122
20191217T11-05,123
20191217T10-05,123
20191217T09-05,123
20191217T08-05,122
20191217T07-05,123
20191217T06-05,123
20191217T05-05,124
20191217T04-05,123
20191217T03-05,122
20191217T02-05,123
20191217T01-05,125
20191217T00-05,162
20191216T23-05,164
20191216T22-05,164
20191216T21-05,163
20191216T20-05,164
20191216T19-05,164
20191216T18-05,164
20191216T17-05,163
20191216T16-05,164
20191216T15-05,163
20191216T14-05,164
20191216T13-05,164
20191216T12-05,163
20191216T11-05,164
20191216T10-05,163
20191216T09-05,164
20191216T08-05,163
20191216T07-05,164
20191216T06-05,165
20191216T05-05,164
20191216T04-05,164
20191216T03-05,165
20191216T02-05,164
20191216T01-05,163
20191216T00-05,164
20191215T23-05,164
20191215T22-05,164
20191215T21-05,165
20191215T20-05,164
20191215T19-05,165
20191215T18-05,165
20191215T17-05,164
20191215T16-05,164
20191215T15-05,163
20191215T14-05,162
20191215T13-05,153
20191215T12-05,154
20191215T11-05,152
20191215T10-05,154
20191215T09-05,152
20191215T08-05,154
20191215T07-05,152
20191215T06-05,154
20191215T05-05,154
20191215T04-05,154
20191215T03-05,153
20191215T02-05,153
20191215T01-05,155
20191215T00-05,153
20191214T23-05,153
20191214T22-05,154
20191214T21-05,154
20191214T20-05,154
20191214T19-05,152
20191214T18-05,155
20191214T17-05,156
20191214T16-05,155
20191214T15-05,153
20191214T14-05,152
20191214T13-05,123
20191214T12-05,123
20191214T11-05,122
20191214T10-05,124
20191214T09-05,123
20191214T08-05,122
20191214T07-05,123
20191214T06-05,122
20191214T05-05,123
20191214T04-05,123
20191214T03-05,122
20191214T02-05,123
20191214T01-05,125
20191214T00-05,154
20191213T23-05,152
20191213T22-05,153
20191213T21-05,153
20191213T20-05,152
20191213T19-05,153
20191213T18-05,154
20191213T17-05,154
20191213T16-05,155
20191213T15-05,153
20191213T14-05,154
20191213T13-05,154
20191213T12-05,154
20191213T11-05,153
20191213T10-05,153
20191213T09-05,152
20191213T08-05,155
20191213T07-05,153
20191213T06-05,153
20191213T05-05,155
20191213T04-05,153
20191213T03-05,154
20191213T02-05,154
20191213T01-05,154
20191213T00-05,154
20191212T23-05,153
20191212T22-05,153
20191212T21-05,153
20191212T20-05,155
20191212T19-05,154
20191212T18-05,153
20191212T17-05,153
20191212T16-05,154
20191212T15-05,153
20191212T14-05,153
20191212T13-05,153
20191212T12-05,153
20191212T11-05,153
20191212T10-05,152
20191212T09-05,153
20191212T08-05,154
20191212T07-05,153
20191212T06-05,153
20191212T05-05,154
20191212T04-05,154
20191212T03-05,153
20191212T02-05,154
20191212T01-05,152
20191212T00-05,123
20191211T23-05,123
20191211T22-05,122
20191211T21-05,123
20191211T20-05,123
20191211T19-05,123
20191211T18-05,122
20191211T17-05,122
20191211T16-05,124
20191211T15-05,122
20191211T14-05,124
20191211T13-05,123
20191211T12-05,123
20191211T11-05,122
20191211T10-05,123
20191211T09-05,123
20191211T08-05,124
20191211T07-05,123
20191211T06-05,122
20191211T05-05,122
20191211T04-05,123
20191211T03-05,122
20191211T02-05,123
20191211T01-05,122
20191211T00-05,123
20191210T23-05,122
20191210T22-05,123
20191210T21-05,122
20191210T20-05,123
20191210T19-05,122
20191210T18-05,123
20191210T17-05,122
20191210T16-05,123
20191210T15-05,122
20191210T14-05,123
20191210T13-05,122
20191210T12-05,122
20191210T11-05,123
20191210T10-05,122
20191210T09-05,123
20191210T08-05,123
20191210T07-05,122
20191210T06-05,123
20191210T05-05,124
20191210T04-05,122
20191210T03-05,122
20191210T02-05,122
20191210T01-05,122
20191210T00-05,123
20191209T23-05,122
20191209T22-05,123
20191209T21-05,123
20191209T20-05,122
20191209T19-05,123
20191209T18-05,122
20191209T17-05,123
20191209T16-05,122
20191209T15-05,122
20191209T14-05,122
20191209T13-05,122
20191209T12-05,122
20191209T11-05,123
20191209T10-05,123
20191209T09-05,122
20191209T08-05,123
20191209T07-05,122
20191209T06-05,124
20191209T05-05,123
20191209T04-05,123
20191209T03-05,123
20191209T02-05,123
20191209T01-05,122
20191209T00-05,123
20191208T23-05,122
20191208T22-05,123
20191208T21-05,123
20191208T20-05,123
20191208T19-05,123
20191208T18-05,123
20191208T17-05,123
20191208T16-05,123
20191208T15-05,122
20191208T14-05,123
20191208T13-05,123
20191208T12-05,122
20191208T11-05,122
20191208T10-05,122
20191208T09-05,122
20191208T08-05,123
20191208T07-05,122
20191208T06-05,122
20191208T05-05,123
20191208T04-05,123
20191208T03-05,122
20191208T02-05,123
20191208T01-05,122
20191208T00-05,123
20191207T23-05,122
20191207T22-05,122
20191207T21-05,123
20191207T20-05,122
20191207T19-05,123
20191207T18-05,123
20191207T17-05,123
20191207T16-05,122
20191207T15-05,122
20191207T14-05,123
20191207T13-05,122
20191207T12-05,123
20191207T11-05,122
20191207T10-05,123
20191207T09-05,122
20191207T08-05,123
20191207T07-05,122
20191207T06-05,122
20191207T05-05,123
20191207T04-05,122
20191207T03-05,123
20191207T02-05,122
20191207T01-05,124
20191207T00-05,154
20191206T23-05,154
20191206T22-05,153
20191206T21-05,154
20191206T20-05,153
20191206T19-05,153
20191206T18-05,154
20191206T17-05,153
20191206T16-05,154
20191206T15-05,153
20191206T14-05,133
20191206T13-05,137
20191206T12-05,153
20191206T11-05,153
20191206T10-05,154
20191206T09-05,153
20191206T08-05,153
20191206T07-05,154
20191206T06-05,153
20191206T05-05,154
