,Total interchange
20191113T08Z,211
20191113T07Z,406
20191113T06Z,503
20191113T05Z,766
20191113T04Z,1438
20191113T03Z,1442
20191113T02Z,2008
20191113T01Z,1817
20191113T00Z,2758
20191112T23Z,2779
20191112T22Z,2639
20191112T21Z,3410
20191112T20Z,3461
20191112T19Z,3370
20191112T18Z,5965
20191112T17Z,4250
20191112T16Z,2197
20191112T15Z,1682
20191112T14Z,882
20191112T13Z,482
20191112T12Z,428
20191112T11Z,345
20191112T10Z,1011
20191112T09Z,1185
20191112T08Z,127
20191112T07Z,221
20191112T06Z,266
20191112T05Z,295
20191112T04Z,365
20191112T03Z,411
20191112T02Z,523
20191112T01Z,538
20191112T00Z,639
20191111T23Z,664
20191111T22Z,625
20191111T21Z,702
20191111T20Z,766
20191111T19Z,850
20191111T18Z,1071
20191111T17Z,1230
20191111T16Z,1567
20191111T15Z,2326
20191111T14Z,2665
20191111T13Z,2927
20191111T12Z,3351
20191111T11Z,4448
20191111T10Z,4351
20191111T09Z,4206
20191111T08Z,702
20191111T07Z,779
20191111T06Z,735
20191111T05Z,719
20191111T04Z,1106
20191111T03Z,1571
20191111T02Z,1216
20191111T01Z,1102
20191111T00Z,925
20191110T23Z,1322
20191110T22Z,1555
20191110T21Z,1054
20191110T20Z,1004
20191110T19Z,850
20191110T18Z,1243
20191110T17Z,1551
20191110T16Z,2429
20191110T15Z,2899
20191110T14Z,4114
20191110T13Z,4343
20191110T12Z,4426
20191110T11Z,5006
20191110T10Z,5279
20191110T09Z,5142
20191110T08Z,880
20191110T07Z,848
20191110T06Z,1143
20191110T05Z,1328
20191110T04Z,1103
20191110T03Z,911
20191110T02Z,1477
20191110T01Z,1150
20191110T00Z,1367
20191109T23Z,1868
20191109T22Z,1900
20191109T21Z,1822
20191109T20Z,2058
20191109T19Z,2128
20191109T18Z,5707
20191109T17Z,6410
20191109T16Z,5956
20191109T15Z,6418
20191109T14Z,6390
20191109T13Z,7221
20191109T12Z,9951
20191109T11Z,11353
20191109T10Z,11197
20191109T09Z,10773
20191109T08Z,1715
20191109T07Z,1338
20191109T06Z,1192
20191109T05Z,1224
20191109T04Z,1309
20191109T03Z,1470
20191109T02Z,1259
20191109T01Z,1065
20191109T00Z,1029
20191108T23Z,1196
20191108T22Z,1090
20191108T21Z,1021
20191108T20Z,798
20191108T19Z,796
20191108T18Z,769
20191108T17Z,794
20191108T16Z,895
20191108T15Z,984
20191108T14Z,985
20191108T13Z,1030
20191108T12Z,1100
20191108T11Z,1146
20191108T10Z,1165
20191108T09Z,1239
20191108T08Z,171
20191108T07Z,226
20191108T06Z,265
20191108T05Z,328
20191108T04Z,338
20191108T03Z,421
20191108T02Z,468
20191108T01Z,538
20191108T00Z,626
20191107T23Z,622
20191107T22Z,566
20191107T21Z,598
20191107T20Z,594
20191107T19Z,573
20191107T18Z,600
20191107T17Z,545
20191107T16Z,964
