,Total interchange1
20200106T00-07,3828
20200105T23-07,3770
20200105T22-07,3710
20200105T21-07,3906
20200105T20-07,3874
20200105T19-07,3857
20200105T18-07,3995
20200105T17-07,3715
20200105T16-07,3619
20200105T15-07,3597
20200105T14-07,3558
20200105T13-07,3562
20200105T12-07,3454
20200105T11-07,3516
20200105T10-07,3509
20200105T09-07,3440
20200105T08-07,3392
20200105T07-07,3655
20200105T06-07,3669
20200105T05-07,3549
20200105T04-07,3536
20200105T03-07,3531
20200105T02-07,3592
20200105T01-07,3500
20200105T00-07,3448
20200104T23-07,3427
20200104T22-07,3347
20200104T21-07,3518
20200104T20-07,3547
20200104T19-07,3444
20200104T18-07,3488
20200104T17-07,3416
20200104T16-07,3379
20200104T15-07,3507
20200104T14-07,3430
20200104T13-07,3385
20200104T12-07,3366
20200104T11-07,3198
20200104T10-07,3375
20200104T09-07,3562
20200104T08-07,3491
20200104T07-07,3503
20200104T06-07,3650
20200104T05-07,3609
20200104T04-07,3561
20200104T03-07,3729
20200104T02-07,3240
20200104T01-07,3072
20200104T00-07,3076
20200103T23-07,2686
20200103T22-07,2750
20200103T21-07,2622
20200103T20-07,2839
20200103T19-07,2716
20200103T18-07,2960
20200103T17-07,3389
20200103T16-07,3465
20200103T15-07,3568
20200103T14-07,3517
20200103T13-07,3458
20200103T12-07,3411
20200103T11-07,3546
20200103T10-07,3844
20200103T09-07,3569
20200103T08-07,3319
20200103T07-07,3344
20200103T06-07,3335
20200103T05-07,3472
20200103T04-07,3466
20200103T03-07,3524
20200103T02-07,3517
20200103T01-07,3627
20200103T00-07,3521
20200102T23-07,3378
20200102T22-07,3310
20200102T21-07,3002
20200102T20-07,3534
20200102T19-07,3234
20200102T18-07,3475
20200102T17-07,3475
20200102T16-07,3406
20200102T15-07,3378
20200102T14-07,3433
20200102T13-07,3414
20200102T12-07,3413
20200102T11-07,3475
20200102T10-07,3576
20200102T09-07,3486
20200102T08-07,3505
20200102T07-07,3285
20200102T06-07,3098
20200102T05-07,2974
20200102T04-07,3069
20200102T03-07,3105
20200102T02-07,3042
20200102T01-07,2909
20200102T00-07,3013
20200101T23-07,3281
20200101T22-07,3259
20200101T21-07,3290
20200101T20-07,3367
20200101T19-07,3208
20200101T18-07,3236
20200101T17-07,3259
20200101T16-07,3119
20200101T15-07,3262
20200101T14-07,3376
20200101T13-07,3466
20200101T12-07,3317
20200101T11-07,3156
20200101T10-07,2948
20200101T09-07,2972
20200101T08-07,2951
20200101T07-07,2988
20200101T06-07,2995
20200101T05-07,3025
20200101T04-07,3080
20200101T03-07,3156
20200101T02-07,3173
20200101T01-07,3129
20200101T00-07,3082
20191231T23-07,3236
20191231T22-07,3596
20191231T21-07,3657
20191231T20-07,3518
20191231T19-07,3414
20191231T18-07,3416
20191231T17-07,3303
20191231T16-07,2892
20191231T15-07,2875
20191231T14-07,2843
20191231T13-07,2845
20191231T12-07,3004
20191231T11-07,3092
20191231T10-07,3646
20191231T09-07,3867
20191231T08-07,3787
20191231T07-07,3704
20191231T06-07,3802
20191231T05-07,3776
20191231T04-07,3765
20191231T03-07,3753
20191231T02-07,3734
20191231T01-07,3806
20191231T00-07,3938
20191230T23-07,3866
20191230T22-07,3743
20191230T21-07,3607
20191230T20-07,3376
20191230T19-07,3312
20191230T18-07,3304
20191230T17-07,3109
20191230T16-07,2856
20191230T15-07,2762
20191230T14-07,2757
20191230T13-07,2858
20191230T12-07,2928
20191230T11-07,3192
20191230T10-07,3589
20191230T09-07,3782
20191230T08-07,3612
20191230T07-07,3657
20191230T06-07,3400
20191230T05-07,3268
20191230T04-07,3369
20191230T03-07,3079
20191230T02-07,3092
20191230T01-07,3155
20191230T00-07,3206
20191229T23-07,3090
20191229T22-07,3368
20191229T21-07,3466
20191229T20-07,3450
20191229T19-07,3933
20191229T18-07,4014
20191229T17-07,4016
20191229T16-07,3722
20191229T15-07,3483
20191229T14-07,3385
20191229T13-07,3229
20191229T12-07,3217
20191229T11-07,3056
20191229T10-07,3123
20191229T09-07,3028
20191229T08-07,2888
20191229T07-07,2812
20191229T06-07,2906
20191229T05-07,2918
20191229T04-07,2915
20191229T03-07,2895
20191229T02-07,3070
20191229T01-07,3267
20191229T00-07,3593
20191228T23-07,3771
20191228T22-07,3539
20191228T21-07,3463
20191228T20-07,3418
20191228T19-07,3371
20191228T18-07,3438
20191228T17-07,3360
20191228T16-07,3146
20191228T15-07,3153
20191228T14-07,3197
20191228T13-07,3181
20191228T12-07,3124
20191228T11-07,3218
20191228T10-07,3513
20191228T09-07,3381
20191228T08-07,3161
20191228T07-07,3397
20191228T06-07,3523
20191228T05-07,3572
20191228T04-07,3625
20191228T03-07,3663
20191228T02-07,3704
20191228T01-07,3876
20191228T00-07,4096
20191227T23-07,4017
20191227T22-07,3937
20191227T21-07,3857
20191227T20-07,3840
20191227T19-07,3697
20191227T18-07,3668
20191227T17-07,3707
20191227T16-07,3155
20191227T15-07,2946
20191227T14-07,2698
20191227T13-07,2930
20191227T12-07,2932
20191227T11-07,3180
20191227T10-07,3143
20191227T09-07,3108
20191227T08-07,2254
20191227T07-07,2371
20191227T06-07,2526
20191227T05-07,2634
20191227T04-07,2756
20191227T03-07,2905
20191227T02-07,3272
20191227T01-07,3475
20191227T00-07,3172
20191226T23-07,2969
20191226T22-07,2939
20191226T21-07,3063
20191226T20-07,2869
20191226T19-07,3064
20191226T18-07,3185
20191226T17-07,3453
20191226T16-07,3256
20191226T15-07,3427
20191226T14-07,3555
20191226T13-07,3786
20191226T12-07,3799
20191226T11-07,3634
20191226T10-07,3539
20191226T09-07,3330
20191226T08-07,2618
20191226T07-07,2752
20191226T06-07,3037
20191226T05-07,3054
20191226T04-07,2805
20191226T03-07,2634
20191226T02-07,2688
20191226T01-07,3355
20191226T00-07,3498
20191225T23-07,3750
20191225T22-07,3562
20191225T21-07,3545
20191225T20-07,3648
20191225T19-07,3625
20191225T18-07,3328
20191225T17-07,3049
20191225T16-07,3005
20191225T15-07,2986
20191225T14-07,2807
20191225T13-07,2665
20191225T12-07,2537
20191225T11-07,2376
20191225T10-07,2581
20191225T09-07,2872
20191225T08-07,3339
