,Total interchange1
20191218T00-08,-630
20191217T23-08,-767
20191217T22-08,-813
20191217T21-08,-669
20191217T20-08,-526
20191217T19-08,-572
20191217T18-08,-793
20191217T17-08,-700
20191217T16-08,-701
20191217T15-08,-782
20191217T14-08,-975
20191217T13-08,-924
20191217T12-08,-924
20191217T11-08,-890
20191217T10-08,-849
20191217T09-08,-804
20191217T08-08,-736
20191217T07-08,-708
20191217T06-08,-636
20191217T05-08,-569
20191217T04-08,-486
20191217T03-08,-478
20191217T02-08,-498
20191217T01-08,-549
20191217T00-08,-582
20191216T23-08,-708
20191216T22-08,-823
20191216T21-08,-851
20191216T20-08,-846
20191216T19-08,-773
20191216T18-08,-613
20191216T17-08,-742
20191216T16-08,-783
20191216T15-08,-833
20191216T14-08,-853
20191216T13-08,-871
20191216T12-08,-1042
20191216T11-08,-1095
20191216T10-08,-1140
20191216T09-08,-1174
20191216T08-08,-1007
20191216T07-08,-745
20191216T06-08,-575
20191216T05-08,-426
20191216T04-08,-378
20191216T03-08,-380
20191216T02-08,-384
20191216T01-08,-425
20191216T00-08,-543
20191215T23-08,-619
20191215T22-08,-622
20191215T21-08,-710
20191215T20-08,-766
20191215T19-08,-672
20191215T18-08,-780
20191215T17-08,-645
20191215T16-08,-611
20191215T15-08,-629
20191215T14-08,-639
20191215T13-08,-730
20191215T12-08,-824
20191215T11-08,-870
20191215T10-08,-872
20191215T09-08,-844
20191215T08-08,-602
20191215T07-08,-575
20191215T06-08,-467
20191215T05-08,-370
20191215T04-08,-380
20191215T03-08,-412
20191215T02-08,-467
20191215T01-08,-584
20191215T00-08,-650
20191214T23-08,-488
20191214T22-08,-460
20191214T21-08,-470
20191214T20-08,-400
20191214T19-08,-370
20191214T18-08,-312
20191214T17-08,-432
20191214T16-08,-569
20191214T15-08,-687
20191214T14-08,-736
20191214T13-08,-735
20191214T12-08,-811
20191214T11-08,-695
20191214T10-08,-550
20191214T09-08,-561
20191214T08-08,-465
20191214T07-08,-474
20191214T06-08,-462
20191214T05-08,-575
20191214T04-08,-566
20191214T03-08,-586
20191214T02-08,-417
20191214T01-08,-487
20191214T00-08,-621
20191213T23-08,-578
20191213T22-08,-642
20191213T21-08,-619
20191213T20-08,-584
20191213T19-08,-489
20191213T18-08,-619
20191213T17-08,-765
20191213T16-08,-685
20191213T15-08,-636
20191213T14-08,-624
20191213T13-08,-668
20191213T12-08,-761
20191213T11-08,-726
20191213T10-08,-871
20191213T09-08,-917
20191213T08-08,-692
20191213T07-08,-654
20191213T06-08,-651
20191213T05-08,-507
20191213T04-08,-580
20191213T03-08,-598
20191213T02-08,-471
20191213T01-08,-539
20191213T00-08,-688
20191212T23-08,-775
20191212T22-08,-894
20191212T21-08,-733
20191212T20-08,-543
20191212T19-08,-587
20191212T18-08,-618
20191212T17-08,-570
20191212T16-08,-949
20191212T15-08,-890
20191212T14-08,-771
20191212T13-08,-836
20191212T12-08,-827
20191212T11-08,-823
20191212T10-08,-820
20191212T09-08,-780
20191212T08-08,-649
20191212T07-08,-484
20191212T06-08,-713
20191212T05-08,-689
20191212T04-08,-638
20191212T03-08,-550
20191212T02-08,-604
20191212T01-08,-690
20191212T00-08,-656
20191211T23-08,-752
20191211T22-08,-868
20191211T21-08,-735
20191211T20-08,-541
20191211T19-08,-574
20191211T18-08,-587
20191211T17-08,-949
20191211T16-08,-1017
20191211T15-08,-909
20191211T14-08,-928
20191211T13-08,-948
20191211T12-08,-880
20191211T11-08,-828
20191211T10-08,-751
20191211T09-08,-695
20191211T08-08,-403
20191211T07-08,-483
20191211T06-08,-573
20191211T05-08,-508
20191211T04-08,-417
20191211T03-08,-378
20191211T02-08,-386
20191211T01-08,-411
20191211T00-08,-583
20191210T23-08,-659
20191210T22-08,-679
20191210T21-08,-652
20191210T20-08,-497
20191210T19-08,-496
20191210T18-08,-534
20191210T17-08,-550
20191210T16-08,-608
20191210T15-08,-677
20191210T14-08,-729
20191210T13-08,-671
20191210T12-08,-772
20191210T11-08,-567
20191210T10-08,-590
20191210T09-08,-623
20191210T08-08,-560
20191210T07-08,-461
20191210T06-08,-530
20191210T05-08,-401
20191210T04-08,-365
20191210T03-08,-340
20191210T02-08,-371
20191210T01-08,-412
20191210T00-08,-493
20191209T23-08,-594
20191209T22-08,-759
20191209T21-08,-579
20191209T20-08,-479
20191209T19-08,-406
20191209T18-08,-434
20191209T17-08,-588
20191209T16-08,-765
20191209T15-08,-793
20191209T14-08,-784
20191209T13-08,-640
20191209T12-08,-712
20191209T11-08,-657
20191209T10-08,-650
20191209T09-08,-626
20191209T08-08,-571
20191209T07-08,-436
20191209T06-08,-450
20191209T05-08,-389
20191209T04-08,-451
20191209T03-08,-320
20191209T02-08,-376
20191209T01-08,-355
20191209T00-08,-444
20191208T23-08,-528
20191208T22-08,-562
20191208T21-08,-500
