,Total interchange
20191113T08Z,7083
20191113T07Z,7268
20191113T06Z,7611
20191113T05Z,7838
20191113T04Z,8312
20191113T03Z,8381
20191113T02Z,8613
20191113T01Z,8539
20191113T00Z,8276
20191112T23Z,7726
20191112T22Z,7453
20191112T21Z,7428
20191112T20Z,7525
20191112T19Z,7146
20191112T18Z,7651
20191112T17Z,7926
20191112T16Z,8314
20191112T15Z,8095
20191112T14Z,7246
20191112T13Z,6543
20191112T12Z,6291
20191112T11Z,5925
20191112T10Z,6026
20191112T09Z,6142
20191112T08Z,6505
20191112T07Z,7137
20191112T06Z,7940
20191112T05Z,8154
20191112T04Z,8815
20191112T03Z,8694
20191112T02Z,8885
20191112T01Z,8541
20191112T00Z,7880
20191111T23Z,7149
20191111T22Z,7440
20191111T21Z,7648
20191111T20Z,7669
20191111T19Z,7333
20191111T18Z,7588
20191111T17Z,7920
20191111T16Z,8270
20191111T15Z,8289
20191111T14Z,7813
20191111T13Z,7220
20191111T12Z,6626
20191111T11Z,6430
20191111T10Z,6479
20191111T09Z,6431
20191111T08Z,6806
20191111T07Z,6941
20191111T06Z,7709
20191111T05Z,8066
20191111T04Z,8417
20191111T03Z,8753
20191111T02Z,8647
20191111T01Z,8645
20191111T00Z,8114
20191110T23Z,7790
20191110T22Z,7882
20191110T21Z,8079
20191110T20Z,8098
20191110T19Z,8150
20191110T18Z,8276
20191110T17Z,8255
20191110T16Z,8403
20191110T15Z,8473
20191110T14Z,7402
20191110T13Z,7233
20191110T12Z,7167
20191110T11Z,6961
20191110T10Z,6863
20191110T09Z,6688
20191110T08Z,6947
20191110T07Z,7203
20191110T06Z,7879
20191110T05Z,8170
20191110T04Z,8294
20191110T03Z,8475
20191110T02Z,8609
20191110T01Z,8477
20191110T00Z,8002
20191109T23Z,7999
20191109T22Z,8151
20191109T21Z,8128
20191109T20Z,8115
20191109T19Z,8128
20191109T18Z,8542
20191109T17Z,8381
20191109T16Z,8271
20191109T15Z,8017
20191109T14Z,7338
20191109T13Z,6879
20191109T12Z,6928
20191109T11Z,6715
20191109T10Z,6836
20191109T09Z,7115
20191109T08Z,7384
20191109T07Z,7617
20191109T06Z,7534
20191109T05Z,8041
20191109T04Z,8629
20191109T03Z,8794
20191109T02Z,9103
20191109T01Z,8538
20191109T00Z,7745
20191108T23Z,7195
20191108T22Z,7199
20191108T21Z,7307
20191108T20Z,7543
20191108T19Z,7623
20191108T18Z,7782
20191108T17Z,8315
20191108T16Z,8537
20191108T15Z,8646
20191108T14Z,7956
20191108T13Z,7562
20191108T12Z,7019
20191108T11Z,6680
20191108T10Z,6689
20191108T09Z,6858
20191108T08Z,6929
20191108T07Z,7184
20191108T06Z,7962
20191108T05Z,8217
20191108T04Z,8523
20191108T03Z,8969
20191108T02Z,8849
20191108T01Z,8684
20191108T00Z,7934
20191107T23Z,7324
20191107T22Z,6976
20191107T21Z,7025
20191107T20Z,7216
20191107T19Z,7407
20191107T18Z,7798
20191107T17Z,7762
20191107T16Z,7815
20191107T15Z,7915
20191107T14Z,7331
20191107T13Z,7000
20191107T12Z,6669
20191107T11Z,6421
20191107T10Z,6407
20191107T09Z,6382
20191107T08Z,5783
20191107T07Z,6060
20191107T06Z,7504
20191107T05Z,8293
20191107T04Z,8781
20191107T03Z,8914
20191107T02Z,8963
20191107T01Z,8934
20191107T00Z,8094
20191106T23Z,6917
20191106T22Z,6657
