,Total interchange1
20200106T00-08,-9230
20200105T23-08,-9909
20200105T22-08,-10706
20200105T21-08,-10917
20200105T20-08,-11348
20200105T19-08,-11216
20200105T18-08,-10591
20200105T17-08,-9042
20200105T16-08,-6714
20200105T15-08,-5509
20200105T14-08,-4423
20200105T13-08,-3434
20200105T12-08,-3485
20200105T11-08,-4112
20200105T10-08,-5613
20200105T09-08,-6212
20200105T08-08,-7393
20200105T07-08,-7602
20200105T06-08,-7365
20200105T05-08,-7438
20200105T04-08,-7434
20200105T03-08,-7652
20200105T02-08,-7895
20200105T01-08,-8500
20200105T00-08,-9435
20200104T23-08,-9724
20200104T22-08,-10209
20200104T21-08,-10680
20200104T20-08,-10989
20200104T19-08,-10779
20200104T18-08,-10625
20200104T17-08,-9123
20200104T16-08,-6669
20200104T15-08,-5666
20200104T14-08,-4688
20200104T13-08,-4529
20200104T12-08,-4629
20200104T11-08,-5057
20200104T10-08,-5496
20200104T09-08,-7360
20200104T08-08,-9450
20200104T07-08,-9874
20200104T06-08,-9035
20200104T05-08,-8903
20200104T04-08,-8932
20200104T03-08,-8971
20200104T02-08,-8734
20200104T01-08,-8951
20200104T00-08,-8727
20200103T23-08,-9229
20200103T22-08,-9876
20200103T21-08,-10889
20200103T20-08,-10846
20200103T19-08,-11155
20200103T18-08,-10724
20200103T17-08,-9241
20200103T16-08,-6563
20200103T15-08,-5112
20200103T14-08,-4953
20200103T13-08,-4644
20200103T12-08,-4641
20200103T11-08,-5265
20200103T10-08,-5561
20200103T09-08,-7402
20200103T08-08,-9643
20200103T07-08,-9661
20200103T06-08,-8311
20200103T05-08,-7295
20200103T04-08,-7225
20200103T03-08,-7185
20200103T02-08,-7345
20200103T01-08,-8025
20200103T00-08,-8575
20200102T23-08,-9129
20200102T22-08,-9555
20200102T21-08,-9948
20200102T20-08,-10023
20200102T19-08,-10642
20200102T18-08,-10608
20200102T17-08,-9620
20200102T16-08,-7379
20200102T15-08,-6123
20200102T14-08,-5906
20200102T13-08,-5909
20200102T12-08,-5704
20200102T11-08,-6268
20200102T10-08,-6914
20200102T09-08,-8341
20200102T08-08,-9400
20200102T07-08,-9156
20200102T06-08,-8374
20200102T05-08,-7826
20200102T04-08,-7690
20200102T03-08,-8178
20200102T02-08,-8336
20200102T01-08,-8058
20200102T00-08,-8498
20200101T23-08,-9360
20200101T22-08,-9647
20200101T21-08,-10567
20200101T20-08,-10687
20200101T19-08,-10806
20200101T18-08,-10585
20200101T17-08,-8814
20200101T16-08,-6135
20200101T15-08,-4028
20200101T14-08,-3845
20200101T13-08,-3755
20200101T12-08,-4249
20200101T11-08,-4587
20200101T10-08,-4893
20200101T09-08,-6822
20200101T08-08,-9053
20200101T07-08,-9452
20200101T06-08,-8831
20200101T05-08,-8809
20200101T04-08,-8873
20200101T03-08,-8969
20200101T02-08,-8792
20200101T01-08,-9416
20200101T00-08,-10166
20191231T23-08,-10553
20191231T22-08,-10974
20191231T21-08,-11454
20191231T20-08,-11897
20191231T19-08,-11920
20191231T18-08,-11287
20191231T17-08,-9847
20191231T16-08,-6986
20191231T15-08,-5259
20191231T14-08,-4786
20191231T13-08,-4928
20191231T12-08,-5277
20191231T11-08,-5102
20191231T10-08,-5305
20191231T09-08,-7279
20191231T08-08,-9635
20191231T07-08,-9897
20191231T06-08,-8476
20191231T05-08,-7713
20191231T04-08,-7586
20191231T03-08,-7557
20191231T02-08,-7739
20191231T01-08,-7710
20191231T00-08,-7821
20191230T23-08,-8465
20191230T22-08,-9781
20191230T21-08,-9828
20191230T20-08,-10197
20191230T19-08,-10159
20191230T18-08,-9986
20191230T17-08,-9066
20191230T16-08,-7466
20191230T15-08,-5918
20191230T14-08,-5663
20191230T13-08,-5224
20191230T12-08,-5769
20191230T11-08,-6695
20191230T10-08,-7789
20191230T09-08,-8792
20191230T08-08,-8929
20191230T07-08,-8581
20191230T06-08,-7727
20191230T05-08,-7215
20191230T04-08,-6383
20191230T03-08,-6450
20191230T02-08,-6681
20191230T01-08,-7360
20191230T00-08,-7474
20191229T23-08,-8298
20191229T22-08,-9025
20191229T21-08,-9530
20191229T20-08,-10233
20191229T19-08,-10362
20191229T18-08,-10137
20191229T17-08,-9186
20191229T16-08,-7852
20191229T15-08,-6540
20191229T14-08,-5864
20191229T13-08,-5539
20191229T12-08,-5307
20191229T11-08,-5748
20191229T10-08,-5942
20191229T09-08,-6513
20191229T08-08,-7474
20191229T07-08,-7636
20191229T06-08,-7325
20191229T05-08,-6966
20191229T04-08,-6823
20191229T03-08,-7255
20191229T02-08,-7643
20191229T01-08,-7937
20191229T00-08,-8675
20191228T23-08,-9602
20191228T22-08,-10466
20191228T21-08,-10260
20191228T20-08,-10564
20191228T19-08,-10511
20191228T18-08,-10067
20191228T17-08,-9079
20191228T16-08,-6954
20191228T15-08,-5284
20191228T14-08,-4604
20191228T13-08,-4842
20191228T12-08,-5069
20191228T11-08,-5600
20191228T10-08,-5726
20191228T09-08,-7272
20191228T08-08,-8960
20191228T07-08,-9599
20191228T06-08,-8301
20191228T05-08,-7687
20191228T04-08,-7586
20191228T03-08,-7761
20191228T02-08,-7603
20191228T01-08,-8104
20191228T00-08,-8686
20191227T23-08,-9590
20191227T22-08,-10111
20191227T21-08,-10178
20191227T20-08,-10206
20191227T19-08,-10632
20191227T18-08,-10342
20191227T17-08,-8800
20191227T16-08,-6103
20191227T15-08,-4018
20191227T14-08,-3636
20191227T13-08,-3920
20191227T12-08,-4108
20191227T11-08,-4940
20191227T10-08,-5545
20191227T09-08,-6656
20191227T08-08,-9152
20191227T07-08,-8914
20191227T06-08,-7410
20191227T05-08,-6866
20191227T04-08,-7082
20191227T03-08,-7315
20191227T02-08,-7522
20191227T01-08,-7813
20191227T00-08,-8244
20191226T23-08,-8048
20191226T22-08,-8854
20191226T21-08,-9451
20191226T20-08,-9625
20191226T19-08,-9630
20191226T18-08,-9142
20191226T17-08,-8185
20191226T16-08,-7831
20191226T15-08,-7036
20191226T14-08,-6905
20191226T13-08,-7151
20191226T12-08,-7372
20191226T11-08,-7585
20191226T10-08,-7772
20191226T09-08,-8009
20191226T08-08,-8047
20191226T07-08,-7680
20191226T06-08,-7035
20191226T05-08,-7121
20191226T04-08,-7137
20191226T03-08,-6991
20191226T02-08,-6743
20191226T01-08,-6777
20191226T00-08,-7699
20191225T23-08,-8023
20191225T22-08,-8576
20191225T21-08,-9458
20191225T20-08,-9330
20191225T19-08,-9370
20191225T18-08,-9540
20191225T17-08,-8287
20191225T16-08,-7101
20191225T15-08,-6007
20191225T14-08,-4992
20191225T13-08,-4139
20191225T12-08,-3408
20191225T11-08,-3345
20191225T10-08,-3279
20191225T09-08,-5286
20191225T08-08,-6455
20191225T07-08,-6968
20191225T06-08,-6675
20191225T05-08,-6573
20191225T04-08,-6634
20191225T03-08,-7002
20191225T02-08,-6986
20191225T01-08,-6815
20191225T00-08,-7270
20191224T23-08,-7703
20191224T22-08,-8273
20191224T21-08,-8263
20191224T20-08,-8733
20191224T19-08,-8749
20191224T18-08,-8764
20191224T17-08,-7013
20191224T16-08,-5831
20191224T15-08,-4193
20191224T14-08,-3825
20191224T13-08,-3928
20191224T12-08,-4436
20191224T11-08,-4958
20191224T10-08,-5638
20191224T09-08,-7082
20191224T08-08,-7908
20191224T07-08,-7676
20191224T06-08,-6937
20191224T05-08,-6471
20191224T04-08,-6475
20191224T03-08,-6510
20191224T02-08,-6926
20191224T01-08,-7223
20191224T00-08,-8218
20191223T23-08,-8593
20191223T22-08,-9090
20191223T21-08,-9532
20191223T20-08,-9727
20191223T19-08,-9891
20191223T18-08,-10068
20191223T17-08,-9188
20191223T16-08,-8741
20191223T15-08,-8819
20191223T14-08,-9028
20191223T13-08,-8913
20191223T12-08,-8741
20191223T11-08,-8717
20191223T10-08,-8868
20191223T09-08,-8656
20191223T08-08,-8695
20191223T07-08,-8087
20191223T06-08,-6775
20191223T05-08,-6101
20191223T04-08,-6253
20191223T03-08,-6638
20191223T02-08,-6802
20191223T01-08,-6991
20191223T00-08,-7679
20191222T23-08,-8303
20191222T22-08,-9046
20191222T21-08,-9468
20191222T20-08,-9503
20191222T19-08,-9571
20191222T18-08,-9518
20191222T17-08,-8459
20191222T16-08,-7484
20191222T15-08,-7290
20191222T14-08,-6296
20191222T13-08,-5953
20191222T12-08,-6051
20191222T11-08,-6107
20191222T10-08,-6299
20191222T09-08,-6527
20191222T08-08,-7188
20191222T07-08,-6813
20191222T06-08,-6244
20191222T05-08,-6188
20191222T04-08,-6258
20191222T03-08,-6542
20191222T02-08,-6888
20191222T01-08,-7286
20191222T00-08,-7971
20191221T23-08,-8880
20191221T22-08,-9871
20191221T21-08,-10710
20191221T20-08,-10780
20191221T19-08,-11316
20191221T18-08,-11250
20191221T17-08,-9833
20191221T16-08,-8191
20191221T15-08,-7308
20191221T14-08,-6874
20191221T13-08,-6960
20191221T12-08,-6879
20191221T11-08,-7177
20191221T10-08,-7762
20191221T09-08,-7979
20191221T08-08,-8278
20191221T07-08,-8107
20191221T06-08,-7395
20191221T05-08,-7245
20191221T04-08,-7299
20191221T03-08,-7556
20191221T02-08,-7972
20191221T01-08,-8192
20191221T00-08,-8764
20191220T23-08,-9197
20191220T22-08,-10402
20191220T21-08,-10870
20191220T20-08,-10784
20191220T19-08,-10697
20191220T18-08,-10816
20191220T17-08,-10180
20191220T16-08,-8691
20191220T15-08,-7093
20191220T14-08,-7076
20191220T13-08,-6094
20191220T12-08,-6372
20191220T11-08,-6780
20191220T10-08,-7497
20191220T09-08,-8548
20191220T08-08,-10402
20191220T07-08,-10861
20191220T06-08,-9411
20191220T05-08,-8066
20191220T04-08,-7926
20191220T03-08,-7991
20191220T02-08,-8263
20191220T01-08,-8641
20191220T00-08,-8954
20191219T23-08,-9627
20191219T22-08,-10329
20191219T21-08,-10605
20191219T20-08,-10516
20191219T19-08,-10469
20191219T18-08,-10094
20191219T17-08,-9126
20191219T16-08,-6572
20191219T15-08,-5412
20191219T14-08,-4472
20191219T13-08,-4431
20191219T12-08,-4427
20191219T11-08,-4758
20191219T10-08,-4941
20191219T09-08,-7168
20191219T08-08,-9211
20191219T07-08,-8906
20191219T06-08,-8007
20191219T05-08,-7608
20191219T04-08,-7565
20191219T03-08,-7549
20191219T02-08,-7796
20191219T01-08,-7945
20191219T00-08,-7792
20191218T23-08,-8425
20191218T22-08,-9362
20191218T21-08,-9482
20191218T20-08,-9847
20191218T19-08,-9373
20191218T18-08,-9225
20191218T17-08,-8153
20191218T16-08,-6185
20191218T15-08,-6072
20191218T14-08,-5907
20191218T13-08,-6285
20191218T12-08,-6297
20191218T11-08,-6564
20191218T10-08,-7237
20191218T09-08,-8112
20191218T08-08,-8593
20191218T07-08,-8695
20191218T06-08,-6974
20191218T05-08,-6596
20191218T04-08,-6715
20191218T03-08,-6735
20191218T02-08,-6979
20191218T01-08,-7020
20191218T00-08,-7108
20191217T23-08,-7732
20191217T22-08,-8820
20191217T21-08,-8853
