,Total interchange1
20200106T00-05,1117
20200105T23-05,996
20200105T22-05,960
20200105T21-05,891
20200105T20-05,906
20200105T19-05,908
20200105T18-05,990
20200105T17-05,1245
20200105T16-05,1345
20200105T15-05,1395
20200105T14-05,1388
20200105T13-05,1218
20200105T12-05,1049
20200105T11-05,1042
20200105T10-05,1015
20200105T09-05,959
20200105T08-05,824
20200105T07-05,936
20200105T06-05,1074
20200105T05-05,1123
20200105T04-05,1174
20200105T03-05,1220
20200105T02-05,1316
20200105T01-05,1343
20200105T00-05,1293
20200104T23-05,1241
20200104T22-05,1277
20200104T21-05,1226
20200104T20-05,1224
20200104T19-05,1200
20200104T18-05,1202
20200104T17-05,1301
20200104T16-05,1366
20200104T15-05,1495
20200104T14-05,1404
20200104T13-05,1400
20200104T12-05,1442
20200104T11-05,1344
20200104T10-05,1304
20200104T09-05,1407
20200104T08-05,1294
20200104T07-05,1346
20200104T06-05,1390
20200104T05-05,1368
20200104T04-05,1372
20200104T03-05,1412
20200104T02-05,1402
20200104T01-05,1312
20200104T00-05,1192
20200103T23-05,1114
20200103T22-05,1089
20200103T21-05,1058
20200103T20-05,974
20200103T19-05,1081
20200103T18-05,1024
20200103T17-05,950
20200103T16-05,1027
20200103T15-05,1031
20200103T14-05,1089
20200103T13-05,1086
20200103T12-05,962
20200103T11-05,815
20200103T10-05,873
20200103T09-05,819
20200103T08-05,811
20200103T07-05,899
20200103T06-05,1056
20200103T05-05,1088
20200103T04-05,1142
20200103T03-05,1116
20200103T02-05,1124
20200103T01-05,1088
20200103T00-05,924
20200102T23-05,805
20200102T22-05,528
20200102T21-05,451
20200102T20-05,380
20200102T19-05,336
20200102T18-05,347
20200102T17-05,526
20200102T16-05,555
20200102T15-05,552
20200102T14-05,508
20200102T13-05,381
20200102T12-05,404
20200102T11-05,310
20200102T10-05,356
20200102T09-05,263
20200102T08-05,88
20200102T07-05,118
20200102T06-05,388
20200102T05-05,450
20200102T04-05,719
20200102T03-05,776
20200102T02-05,765
20200102T01-05,776
20200102T00-05,887
20200101T23-05,817
20200101T22-05,664
20200101T21-05,461
20200101T20-05,431
20200101T19-05,491
20200101T18-05,564
20200101T17-05,681
20200101T16-05,794
20200101T15-05,881
20200101T14-05,745
20200101T13-05,783
20200101T12-05,655
20200101T11-05,525
20200101T10-05,520
20200101T09-05,320
20200101T08-05,307
20200101T07-05,183
20200101T06-05,503
20200101T05-05,487
20200101T04-05,557
20200101T03-05,635
20200101T02-05,749
20200101T01-05,818
20200101T00-05,293
20191231T23-05,295
20191231T22-05,296
20191231T21-05,258
20191231T20-05,263
20191231T19-05,257
20191231T18-05,244
20191231T17-05,294
