,Total interchange1
20191218T00-06,1006
20191217T23-06,1008
20191217T22-06,1022
20191217T21-06,1138
20191217T20-06,1382
20191217T19-06,1530
20191217T18-06,1441
20191217T17-06,1113
20191217T16-06,1105
20191217T15-06,1015
20191217T14-06,998
20191217T13-06,1049
20191217T12-06,1067
20191217T11-06,1084
20191217T10-06,1388
20191217T09-06,1487
20191217T08-06,1477
20191217T07-06,1262
20191217T06-06,995
20191217T05-06,957
20191217T04-06,952
20191217T03-06,963
20191217T02-06,957
20191217T01-06,934
20191217T00-06,1065
20191216T23-06,1062
20191216T22-06,1122
20191216T21-06,1113
20191216T20-06,1386
20191216T19-06,1442
20191216T18-06,1416
20191216T17-06,1103
20191216T16-06,1015
20191216T15-06,1013
20191216T14-06,1049
20191216T13-06,1036
20191216T12-06,1084
20191216T11-06,1088
20191216T10-06,1095
20191216T09-06,1084
20191216T08-06,1079
20191216T07-06,1090
20191216T06-06,1085
20191216T05-06,1095
20191216T04-06,1097
20191216T03-06,1090
20191216T02-06,1090
20191216T01-06,1094
20191216T00-06,-132
20191215T23-06,-127
20191215T22-06,-135
20191215T21-06,-107
20191215T20-06,-107
20191215T19-06,-110
20191215T18-06,-27
20191215T17-06,-46
20191215T16-06,-40
20191215T15-06,-56
20191215T14-06,-73
20191215T13-06,-71
20191215T12-06,-88
20191215T11-06,-94
20191215T10-06,-119
20191215T09-06,-137
20191215T08-06,-127
20191215T07-06,-151
20191215T06-06,-297
20191215T05-06,-311
20191215T04-06,-307
20191215T03-06,-311
20191215T02-06,-318
20191215T01-06,-315
20191215T00-06,697
20191214T23-06,708
20191214T22-06,803
20191214T21-06,788
20191214T20-06,673
20191214T19-06,596
20191214T18-06,692
20191214T17-06,459
20191214T16-06,324
20191214T15-06,175
20191214T14-06,72
20191214T13-06,185
20191214T12-06,260
20191214T11-06,223
20191214T10-06,-2
20191214T09-06,-88
20191214T08-06,-215
20191214T07-06,-65
20191214T06-06,176
20191214T05-06,452
20191214T04-06,748
20191214T03-06,1074
20191214T02-06,1445
20191214T01-06,1529
20191214T00-06,-267
20191213T23-06,-279
20191213T22-06,-249
20191213T21-06,-190
20191213T20-06,-201
20191213T19-06,-162
20191213T18-06,-95
20191213T17-06,-50
20191213T16-06,-28
20191213T15-06,7
20191213T14-06,-5
20191213T13-06,30
20191213T12-06,58
20191213T11-06,83
20191213T10-06,92
20191213T09-06,315
20191213T08-06,322
20191213T07-06,294
20191213T06-06,-35
20191213T05-06,-89
20191213T04-06,-89
20191213T03-06,-79
20191213T02-06,-84
20191213T01-06,-75
20191213T00-06,-4
20191212T23-06,2
20191212T22-06,25
20191212T21-06,99
20191212T20-06,343
20191212T19-06,443
20191212T18-06,354
20191212T17-06,92
20191212T16-06,-7
20191212T15-06,-22
20191212T14-06,-25
20191212T13-06,-38
20191212T12-06,-27
20191212T11-06,-28
20191212T10-06,-92
20191212T09-06,-45
