,Total interchange
20191113T08Z,-8127
20191113T07Z,-8383
20191113T06Z,-9227
20191113T05Z,-9106
20191113T04Z,-9331
20191113T03Z,-9584
20191113T02Z,-9234
20191113T01Z,-8725
20191113T00Z,-6769
20191112T23Z,-5854
20191112T22Z,-5687
20191112T21Z,-5531
20191112T20Z,-5584
20191112T19Z,-5538
20191112T18Z,-5323
20191112T17Z,-5472
20191112T16Z,-7069
20191112T15Z,-7923
20191112T14Z,-7164
20191112T13Z,-6516
20191112T12Z,-6281
20191112T11Z,-6478
20191112T10Z,-6714
20191112T09Z,-6859
20191112T08Z,-7407
20191112T07Z,-7360
20191112T06Z,-8396
20191112T05Z,-8879
20191112T04Z,-9175
20191112T03Z,-9122
20191112T02Z,-9025
20191112T01Z,-8320
20191112T00Z,-6917
20191111T23Z,-5769
20191111T22Z,-5695
20191111T21Z,-5541
20191111T20Z,-5252
20191111T19Z,-5075
20191111T18Z,-5071
20191111T17Z,-5365
20191111T16Z,-6448
20191111T15Z,-7822
20191111T14Z,-7405
20191111T13Z,-7394
20191111T12Z,-7114
20191111T11Z,-7196
20191111T10Z,-7040
20191111T09Z,-6898
20191111T08Z,-6674
20191111T07Z,-6943
20191111T06Z,-7379
20191111T05Z,-7618
20191111T04Z,-7802
20191111T03Z,-7853
20191111T02Z,-7481
20191111T01Z,-7096
20191111T00Z,-5215
20191110T23Z,-4565
20191110T22Z,-4280
20191110T21Z,-3916
20191110T20Z,-3667
20191110T19Z,-3719
20191110T18Z,-4011
20191110T17Z,-5034
20191110T16Z,-6319
20191110T15Z,-7034
20191110T14Z,-6891
20191110T13Z,-6693
20191110T12Z,-6589
20191110T11Z,-6677
20191110T10Z,-6566
20191110T09Z,-6787
20191110T08Z,-7053
20191110T07Z,-7718
20191110T06Z,-8142
20191110T05Z,-8587
20191110T04Z,-8737
20191110T03Z,-9043
20191110T02Z,-8731
20191110T01Z,-7938
20191110T00Z,-6337
20191109T23Z,-5541
20191109T22Z,-5045
20191109T21Z,-4845
20191109T20Z,-4749
20191109T19Z,-4586
20191109T18Z,-4605
20191109T17Z,-4907
20191109T16Z,-5879
20191109T15Z,-6858
20191109T14Z,-6647
20191109T13Z,-6395
20191109T12Z,-6224
20191109T11Z,-6387
20191109T10Z,-6554
20191109T09Z,-6791
20191109T08Z,-7329
20191109T07Z,-8048
20191109T06Z,-8450
20191109T05Z,-8765
20191109T04Z,-8785
20191109T03Z,-9274
20191109T02Z,-9507
20191109T01Z,-7981
20191109T00Z,-6619
20191108T23Z,-5741
20191108T22Z,-5309
20191108T21Z,-5076
20191108T20Z,-5054
20191108T19Z,-5078
20191108T18Z,-4970
20191108T17Z,-5353
20191108T16Z,-6437
20191108T15Z,-7483
20191108T14Z,-6777
20191108T13Z,-6265
20191108T12Z,-6372
20191108T11Z,-6611
20191108T10Z,-6757
20191108T09Z,-6769
20191108T08Z,-6869
20191108T07Z,-7197
20191108T06Z,-8085
20191108T05Z,-8224
20191108T04Z,-8341
20191108T03Z,-8637
20191108T02Z,-8006
20191108T01Z,-7314
20191108T00Z,-6232
20191107T23Z,-5125
20191107T22Z,-4532
20191107T21Z,-4312
20191107T20Z,-4422
20191107T19Z,-4075
20191107T18Z,-4123
20191107T17Z,-4455
20191107T16Z,-5562
20191107T15Z,-6599
20191107T14Z,-5640
20191107T13Z,-5436
20191107T12Z,-5355
20191107T11Z,-5798
20191107T10Z,-5933
20191107T09Z,-6175
20191107T08Z,-6542
20191107T07Z,-7076
20191107T06Z,-7837
20191107T05Z,-8032
20191107T04Z,-8409
20191107T03Z,-8521
20191107T02Z,-7829
20191107T01Z,-7221
20191107T00Z,-5478
20191106T23Z,-4592
20191106T22Z,-4019
20191106T21Z,-4031
20191106T20Z,-3977
20191106T19Z,-3805
20191106T18Z,-4023
20191106T17Z,-4225
20191106T16Z,-5453
20191106T15Z,-5966
20191106T14Z,-5771
20191106T13Z,-5194
20191106T12Z,-5027
20191106T11Z,-5188
20191106T10Z,-5639
20191106T09Z,-6172
20191106T08Z,-6139
20191106T07Z,-6654
20191106T06Z,-6950
20191106T05Z,-7103
20191106T04Z,-7459
20191106T03Z,-7409
20191106T02Z,-6898
20191106T01Z,-6221
20191106T00Z,-5377
20191105T23Z,-4638
20191105T22Z,-4363
20191105T21Z,-3957
20191105T20Z,-4051
20191105T19Z,-3554
20191105T18Z,-3318
20191105T17Z,-3529
20191105T16Z,-4679
20191105T15Z,-5647
20191105T14Z,-5384
20191105T13Z,-4977
20191105T12Z,-4862
20191105T11Z,-4759
20191105T10Z,-5138
20191105T09Z,-5521
20191105T08Z,-6026
20191105T07Z,-6318
20191105T06Z,-6483
20191105T05Z,-6438
20191105T04Z,-6633
20191105T03Z,-6920
20191105T02Z,-6252
20191105T01Z,-5193
20191105T00Z,-4485
20191104T23Z,-3920
20191104T22Z,-3611
20191104T21Z,-3902
20191104T20Z,-3958
20191104T19Z,-3614
20191104T18Z,-3140
20191104T17Z,-3806
20191104T16Z,-4494
20191104T15Z,-5484
20191104T14Z,-5436
20191104T13Z,-5372
20191104T12Z,-5104
20191104T11Z,-5279
20191104T10Z,-5346
20191104T09Z,-5728
20191103T09Z,-5187
20191103T08Z,-4919
20191103T07Z,-6134
20191103T06Z,-6369
20191103T05Z,-6828
20191103T04Z,-7365
20191103T03Z,-7283
20191103T02Z,-6117
20191103T01Z,-5384
20191103T00Z,-4284
20191102T23Z,-3641
20191102T22Z,-3261
20191102T21Z,-2912
20191102T20Z,-3594
20191102T19Z,-3364
20191102T18Z,-3119
20191102T17Z,-3689
20191102T16Z,-4059
20191102T15Z,-4984
20191102T14Z,-5447
20191102T13Z,-4806
20191102T12Z,-4907
20191102T11Z,-4989
20191102T10Z,-5071
20191102T09Z,-5039
20191102T08Z,-5615
20191101T07Z,-5742
20191101T06Z,-6035
20191101T05Z,-6811
20191101T04Z,-7073
20191101T03Z,-6836
20191101T02Z,-6305
20191101T01Z,-5802
20191101T00Z,-4201
20191031T23Z,-2530
20191031T22Z,-1920
20191031T21Z,-1616
20191031T20Z,-1211
20191031T19Z,-1106
20191031T18Z,-1659
20191031T17Z,-2653
20191031T16Z,-3800
20191031T15Z,-4378
20191031T14Z,-4349
20191031T13Z,-3667
20191031T12Z,-4163
20191031T11Z,-4274
20191031T10Z,-4585
20191031T09Z,-4988
20191031T08Z,-5169
20191031T07Z,-5075
20191031T06Z,-5595
20191031T05Z,-6138
20191031T04Z,-6560
20191031T03Z,-6397
20191031T02Z,-6229
20191031T01Z,-5435
20191031T00Z,-3685
20191030T23Z,-2096
20191030T22Z,-1838
20191030T21Z,-2625
20191030T20Z,-2910
20191030T19Z,-1984
20191030T18Z,-2456
20191030T17Z,-2475
20191030T16Z,-3566
20191030T15Z,-4383
20191030T14Z,-4230
20191030T13Z,-4214
20191030T12Z,-4575
20191030T11Z,-4350
20191030T10Z,-4408
20191030T09Z,-4618
20191030T08Z,-5097
20191030T07Z,-5547
20191030T06Z,-5446
20191030T05Z,-6248
20191030T04Z,-6415
20191030T03Z,-6399
20191030T02Z,-6427
20191030T01Z,-5946
20191030T00Z,-3289
20191029T23Z,-2112
20191029T22Z,-1626
20191029T21Z,-1746
20191029T20Z,-2251
20191029T19Z,-2398
20191029T18Z,-2459
20191029T17Z,-3601
20191029T16Z,-4737
20191029T15Z,-5694
20191029T14Z,-5248
20191029T13Z,-5185
20191029T12Z,-5418
20191029T11Z,-5481
20191029T10Z,-5385
20191029T09Z,-5733
20191029T08Z,-5785
20191029T07Z,-6215
20191029T06Z,-6460
20191029T05Z,-6980
20191029T04Z,-7654
20191029T03Z,-7904
20191029T02Z,-7497
20191029T01Z,-7061
20191029T00Z,-4901
20191028T23Z,-4156
20191028T22Z,-4189
20191028T21Z,-4152
20191028T20Z,-3798
20191028T19Z,-3846
20191028T18Z,-3672
20191028T17Z,-4077
20191028T16Z,-5259
20191028T15Z,-6682
20191028T14Z,-6626
20191028T13Z,-5748
20191028T12Z,-5449
20191028T11Z,-5345
20191028T10Z,-5256
20191028T09Z,-5288
20191028T08Z,-5253
20191028T07Z,-5652
20191028T06Z,-5854
20191028T05Z,-6766
20191028T04Z,-6981
20191028T03Z,-6829
20191028T02Z,-6770
20191028T01Z,-6413
20191028T00Z,-4142
20191027T23Z,-3129
20191027T22Z,-2192
20191027T21Z,-2207
20191027T20Z,-2136
20191027T19Z,-2374
20191027T18Z,-2690
20191027T17Z,-3265
20191027T16Z,-4335
20191027T15Z,-5922
20191027T14Z,-6155
20191027T13Z,-6165
20191027T12Z,-6381
20191027T11Z,-6219
20191027T10Z,-6228
20191027T09Z,-6119
20191027T08Z,-6484
20191027T07Z,-7574
20191027T06Z,-7724
20191027T05Z,-8486
20191027T04Z,-9062
20191027T03Z,-9382
20191027T02Z,-9300
20191027T01Z,-8802
20191027T00Z,-6801
20191026T23Z,-5848
20191026T22Z,-5516
20191026T21Z,-4994
20191026T20Z,-5287
20191026T19Z,-5107
20191026T18Z,-4812
20191026T17Z,-5160
20191026T16Z,-6221
20191026T15Z,-7361
20191026T14Z,-7299
20191026T13Z,-6691
20191026T12Z,-6595
20191026T11Z,-6745
20191026T10Z,-7015
20191026T09Z,-7133
20191026T08Z,-7210
20191026T07Z,-7306
20191026T06Z,-8128
20191026T05Z,-8697
20191026T04Z,-9043
20191026T03Z,-9378
20191026T02Z,-9316
20191026T01Z,-9079
20191026T00Z,-7757
20191025T23Z,-6776
20191025T22Z,-6230
20191025T21Z,-6052
20191025T20Z,-5934
20191025T19Z,-5755
20191025T18Z,-5717
20191025T17Z,-5793
20191025T16Z,-6441
20191025T15Z,-8067
20191025T14Z,-7906
20191025T13Z,-6638
20191025T12Z,-6784
20191025T11Z,-6991
20191025T10Z,-7266
20191025T09Z,-7522
20191025T08Z,-7361
20191025T07Z,-7670
20191025T06Z,-8015
20191025T05Z,-8744
20191025T04Z,-8942
20191025T03Z,-8476
20191025T02Z,-8673
20191025T01Z,-8133
20191025T00Z,-6979
20191024T23Z,-6467
20191024T22Z,-6136
20191024T21Z,-6095
20191024T20Z,-6069
20191024T19Z,-5610
20191024T18Z,-5289
20191024T17Z,-5609
20191024T16Z,-6597
20191024T15Z,-8242
20191024T14Z,-8163
20191024T13Z,-7281
20191024T12Z,-7237
20191024T11Z,-7134
20191024T10Z,-7109
20191024T09Z,-7264
20191024T08Z,-7277
20191024T07Z,-7511
20191024T06Z,-7918
