,Total interchange1
20191114T00-05,-1451
20191113T23-05,-1563
20191113T22-05,-1617
20191113T21-05,-1744
20191113T20-05,-1733
20191113T19-05,-1596
20191113T18-05,-1615
20191113T17-05,-1121
20191113T16-05,-44
20191113T15-05,620
20191113T14-05,898
20191113T13-05,756
20191113T12-05,353
20191113T11-05,66
20191113T10-05,8
20191113T09-05,-464
20191113T08-05,-1352
20191113T07-05,-1436
20191113T06-05,-1437
20191113T05-05,-955
20191113T04-05,-709
20191113T03-05,-774
20191113T02-05,-792
20191113T01-05,-633
20191113T00-05,-399
20191112T23-05,-502
20191112T22-05,-654
20191112T21-05,-715
20191112T20-05,-788
20191112T19-05,-707
20191112T18-05,-586
20191112T17-05,-199
20191112T16-05,59
20191112T15-05,-48
20191112T14-05,194
20191112T13-05,466
20191112T12-05,542
20191112T11-05,302
20191112T10-05,122
20191112T09-05,-21
20191112T08-05,-207
20191112T07-05,-152
20191112T06-05,132
20191112T05-05,220
20191112T04-05,222
20191112T03-05,123
20191112T02-05,152
20191112T01-05,261
20191112T00-05,232
20191111T23-05,307
20191111T22-05,153
20191111T21-05,98
20191111T20-05,-70
20191111T19-05,-117
20191111T18-05,7
20191111T17-05,568
20191111T16-05,844
20191111T15-05,1041
20191111T14-05,1255
20191111T13-05,1398
20191111T12-05,1716
20191111T11-05,1661
20191111T10-05,1330
20191111T09-05,745
20191111T08-05,29
20191111T07-05,-236
20191111T06-05,285
20191111T05-05,536
20191111T04-05,580
20191111T03-05,592
20191111T02-05,546
20191111T01-05,634
20191111T00-05,537
20191110T23-05,166
20191110T22-05,-19
20191110T21-05,0
20191110T20-05,-218
20191110T19-05,-438
20191110T18-05,-449
20191110T17-05,-64
20191110T16-05,386
20191110T15-05,738
20191110T14-05,940
20191110T13-05,878
20191110T12-05,661
20191110T11-05,202
20191110T10-05,-115
20191110T09-05,-558
20191110T08-05,-988
20191110T07-05,-1189
20191110T06-05,-808
20191110T05-05,-685
20191110T04-05,-515
20191110T03-05,-471
20191110T02-05,-445
20191110T01-05,-450
20191110T00-05,-461
20191109T23-05,-548
20191109T22-05,-605
20191109T21-05,-544
20191109T20-05,-670
20191109T19-05,-531
20191109T18-05,-407
20191109T17-05,107
20191109T16-05,456
20191109T15-05,780
20191109T14-05,881
20191109T13-05,724
20191109T12-05,768
20191109T11-05,1147
20191109T10-05,1120
20191109T09-05,677
20191109T08-05,-231
20191109T07-05,-302
20191109T06-05,-25
20191109T05-05,-59
20191109T04-05,49
20191109T03-05,-1
20191109T02-05,-95
20191109T01-05,-29
20191109T00-05,96
20191108T23-05,-18
20191108T22-05,-97
20191108T21-05,-278
20191108T20-05,-424
20191108T19-05,-420
20191108T18-05,-603
20191108T17-05,-529
20191108T16-05,117
20191108T15-05,940
20191108T14-05,1309
20191108T13-05,1334
20191108T12-05,1518
20191108T11-05,1210
20191108T10-05,769
20191108T09-05,382
20191108T08-05,105
20191108T07-05,73
20191108T06-05,179
20191108T05-05,334
20191108T04-05,394
20191108T03-05,382
20191108T02-05,304
20191108T01-05,280
20191108T00-05,410
20191107T23-05,359
20191107T22-05,-111
20191107T21-05,-480
20191107T20-05,-719
20191107T19-05,-895
20191107T18-05,-786
20191107T17-05,-274
20191107T16-05,-14
20191107T15-05,26
20191107T14-05,281
20191107T13-05,646
20191107T12-05,661
20191107T11-05,395
20191107T10-05,379
20191107T09-05,319
20191107T08-05,-256
20191107T07-05,-356
20191107T06-05,183
20191107T05-05,315
20191107T04-05,199
20191107T03-05,179
20191107T02-05,182
20191107T01-05,221
20191107T00-05,-110
20191106T23-05,-185
20191106T22-05,-60
20191106T21-05,-229
20191106T20-05,-358
20191106T19-05,-359
20191106T18-05,-315
20191106T17-05,-211
20191106T16-05,92
20191106T15-05,528
20191106T14-05,730
20191106T13-05,844
20191106T12-05,919
20191106T11-05,1072
20191106T10-05,834
20191106T09-05,483
20191106T08-05,8
20191106T07-05,9
20191106T06-05,403
20191106T05-05,221
20191106T04-05,197
20191106T03-05,211
20191106T02-05,129
20191106T01-05,88
20191106T00-05,-25
20191105T23-05,-201
20191105T22-05,-202
20191105T21-05,-86
20191105T20-05,-188
20191105T19-05,-360
20191105T18-05,-343
20191105T17-05,-295
20191105T16-05,-62
20191105T15-05,1
20191105T14-05,207
20191105T13-05,351
20191105T12-05,88
20191105T11-05,-48
20191105T10-05,54
20191105T09-05,162
20191105T08-05,132
20191105T07-05,226
20191105T06-05,301
20191105T05-05,84
20191105T04-05,150
20191105T03-05,166
20191105T02-05,98
20191105T01-05,-19
20191105T00-05,-247
20191104T23-05,-393
20191104T22-05,-221
20191104T21-05,-232
20191104T20-05,-125
20191104T19-05,-80
20191104T18-05,-392
20191104T17-05,-337
20191104T16-05,-71
20191104T15-05,-32
20191104T14-05,97
20191104T13-05,206
20191104T12-05,162
20191104T11-05,210
20191104T10-05,593
20191104T09-05,134
20191104T08-05,-336
20191104T07-05,-595
20191104T06-05,-745
20191104T05-05,-505
20191104T04-05,-130
20191104T03-05,-79
20191104T02-05,-127
20191104T01-05,-223
20191104T00-05,-373
20191103T23-05,-321
20191103T22-05,-249
20191103T21-05,-416
20191103T20-05,-695
20191103T19-05,-905
20191103T18-05,-1075
20191103T17-05,-345
20191103T16-05,375
20191103T15-05,868
20191103T14-05,1122
20191103T13-05,1170
20191103T12-05,1145
20191103T11-05,810
20191103T10-05,594
20191103T09-05,514
20191103T08-05,-214
20191103T07-05,-310
20191103T06-05,20
20191103T05-05,201
20191103T04-05,201
20191103T03-05,172
20191103T02-05,115
20191103T01-05,-98
20191103T01-04,-80
20191103T00-04,-301
20191102T23-04,-440
20191102T22-04,-365
20191102T21-04,-314
20191102T20-04,-289
20191102T19-04,-423
