,Total interchange1
20191218T00-05,504
20191217T23-05,628
20191217T22-05,791
20191217T21-05,911
20191217T20-05,1033
20191217T19-05,1067
20191217T18-05,868
20191217T17-05,648
20191217T16-05,666
20191217T15-05,652
20191217T14-05,565
20191217T13-05,487
20191217T12-05,558
20191217T11-05,466
20191217T10-05,499
20191217T09-05,462
20191217T08-05,571
20191217T07-05,532
20191217T06-05,620
20191217T05-05,785
20191217T04-05,713
20191217T03-05,746
20191217T02-05,715
20191217T01-05,640
20191217T00-05,600
20191216T23-05,470
20191216T22-05,178
20191216T21-05,225
20191216T20-05,320
20191216T19-05,506
20191216T18-05,717
20191216T17-05,356
20191216T16-05,-73
20191216T15-05,-734
20191216T14-05,-811
20191216T13-05,-916
20191216T12-05,-910
20191216T11-05,-345
20191216T10-05,485
20191216T09-05,1043
20191216T08-05,1263
20191216T07-05,1169
20191216T06-05,821
20191216T05-05,508
20191216T04-05,438
20191216T03-05,562
20191216T02-05,548
20191216T01-05,697
20191216T00-05,911
20191215T23-05,932
20191215T22-05,845
20191215T21-05,806
20191215T20-05,782
20191215T19-05,847
20191215T18-05,849
20191215T17-05,418
20191215T16-05,4
20191215T15-05,-192
20191215T14-05,-385
20191215T13-05,-479
20191215T12-05,-465
20191215T11-05,-159
20191215T10-05,304
20191215T09-05,891
20191215T08-05,1112
20191215T07-05,901
20191215T06-05,974
20191215T05-05,1034
20191215T04-05,755
20191215T03-05,732
20191215T02-05,775
20191215T01-05,943
20191215T00-05,975
20191214T23-05,907
20191214T22-05,875
20191214T21-05,818
20191214T20-05,1031
20191214T19-05,1139
20191214T18-05,1190
20191214T17-05,908
20191214T16-05,688
20191214T15-05,735
20191214T14-05,648
20191214T13-05,654
20191214T12-05,621
20191214T11-05,770
20191214T10-05,768
20191214T09-05,782
20191214T08-05,780
20191214T07-05,515
20191214T06-05,371
20191214T05-05,435
20191214T04-05,439
20191214T03-05,459
20191214T02-05,572
20191214T01-05,544
20191214T00-05,648
20191213T23-05,877
20191213T22-05,974
20191213T21-05,467
20191213T20-05,289
20191213T19-05,491
20191213T18-05,222
20191213T17-05,195
20191213T16-05,282
20191213T15-05,294
20191213T14-05,120
20191213T13-05,-599
20191213T12-05,-766
20191213T11-05,-972
20191213T10-05,-861
20191213T09-05,-599
20191213T08-05,-377
20191213T07-05,-469
20191213T06-05,-296
20191213T05-05,-341
20191213T04-05,-531
20191213T03-05,-359
20191213T02-05,-339
20191213T01-05,-4
20191213T00-05,389
20191212T23-05,624
20191212T22-05,678
20191212T21-05,36
20191212T20-05,-135
