,Total interchange1
20191114T00-06,781
20191113T23-06,783
20191113T22-06,777
20191113T21-06,779
20191113T20-06,774
20191113T19-06,782
20191113T18-06,783
20191113T17-06,791
20191113T16-06,794
20191113T15-06,792
20191113T14-06,797
20191113T13-06,795
20191113T12-06,781
20191113T11-06,807
20191113T10-06,805
20191113T09-06,808
20191113T08-06,807
20191113T07-06,801
20191113T06-06,797
20191113T05-06,795
20191113T04-06,798
20191113T03-06,799
20191113T02-06,801
20191113T01-06,795
20191113T00-06,790
20191112T23-06,781
20191112T22-06,788
20191112T21-06,779
20191112T20-06,787
20191112T19-06,787
20191112T18-06,786
20191112T17-06,783
20191112T16-06,749
20191112T15-06,741
20191112T14-06,771
20191112T13-06,783
20191112T12-06,785
20191112T11-06,788
20191112T10-06,792
20191112T09-06,788
20191112T08-06,787
20191112T07-06,785
20191112T06-06,785
20191112T05-06,774
20191112T04-06,576
20191112T03-06,399
20191112T02-06,398
20191112T01-06,399
20191112T00-06,400
20191111T23-06,599
20191111T22-06,783
20191111T21-06,778
20191111T20-06,782
20191111T19-06,781
20191111T18-06,777
20191111T17-06,774
20191111T16-06,769
20191111T15-06,772
20191111T14-06,773
20191111T13-06,797
20191111T12-06,923
20191111T11-06,923
20191111T10-06,920
20191111T09-06,908
20191111T08-06,840
20191111T07-06,846
20191111T06-06,842
20191111T05-06,835
20191111T04-06,650
20191111T03-06,405
20191111T02-06,400
20191111T01-06,401
20191111T00-06,395
20191110T23-06,395
20191110T22-06,402
20191110T21-06,624
20191110T20-06,630
20191110T19-06,631
20191110T18-06,628
20191110T17-06,626
20191110T16-06,629
20191110T15-06,547
20191110T14-06,541
20191110T13-06,539
20191110T12-06,542
20191110T11-06,541
20191110T10-06,541
20191110T09-06,538
20191110T08-06,540
20191110T07-06,540
20191110T06-06,536
20191110T05-06,404
20191110T04-06,355
20191110T03-06,352
20191110T02-06,353
20191110T01-06,356
20191110T00-06,359
20191109T23-06,347
20191109T22-06,409
20191109T21-06,490
20191109T20-06,536
20191109T19-06,537
20191109T18-06,535
20191109T17-06,533
20191109T16-06,533
20191109T15-06,534
20191109T14-06,530
20191109T13-06,536
20191109T12-06,532
20191109T11-06,533
20191109T10-06,537
20191109T09-06,531
20191109T08-06,599
20191109T07-06,635
20191109T06-06,634
20191109T05-06,625
20191109T04-06,527
20191109T03-06,336
20191109T02-06,499
20191109T01-06,392
20191109T00-06,421
20191108T23-06,529
20191108T22-06,603
20191108T21-06,633
20191108T20-06,634
20191108T19-06,641
20191108T18-06,581
20191108T17-06,531
20191108T16-06,525
20191108T15-06,526
20191108T14-06,591
20191108T13-06,633
20191108T12-06,624
20191108T11-06,622
20191108T10-06,622
20191108T09-06,623
20191108T08-06,628
20191108T07-06,624
20191108T06-06,625
20191108T05-06,617
20191108T04-06,619
20191108T03-06,617
20191108T02-06,619
20191108T01-06,619
20191108T00-06,623
20191107T23-06,621
20191107T22-06,618
20191107T21-06,614
20191107T20-06,616
20191107T19-06,620
20191107T18-06,614
20191107T17-06,620
20191107T16-06,616
20191107T15-06,622
20191107T14-06,622
20191107T13-06,623
20191107T12-06,624
20191107T11-06,625
20191107T10-06,624
20191107T09-06,624
20191107T08-06,627
20191107T07-06,622
20191107T06-06,626
20191107T05-06,598
20191107T04-06,453
20191107T03-06,301
20191107T02-06,299
20191107T01-06,300
20191107T00-06,295
20191106T23-06,305
20191106T22-06,450
20191106T21-06,571
20191106T20-06,578
20191106T19-06,578
20191106T18-06,555
20191106T17-06,523
20191106T16-06,517
20191106T15-06,543
20191106T14-06,577
20191106T13-06,585
20191106T12-06,639
20191106T11-06,638
20191106T10-06,638
20191106T09-06,639
20191106T08-06,644
20191106T07-06,641
20191106T06-06,639
20191106T05-06,628
20191106T04-06,463
20191106T03-06,302
20191106T02-06,299
20191106T01-06,300
20191106T00-06,296
20191105T23-06,308
20191105T22-06,465
20191105T21-06,638
20191105T20-06,637
20191105T19-06,639
20191105T18-06,635
20191105T17-06,635
20191105T16-06,628
20191105T15-06,625
20191105T14-06,636
20191105T13-06,638
20191105T12-06,637
20191105T11-06,637
20191105T10-06,641
20191105T09-06,640
20191105T08-06,642
20191105T07-06,641
20191105T06-06,636
20191105T05-06,616
20191105T04-06,454
20191105T03-06,302
20191105T02-06,299
20191105T01-06,298
20191105T00-06,304
20191104T23-06,471
20191104T22-06,474
20191104T21-06,625
20191104T20-06,625
20191104T19-06,629
20191104T18-06,636
20191104T17-06,635
20191104T16-06,636
20191104T15-06,631
20191104T14-06,627
20191104T13-06,626
20191104T12-06,633
20191104T11-06,635
20191104T10-06,633
20191104T09-06,633
20191104T08-06,630
20191104T07-06,632
20191104T06-06,630
20191104T05-06,633
20191104T04-06,639
20191104T03-06,631
20191104T02-06,631
20191104T01-06,630
20191104T00-06,606
20191103T23-06,448
20191103T22-06,455
20191103T21-06,603
20191103T20-06,602
20191103T19-06,608
20191103T18-06,612
20191103T17-06,608
20191103T16-06,612
20191103T15-06,611
20191103T14-06,609
20191103T13-06,608
20191103T12-06,600
20191103T11-06,604
20191103T10-06,610
20191103T09-06,611
20191103T08-06,618
20191103T07-06,613
20191103T06-06,594
20191103T05-06,364
20191103T04-06,198
20191103T03-06,199
20191103T02-06,187
20191103T01-06,216
20191103T01-05,309
20191103T00-05,298
20191102T23-05,295
20191102T22-05,390
20191102T21-05,621
20191102T20-05,623
20191102T19-05,633
20191102T18-05,629
20191102T17-05,627
20191102T16-05,627
20191102T15-05,630
20191102T14-05,627
20191102T13-05,618
20191102T12-05,626
20191102T11-05,630
20191102T10-05,641
20191102T09-05,623
20191102T08-05,628
20191102T07-05,630
20191102T06-05,617
20191102T05-05,464
20191102T04-05,468
20191102T03-05,441
20191102T02-05,297
20191102T01-05,295
20191102T00-05,299
20191101T23-05,299
20191101T22-05,372
20191101T21-05,616
20191101T20-05,625
20191101T19-05,625
20191101T18-05,627
20191101T17-05,633
20191101T16-05,631
20191101T15-05,633
20191101T14-05,625
20191101T13-05,629
20191101T12-05,625
20191101T11-05,625
20191101T10-05,620
20191101T09-05,614
20191101T08-05,609
20191101T07-05,602
20191101T06-05,607
20191101T05-05,545
20191101T04-05,393
20191101T03-05,255
20191101T02-05,251
20191101T01-05,250
20191101T00-05,254
20191031T23-05,456
20191031T22-05,604
20191031T21-05,603
20191031T20-05,601
20191031T19-05,602
20191031T18-05,605
20191031T17-05,600
20191031T16-05,605
20191031T15-05,597
20191031T14-05,594
20191031T13-05,597
20191031T12-05,571
20191031T11-05,556
20191031T10-05,558
20191031T09-05,552
20191031T08-05,549
20191031T07-05,554
20191031T06-05,538
20191031T05-05,401
20191031T04-05,258
20191031T03-05,251
20191031T02-05,250
20191031T01-05,252
20191031T00-05,252
20191030T23-05,257
20191030T22-05,389
20191030T21-05,475
20191030T20-05,476
20191030T19-05,478
20191030T18-05,483
20191030T17-05,475
20191030T16-05,478
20191030T15-05,475
20191030T14-05,476
20191030T13-05,468
20191030T12-05,447
