,Total interchange1
20191114T00-07,-290
20191113T23-07,-398
20191113T22-07,-400
20191113T21-07,-402
20191113T20-07,-403
20191113T19-07,-411
20191113T18-07,-413
20191113T17-07,-417
20191113T16-07,-415
20191113T15-07,-412
20191113T14-07,-412
20191113T13-07,-404
20191113T12-07,-411
20191113T11-07,-414
20191113T10-07,-412
20191113T09-07,-423
20191113T08-07,-401
20191113T07-07,-308
20191113T06-07,-306
20191113T05-07,-300
20191113T04-07,-299
20191113T03-07,-301
20191113T02-07,-304
20191113T01-07,-330
20191113T00-07,-310
20191112T23-07,-260
20191112T22-07,-254
20191112T21-07,-257
20191112T20-07,-257
20191112T19-07,-257
20191112T18-07,-261
20191112T17-07,-259
20191112T16-07,-255
20191112T15-07,-252
20191112T14-07,-250
20191112T13-07,-246
20191112T12-07,-242
20191112T11-07,-244
20191112T10-07,-273
20191112T09-07,-270
20191112T08-07,-276
20191112T07-07,-337
20191112T06-07,-339
20191112T05-07,-335
20191112T04-07,-332
20191112T03-07,-325
20191112T02-07,-328
20191112T01-07,-321
20191112T00-07,-318
20191111T23-07,-259
20191111T22-07,-262
20191111T21-07,-259
20191111T20-07,-264
20191111T19-07,-265
20191111T18-07,-266
20191111T17-07,-275
20191111T16-07,-257
20191111T15-07,-251
20191111T14-07,-257
20191111T13-07,-254
20191111T12-07,-246
20191111T11-07,-254
20191111T10-07,-276
20191111T09-07,-296
20191111T08-07,-303
20191111T07-07,-348
20191111T06-07,-332
20191111T05-07,-333
20191111T04-07,-326
20191111T03-07,-340
20191111T02-07,-336
20191111T01-07,-158
20191111T00-07,-163
20191110T23-07,-138
20191110T22-07,-140
20191110T21-07,-137
20191110T20-07,-142
20191110T19-07,-144
20191110T18-07,-158
20191110T17-07,-147
20191110T16-07,-147
20191110T15-07,-146
20191110T14-07,-111
20191110T13-07,-156
20191110T12-07,-155
20191110T11-07,-147
20191110T10-07,-145
20191110T09-07,-147
20191110T08-07,-148
20191110T07-07,-149
20191110T06-07,-151
20191110T05-07,-149
20191110T04-07,-146
20191110T03-07,-148
20191110T02-07,-134
20191110T01-07,-135
20191110T00-07,-158
20191109T23-07,-292
20191109T22-07,-283
20191109T21-07,-278
20191109T20-07,-241
20191109T19-07,-243
20191109T18-07,-254
20191109T17-07,-297
20191109T16-07,-299
20191109T15-07,-289
20191109T14-07,-284
20191109T13-07,-305
20191109T12-07,-299
20191109T11-07,-300
20191109T10-07,-297
