,Total interchange
20191113T06Z,-414
20191113T05Z,-419
20191113T04Z,-584
20191113T03Z,-612
20191113T02Z,-991
20191113T01Z,-1021
20191113T00Z,-1031
20191112T23Z,-713
20191112T22Z,-663
20191112T21Z,-657
20191112T20Z,-656
20191112T19Z,-650
20191112T18Z,-759
20191112T17Z,-981
20191112T16Z,-1064
20191112T15Z,-1069
20191112T14Z,-1017
20191112T13Z,-1021
20191112T12Z,-363
20191112T11Z,-131
20191112T10Z,-79
20191112T09Z,9
20191112T08Z,-104
20191112T07Z,-158
20191112T06Z,109
20191112T05Z,105
20191112T04Z,161
20191112T03Z,118
20191112T02Z,123
20191112T01Z,63
20191112T00Z,-115
20191111T23Z,109
20191111T22Z,44
20191111T21Z,47
20191111T20Z,146
20191111T19Z,277
20191111T18Z,287
20191111T17Z,278
20191111T16Z,186
20191111T15Z,130
20191111T14Z,-5
20191111T13Z,-13
20191111T12Z,-222
20191111T11Z,-225
20191111T10Z,-225
20191111T09Z,-224
20191111T08Z,-200
20191111T07Z,-200
20191111T06Z,-196
20191111T05Z,-230
20191111T04Z,-245
20191111T03Z,-198
20191111T02Z,-130
20191111T01Z,-24
20191111T00Z,-199
20191110T23Z,0
20191110T22Z,1
20191110T21Z,1
20191110T20Z,0
20191110T19Z,-12
20191110T18Z,-19
20191110T17Z,-12
20191110T16Z,-12
20191110T15Z,-12
20191110T14Z,-12
20191110T13Z,-15
20191110T12Z,-224
20191110T11Z,-228
20191110T10Z,-233
20191110T09Z,-233
20191110T08Z,-345
20191110T07Z,-307
20191110T06Z,-320
20191110T05Z,-286
20191110T04Z,-400
20191110T03Z,-313
20191110T02Z,-279
20191110T01Z,-335
20191110T00Z,-490
20191109T23Z,-383
20191109T22Z,-15
20191109T21Z,-1
20191109T20Z,-1
20191109T19Z,0
20191109T18Z,1
20191109T17Z,6
20191109T16Z,-121
20191109T15Z,-83
20191109T14Z,-103
20191109T13Z,-217
20191109T12Z,-198
20191109T11Z,-224
20191109T10Z,-231
20191109T09Z,-275
