,Total interchange1
20191114T00-05,213
20191113T23-05,925
20191113T22-05,949
20191113T21-05,882
20191113T20-05,882
20191113T19-05,773
20191113T18-05,773
20191113T17-05,877
20191113T16-05,940
20191113T15-05,851
20191113T14-05,945
20191113T13-05,927
20191113T12-05,998
20191113T11-05,1142
20191113T10-05,1090
20191113T09-05,1117
20191113T08-05,1100
20191113T07-05,979
20191113T06-05,924
20191113T05-05,979
20191113T04-05,1027
20191113T03-05,1059
20191113T02-05,1299
20191113T01-05,1037
20191113T00-05,985
20191112T23-05,935
20191112T22-05,624
20191112T21-05,418
20191112T20-05,321
20191112T19-05,100
20191112T18-05,32
20191112T17-05,19
20191112T16-05,-11
20191112T15-05,-16
20191112T14-05,82
20191112T13-05,19
20191112T12-05,152
20191112T11-05,201
20191112T10-05,387
20191112T09-05,395
20191112T08-05,267
20191112T07-05,207
20191112T06-05,51
20191112T05-05,114
20191112T04-05,240
20191112T03-05,235
20191112T02-05,175
20191112T01-05,-117
20191112T00-05,-901
20191111T23-05,-707
20191111T22-05,-133
20191111T21-05,-345
20191111T20-05,-485
20191111T19-05,-424
20191111T18-05,-497
20191111T17-05,-540
20191111T16-05,-568
20191111T15-05,-437
20191111T14-05,-381
20191111T13-05,-361
20191111T12-05,-272
20191111T11-05,-155
20191111T10-05,-80
20191111T09-05,45
20191111T08-05,30
20191111T07-05,-166
20191111T06-05,-200
20191111T05-05,-188
20191111T04-05,-212
20191111T03-05,-213
20191111T02-05,-127
20191111T01-05,-139
20191111T00-05,-67
20191110T23-05,109
20191110T22-05,23
20191110T21-05,1
20191110T20-05,-39
20191110T19-05,-68
20191110T18-05,-161
20191110T17-05,-94
20191110T16-05,-112
20191110T15-05,-998
20191110T14-05,-106
20191110T13-05,-48
20191110T12-05,-47
20191110T11-05,-17
20191110T10-05,71
20191110T09-05,311
20191110T08-05,460
20191110T07-05,17
20191110T06-05,-21
20191110T05-05,26
20191110T04-05,85
20191110T03-05,23
20191110T02-05,-47
20191110T01-05,-47
20191110T00-05,19
20191109T23-05,120
20191109T22-05,15
20191109T21-05,-1
20191109T20-05,-7
20191109T19-05,-156
20191109T18-05,-67
20191109T17-05,-29
20191109T16-05,-61
20191109T15-05,-36
20191109T14-05,-75
20191109T13-05,-54
20191109T12-05,-24
20191109T11-05,45
20191109T10-05,256
20191109T09-05,497
20191109T08-05,500
20191109T07-05,58
20191109T06-05,-71
20191109T05-05,-15
20191109T04-05,19
20191109T03-05,-26
20191109T02-05,-57
20191109T01-05,-7
20191109T00-05,-153
20191108T23-05,-243
20191108T22-05,-390
20191108T21-05,-628
20191108T20-05,-809
20191108T19-05,-905
20191108T18-05,-1089
20191108T17-05,-1212
20191108T16-05,-1316
20191108T15-05,-1536
20191108T14-05,-1520
20191108T13-05,-954
20191108T12-05,-770
20191108T11-05,-550
20191108T10-05,-275
20191108T09-05,5
20191108T08-05,-8
20191108T07-05,-38
20191108T06-05,-202
20191108T05-05,-212
20191108T04-05,-90
20191108T03-05,-127
20191108T02-05,-155
20191108T01-05,-135
20191108T00-05,-371
20191107T23-05,-415
20191107T22-05,-61
20191107T21-05,-276
20191107T20-05,-376
20191107T19-05,-566
20191107T18-05,-344
20191107T17-05,-402
20191107T16-05,-419
20191107T15-05,-478
20191107T14-05,-463
20191107T13-05,-333
20191107T12-05,-233
20191107T11-05,-224
20191107T10-05,-167
20191107T09-05,-128
20191107T08-05,-135
20191107T07-05,-302
20191107T06-05,-344
20191107T05-05,-257
20191107T04-05,-229
20191107T03-05,-212
20191107T02-05,-292
20191107T01-05,-334
20191107T00-05,-471
20191106T23-05,-471
20191106T22-05,-435
20191106T21-05,-448
20191106T20-05,-408
20191106T19-05,-274
20191106T18-05,-171
20191106T17-05,-178
20191106T16-05,-229
20191106T15-05,-294
20191106T14-05,-208
20191106T13-05,-238
