,Total interchange1
20191218T00-05,-55
20191217T23-05,-43
20191217T22-05,-46
20191217T21-05,-45
20191217T20-05,-40
20191217T19-05,-48
20191217T18-05,-32
20191217T17-05,-30
20191217T16-05,-40
20191217T15-05,-46
20191217T14-05,-41
20191217T13-05,-28
20191217T12-05,-42
20191217T11-05,-42
20191217T10-05,-50
20191217T09-05,-50
20191217T08-05,-42
20191217T07-05,-46
20191217T06-05,-54
20191217T05-05,-42
20191217T04-05,-49
20191217T03-05,-43
20191217T02-05,-44
20191217T01-05,-45
20191217T00-05,-46
20191216T23-05,-47
20191216T22-05,-35
20191216T21-05,-30
20191216T20-05,-34
20191216T19-05,-33
20191216T18-05,-37
20191216T17-05,-36
20191216T16-05,-55
20191216T15-05,-45
20191216T14-05,-37
20191216T13-05,-42
20191216T12-05,-46
20191216T11-05,-46
20191216T10-05,-54
20191216T09-05,-52
20191216T08-05,-50
20191216T07-05,-50
20191216T06-05,-56
20191216T05-05,-51
20191216T04-05,-55
20191216T03-05,-52
20191216T02-05,-57
20191216T01-05,-46
20191216T00-05,-44
20191215T23-05,-48
20191215T22-05,-37
20191215T21-05,-40
20191215T20-05,-47
20191215T19-05,-33
20191215T18-05,-41
20191215T17-05,-37
20191215T16-05,-47
20191215T15-05,-55
20191215T14-05,-38
20191215T13-05,-42
20191215T12-05,-42
20191215T11-05,-49
20191215T10-05,-39
20191215T09-05,-54
20191215T08-05,-53
20191215T07-05,-56
20191215T06-05,-58
20191215T05-05,-52
20191215T04-05,-67
20191215T03-05,-47
20191215T02-05,-48
20191215T01-05,-51
20191215T00-05,-50
20191214T23-05,-36
20191214T22-05,-36
20191214T21-05,-38
20191214T20-05,-40
20191214T19-05,-31
20191214T18-05,-41
20191214T17-05,-37
20191214T16-05,-34
20191214T15-05,-59
20191214T14-05,-52
20191214T13-05,-50
20191214T12-05,-63
20191214T11-05,-57
20191214T10-05,-60
20191214T09-05,-53
20191214T08-05,-35
20191214T07-05,-50
20191214T06-05,-55
20191214T05-05,-38
20191214T04-05,-49
20191214T03-05,-50
20191214T02-05,-41
20191214T01-05,-32
20191214T00-05,-43
20191213T23-05,-43
20191213T22-05,-44
20191213T21-05,-32
20191213T20-05,55
20191213T19-05,52
20191213T18-05,44
20191213T17-05,-36
20191213T16-05,-37
20191213T15-05,-38
20191213T14-05,-39
20191213T13-05,-37
20191213T12-05,-41
20191213T11-05,-53
20191213T10-05,-40
20191213T09-05,-51
20191213T08-05,-55
20191213T07-05,-62
20191213T06-05,-63
20191213T05-05,-48
20191213T04-05,-61
20191213T03-05,-48
20191213T02-05,-55
20191213T01-05,-59
20191213T00-05,-60
20191212T23-05,-47
20191212T22-05,-58
20191212T21-05,-45
20191212T20-05,-39
20191212T19-05,35
20191212T18-05,46
20191212T17-05,60
20191212T16-05,-25
20191212T15-05,-35
20191212T14-05,-39
20191212T13-05,-49
20191212T12-05,-49
20191212T11-05,-41
20191212T10-05,-51
20191212T09-05,-55
20191212T08-05,-47
20191212T07-05,-38
20191212T06-05,-48
20191212T05-05,-38
20191212T04-05,-50
20191212T03-05,-45
20191212T02-05,-47
20191212T01-05,-47
20191212T00-05,-57
20191211T23-05,-44
20191211T22-05,-50
20191211T21-05,-50
20191211T20-05,-39
20191211T19-05,77
20191211T18-05,59
20191211T17-05,-39
20191211T16-05,-36
20191211T15-05,-42
20191211T14-05,-43
20191211T13-05,-45
20191211T12-05,-39
20191211T11-05,-51
20191211T10-05,-54
20191211T09-05,-52
20191211T08-05,-36
20191211T07-05,-47
20191211T06-05,-54
20191211T05-05,-50
20191211T04-05,-56
20191211T03-05,-65
20191211T02-05,-56
20191211T01-05,-59
20191211T00-05,-61
20191210T23-05,-47
20191210T22-05,-59
20191210T21-05,-30
20191210T20-05,-109
20191210T19-05,-110
20191210T18-05,-76
20191210T17-05,14
20191210T16-05,-28
20191210T15-05,-11
20191210T14-05,-4
20191210T13-05,-45
20191210T12-05,-34
20191210T11-05,-51
20191210T10-05,-44
20191210T09-05,-38
20191210T08-05,-49
20191210T07-05,-59
20191210T06-05,-53
20191210T05-05,-52
20191210T04-05,-54
20191210T03-05,-57
20191210T02-05,-49
20191210T01-05,-36
20191210T00-05,-50
20191209T23-05,4
20191209T22-05,-12
20191209T21-05,-17
20191209T20-05,-47
20191209T19-05,-44
20191209T18-05,-40
20191209T17-05,-22
20191209T16-05,-23
20191209T15-05,-37
20191209T14-05,-47
20191209T13-05,-36
20191209T12-05,-43
20191209T11-05,-46
20191209T10-05,-48
20191209T09-05,-42
20191209T08-05,-56
20191209T07-05,-41
20191209T06-05,-52
20191209T05-05,-54
20191209T04-05,-52
20191209T03-05,-53
20191209T02-05,-50
20191209T01-05,-46
20191209T00-05,-36
20191208T23-05,-45
20191208T22-05,-37
20191208T21-05,-34
20191208T20-05,-29
20191208T19-05,-34
20191208T18-05,-44
20191208T17-05,-34
20191208T16-05,-25
20191208T15-05,-38
20191208T14-05,-33
20191208T13-05,-42
20191208T12-05,-48
20191208T11-05,-55
20191208T10-05,-56
20191208T09-05,-51
20191208T08-05,-50
20191208T07-05,-61
20191208T06-05,-60
20191208T05-05,-63
20191208T04-05,-59
20191208T03-05,-53
20191208T02-05,-59
20191208T01-05,-54
20191208T00-05,-49
20191207T23-05,-50
20191207T22-05,-49
20191207T21-05,-42
20191207T20-05,-40
20191207T19-05,-44
20191207T18-05,-51
20191207T17-05,-25
20191207T16-05,-38
20191207T15-05,-35
