,Total interchange1
20200106T00-05,-1535
20200105T23-05,-1537
20200105T22-05,-1576
20200105T21-05,-1646
20200105T20-05,-1620
20200105T19-05,-1533
20200105T18-05,-1378
20200105T17-05,-1221
20200105T16-05,-1151
20200105T15-05,-1154
20200105T14-05,-1198
20200105T13-05,-1261
20200105T12-05,-1324
20200105T11-05,-1439
20200105T10-05,-1513
20200105T09-05,-1524
20200105T08-05,-1358
20200105T07-05,-1223
20200105T06-05,-1085
20200105T05-05,-997
20200105T04-05,-945
20200105T03-05,-909
20200105T02-05,-906
20200105T01-05,-940
20200105T00-05,-1003
20200104T23-05,-1028
20200104T22-05,-1088
20200104T21-05,-1150
20200104T20-05,-1180
20200104T19-05,-1235
20200104T18-05,-1167
20200104T17-05,-1117
20200104T16-05,-1159
20200104T15-05,-1181
20200104T14-05,-1206
20200104T13-05,-1243
20200104T12-05,-1244
20200104T11-05,-1230
20200104T10-05,-1191
20200104T09-05,-1069
20200104T08-05,-944
20200104T07-05,-915
20200104T06-05,-873
20200104T05-05,-855
20200104T04-05,-852
20200104T03-05,-865
20200104T02-05,-916
20200104T01-05,-1000
20200104T00-05,-1250
20200103T23-05,-1477
20200103T22-05,-1685
20200103T21-05,-1726
20200103T20-05,-1700
20200103T19-05,-1641
20200103T18-05,-1692
20200103T17-05,-1758
20200103T16-05,-1781
20200103T15-05,-1817
20200103T14-05,-1795
20200103T13-05,-1725
20200103T12-05,-1668
20200103T11-05,-1607
20200103T10-05,-1422
20200103T09-05,-1213
20200103T08-05,-1008
20200103T07-05,-976
20200103T06-05,-894
20200103T05-05,-817
20200103T04-05,-793
20200103T03-05,-805
20200103T02-05,-839
20200103T01-05,-902
20200103T00-05,-1113
20200102T23-05,-1340
20200102T22-05,-1548
20200102T21-05,-1645
20200102T20-05,-1729
20200102T19-05,-1798
20200102T18-05,-1722
20200102T17-05,-1650
20200102T16-05,-1619
20200102T15-05,-1594
20200102T14-05,-1571
20200102T13-05,-1554
20200102T12-05,-1419
20200102T11-05,-1299
20200102T10-05,-1230
20200102T09-05,-1281
20200102T08-05,-1313
20200102T07-05,-1241
20200102T06-05,-1136
20200102T05-05,-1058
20200102T04-05,-1015
20200102T03-05,-996
20200102T02-05,-1023
20200102T01-05,-1022
20200102T00-05,-1089
20200101T23-05,-1154
20200101T22-05,-1221
20200101T21-05,-1299
20200101T20-05,-1287
20200101T19-05,-1256
