,Total interchange1
20200106T00-05,686
20200105T23-05,690
20200105T22-05,625
20200105T21-05,644
20200105T20-05,737
20200105T19-05,711
20200105T18-05,695
20200105T17-05,642
20200105T16-05,685
20200105T15-05,720
20200105T14-05,765
20200105T13-05,791
20200105T12-05,786
20200105T11-05,860
20200105T10-05,843
20200105T09-05,799
20200105T08-05,703
20200105T07-05,687
20200105T06-05,588
20200105T05-05,620
20200105T04-05,680
20200105T03-05,653
20200105T02-05,651
20200105T01-05,732
20200105T00-05,624
20200104T23-05,625
20200104T22-05,632
20200104T21-05,613
20200104T20-05,667
20200104T19-05,763
20200104T18-05,848
20200104T17-05,788
20200104T16-05,778
20200104T15-05,794
20200104T14-05,822
20200104T13-05,801
20200104T12-05,777
20200104T11-05,798
20200104T10-05,795
20200104T09-05,783
20200104T08-05,796
20200104T07-05,847
20200104T06-05,832
20200104T05-05,753
20200104T04-05,766
20200104T03-05,752
20200104T02-05,829
20200104T01-05,864
20200104T00-05,653
20200103T23-05,669
20200103T22-05,743
20200103T21-05,780
20200103T20-05,878
20200103T19-05,597
20200103T18-05,640
20200103T17-05,812
20200103T16-05,687
20200103T15-05,932
20200103T14-05,874
20200103T13-05,740
20200103T12-05,851
20200103T11-05,644
20200103T10-05,685
20200103T09-05,631
20200103T08-05,591
20200103T07-05,593
20200103T06-05,604
20200103T05-05,699
20200103T04-05,786
20200103T03-05,915
20200103T02-05,884
20200103T01-05,731
20200103T00-05,694
20200102T23-05,522
20200102T22-05,594
20200102T21-05,638
20200102T20-05,488
20200102T19-05,484
20200102T18-05,539
20200102T17-05,374
20200102T16-05,276
20200102T15-05,343
20200102T14-05,218
20200102T13-05,236
20200102T12-05,301
20200102T11-05,406
20200102T10-05,509
20200102T09-05,479
20200102T08-05,449
20200102T07-05,487
20200102T06-05,464
20200102T05-05,432
20200102T04-05,445
20200102T03-05,413
20200102T02-05,415
20200102T01-05,446
20200102T00-05,632
20200101T23-05,452
20200101T22-05,422
20200101T21-05,418
20200101T20-05,432
20200101T19-05,423
20200101T18-05,395
20200101T17-05,267
20200101T16-05,313
20200101T15-05,330
20200101T14-05,215
20200101T13-05,251
20200101T12-05,289
20200101T11-05,289
20200101T10-05,354
20200101T09-05,409
20200101T08-05,378
20200101T07-05,527
20200101T06-05,605
20200101T05-05,500
20200101T04-05,540
20200101T03-05,604
20200101T02-05,450
20200101T01-05,588
20200101T00-05,315
20191231T23-05,306
20191231T22-05,303
20191231T21-05,290
20191231T20-05,312
20191231T19-05,247
20191231T18-05,317
20191231T17-05,316
20191231T16-05,296
20191231T15-05,309
20191231T14-05,314
20191231T13-05,290
20191231T12-05,302
20191231T11-05,334
20191231T10-05,222
20191231T09-05,270
20191231T08-05,282
20191231T07-05,321
20191231T06-05,356
20191231T05-05,296
20191231T04-05,190
20191231T03-05,171
20191231T02-05,220
20191231T01-05,241
20191231T00-05,158
20191230T23-05,311
20191230T22-05,308
20191230T21-05,286
20191230T20-05,252
20191230T19-05,242
20191230T18-05,289
20191230T17-05,269
20191230T16-05,349
20191230T15-05,272
20191230T14-05,225
20191230T13-05,158
20191230T12-05,192
20191230T11-05,176
20191230T10-05,207
20191230T09-05,248
20191230T08-05,285
20191230T07-05,190
20191230T06-05,137
20191230T05-05,55
20191230T04-05,39
20191230T03-05,25
20191230T02-05,76
20191230T01-05,133
20191230T00-05,152
20191229T23-05,247
20191229T22-05,220
20191229T21-05,256
20191229T20-05,361
20191229T19-05,439
20191229T18-05,458
20191229T17-05,395
20191229T16-05,426
20191229T15-05,432
20191229T14-05,361
20191229T13-05,381
20191229T12-05,360
20191229T11-05,340
20191229T10-05,297
20191229T09-05,265
20191229T08-05,213
20191229T07-05,112
20191229T06-05,69
20191229T05-05,78
20191229T04-05,76
20191229T03-05,54
20191229T02-05,79
20191229T01-05,104
20191229T00-05,174
20191228T23-05,310
20191228T22-05,241
20191228T21-05,260
20191228T20-05,266
20191228T19-05,217
20191228T18-05,251
20191228T17-05,287
20191228T16-05,229
20191228T15-05,253
20191228T14-05,255
20191228T13-05,302
20191228T12-05,287
20191228T11-05,291
20191228T10-05,242
20191228T09-05,256
20191228T08-05,207
20191228T07-05,97
20191228T06-05,17
20191228T05-05,61
20191228T04-05,66
20191228T03-05,45
20191228T02-05,88
20191228T01-05,94
20191228T00-05,133
20191227T23-05,244
20191227T22-05,261
20191227T21-05,234
20191227T20-05,274
20191227T19-05,237
20191227T18-05,261
20191227T17-05,277
20191227T16-05,184
20191227T15-05,171
20191227T14-05,246
20191227T13-05,253
20191227T12-05,270
20191227T11-05,302
20191227T10-05,366
20191227T09-05,345
20191227T08-05,337
20191227T07-05,206
20191227T06-05,166
20191227T05-05,105
20191227T04-05,63
20191227T03-05,85
20191227T02-05,71
20191227T01-05,162
20191227T00-05,60
20191226T23-05,98
20191226T22-05,207
20191226T21-05,244
20191226T20-05,239
20191226T19-05,216
20191226T18-05,237
20191226T17-05,220
20191226T16-05,225
20191226T15-05,204
20191226T14-05,206
20191226T13-05,194
20191226T12-05,146
20191226T11-05,135
20191226T10-05,168
20191226T09-05,161
20191226T08-05,174
20191226T07-05,303
20191226T06-05,224
20191226T05-05,110
20191226T04-05,84
20191226T03-05,68
20191226T02-05,58
20191226T01-05,35
20191226T00-05,49
20191225T23-05,138
20191225T22-05,148
20191225T21-05,239
20191225T20-05,166
20191225T19-05,193
20191225T18-05,253
20191225T17-05,279
20191225T16-05,246
20191225T15-05,244
20191225T14-05,226
