,Total interchange1
20191218T00-07,399
20191217T23-07,424
20191217T22-07,478
20191217T21-07,481
20191217T20-07,480
20191217T19-07,477
20191217T18-07,446
20191217T17-07,234
20191217T16-07,215
20191217T15-07,230
20191217T14-07,220
20191217T13-07,203
20191217T12-07,206
20191217T11-07,228
20191217T10-07,231
20191217T09-07,256
20191217T08-07,255
20191217T07-07,230
20191217T06-07,216
20191217T05-07,217
20191217T04-07,214
20191217T03-07,215
20191217T02-07,215
20191217T01-07,227
20191217T00-07,230
20191216T23-07,253
20191216T22-07,255
20191216T21-07,255
20191216T20-07,255
20191216T19-07,256
20191216T18-07,256
20191216T17-07,255
20191216T16-07,218
20191216T15-07,225
20191216T14-07,225
20191216T13-07,224
20191216T12-07,224
20191216T11-07,230
20191216T10-07,231
20191216T09-07,255
20191216T08-07,256
20191216T07-07,233
20191216T06-07,231
20191216T05-07,230
20191216T04-07,231
20191216T03-07,229
20191216T02-07,232
20191216T01-07,230
20191216T00-07,230
20191215T23-07,254
20191215T22-07,254
20191215T21-07,255
20191215T20-07,254
20191215T19-07,255
20191215T18-07,255
20191215T17-07,253
20191215T16-07,174
20191215T15-07,165
20191215T14-07,159
20191215T13-07,141
20191215T12-07,155
20191215T11-07,162
20191215T10-07,177
20191215T09-07,252
20191215T08-07,252
20191215T07-07,230
20191215T06-07,228
20191215T05-07,190
20191215T04-07,190
20191215T03-07,191
20191215T02-07,237
20191215T01-07,451
20191215T00-07,462
20191214T23-07,517
20191214T22-07,520
20191214T21-07,520
20191214T20-07,518
20191214T19-07,519
20191214T18-07,520
20191214T17-07,508
20191214T16-07,508
20191214T15-07,505
20191214T14-07,503
20191214T13-07,504
20191214T12-07,502
20191214T11-07,504
20191214T10-07,505
20191214T09-07,505
20191214T08-07,521
20191214T07-07,519
20191214T06-07,461
20191214T05-07,397
20191214T04-07,457
20191214T03-07,466
20191214T02-07,460
20191214T01-07,460
20191214T00-07,516
20191213T23-07,520
20191213T22-07,519
20191213T21-07,518
20191213T20-07,517
20191213T19-07,517
20191213T18-07,520
20191213T17-07,526
20191213T16-07,508
20191213T15-07,505
20191213T14-07,505
20191213T13-07,505
20191213T12-07,505
20191213T11-07,506
20191213T10-07,504
20191213T09-07,519
20191213T08-07,521
20191213T07-07,519
20191213T06-07,461
20191213T05-07,392
20191213T04-07,396
20191213T03-07,393
20191213T02-07,458
20191213T01-07,496
20191213T00-07,538
20191212T23-07,544
20191212T22-07,545
20191212T21-07,543
20191212T20-07,544
20191212T19-07,545
20191212T18-07,545
20191212T17-07,523
20191212T16-07,506
20191212T15-07,506
20191212T14-07,503
20191212T13-07,506
20191212T12-07,518
20191212T11-07,518
20191212T10-07,521
20191212T09-07,520
20191212T08-07,541
20191212T07-07,538
20191212T06-07,497
20191212T05-07,495
20191212T04-07,496
20191212T03-07,507
20191212T02-07,521
20191212T01-07,520
20191212T00-07,521
20191211T23-07,520
20191211T22-07,520
20191211T21-07,519
20191211T20-07,520
20191211T19-07,518
20191211T18-07,521
20191211T17-07,519
20191211T16-07,504
20191211T15-07,489
20191211T14-07,488
20191211T13-07,491
20191211T12-07,490
20191211T11-07,504
20191211T10-07,519
20191211T09-07,544
20191211T08-07,548
20191211T07-07,545
20191211T06-07,520
20191211T05-07,517
20191211T04-07,517
20191211T03-07,514
20191211T02-07,515
20191211T01-07,512
20191211T00-07,515
20191210T23-07,544
20191210T22-07,545
20191210T21-07,545
20191210T20-07,544
20191210T19-07,544
20191210T18-07,545
20191210T17-07,520
20191210T16-07,518
20191210T15-07,490
20191210T14-07,489
20191210T13-07,490
20191210T12-07,491
20191210T11-07,524
20191210T10-07,522
20191210T09-07,543
20191210T08-07,531
20191210T07-07,256
20191210T06-07,247
20191210T05-07,251
20191210T04-07,250
20191210T03-07,250
20191210T02-07,263
20191210T01-07,485
20191210T00-07,483
20191209T23-07,257
20191209T22-07,250
20191209T21-07,239
20191209T20-07,240
20191209T19-07,241
20191209T18-07,242
20191209T17-07,244
20191209T16-07,242
20191209T15-07,242
20191209T14-07,247
20191209T13-07,250
20191209T12-07,252
20191209T11-07,251
20191209T10-07,254
20191209T09-07,257
20191209T08-07,256
20191209T07-07,244
20191209T06-07,245
20191209T05-07,244
20191209T04-07,243
20191209T03-07,244
20191209T02-07,244
20191209T01-07,243
20191209T00-07,243
20191208T23-07,243
20191208T22-07,243
20191208T21-07,244
20191208T20-07,243
20191208T19-07,243
20191208T18-07,244
20191208T17-07,244
20191208T16-07,244
20191208T15-07,244
20191208T14-07,242
20191208T13-07,244
20191208T12-07,243
20191208T11-07,244
20191208T10-07,243
20191208T09-07,243
20191208T08-07,244
20191208T07-07,244
20191208T06-07,244
20191208T05-07,246
20191208T04-07,250
20191208T03-07,249
20191208T02-07,250
20191208T01-07,251
20191208T00-07,249
20191207T23-07,251
20191207T22-07,252
20191207T21-07,250
20191207T20-07,248
20191207T19-07,226
20191207T18-07,227
20191207T17-07,249
20191207T16-07,251
20191207T15-07,251
20191207T14-07,251
20191207T13-07,251
20191207T12-07,251
20191207T11-07,251
20191207T10-07,251
20191207T09-07,253
20191207T08-07,320
20191207T07-07,521
20191207T06-07,499
20191207T05-07,501
20191207T04-07,501
20191207T03-07,501
20191207T02-07,519
20191207T01-07,521
20191207T00-07,520
20191206T23-07,545
20191206T22-07,547
20191206T21-07,547
20191206T20-07,547
20191206T19-07,547
20191206T18-07,545
20191206T17-07,522
20191206T16-07,522
20191206T15-07,517
20191206T14-07,516
20191206T13-07,517
20191206T12-07,517
20191206T11-07,516
20191206T10-07,524
20191206T09-07,544
20191206T08-07,545
20191206T07-07,522
20191206T06-07,521
20191206T05-07,502
20191206T04-07,500
20191206T03-07,501
20191206T02-07,520
20191206T01-07,530
20191206T00-07,531
20191205T23-07,531
20191205T22-07,529
20191205T21-07,532
20191205T20-07,533
20191205T19-07,530
20191205T18-07,532
20191205T17-07,532
20191205T16-07,530
20191205T15-07,508
20191205T14-07,506
20191205T13-07,507
20191205T12-07,506
20191205T11-07,508
20191205T10-07,530
20191205T09-07,531
20191205T08-07,533
20191205T07-07,531
20191205T06-07,532
20191205T05-07,527
20191205T04-07,477
20191205T03-07,528
20191205T02-07,531
20191205T01-07,529
20191205T00-07,530
20191204T23-07,530
20191204T22-07,528
20191204T21-07,529
20191204T20-07,530
20191204T19-07,530
20191204T18-07,528
20191204T17-07,531
20191204T16-07,529
20191204T15-07,528
20191204T14-07,485
20191204T13-07,528
20191204T12-07,531
20191204T11-07,531
20191204T10-07,532
20191204T09-07,533
20191204T08-07,533
20191204T07-07,529
20191204T06-07,472
20191204T05-07,470
20191204T04-07,471
20191204T03-07,473
20191204T02-07,525
20191204T01-07,502
20191204T00-07,529
20191203T23-07,531
20191203T22-07,530
20191203T21-07,531
20191203T20-07,531
20191203T19-07,532
20191203T18-07,532
20191203T17-07,530
20191203T16-07,525
20191203T15-07,458
20191203T14-07,458
20191203T13-07,456
20191203T12-07,456
20191203T11-07,457
20191203T10-07,528
20191203T09-07,530
20191203T08-07,530
20191203T07-07,502
20191203T06-07,500
20191203T05-07,500
20191203T04-07,501
20191203T03-07,500
20191203T02-07,501
20191203T01-07,530
20191203T00-07,531
20191202T23-07,529
20191202T22-07,531
20191202T21-07,530
20191202T20-07,531
20191202T19-07,531
20191202T18-07,532
20191202T17-07,532
20191202T16-07,515
20191202T15-07,483
20191202T14-07,481
20191202T13-07,483
20191202T12-07,480
20191202T11-07,484
20191202T10-07,528
20191202T09-07,531
20191202T08-07,533
20191202T07-07,532
20191202T06-07,530
20191202T05-07,529
20191202T04-07,486
20191202T03-07,527
20191202T02-07,532
20191202T01-07,529
20191202T00-07,530
20191201T23-07,530
20191201T22-07,530
20191201T21-07,530
20191201T20-07,531
20191201T19-07,530
20191201T18-07,531
20191201T17-07,525
20191201T16-07,521
20191201T15-07,453
20191201T14-07,451
20191201T13-07,448
20191201T12-07,451
20191201T11-07,454
20191201T10-07,528
20191201T09-07,529
20191201T08-07,531
20191201T07-07,531
20191201T06-07,529
20191201T05-07,531
20191201T04-07,531
20191201T03-07,528
20191201T02-07,520
20191201T01-07,532
20191201T00-07,529
20191130T23-07,532
20191130T22-07,531
20191130T21-07,532
20191130T20-07,530
20191130T19-07,531
20191130T18-07,530
20191130T17-07,533
20191130T16-07,531
20191130T15-07,530
20191130T14-07,508
20191130T13-07,505
20191130T12-07,507
20191130T11-07,532
20191130T10-07,531
20191130T09-07,531
20191130T08-07,532
20191130T07-07,530
20191130T06-07,530
20191130T05-07,532
20191130T04-07,529
20191130T03-07,531
20191130T02-07,531
20191130T01-07,529
20191130T00-07,524
20191129T23-07,538
20191129T22-07,538
20191129T21-07,530
20191129T20-07,507
20191129T19-07,494
20191129T18-07,270
20191129T17-07,155
20191129T16-07,74
20191129T15-07,73
20191129T14-07,73
20191129T13-07,69
20191129T12-07,67
20191129T11-07,71
20191129T10-07,14
20191129T09-07,-4
20191129T08-07,-4
20191129T07-07,-5
20191129T06-07,-8
20191129T05-07,440
20191129T04-07,530
20191129T03-07,529
20191129T02-07,531
20191129T01-07,531
20191129T00-07,529
20191128T23-07,528
20191128T22-07,484
20191128T21-07,486
20191128T20-07,481
20191128T19-07,480
20191128T18-07,483
20191128T17-07,527
20191128T16-07,530
20191128T15-07,529
20191128T14-07,527
20191128T13-07,529
20191128T12-07,528
20191128T11-07,531
20191128T10-07,530
20191128T09-07,529
20191128T08-07,529
20191128T07-07,526
20191128T06-07,526
20191128T05-07,524
20191128T04-07,522
20191128T03-07,524
20191128T02-07,522
20191128T01-07,525
20191128T00-07,525
20191127T23-07,554
20191127T22-07,555
20191127T21-07,556
20191127T20-07,555
20191127T19-07,554
20191127T18-07,555
20191127T17-07,533
20191127T16-07,529
20191127T15-07,530
20191127T14-07,529
20191127T13-07,529
20191127T12-07,529
20191127T11-07,528
20191127T10-07,528
20191127T09-07,529
20191127T08-07,532
20191127T07-07,537
20191127T06-07,530
20191127T05-07,476
20191127T04-07,478
20191127T03-07,478
20191127T02-07,535
20191127T01-07,477
20191127T00-07,479
20191126T23-07,526
20191126T22-07,532
20191126T21-07,532
20191126T20-07,530
20191126T19-07,532
20191126T18-07,529
20191126T17-07,504
20191126T16-07,501
20191126T15-07,501
20191126T14-07,494
20191126T13-07,307
20191126T12-07,69
20191126T11-07,-4
20191126T10-07,-6
20191126T09-07,-3
20191126T08-07,-2
20191126T07-07,-3
20191126T06-07,-4
20191126T05-07,-6
20191126T04-07,428
20191126T03-07,542
20191126T02-07,473
20191126T01-07,455
20191126T00-07,466
20191125T23-07,537
20191125T22-07,544
20191125T21-07,545
20191125T20-07,545
20191125T19-07,543
20191125T18-07,545
20191125T17-07,532
20191125T16-07,532
20191125T15-07,531
20191125T14-07,529
20191125T13-07,529
20191125T12-07,530
20191125T11-07,529
20191125T10-07,530
20191125T09-07,545
20191125T08-07,548
20191125T07-07,528
20191125T06-07,330
20191125T05-07,329
20191125T04-07,328
20191125T03-07,326
20191125T02-07,330
