,Total interchange
20180503T07Z,621
20180503T06Z,615
20180503T05Z,684
20180503T04Z,666
20180503T03Z,732
20180503T02Z,686
20180503T01Z,638
20180503T00Z,461
20180502T23Z,424
20180502T22Z,444
20180502T21Z,437
20180502T20Z,392
20180502T19Z,351
20180502T18Z,352
20180502T17Z,433
20180502T16Z,368
20180502T15Z,384
20180502T14Z,455
20180502T13Z,430
20180502T12Z,444
20180502T11Z,470
20180502T10Z,462
20180502T09Z,386
20180502T08Z,390
20180502T07Z,362
20180502T06Z,398
20180502T05Z,621
20180502T04Z,708
20180502T03Z,732
20180502T02Z,713
20180502T01Z,622
20180502T00Z,589
20180501T23Z,641
20180501T22Z,651
20180501T21Z,656
20180501T20Z,667
20180501T19Z,593
20180501T18Z,551
20180501T17Z,489
20180501T16Z,504
20180501T15Z,528
20180501T14Z,679
20180501T13Z,606
20180501T12Z,547
20180501T11Z,548
20180501T10Z,557
20180501T09Z,538
20180501T08Z,575
20180501T07Z,613
20180501T06Z,582
20180501T05Z,647
20180501T04Z,704
20180501T03Z,683
20180501T02Z,675
20180501T01Z,623
20180501T00Z,614
20180430T23Z,663
20180430T22Z,648
20180430T21Z,610
20180430T20Z,618
20180430T19Z,623
20180430T18Z,592
20180430T17Z,547
20180430T16Z,488
20180430T15Z,536
20180430T14Z,690
20180430T13Z,682
20180430T12Z,562
20180430T11Z,538
20180430T10Z,525
20180430T09Z,562
20180430T08Z,612
20180430T07Z,628
20180430T06Z,625
20180430T05Z,667
20180430T04Z,701
20180430T03Z,705
20180430T02Z,700
20180430T01Z,599
20180430T00Z,622
20180429T23Z,611
20180429T22Z,653
20180429T21Z,649
20180429T20Z,502
20180429T19Z,430
20180429T18Z,435
20180429T17Z,471
20180429T16Z,454
20180429T15Z,475
20180429T14Z,537
20180429T13Z,595
20180429T12Z,549
20180429T11Z,525
20180429T10Z,529
20180429T09Z,519
20180429T08Z,542
20180429T07Z,638
20180429T06Z,730
20180429T05Z,759
20180429T04Z,778
20180429T03Z,775
20180429T02Z,737
20180429T01Z,667
20180429T00Z,602
20180428T23Z,611
20180428T22Z,674
20180428T21Z,643
20180428T20Z,621
20180428T19Z,616
20180428T18Z,675
20180428T17Z,679
20180428T16Z,619
20180428T15Z,510
20180428T14Z,499
20180428T13Z,559
20180428T12Z,543
20180428T11Z,593
20180428T10Z,599
20180428T09Z,665
20180428T08Z,715
20180428T07Z,732
20180428T06Z,743
20180428T05Z,764
20180428T04Z,762
20180428T03Z,757
20180428T02Z,751
20180428T01Z,752
20180428T00Z,754
20180427T23Z,756
20180427T22Z,756
20180427T21Z,759
20180427T20Z,681
20180427T19Z,695
20180427T18Z,686
20180427T17Z,616
20180427T16Z,619
20180427T15Z,590
20180427T14Z,667
20180427T13Z,661
20180427T12Z,598
20180427T11Z,595
20180427T10Z,620
20180427T09Z,680
20180427T08Z,726
20180427T07Z,743
20180427T06Z,754
20180427T05Z,779
20180427T04Z,776
20180427T03Z,776
20180427T02Z,775
20180427T01Z,774
20180427T00Z,770
20180426T23Z,773
20180426T22Z,775
20180426T21Z,785
20180426T20Z,716
20180426T19Z,700
20180426T18Z,650
20180426T17Z,651
20180426T16Z,659
20180426T15Z,566
20180426T14Z,566
20180426T13Z,571
20180426T12Z,558
20180426T11Z,556
20180426T10Z,556
20180426T09Z,602
20180426T08Z,615
20180426T07Z,705
20180426T06Z,778
20180426T05Z,790
20180426T04Z,784
20180426T03Z,781
20180426T02Z,779
20180426T01Z,780
20180426T00Z,779
20180425T23Z,785
20180425T22Z,784
20180425T21Z,740
20180425T20Z,709
20180425T19Z,712
20180425T18Z,695
