,Total interchange1
20191218T00-05,-3509
20191217T23-05,-3720
20191217T22-05,-3632
20191217T21-05,-3482
20191217T20-05,-3438
20191217T19-05,-3363
20191217T18-05,-3258
20191217T17-05,-3198
20191217T16-05,-3266
20191217T15-05,-3406
20191217T14-05,-3433
20191217T13-05,-3619
20191217T12-05,-3623
20191217T11-05,-3225
20191217T10-05,-3229
20191217T09-05,-3186
20191217T08-05,-2992
20191217T07-05,-2990
20191217T06-05,-3026
20191217T05-05,-3222
20191217T04-05,-3468
20191217T03-05,-3482
20191217T02-05,-3515
20191217T01-05,-3320
20191217T00-05,-3425
20191216T23-05,-3322
20191216T22-05,-3206
20191216T21-05,-3231
20191216T20-05,-3234
20191216T19-05,-3198
20191216T18-05,-3167
20191216T17-05,-3124
20191216T16-05,-3123
20191216T15-05,-3316
20191216T14-05,-3356
20191216T13-05,-3294
20191216T12-05,-3328
20191216T11-05,-3255
20191216T10-05,-3155
20191216T09-05,-3261
20191216T08-05,-3127
20191216T07-05,-3122
20191216T06-05,-3220
20191216T05-05,-2945
20191216T04-05,-2936
20191216T03-05,-2671
20191216T02-05,-2894
20191216T01-05,-3069
20191216T00-05,-3314
20191215T23-05,-3203
20191215T22-05,-3254
20191215T21-05,-3418
20191215T20-05,-3418
20191215T19-05,-3393
20191215T18-05,-3383
20191215T17-05,-3469
20191215T16-05,-3257
20191215T15-05,-3329
20191215T14-05,-3115
20191215T13-05,-3197
20191215T12-05,-3301
20191215T11-05,-3375
20191215T10-05,-3103
20191215T09-05,-3093
20191215T08-05,-2928
20191215T07-05,-2793
20191215T06-05,-2924
20191215T05-05,-2856
20191215T04-05,-2719
20191215T03-05,-2736
20191215T02-05,-2728
20191215T01-05,-3015
20191215T00-05,-3126
20191214T23-05,-3167
20191214T22-05,-3290
20191214T21-05,-3352
20191214T20-05,-3408
20191214T19-05,-3551
20191214T18-05,-3537
20191214T17-05,-3467
20191214T16-05,-3506
20191214T15-05,-3491
20191214T14-05,-3439
20191214T13-05,-3399
20191214T12-05,-3357
20191214T11-05,-3302
20191214T10-05,-3075
20191214T09-05,-2730
20191214T08-05,-2641
20191214T07-05,-2530
20191214T06-05,-3007
20191214T05-05,-2962
20191214T04-05,-3081
20191214T03-05,-2905
20191214T02-05,-2617
20191214T01-05,-2422
20191214T00-05,-2518
20191213T23-05,-2670
20191213T22-05,-3038
20191213T21-05,-3116
20191213T20-05,-3052
20191213T19-05,-2971
20191213T18-05,-2896
20191213T17-05,-2682
20191213T16-05,-2804
20191213T15-05,-2847
20191213T14-05,-2860
20191213T13-05,-2816
20191213T12-05,-2805
20191213T11-05,-2874
20191213T10-05,-2734
20191213T09-05,-3053
20191213T08-05,-2559
20191213T07-05,-2576
20191213T06-05,-2625
20191213T05-05,-2765
20191213T04-05,-2845
20191213T03-05,-2895
20191213T02-05,-3078
20191213T01-05,-3155
20191213T00-05,-3189
20191212T23-05,-2881
20191212T22-05,-3152
20191212T21-05,-3087
20191212T20-05,-2980
20191212T19-05,-2928
20191212T18-05,-2829
20191212T17-05,-3045
20191212T16-05,-3000
20191212T15-05,-3092
20191212T14-05,-3330
20191212T13-05,-3397
20191212T12-05,-3318
20191212T11-05,-3526
20191212T10-05,-3331
20191212T09-05,-3285
20191212T08-05,-3142
20191212T07-05,-3086
20191212T06-05,-3146
20191212T05-05,-3232
20191212T04-05,-3134
20191212T03-05,-3078
20191212T02-05,-3061
20191212T01-05,-3294
20191212T00-05,-3357
20191211T23-05,-3319
20191211T22-05,-3270
20191211T21-05,-3125
20191211T20-05,-3071
20191211T19-05,-2953
20191211T18-05,-2834
20191211T17-05,-3096
20191211T16-05,-3162
20191211T15-05,-3214
20191211T14-05,-3288
20191211T13-05,-3229
20191211T12-05,-3237
20191211T11-05,-3164
20191211T10-05,-2775
20191211T09-05,-2972
20191211T08-05,-2751
20191211T07-05,-2935
20191211T06-05,-2641
20191211T05-05,-2398
20191211T04-05,-2208
20191211T03-05,-2238
20191211T02-05,-2480
20191211T01-05,-2685
20191211T00-05,-3080
20191210T23-05,-2945
20191210T22-05,-2717
20191210T21-05,-2838
20191210T20-05,-2998
20191210T19-05,-2988
20191210T18-05,-2721
20191210T17-05,-3104
20191210T16-05,-3307
20191210T15-05,-2989
20191210T14-05,-2835
20191210T13-05,-2742
20191210T12-05,-3003
20191210T11-05,-3222
20191210T10-05,-2686
20191210T09-05,-2740
20191210T08-05,-2872
20191210T07-05,-2795
20191210T06-05,-2422
20191210T05-05,-2361
20191210T04-05,-2362
20191210T03-05,-2300
20191210T02-05,-2563
20191210T01-05,-2848
20191210T00-05,-2959
20191209T23-05,-3181
20191209T22-05,-3165
20191209T21-05,-3278
20191209T20-05,-3167
20191209T19-05,-3347
20191209T18-05,-3191
20191209T17-05,-3157
20191209T16-05,-3124
20191209T15-05,-3051
20191209T14-05,-3060
20191209T13-05,-3147
20191209T12-05,-3173
20191209T11-05,-3187
20191209T10-05,-3334
20191209T09-05,-3314
20191209T08-05,-3248
20191209T07-05,-3343
20191209T06-05,-3462
20191209T05-05,-3515
20191209T04-05,-3560
20191209T03-05,-3556
20191209T02-05,-3533
20191209T01-05,-3493
20191209T00-05,-3462
20191208T23-05,-3315
20191208T22-05,-3074
20191208T21-05,-3105
20191208T20-05,-2923
20191208T19-05,-2939
20191208T18-05,-2848
20191208T17-05,-2831
20191208T16-05,-2913
20191208T15-05,-2920
20191208T14-05,-2920
20191208T13-05,-2914
20191208T12-05,-2976
20191208T11-05,-3064
20191208T10-05,-2861
20191208T09-05,-2743
20191208T08-05,-2818
20191208T07-05,-2943
20191208T06-05,-2891
20191208T05-05,-2792
20191208T04-05,-2824
20191208T03-05,-2954
20191208T02-05,-2885
20191208T01-05,-2678
20191208T00-05,-2918
20191207T23-05,-3060
20191207T22-05,-2933
20191207T21-05,-3156
20191207T20-05,-3223
20191207T19-05,-3124
20191207T18-05,-3054
20191207T17-05,-3034
20191207T16-05,-3171
20191207T15-05,-3183
20191207T14-05,-3202
20191207T13-05,-3153
20191207T12-05,-3055
20191207T11-05,-3007
20191207T10-05,-3077
20191207T09-05,-3114
20191207T08-05,-3181
20191207T07-05,-3293
20191207T06-05,-3259
20191207T05-05,-3303
20191207T04-05,-3391
20191207T03-05,-3447
20191207T02-05,-3441
20191207T01-05,-3173
20191207T00-05,-3212
20191206T23-05,-3256
20191206T22-05,-3350
20191206T21-05,-3500
20191206T20-05,-3555
20191206T19-05,-3502
20191206T18-05,-3557
20191206T17-05,-3218
20191206T16-05,-3263
20191206T15-05,-2752
20191206T14-05,-2606
20191206T13-05,-2520
20191206T12-05,-2446
20191206T11-05,-2367
20191206T10-05,-2388
20191206T09-05,-2244
20191206T08-05,-2151
20191206T07-05,-2775
20191206T06-05,-3098
20191206T05-05,-3223
20191206T04-05,-3244
20191206T03-05,-3137
20191206T02-05,-3056
20191206T01-05,-3056
20191206T00-05,-2952
20191205T23-05,-3028
20191205T22-05,-3062
20191205T21-05,-2967
20191205T20-05,-2889
20191205T19-05,-2782
20191205T18-05,-2709
20191205T17-05,-2658
20191205T16-05,-2772
20191205T15-05,-2869
20191205T14-05,-2890
20191205T13-05,-2925
20191205T12-05,-2895
20191205T11-05,-2802
20191205T10-05,-2668
20191205T09-05,-2680
20191205T08-05,-2663
20191205T07-05,-2754
20191205T06-05,-2826
20191205T05-05,-2985
20191205T04-05,-3068
20191205T03-05,-3139
20191205T02-05,-3154
20191205T01-05,-3361
20191205T00-05,-3535
20191204T23-05,-3250
20191204T22-05,-3228
