,Total interchange1
20200106T00-08,-346
20200105T23-08,-396
20200105T22-08,-366
20200105T21-08,-383
20200105T20-08,-384
20200105T19-08,-473
20200105T18-08,-576
20200105T17-08,-505
20200105T16-08,-484
20200105T15-08,-570
20200105T14-08,-555
20200105T13-08,-493
20200105T12-08,-314
20200105T11-08,-281
20200105T10-08,-238
20200105T09-08,-280
20200105T08-08,-314
20200105T07-08,-328
20200105T06-08,-292
20200105T05-08,-268
20200105T04-08,-278
20200105T03-08,-335
20200105T02-08,-475
20200105T01-08,-381
20200105T00-08,-531
20200104T23-08,-689
20200104T22-08,-536
20200104T21-08,-595
20200104T20-08,-401
20200104T19-08,-369
20200104T18-08,-317
20200104T17-08,-389
20200104T16-08,-419
20200104T15-08,-501
20200104T14-08,-412
20200104T13-08,-406
20200104T12-08,-483
20200104T11-08,-561
20200104T10-08,-473
20200104T09-08,-337
20200104T08-08,-547
20200104T07-08,-509
20200104T06-08,-378
20200104T05-08,-276
20200104T04-08,-316
20200104T03-08,-454
20200104T02-08,-397
20200104T01-08,-395
20200104T00-08,-421
20200103T23-08,-463
20200103T22-08,-501
20200103T21-08,-577
20200103T20-08,-459
20200103T19-08,-454
20200103T18-08,-342
20200103T17-08,-436
20200103T16-08,-533
20200103T15-08,-418
20200103T14-08,-500
20200103T13-08,-557
20200103T12-08,-527
20200103T11-08,-475
20200103T10-08,-511
20200103T09-08,-559
20200103T08-08,-621
20200103T07-08,-417
20200103T06-08,-397
20200103T05-08,-418
20200103T04-08,-390
20200103T03-08,-422
20200103T02-08,-480
20200103T01-08,-490
20200103T00-08,-429
20200102T23-08,-527
20200102T22-08,-357
20200102T21-08,-312
20200102T20-08,-260
20200102T19-08,-272
20200102T18-08,-346
20200102T17-08,-281
20200102T16-08,-470
20200102T15-08,-375
20200102T14-08,-423
20200102T13-08,-447
20200102T12-08,-414
20200102T11-08,-431
20200102T10-08,-519
20200102T09-08,-443
20200102T08-08,-278
20200102T07-08,-195
20200102T06-08,-442
20200102T05-08,-491
20200102T04-08,-434
20200102T03-08,-427
20200102T02-08,-438
20200102T01-08,-433
20200102T00-08,-480
20200101T23-08,-542
20200101T22-08,-573
20200101T21-08,-597
20200101T20-08,-551
20200101T19-08,-592
20200101T18-08,-647
20200101T17-08,-501
20200101T16-08,-513
20200101T15-08,-509
20200101T14-08,-471
20200101T13-08,-467
20200101T12-08,-573
20200101T11-08,-523
20200101T10-08,-513
20200101T09-08,-544
20200101T08-08,-652
20200101T07-08,-548
20200101T06-08,-392
20200101T05-08,-341
20200101T04-08,-411
20200101T03-08,-500
20200101T02-08,-496
20200101T01-08,-483
20200101T00-08,-335
20191231T23-08,-347
20191231T22-08,-343
20191231T21-08,-367
20191231T20-08,-240
20191231T19-08,-229
20191231T18-08,-201
20191231T17-08,-361
20191231T16-08,-539
20191231T15-08,-667
20191231T14-08,-608
20191231T13-08,-581
20191231T12-08,-609
20191231T11-08,-428
20191231T10-08,-470
20191231T09-08,-491
20191231T08-08,-292
20191231T07-08,-257
20191231T06-08,-189
20191231T05-08,-360
20191231T04-08,-369
20191231T03-08,-407
20191231T02-08,-464
20191231T01-08,-458
20191231T00-08,-287
20191230T23-08,-220
20191230T22-08,-78
20191230T21-08,-81
20191230T20-08,-163
20191230T19-08,-197
20191230T18-08,8
20191230T17-08,-52
20191230T16-08,-225
20191230T15-08,-365
20191230T14-08,-478
20191230T13-08,-368
20191230T12-08,-240
20191230T11-08,-248
20191230T10-08,-227
20191230T09-08,-202
20191230T08-08,-24
20191230T07-08,-67
20191230T06-08,-190
20191230T05-08,-280
20191230T04-08,-359
20191230T03-08,-404
20191230T02-08,-246
20191230T01-08,-287
20191230T00-08,-201
20191229T23-08,-238
20191229T22-08,-91
20191229T21-08,-58
20191229T20-08,-145
20191229T19-08,-124
20191229T18-08,-139
20191229T17-08,-200
20191229T16-08,-431
20191229T15-08,-450
20191229T14-08,-488
20191229T13-08,-454
20191229T12-08,-463
20191229T11-08,-521
20191229T10-08,-420
20191229T09-08,-524
20191229T08-08,-501
20191229T07-08,-256
20191229T06-08,-295
