,Total interchange1
20191114T00-05,207
20191113T23-05,-484
20191113T22-05,-1314
20191113T21-05,-1457
20191113T20-05,-1390
20191113T19-05,-1474
20191113T18-05,-642
20191113T17-05,-498
20191113T16-05,-1400
20191113T15-05,-1354
20191113T14-05,-1027
20191113T13-05,-1058
20191113T12-05,-431
20191113T11-05,-639
20191113T10-05,-1073
20191113T09-05,-1240
20191113T08-05,396
20191113T07-05,496
20191113T06-05,1255
20191113T05-05,1364
20191113T04-05,1179
20191113T03-05,706
20191113T02-05,124
20191113T01-05,-519
20191113T00-05,-731
20191112T23-05,-60
20191112T22-05,-841
20191112T21-05,-1175
20191112T20-05,-1520
20191112T19-05,-1528
20191112T18-05,-496
20191112T17-05,-811
20191112T16-05,-961
20191112T15-05,-1142
20191112T14-05,-1342
20191112T13-05,-1962
20191112T12-05,-2743
20191112T11-05,-3680
20191112T10-05,-4999
20191112T09-05,-5253
20191112T08-05,-5808
20191112T07-05,-5235
20191112T06-05,-5417
20191112T05-05,-5628
20191112T04-05,-5827
20191112T03-05,-6404
20191112T02-05,-6158
20191112T01-05,-5048
20191112T00-05,-4518
20191111T23-05,-4063
20191111T22-05,-4021
20191111T21-05,-4024
20191111T20-05,-4543
20191111T19-05,-4724
20191111T18-05,-3650
20191111T17-05,-3599
20191111T16-05,-4071
20191111T15-05,-3810
20191111T14-05,-4243
20191111T13-05,-4536
20191111T12-05,-4402
20191111T11-05,-4341
20191111T10-05,-4920
20191111T09-05,-4417
20191111T08-05,-4190
20191111T07-05,-3766
20191111T06-05,-3403
20191111T05-05,-3499
20191111T04-05,-4152
20191111T03-05,-4117
20191111T02-05,-3590
20191111T01-05,-3971
20191111T00-05,-4115
20191110T23-05,-3586
20191110T22-05,-3201
20191110T21-05,-3014
20191110T20-05,-3134
20191110T19-05,-3005
20191110T18-05,-2529
20191110T17-05,-3150
20191110T16-05,-2743
20191110T15-05,-2964
20191110T14-05,-2960
20191110T13-05,-2851
20191110T12-05,-3304
20191110T11-05,-3394
20191110T10-05,-3123
20191110T09-05,-2777
20191110T08-05,-2724
20191110T07-05,-2653
20191110T06-05,-2901
20191110T05-05,-2884
20191110T04-05,-2987
20191110T03-05,-3737
20191110T02-05,-3349
20191110T01-05,-3472
20191110T00-05,-3771
20191109T23-05,-3266
20191109T22-05,-3762
20191109T21-05,-3713
20191109T20-05,-3314
20191109T19-05,-3060
20191109T18-05,-2987
20191109T17-05,-3124
20191109T16-05,-2949
20191109T15-05,-2870
20191109T14-05,-3284
20191109T13-05,-3509
20191109T12-05,-3308
20191109T11-05,-3614
20191109T10-05,-3317
20191109T09-05,-3146
20191109T08-05,-2986
20191109T07-05,-2475
20191109T06-05,-2407
20191109T05-05,-2504
20191109T04-05,-2558
20191109T03-05,-2971
20191109T02-05,-2866
20191109T01-05,-2983
20191109T00-05,-1873
20191108T23-05,-1608
20191108T22-05,-1834
20191108T21-05,-2269
20191108T20-05,-2474
20191108T19-05,-2683
20191108T18-05,-2446
20191108T17-05,-2540
20191108T16-05,-3506
20191108T15-05,-3706
20191108T14-05,-3758
20191108T13-05,-3921
20191108T12-05,-3457
20191108T11-05,-3849
20191108T10-05,-4091
20191108T09-05,-3438
20191108T08-05,-3512
20191108T07-05,-2535
20191108T06-05,-2142
20191108T05-05,-2232
20191108T04-05,-2267
20191108T03-05,-2338
20191108T02-05,-2439
20191108T01-05,-3237
20191108T00-05,-4161
20191107T23-05,-4365
20191107T22-05,-4372
20191107T21-05,-3956
20191107T20-05,-3906
20191107T19-05,-4434
20191107T18-05,-4227
20191107T17-05,-3740
20191107T16-05,-4376
20191107T15-05,-4469
20191107T14-05,-4838
20191107T13-05,-5317
20191107T12-05,-4769
20191107T11-05,-4795
20191107T10-05,-4364
20191107T09-05,-4268
20191107T08-05,-4137
20191107T07-05,-3838
20191107T06-05,-3630
20191107T05-05,-3243
20191107T04-05,-3987
20191107T03-05,-3956
20191107T02-05,-3471
20191107T01-05,-2625
20191107T00-05,-2969
20191106T23-05,-3072
20191106T22-05,-2543
20191106T21-05,-3184
20191106T20-05,-3550
20191106T19-05,-3200
20191106T18-05,-3096
20191106T17-05,-4005
20191106T16-05,-4269
20191106T15-05,-4395
20191106T14-05,-3867
20191106T13-05,-3930
20191106T12-05,-4035
20191106T11-05,-3696
20191106T10-05,-3431
20191106T09-05,-3228
20191106T08-05,-3191
20191106T07-05,-1917
20191106T06-05,-1551
20191106T05-05,-2329
20191106T04-05,-2732
20191106T03-05,-2837
20191106T02-05,-2725
20191106T01-05,-2931
20191106T00-05,-3180
20191105T23-05,-3785
20191105T22-05,-3979
20191105T21-05,-3929
20191105T20-05,-3987
20191105T19-05,-3873
20191105T18-05,-3439
20191105T17-05,-2804
20191105T16-05,-3327
20191105T15-05,-3397
20191105T14-05,-3348
20191105T13-05,-3324
20191105T12-05,-3286
20191105T11-05,-3456
20191105T10-05,-3299
20191105T09-05,-3218
20191105T08-05,-3201
20191105T07-05,-2414
20191105T06-05,-2237
20191105T05-05,-3021
20191105T04-05,-3055
20191105T03-05,-2930
20191105T02-05,-2935
20191105T01-05,-2776
20191105T00-05,-2752
20191104T23-05,-2814
20191104T22-05,-3152
20191104T21-05,-3445
20191104T20-05,-3713
20191104T19-05,-3490
20191104T18-05,-2808
20191104T17-05,-2866
20191104T16-05,-2741
