,Total interchange1
20191113T23-06,-739
20191113T22-06,-1510
20191113T21-06,-2181
20191113T20-06,-2469
20191113T19-06,-2555
20191113T18-06,-2955
20191113T17-06,-2364
20191113T16-06,-1904
20191113T15-06,-2827
20191113T14-06,-2863
20191113T13-06,-2670
20191113T12-06,-2596
20191113T11-06,-2042
20191113T10-06,-2155
20191113T09-06,-2333
20191113T08-06,-2279
20191113T07-06,-502
20191113T06-06,-486
20191113T05-06,-260
20191113T04-06,-131
20191113T03-06,-355
20191113T02-06,-742
20191113T01-06,-937
20191113T00-06,-1607
20191112T23-06,-1749
20191112T22-06,-1068
20191112T21-06,-1811
20191112T20-06,-2114
20191112T19-06,-2272
20191112T18-06,-2524
20191112T17-06,-1748
20191112T16-06,-1864
20191112T15-06,-2052
20191112T14-06,-2271
20191112T13-06,-2459
20191112T12-06,-2903
20191112T11-06,-3504
20191112T10-06,-4260
20191112T09-06,-5400
20191112T08-06,-5556
20191112T07-06,-5996
20191112T06-06,-5824
20191112T05-06,-5963
20191112T04-06,-6127
20191112T03-06,-6226
20191112T02-06,-6869
20191112T01-06,-6661
20191112T00-06,-5511
20191111T23-06,-5090
20191111T22-06,-4878
20191111T21-06,-4782
20191111T20-06,-4863
20191111T19-06,-5437
20191111T18-06,-5817
20191111T17-06,-4667
20191111T16-06,-4715
20191111T15-06,-5160
20191111T14-06,-4954
20191111T13-06,-5519
20191111T12-06,-5977
20191111T11-06,-5918
20191111T10-06,-5757
20191111T09-06,-6159
20191111T08-06,-5622
20191111T07-06,-5206
20191111T06-06,-4745
20191111T05-06,-4173
20191111T04-06,-4089
20191111T03-06,-4436
20191111T02-06,-4420
20191111T01-06,-4072
20191111T00-06,-4492
20191110T23-06,-4736
20191110T22-06,-4579
20191110T21-06,-4616
20191110T20-06,-4427
20191110T19-06,-4473
20191110T18-06,-4431
20191110T17-06,-4219
20191110T16-06,-4506
20191110T15-06,-4108
20191110T14-06,-4342
20191110T13-06,-4322
20191110T12-06,-4248
20191110T11-06,-4605
20191110T10-06,-4605
20191110T09-06,-4217
20191110T08-06,-3730
20191110T07-06,-3693
20191110T06-06,-3379
20191110T05-06,-3369
20191110T04-06,-3249
20191110T03-06,-3302
20191110T02-06,-4032
20191110T01-06,-3833
20191110T00-06,-4211
20191109T23-06,-4587
20191109T22-06,-4357
20191109T21-06,-4912
20191109T20-06,-4925
20191109T19-06,-4541
20191109T18-06,-4478
20191109T17-06,-4473
20191109T16-06,-4542
