,Total interchange
20191113T08Z,-520
20191113T07Z,-575
20191113T06Z,-562
20191113T05Z,-549
20191113T04Z,-403
20191113T03Z,-316
20191113T02Z,-266
20191113T01Z,-264
20191113T00Z,-322
20191112T23Z,-386
20191112T22Z,-106
20191112T21Z,-128
20191112T20Z,-184
20191112T19Z,-161
20191112T18Z,-34
20191112T17Z,-26
20191112T16Z,-206
20191112T15Z,-350
20191112T14Z,-340
20191112T13Z,-332
20191112T12Z,-360
20191112T11Z,-236
20191112T10Z,-260
20191112T09Z,-299
20191112T08Z,-315
20191112T07Z,-394
20191112T06Z,-313
20191112T05Z,-442
20191112T04Z,-446
20191112T03Z,-436
20191112T02Z,-416
20191112T01Z,-340
20191112T00Z,-270
20191111T23Z,-241
20191111T22Z,-279
20191111T21Z,-226
20191111T20Z,-184
20191111T19Z,-114
20191111T18Z,-74
20191111T17Z,15
20191111T16Z,-147
20191111T15Z,-271
20191111T14Z,-306
20191111T13Z,-235
20191111T12Z,-265
20191111T11Z,-292
20191111T10Z,-417
20191111T09Z,-467
20191111T08Z,-355
20191111T07Z,-292
20191111T06Z,-379
20191111T05Z,-442
20191111T04Z,-504
20191111T03Z,-330
20191111T02Z,-398
20191111T01Z,-293
20191111T00Z,-78
20191110T23Z,49
20191110T22Z,-14
20191110T21Z,-110
20191110T20Z,-86
20191110T19Z,-18
20191110T18Z,36
20191110T17Z,54
20191110T16Z,-172
20191110T15Z,-447
20191110T14Z,-531
20191110T13Z,-502
20191110T12Z,-427
20191110T11Z,-438
20191110T10Z,-435
20191110T09Z,-446
20191110T08Z,-451
20191110T07Z,-380
20191110T06Z,-334
20191110T05Z,-395
20191110T04Z,-258
20191110T03Z,-103
20191110T02Z,-156
20191110T01Z,-221
20191110T00Z,-328
20191109T23Z,-256
20191109T22Z,-257
20191109T21Z,-164
20191109T20Z,-121
20191109T19Z,-98
20191109T18Z,-77
20191109T17Z,-51
20191109T16Z,-140
20191109T15Z,-441
20191109T14Z,-535
20191109T13Z,-389
20191109T12Z,-394
20191109T11Z,-410
20191109T10Z,-429
20191109T09Z,-500
20191109T08Z,-599
