,Total interchange
20191113T07Z,7126
20191113T06Z,6960
20191113T05Z,6842
20191113T04Z,7722
20191113T03Z,7485
20191113T02Z,7845
20191113T01Z,7320
20191113T00Z,7817
20191112T23Z,7361
20191112T22Z,7280
20191112T21Z,4543
20191112T20Z,4311
20191112T19Z,3898
20191112T18Z,4004
20191112T17Z,4243
20191112T16Z,6828
20191112T15Z,6439
20191112T14Z,6082
20191112T13Z,6030
20191112T12Z,6131
20191112T11Z,6166
20191112T10Z,6972
20191112T09Z,6882
20191112T08Z,5590
20191112T07Z,5193
20191112T06Z,5720
20191112T05Z,5442
20191112T04Z,5602
20191112T03Z,5129
20191112T02Z,5508
20191112T01Z,5234
20191112T00Z,4961
20191111T23Z,4709
20191111T22Z,4775
20191111T21Z,4880
20191111T20Z,4698
20191111T19Z,4282
20191111T18Z,4260
20191111T17Z,4989
20191111T16Z,5500
20191111T15Z,6362
20191111T14Z,7342
20191111T13Z,8160
20191111T12Z,5073
20191111T11Z,5465
20191111T10Z,5609
20191111T09Z,5434
20191111T08Z,7845
20191111T07Z,8031
20191111T06Z,8518
20191111T05Z,8296
20191111T04Z,8661
20191111T03Z,9662
20191111T02Z,9420
20191111T01Z,9227
20191111T00Z,8883
20191110T23Z,9111
20191110T22Z,9101
20191110T21Z,8052
20191110T20Z,7491
20191110T19Z,7271
20191110T18Z,7602
20191110T17Z,8137
20191110T16Z,9493
20191110T15Z,9976
20191110T14Z,6661
20191110T13Z,6549
20191110T12Z,6403
20191110T11Z,6570
20191110T10Z,6648
20191110T09Z,6682
20191110T08Z,6661
20191110T07Z,6849
20191110T06Z,7172
20191110T05Z,7256
20191110T04Z,7406
20191110T03Z,7603
20191110T02Z,8216
20191110T01Z,7753
20191110T00Z,7964
20191109T23Z,8736
20191109T22Z,8815
20191109T21Z,8438
20191109T20Z,8279
20191109T19Z,8127
20191109T18Z,6257
20191109T17Z,6035
20191109T16Z,6286
20191109T15Z,6175
20191109T14Z,6289
20191109T13Z,6308
20191109T12Z,6476
20191109T11Z,6658
20191109T10Z,6521
20191109T09Z,6602
20191109T08Z,8610
20191109T07Z,7825
20191109T06Z,7358
20191109T05Z,7754
20191109T04Z,8173
20191109T03Z,8561
20191109T02Z,8783
20191109T01Z,7560
20191109T00Z,6725
20191108T23Z,6736
20191108T22Z,6286
20191108T21Z,6114
20191108T20Z,5598
20191108T19Z,5476
20191108T18Z,5555
20191108T17Z,5673
20191108T16Z,5794
20191108T15Z,6400
20191108T14Z,7033
20191108T13Z,7469
20191108T12Z,7448
20191108T11Z,7605
20191108T10Z,7658
20191108T09Z,7749
20191108T08Z,6602
20191108T07Z,6751
20191108T06Z,7394
20191108T05Z,7140
20191108T04Z,7090
20191108T03Z,7310
20191108T02Z,6853
20191108T01Z,6809
20191108T00Z,6606
20191107T23Z,4624
20191107T22Z,5231
20191107T21Z,5041
20191107T20Z,4930
20191107T19Z,4391
20191107T18Z,4270
20191107T17Z,4229
20191107T16Z,4600
20191107T15Z,4898
20191107T14Z,5352
20191107T13Z,6229
20191107T12Z,6203
20191107T11Z,6795
20191107T10Z,7141
20191107T09Z,7524
20191107T08Z,5256
20191107T07Z,5504
20191107T06Z,6998
20191107T05Z,7022
20191107T04Z,7106
20191107T03Z,7028
20191107T02Z,7099
20191107T01Z,7486
20191107T00Z,7552
20191106T23Z,6285
20191106T22Z,5781
20191106T21Z,5209
20191106T20Z,4887
20191106T19Z,4759
20191106T18Z,5524
20191106T17Z,6302
20191106T16Z,7188
20191106T15Z,4151
20191106T14Z,4150
20191106T13Z,4497
20191106T12Z,4527
20191106T11Z,5001
20191106T10Z,5236
20191106T09Z,5356
20191106T08Z,5341
20191106T07Z,5478
20191106T06Z,5770
20191106T05Z,6024
20191106T04Z,6032
20191106T03Z,5909
20191106T02Z,5574
20191106T01Z,5268
20191106T00Z,5186
20191105T23Z,4440
20191105T22Z,3984
20191105T21Z,2960
20191105T20Z,2853
20191105T19Z,2450
20191105T18Z,2340
20191105T17Z,3817
20191105T16Z,4170
20191105T15Z,4988
20191105T14Z,4893
20191105T13Z,5761
20191105T12Z,3450
20191105T11Z,3361
20191105T10Z,3640
20191105T09Z,6327
20191105T08Z,3985
20191105T07Z,4244
20191105T06Z,4609
20191105T05Z,4277
20191105T04Z,4264
20191105T03Z,3770
20191105T02Z,3390
20191105T01Z,3281
20191105T00Z,2869
20191104T23Z,2686
20191104T22Z,2518
20191104T21Z,2616
20191104T20Z,2702
20191104T19Z,2064
20191104T18Z,1648
20191104T17Z,1992
20191104T16Z,1998
20191104T15Z,3174
20191104T14Z,3164
20191104T13Z,3401
20191104T12Z,2585
20191104T11Z,2952
20191104T10Z,3625
20191104T09Z,4359
20191104T08Z,3693
20191104T07Z,3969
20191104T06Z,3863
20191104T05Z,4166
20191104T04Z,4130
20191104T03Z,4814
20191104T02Z,5037
20191104T01Z,4821
20191104T00Z,4330
20191103T23Z,3581
20191103T22Z,3075
20191103T21Z,3143
20191103T20Z,3131
20191103T19Z,2532
20191103T18Z,3133
20191103T17Z,2865
20191103T16Z,3118
20191103T15Z,4212
20191103T14Z,4168
20191103T13Z,4627
20191103T12Z,4787
20191103T11Z,4722
20191103T10Z,4490
20191103T09Z,4459
20191103T08Z,5053
20191103T07Z,2064
20191103T06Z,675
20191103T05Z,1672
20191103T04Z,1584
20191103T03Z,1643
20191103T02Z,2019
20191103T01Z,1344
20191103T00Z,1082
20191102T23Z,472
20191102T22Z,119
20191102T21Z,-174
20191102T20Z,582
20191102T19Z,676
20191102T18Z,231
20191102T17Z,949
20191102T16Z,1246
20191102T15Z,1116
20191102T14Z,863
20191102T13Z,270
20191102T12Z,532
20191102T11Z,812
20191102T10Z,1851
20191102T09Z,2737
20191102T08Z,2024
20191102T07Z,1569
20191102T06Z,2977
20191102T05Z,3055
20191102T04Z,2913
20191102T03Z,2373
20191102T02Z,2665
20191102T01Z,2691
20191102T00Z,2505
20191101T23Z,1956
20191101T22Z,1763
20191101T21Z,1233
20191101T20Z,447
20191101T19Z,610
20191101T18Z,674
20191101T17Z,797
20191101T16Z,1356
20191101T15Z,1387
20191101T14Z,1233
20191101T13Z,1836
20191101T12Z,1341
20191101T11Z,1595
20191101T10Z,1548
20191101T09Z,1525
20191101T08Z,1757
20191101T07Z,71
20191101T06Z,720
20191101T05Z,1730
20191101T04Z,1419
20191101T03Z,1049
20191101T02Z,872
20191101T01Z,1143
20191101T00Z,624
20191031T23Z,-254
20191031T22Z,-757
20191031T21Z,-1177
20191031T20Z,-1554
20191031T19Z,-1535
20191031T18Z,-1153
20191031T17Z,-614
20191031T16Z,129
20191031T15Z,19
20191031T14Z,-153
20191031T13Z,-762
20191031T12Z,-1177
20191031T11Z,-1286
20191031T10Z,-1017
20191031T09Z,-650
20191031T08Z,-598
20191031T07Z,-1770
20191031T06Z,-979
20191031T05Z,616
20191031T04Z,450
20191031T03Z,-156
20191031T02Z,-519
20191031T01Z,-944
20191031T00Z,-1284
20191030T23Z,-2430
20191030T22Z,-2429
20191030T21Z,-2214
20191030T20Z,-2076
20191030T19Z,-2916
20191030T18Z,-2482
20191030T17Z,-2771
20191030T16Z,-2230
20191030T15Z,-2564
20191030T14Z,-2625
20191030T13Z,-2136
20191030T12Z,-2369
20191030T11Z,-2326
20191030T10Z,-2287
20191030T09Z,-1888
20191030T08Z,-1388
20191030T07Z,398
20191030T06Z,-54
20191030T05Z,415
20191030T04Z,69
20191030T03Z,23
20191030T02Z,-25
20191030T01Z,105
20191030T00Z,-285
20191029T23Z,-1322
20191029T22Z,-1661
20191029T21Z,-1347
20191029T20Z,-890
20191029T19Z,-632
20191029T18Z,-2840
20191029T17Z,310
20191029T16Z,988
20191029T15Z,1308
20191029T14Z,1070
20191029T13Z,1387
20191029T12Z,1777
20191029T11Z,2387
20191029T10Z,2363
20191029T09Z,2440
20191029T08Z,2357
20191029T07Z,2559
20191029T06Z,2986
20191029T05Z,2871
20191029T04Z,2157
20191029T03Z,1707
20191029T02Z,1174
20191029T01Z,1139
20191029T00Z,866
20191028T23Z,493
20191028T22Z,729
20191028T21Z,1071
20191028T20Z,440
20191028T19Z,545
20191028T18Z,674
20191028T17Z,969
20191028T16Z,965
20191028T15Z,1118
20191028T14Z,1160
20191028T13Z,1235
20191028T12Z,705
20191028T11Z,651
20191028T10Z,342
20191028T09Z,364
20191028T08Z,143
20191028T07Z,2009
20191028T06Z,2778
20191028T05Z,2953
20191028T04Z,2969
20191028T03Z,2439
20191028T02Z,2537
20191028T01Z,2691
20191028T00Z,2592
20191027T23Z,1769
20191027T22Z,756
20191027T21Z,539
20191027T20Z,234
20191027T19Z,413
20191027T18Z,797
20191027T17Z,1132
20191027T16Z,2177
20191027T15Z,3207
20191027T14Z,3297
20191027T13Z,3388
20191027T12Z,3300
20191027T11Z,3388
20191027T10Z,3610
20191027T09Z,3313
20191027T08Z,3497
20191027T07Z,4829
20191027T06Z,4371
20191027T05Z,6012
20191027T04Z,6103
20191027T03Z,6216
20191027T02Z,6345
20191027T01Z,6028
20191027T00Z,5430
20191026T23Z,4579
20191026T22Z,4419
20191026T21Z,3847
20191026T20Z,3861
20191026T19Z,3693
20191026T18Z,3415
20191026T17Z,4061
20191026T16Z,4977
20191026T15Z,5267
20191026T14Z,5409
20191026T13Z,5491
20191026T12Z,5636
20191026T11Z,5834
20191026T10Z,6026
20191026T09Z,6135
20191026T08Z,6266
20191026T07Z,6418
20191026T06Z,6688
20191026T05Z,7164
20191026T04Z,6767
20191026T03Z,7393
20191026T02Z,7292
20191026T01Z,7274
20191026T00Z,7449
20191025T23Z,6745
20191025T22Z,6533
20191025T21Z,6682
20191025T20Z,6272
20191025T19Z,6051
20191025T18Z,5653
20191025T17Z,5565
20191025T16Z,5962
20191025T15Z,5596
20191025T14Z,5477
20191025T13Z,4680
20191025T12Z,4629
20191025T11Z,4663
20191025T10Z,4806
20191025T09Z,4800
20191025T08Z,4817
20191025T07Z,5091
20191025T06Z,5168
20191025T05Z,4997
20191025T04Z,5055
20191025T03Z,4231
20191025T02Z,4331
20191025T01Z,4532
20191025T00Z,4618
20191024T23Z,4684
20191024T22Z,4531
20191024T21Z,4511
20191024T20Z,4317
20191024T19Z,3957
20191024T18Z,3687
20191024T17Z,3790
20191024T16Z,4205
20191024T15Z,4281
20191024T14Z,3793
20191024T13Z,4499
20191024T12Z,4493
20191024T11Z,4024
20191024T10Z,3961
20191024T09Z,4036
20191024T08Z,3807
20191024T07Z,3883
20191024T06Z,4107
20191024T05Z,4140
20191024T04Z,4324
20191024T03Z,4065
20191024T02Z,4092
20191024T01Z,3906
20191024T00Z,3097
20191023T23Z,3895
20191023T22Z,3814
20191023T21Z,3680
20191023T20Z,3918
20191023T19Z,2998
20191023T18Z,3244
20191023T17Z,3695
20191023T16Z,3708
20191023T15Z,3813
20191023T14Z,4003
20191023T13Z,4461
20191023T12Z,4064
20191023T11Z,3878
20191023T10Z,3935
20191023T09Z,4270
20191023T08Z,4779
20191023T07Z,5948
20191023T06Z,6247
20191023T05Z,5778
20191023T04Z,5387
20191023T03Z,4914
20191023T02Z,3841
20191023T01Z,5078
20191023T00Z,4996
20191022T23Z,5784
20191022T22Z,6234
20191022T21Z,5469
20191022T20Z,4951
20191022T19Z,4854
20191022T18Z,4486
20191022T17Z,4439
20191022T16Z,5193
20191022T15Z,5503
20191022T14Z,5578
20191022T13Z,5835
20191022T12Z,5450
20191022T11Z,5702
20191022T10Z,5941
20191022T09Z,6322
20191022T08Z,6747
20191022T07Z,6252
20191022T06Z,6227
20191022T05Z,6038
20191022T04Z,5828
20191022T03Z,5767
20191022T02Z,5698
20191022T01Z,5723
20191022T00Z,4900
20191021T23Z,4411
20191021T22Z,4350
20191021T21Z,4356
20191021T20Z,4607
20191021T19Z,4493
20191021T18Z,6733
20191021T17Z,4632
20191021T16Z,5407
20191021T15Z,5729
20191021T14Z,5173
20191021T13Z,5511
20191021T12Z,5607
20191021T11Z,5613
20191021T10Z,5519
20191021T09Z,5298
20191021T08Z,5173
20191021T07Z,5853
20191021T06Z,5963
20191021T05Z,5835
20191021T04Z,5579
20191021T03Z,5129
20191021T02Z,4640
20191021T01Z,4131
20191021T00Z,3670
20191020T23Z,3066
20191020T22Z,2540
20191020T21Z,2721
20191020T20Z,2600
20191020T19Z,2358
20191020T18Z,2117
20191020T17Z,2495
20191020T16Z,3661
20191020T15Z,4591
20191020T14Z,4751
20191020T13Z,4617
20191020T12Z,4874
20191020T11Z,5261
20191020T10Z,5601
20191020T09Z,6181
20191020T08Z,6127
20191020T07Z,6523
20191020T06Z,6718
20191020T05Z,5701
20191020T04Z,5627
20191020T03Z,5846
20191020T02Z,5788
20191020T01Z,6356
20191020T00Z,5947
20191019T23Z,4914
20191019T22Z,4327
20191019T21Z,4716
20191019T20Z,4822
20191019T19Z,4853
20191019T18Z,5014
20191019T17Z,4708
20191019T16Z,4644
20191019T15Z,4462
20191019T14Z,4414
20191019T13Z,4854
20191019T12Z,4681
20191019T11Z,4398
20191019T10Z,4451
20191019T09Z,4488
20191019T08Z,4748
20191019T07Z,5220
20191019T06Z,5095
20191019T05Z,4324
20191019T04Z,4010
20191019T03Z,3928
20191019T02Z,3916
20191019T01Z,5225
20191019T00Z,5323
20191018T23Z,5064
20191018T22Z,4830
20191018T21Z,5075
20191018T20Z,4745
20191018T19Z,4990
20191018T18Z,5307
20191018T17Z,4993
20191018T16Z,4865
20191018T15Z,4547
20191018T14Z,4796
20191018T13Z,5843
20191018T12Z,6233
20191018T11Z,6659
20191018T10Z,6374
20191018T09Z,6923
20191018T08Z,7219
20191018T07Z,7747
20191018T06Z,7092
20191018T05Z,6425
20191018T04Z,6216
20191018T03Z,5980
20191018T02Z,5643
20191018T01Z,5994
20191018T00Z,5774
20191017T23Z,5316
20191017T22Z,5699
20191017T21Z,5078
20191017T20Z,4513
20191017T19Z,4841
20191017T18Z,4367
20191017T17Z,4224
20191017T16Z,4296
20191017T15Z,3838
20191017T14Z,3846
20191017T13Z,4471
20191017T12Z,4887
20191017T11Z,5218
20191017T10Z,5377
20191017T09Z,5885
20191017T08Z,5800
20191017T07Z,5748
20191017T06Z,5648
20191017T05Z,5568
20191017T04Z,4738
20191017T03Z,4271
20191017T02Z,4307
20191017T01Z,4540
20191017T00Z,3041
20191016T23Z,4181
20191016T22Z,4105
20191016T21Z,3195
20191016T20Z,2957
20191016T19Z,2943
20191016T18Z,3142
20191016T17Z,3212
20191016T16Z,3417
20191016T15Z,3474
20191016T14Z,3129
20191016T13Z,3610
20191016T12Z,4252
20191016T11Z,4193
20191016T10Z,4395
20191016T09Z,4754
20191016T08Z,4660
20191016T07Z,3991
20191016T06Z,3698
20191016T05Z,3888
20191016T04Z,3782
20191016T03Z,3758
20191016T02Z,3064
20191016T01Z,2822
20191016T00Z,2414
20191015T23Z,1931
20191015T22Z,1666
20191015T21Z,1940
20191015T20Z,1948
20191015T19Z,1936
20191015T18Z,2075
20191015T17Z,2205
20191015T16Z,1935
20191015T15Z,1905
20191015T14Z,1913
20191015T13Z,1743
20191015T12Z,1971
20191015T11Z,2378
20191015T10Z,2486
20191015T09Z,2263
20191015T08Z,2678
20191015T07Z,2314
20191015T06Z,3687
20191015T05Z,3807
20191015T04Z,4050
20191015T03Z,3993
20191015T02Z,3957
20191015T01Z,2925
20191015T00Z,2226
20191014T23Z,1913
20191014T22Z,1636
20191014T21Z,1387
20191014T20Z,1545
20191014T19Z,1769
20191014T18Z,2228
20191014T17Z,3656
20191014T16Z,3789
20191014T15Z,4363
20191014T14Z,4097
20191014T13Z,3785
20191014T12Z,3224
20191014T11Z,3507
20191014T10Z,3471
20191014T09Z,3668
20191014T08Z,3817
20191014T07Z,3942
20191014T06Z,4485
20191014T05Z,4750
20191014T04Z,4673
20191014T03Z,5048
20191014T02Z,4920
20191014T01Z,4158
20191014T00Z,2547
20191013T23Z,1676
20191013T22Z,1098
20191013T21Z,1142
20191013T20Z,368
20191013T19Z,295
20191013T18Z,856
20191013T17Z,915
20191013T16Z,1576
20191013T15Z,2209
20191013T14Z,2118
20191013T13Z,2320
20191013T12Z,2074
20191013T11Z,2223
20191013T10Z,2389
20191013T09Z,2433
20191013T08Z,2719
20191013T07Z,3461
20191013T06Z,4254
20191013T05Z,4328
20191013T04Z,4466
20191013T03Z,4115
20191013T02Z,4231
20191013T01Z,3814
20191013T00Z,2704
20191012T23Z,2073
20191012T22Z,1706
20191012T21Z,1519
20191012T20Z,1472
20191012T19Z,1350
20191012T18Z,1336
20191012T17Z,1949
20191012T16Z,1805
20191012T15Z,2476
20191012T14Z,2491
20191012T13Z,3351
20191012T12Z,3124
20191012T11Z,3001
20191012T10Z,3503
20191012T09Z,3691
20191012T08Z,4032
20191012T07Z,4763
20191012T06Z,5096
20191012T05Z,4866
20191012T04Z,5219
20191012T03Z,4858
20191012T02Z,5316
20191012T01Z,4953
20191012T00Z,4353
20191011T23Z,3124
