,Total interchange1
20200106T00-07,838
20200105T23-07,797
20200105T22-07,719
20200105T21-07,666
20200105T20-07,574
20200105T19-07,526
20200105T18-07,546
20200105T17-07,653
20200105T16-07,714
20200105T15-07,824
20200105T14-07,829
20200105T13-07,799
20200105T12-07,723
20200105T11-07,682
20200105T10-07,737
20200105T09-07,787
20200105T08-07,824
20200105T07-07,883
20200105T06-07,864
20200105T05-07,937
20200105T04-07,939
20200105T03-07,952
20200105T02-07,935
20200105T01-07,994
20200105T00-07,985
20200104T23-07,910
20200104T22-07,871
20200104T21-07,781
20200104T20-07,756
20200104T19-07,749
20200104T18-07,799
20200104T17-07,833
20200104T16-07,817
20200104T15-07,823
20200104T14-07,813
20200104T13-07,802
20200104T12-07,833
20200104T11-07,703
20200104T10-07,721
20200104T09-07,730
20200104T08-07,763
20200104T07-07,833
20200104T06-07,866
20200104T05-07,878
20200104T04-07,880
20200104T03-07,911
20200104T02-07,927
20200104T01-07,892
20200104T00-07,923
20200103T23-07,890
20200103T22-07,898
20200103T21-07,884
20200103T20-07,829
20200103T19-07,861
20200103T18-07,908
20200103T17-07,954
20200103T16-07,928
20200103T15-07,930
20200103T14-07,905
20200103T13-07,947
20200103T12-07,1028
20200103T11-07,1011
20200103T10-07,1015
20200103T09-07,992
20200103T08-07,1020
20200103T07-07,1064
20200103T06-07,1091
20200103T05-07,1175
20200103T04-07,1201
20200103T03-07,1217
20200103T02-07,1211
20200103T01-07,1121
20200103T00-07,1055
20200102T23-07,955
20200102T22-07,895
20200102T21-07,875
20200102T20-07,865
20200102T19-07,887
20200102T18-07,892
20200102T17-07,968
20200102T16-07,1019
20200102T15-07,1034
20200102T14-07,1051
20200102T13-07,1075
20200102T12-07,1017
20200102T11-07,999
20200102T10-07,1022
20200102T09-07,1068
20200102T08-07,1056
20200102T07-07,1173
20200102T06-07,1172
20200102T05-07,1103
20200102T04-07,1237
20200102T03-07,1210
20200102T02-07,1270
20200102T01-07,1236
20200102T00-07,1198
20200101T23-07,1207
20200101T22-07,1137
20200101T21-07,1116
20200101T20-07,1065
20200101T19-07,1050
20200101T18-07,1048
20200101T17-07,1116
20200101T16-07,1125
20200101T15-07,1144
20200101T14-07,1130
20200101T13-07,1128
20200101T12-07,1133
20200101T11-07,1091
20200101T10-07,1113
20200101T09-07,1130
20200101T08-07,1067
20200101T07-07,1082
20200101T06-07,1221
20200101T05-07,1198
20200101T04-07,1122
20200101T03-07,1150
