,Total interchange
20191113T05Z,-1838
20191113T04Z,-2120
20191113T03Z,-1842
20191113T02Z,-1702
20191113T01Z,-1705
20191113T00Z,-1848
20191112T23Z,-2267
20191112T22Z,-2020
20191112T21Z,-1936
20191112T20Z,-2059
20191112T19Z,-1887
20191112T18Z,-1781
20191112T17Z,-2230
20191112T16Z,-2284
20191112T15Z,-2127
20191112T14Z,-1878
20191112T13Z,-1989
20191112T12Z,-1399
20191112T11Z,-1669
20191112T10Z,-1861
20191112T09Z,-1856
20191112T08Z,-1660
20191112T07Z,-1882
20191112T06Z,-2009
20191112T05Z,-1425
20191112T04Z,-1704
20191112T03Z,-1401
20191112T02Z,-1822
20191112T01Z,-2352
20191112T00Z,-2306
20191111T23Z,-2477
20191111T22Z,-2409
20191111T21Z,-2283
20191111T20Z,-2358
20191111T19Z,-2753
20191111T18Z,-2805
20191111T17Z,-3009
20191111T16Z,-2782
20191111T15Z,-2516
20191111T14Z,-2401
20191111T13Z,-1861
20191111T12Z,-1780
20191111T11Z,-1144
20191111T10Z,-992
20191111T09Z,-1362
20191111T08Z,-1499
20191111T07Z,-1576
20191111T06Z,-1727
20191111T05Z,-1517
20191111T04Z,-1617
20191111T03Z,-1757
20191111T02Z,-2075
20191111T01Z,-2076
20191111T00Z,-2000
20191110T23Z,-2071
20191110T22Z,-1939
20191110T21Z,-1423
20191110T20Z,-1383
20191110T19Z,-1548
20191110T18Z,-1442
20191110T17Z,-1215
20191110T16Z,-1188
20191110T15Z,-1323
20191110T14Z,-1344
20191110T13Z,-1157
20191110T12Z,-1340
20191110T11Z,-1231
20191110T10Z,-1456
20191110T09Z,-1490
20191110T08Z,-1607
20191110T07Z,-1918
20191110T06Z,-2133
20191110T05Z,-2277
20191110T04Z,-2339
20191110T03Z,-2170
20191110T02Z,-1930
20191110T01Z,-1585
20191110T00Z,-1814
20191109T23Z,-2026
20191109T22Z,-2180
20191109T21Z,-1734
20191109T20Z,-1704
20191109T19Z,-1980
20191109T18Z,-2060
20191109T17Z,-1860
20191109T16Z,-1892
20191109T15Z,-1889
20191109T14Z,-1873
20191109T13Z,-1610
20191109T12Z,-1527
20191109T11Z,-1113
20191109T10Z,-1326
20191109T09Z,-1744
20191109T08Z,-1779
20191109T07Z,-1579
20191109T06Z,-1666
20191109T05Z,-1977
20191109T04Z,-2190
20191109T03Z,-1773
20191109T02Z,-1751
20191109T01Z,-1769
20191109T00Z,-1852
20191108T23Z,-1812
20191108T22Z,-1797
20191108T21Z,-1711
20191108T20Z,-1990
20191108T19Z,-2384
20191108T18Z,-2777
20191108T17Z,-2703
20191108T16Z,-2326
20191108T15Z,-2221
20191108T14Z,-1596
20191108T13Z,-1276
20191108T12Z,-1362
20191108T11Z,-1066
20191108T10Z,-1227
