,Total interchange1
20191218T00-05,-2611
20191217T23-05,-2856
20191217T22-05,-2856
20191217T21-05,-2966
20191217T20-05,-3437
20191217T19-05,-3277
20191217T18-05,-3372
20191217T17-05,-3428
20191217T16-05,-3298
20191217T15-05,-3215
20191217T14-05,-3508
20191217T13-05,-3409
20191217T12-05,-3072
20191217T11-05,-2932
20191217T10-05,-2791
20191217T09-05,-2258
20191217T08-05,-1837
20191217T07-05,-2243
20191217T06-05,-1880
20191217T05-05,-2040
20191217T04-05,-2252
20191217T03-05,-2184
20191217T02-05,-2256
20191217T01-05,-2334
20191217T00-05,-2462
20191216T23-05,-2512
20191216T22-05,-2515
20191216T21-05,-2824
20191216T20-05,-3061
20191216T19-05,-3257
20191216T18-05,-2915
20191216T17-05,-3018
20191216T16-05,-3059
20191216T15-05,-3042
20191216T14-05,-3003
20191216T13-05,-3027
20191216T12-05,-2970
20191216T11-05,-2654
20191216T10-05,-2465
20191216T09-05,-2076
20191216T08-05,-2091
20191216T07-05,-2149
20191216T06-05,-2336
20191216T05-05,-2212
20191216T04-05,-2206
20191216T03-05,-2114
20191216T02-05,-2081
20191216T01-05,-2125
20191216T00-05,-2159
20191215T23-05,-2562
20191215T22-05,-2566
20191215T21-05,-2306
20191215T20-05,-2278
20191215T19-05,-2217
20191215T18-05,-2347
20191215T17-05,-2168
20191215T16-05,-2029
20191215T15-05,-2143
20191215T14-05,-2266
20191215T13-05,-2032
20191215T12-05,-1943
20191215T11-05,-1700
20191215T10-05,-1169
20191215T09-05,-1067
20191215T08-05,-1094
20191215T07-05,-1131
20191215T06-05,-860
20191215T05-05,-1355
20191215T04-05,-1363
20191215T03-05,-1410
20191215T02-05,-1307
20191215T01-05,-1424
20191215T00-05,-1478
20191214T23-05,-1729
20191214T22-05,-2060
20191214T21-05,-2111
20191214T20-05,-2234
20191214T19-05,-2390
20191214T18-05,-2557
20191214T17-05,-2447
20191214T16-05,-2170
20191214T15-05,-2295
20191214T14-05,-2261
20191214T13-05,-2144
20191214T12-05,-2393
20191214T11-05,-2000
20191214T10-05,-2018
20191214T09-05,-1686
20191214T08-05,-1634
20191214T07-05,-1709
20191214T06-05,-1766
20191214T05-05,-2097
20191214T04-05,-2143
20191214T03-05,-2167
20191214T02-05,-2296
20191214T01-05,-2309
20191214T00-05,-2458
20191213T23-05,-2402
20191213T22-05,-2349
20191213T21-05,-2332
20191213T20-05,-2658
20191213T19-05,-2919
20191213T18-05,-2804
20191213T17-05,-2668
20191213T16-05,-2521
20191213T15-05,-2232
20191213T14-05,-2225
20191213T13-05,-2234
20191213T12-05,-2344
20191213T11-05,-2497
20191213T10-05,-2209
20191213T09-05,-1850
20191213T08-05,-1674
20191213T07-05,-1882
20191213T06-05,-2044
20191213T05-05,-1831
20191213T04-05,-1984
20191213T03-05,-1865
20191213T02-05,-2024
20191213T01-05,-2188
20191213T00-05,-2410
20191212T23-05,-2452
20191212T22-05,-2586
20191212T21-05,-2372
20191212T20-05,-2951
20191212T19-05,-3267
20191212T18-05,-3698
20191212T17-05,-3558
20191212T16-05,-3520
20191212T15-05,-3636
20191212T14-05,-3654
20191212T13-05,-3437
20191212T12-05,-3303
20191212T11-05,-2812
20191212T10-05,-2946
20191212T09-05,-2761
20191212T08-05,-2114
20191212T07-05,-2590
20191212T06-05,-2723
20191212T05-05,-2595
20191212T04-05,-2524
20191212T03-05,-2433
20191212T02-05,-2277
20191212T01-05,-2237
20191212T00-05,-1878
20191211T23-05,-1733
20191211T22-05,-1822
20191211T21-05,-1962
20191211T20-05,-2019
20191211T19-05,-1995
20191211T18-05,-1935
20191211T17-05,-2144
20191211T16-05,-2196
20191211T15-05,-2213
20191211T14-05,-2393
20191211T13-05,-2424
20191211T12-05,-2218
20191211T11-05,-2301
20191211T10-05,-2468
20191211T09-05,-2166
20191211T08-05,-1880
20191211T07-05,-2204
20191211T06-05,-1884
20191211T05-05,-2147
20191211T04-05,-2186
20191211T03-05,-2329
20191211T02-05,-1923
20191211T01-05,-1802
20191211T00-05,-1907
20191210T23-05,-2009
20191210T22-05,-2179
20191210T21-05,-2325
20191210T20-05,-2520
20191210T19-05,-2734
20191210T18-05,-2910
20191210T17-05,-2530
20191210T16-05,-2248
20191210T15-05,-2017
20191210T14-05,-2073
20191210T13-05,-2047
20191210T12-05,-1878
20191210T11-05,-2101
20191210T10-05,-1972
20191210T09-05,-1680
20191210T08-05,-1215
20191210T07-05,-1395
20191210T06-05,-1300
20191210T05-05,-1170
20191210T04-05,-1398
20191210T03-05,-1508
20191210T02-05,-1441
20191210T01-05,-1612
20191210T00-05,-1910
20191209T23-05,-2281
20191209T22-05,-2026
20191209T21-05,-2022
20191209T20-05,-2091
20191209T19-05,-2350
20191209T18-05,-2553
20191209T17-05,-2476
20191209T16-05,-2425
20191209T15-05,-2625
20191209T14-05,-2878
20191209T13-05,-2658
20191209T12-05,-1996
20191209T11-05,-2033
20191209T10-05,-2195
20191209T09-05,-2099
20191209T08-05,-1711
20191209T07-05,-1661
20191209T06-05,-1071
20191209T05-05,-1036
20191209T04-05,-1035
20191209T03-05,-1224
20191209T02-05,-1333
20191209T01-05,-1421
20191209T00-05,-1194
20191208T23-05,-1448
20191208T22-05,-1795
20191208T21-05,-2044
20191208T20-05,-2207
20191208T19-05,-2238
20191208T18-05,-2234
20191208T17-05,-2190
20191208T16-05,-1836
20191208T15-05,-2127
20191208T14-05,-2383
20191208T13-05,-2074
20191208T12-05,-1894
20191208T11-05,-1936
20191208T10-05,-2080
20191208T09-05,-2189
20191208T08-05,-2006
20191208T07-05,-2059
20191208T06-05,-2119
20191208T05-05,-2302
20191208T04-05,-2408
20191208T03-05,-2318
20191208T02-05,-2407
20191208T01-05,-2765
20191208T00-05,-2776
20191207T23-05,-2560
20191207T22-05,-2634
20191207T21-05,-2644
20191207T20-05,-2862
20191207T19-05,-2683
20191207T18-05,-2833
20191207T17-05,-2777
20191207T16-05,-2560
20191207T15-05,-2536
20191207T14-05,-2313
20191207T13-05,-2200
20191207T12-05,-2676
20191207T11-05,-2550
20191207T10-05,-2107
20191207T09-05,-2017
20191207T08-05,-1944
20191207T07-05,-1808
20191207T06-05,-1898
20191207T05-05,-2026
20191207T04-05,-1981
20191207T03-05,-2172
20191207T02-05,-1942
20191207T01-05,-1838
20191207T00-05,-2365
20191206T23-05,-2550
20191206T22-05,-2668
20191206T21-05,-2634
20191206T20-05,-2943
20191206T19-05,-3092
20191206T18-05,-3114
20191206T17-05,-2576
20191206T16-05,-2585
20191206T15-05,-3100
20191206T14-05,-3356
20191206T13-05,-3460
20191206T12-05,-3433
20191206T11-05,-3467
20191206T10-05,-3214
20191206T09-05,-3182
20191206T08-05,-2803
20191206T07-05,-2727
20191206T06-05,-2481
20191206T05-05,-2101
20191206T04-05,-2058
20191206T03-05,-2109
20191206T02-05,-2257
20191206T01-05,-2508
20191206T00-05,-2886
20191205T23-05,-2962
20191205T22-05,-2789
20191205T21-05,-2782
20191205T20-05,-3012
20191205T19-05,-3219
20191205T18-05,-3341
20191205T17-05,-3609
20191205T16-05,-3222
20191205T15-05,-2859
20191205T14-05,-2693
20191205T13-05,-2624
20191205T12-05,-2852
20191205T11-05,-2948
20191205T10-05,-3057
20191205T09-05,-2686
20191205T08-05,-2475
20191205T07-05,-2451
20191205T06-05,-2307
20191205T05-05,-2239
20191205T04-05,-2492
20191205T03-05,-2480
20191205T02-05,-2711
20191205T01-05,-2621
20191205T00-05,-2708
20191204T23-05,-2887
20191204T22-05,-3319
20191204T21-05,-3383
20191204T20-05,-3666
20191204T19-05,-3906
20191204T18-05,-3947
20191204T17-05,-3845
20191204T16-05,-3720
20191204T15-05,-3688
20191204T14-05,-3738
20191204T13-05,-3580
20191204T12-05,-3291
20191204T11-05,-3157
20191204T10-05,-2955
20191204T09-05,-3184
20191204T08-05,-2601
20191204T07-05,-2675
20191204T06-05,-2483
20191204T05-05,-2473
20191204T04-05,-2418
20191204T03-05,-2470
20191204T02-05,-2511
20191204T01-05,-2370
20191204T00-05,-2208
20191203T23-05,-2345
20191203T22-05,-2650
20191203T21-05,-2808
20191203T20-05,-3066
20191203T19-05,-1013
20191203T18-05,-3180
20191203T17-05,-3307
20191203T16-05,-3128
20191203T15-05,-3424
20191203T14-05,-3240
20191203T13-05,-3561
20191203T12-05,-3317
20191203T11-05,-2993
20191203T10-05,-2909
20191203T09-05,-2890
20191203T08-05,-2662
20191203T07-05,-2324
20191203T06-05,-2232
20191203T05-05,-2090
20191203T04-05,-2131
20191203T03-05,-2225
20191203T02-05,-2405
20191203T01-05,-2440
20191203T00-05,-2385
20191202T23-05,-2370
20191202T22-05,-2398
20191202T21-05,-2569
20191202T20-05,-3104
20191202T19-05,-3510
20191202T18-05,-3858
20191202T17-05,-3460
20191202T16-05,-3151
20191202T15-05,-3436
20191202T14-05,-3144
20191202T13-05,-2918
20191202T12-05,-2520
20191202T11-05,-2545
20191202T10-05,-2438
20191202T09-05,-2242
20191202T08-05,-1920
20191202T07-05,-2281
20191202T06-05,-2108
20191202T05-05,-2007
20191202T04-05,-1887
20191202T03-05,-1982
20191202T02-05,-1939
20191202T01-05,-2022
20191202T00-05,-2155
20191201T23-05,-2710
20191201T22-05,-2671
20191201T21-05,-2889
20191201T20-05,-2714
20191201T19-05,-2332
20191201T18-05,-1955
20191201T17-05,-2417
20191201T16-05,-3246
20191201T15-05,-3102
20191201T14-05,-3143
20191201T13-05,-3186
20191201T12-05,-2841
20191201T11-05,-2738
20191201T10-05,-2716
20191201T09-05,-2384
20191201T08-05,-2292
20191201T07-05,-2577
20191201T06-05,-2175
20191201T05-05,-2236
20191201T04-05,-2350
20191201T03-05,-2539
20191201T02-05,-2777
20191201T01-05,-3277
20191201T00-05,-3267
20191130T23-05,-3182
20191130T22-05,-2996
20191130T21-05,-2783
20191130T20-05,-2957
20191130T19-05,-3106
20191130T18-05,-3282
20191130T17-05,-3095
20191130T16-05,-2739
20191130T15-05,-2754
20191130T14-05,-2624
20191130T13-05,-2625
20191130T12-05,-2742
20191130T11-05,-2824
20191130T10-05,-2437
20191130T09-05,-2014
20191130T08-05,-1629
20191130T07-05,-2117
20191130T06-05,-2163
20191130T05-05,-1891
20191130T04-05,-1966
20191130T03-05,-2099
20191130T02-05,-2201
20191130T01-05,-1933
20191130T00-05,-2499
20191129T23-05,-2375
20191129T22-05,-2501
20191129T21-05,-2537
20191129T20-05,-2320
20191129T19-05,-2452
20191129T18-05,-2778
20191129T17-05,-2713
20191129T16-05,-2697
20191129T15-05,-2544
20191129T14-05,-2649
20191129T13-05,-2728
20191129T12-05,-2584
20191129T11-05,-2146
20191129T10-05,-1903
20191129T09-05,-1787
20191129T08-05,-1523
20191129T07-05,-1931
20191129T06-05,-1725
20191129T05-05,-1631
20191129T04-05,-1584
20191129T03-05,-1798
20191129T02-05,-2072
20191129T01-05,-2156
20191129T00-05,-1962
20191128T23-05,-2024
20191128T22-05,-2048
20191128T21-05,-2020
20191128T20-05,-2099
20191128T19-05,-2139
20191128T18-05,-1986
20191128T17-05,-2193
20191128T16-05,-2113
20191128T15-05,-2216
20191128T14-05,-1978
20191128T13-05,-1934
20191128T12-05,-2219
20191128T11-05,-2249
20191128T10-05,-1984
20191128T09-05,-1901
20191128T08-05,-1541
20191128T07-05,-1806
20191128T06-05,-1775
20191128T05-05,-1781
20191128T04-05,-1920
20191128T03-05,-2068
20191128T02-05,-2148
20191128T01-05,-2238
20191128T00-05,-1707
20191127T23-05,-1524
20191127T22-05,-1843
20191127T21-05,-1927
20191127T20-05,-2365
20191127T19-05,-2853
20191127T18-05,-3116
20191127T17-05,-2725
20191127T16-05,-2529
20191127T15-05,-2379
20191127T14-05,-2447
20191127T13-05,-2382
20191127T12-05,-2571
20191127T11-05,-2746
20191127T10-05,-2772
20191127T09-05,-2574
20191127T08-05,-2348
20191127T07-05,-2412
20191127T06-05,-2421
20191127T05-05,-1991
20191127T04-05,-1918
20191127T03-05,-2173
20191127T02-05,-2501
20191127T01-05,-2910
20191127T00-05,-3000
20191126T23-05,-2722
20191126T22-05,-2627
20191126T21-05,-2441
20191126T20-05,-2531
20191126T19-05,-2634
20191126T18-05,-2468
20191126T17-05,-2640
20191126T16-05,-2716
20191126T15-05,-2855
20191126T14-05,-2626
20191126T13-05,-2374
20191126T12-05,-2023
20191126T11-05,-2303
20191126T10-05,-2228
20191126T09-05,-2665
20191126T08-05,-2409
20191126T07-05,-2674
20191126T06-05,-2325
20191126T05-05,-1732
20191126T04-05,-1622
20191126T03-05,-2090
20191126T02-05,-2432
20191126T01-05,-2598
20191126T00-05,-2349
20191125T23-05,-2668
20191125T22-05,-2327
20191125T21-05,-2436
20191125T20-05,-2723
20191125T19-05,-2885
20191125T18-05,-3149
20191125T17-05,-3143
20191125T16-05,-3242
20191125T15-05,-3487
20191125T14-05,-3781
20191125T13-05,-3803
20191125T12-05,-3307
20191125T11-05,-2861
20191125T10-05,-2797
20191125T09-05,-2436
20191125T08-05,-2104
20191125T07-05,-2344
20191125T06-05,-2140
20191125T05-05,-2393
20191125T04-05,-2119
20191125T03-05,-2347
20191125T02-05,-2465
20191125T01-05,-2655
20191125T00-05,-2464
20191124T23-05,-2963
20191124T22-05,-2795
20191124T21-05,-2813
20191124T20-05,-2853
20191124T19-05,-2998
20191124T18-05,-3314
20191124T17-05,-3232
20191124T16-05,-3180
20191124T15-05,-3187
20191124T14-05,-3161
20191124T13-05,-3005
20191124T12-05,-2846
20191124T11-05,-2806
20191124T10-05,-2548
20191124T09-05,-2338
20191124T08-05,-2191
20191124T07-05,-2388
20191124T06-05,-2323
20191124T05-05,-2484
20191124T04-05,-2776
20191124T03-05,-2645
20191124T02-05,-2411
20191124T01-05,-2187
20191124T00-05,-2268
20191123T23-05,-2379
20191123T22-05,-2290
20191123T21-05,-2719
20191123T20-05,-2784
20191123T19-05,-2930
20191123T18-05,-2792
20191123T17-05,-2644
20191123T16-05,-2886
20191123T15-05,-3199
20191123T14-05,-3121
20191123T13-05,-2849
20191123T12-05,-2694
20191123T11-05,-2485
20191123T10-05,-2467
20191123T09-05,-2183
20191123T08-05,-2424
20191123T07-05,-2144
20191123T06-05,-2177
20191123T05-05,-2252
20191123T04-05,-2139
20191123T03-05,-2095
20191123T02-05,-1985
20191123T01-05,-2089
20191123T00-05,-2029
20191122T23-05,-1842
20191122T22-05,-1603
20191122T21-05,-1836
