,Total interchange1
20200106T00-07,193
20200105T23-07,188
20200105T22-07,133
20200105T21-07,209
20200105T20-07,64
20200105T19-07,-173
20200105T18-07,-634
20200105T17-07,-999
20200105T16-07,-1104
20200105T15-07,-1235
20200105T14-07,-1207
20200105T13-07,-1005
20200105T12-07,-664
20200105T11-07,-199
20200105T10-07,-277
20200105T09-07,-304
20200105T08-07,-311
20200105T07-07,-235
20200105T06-07,-308
20200105T05-07,-261
20200105T04-07,-93
20200105T03-07,73
20200105T02-07,178
20200105T01-07,265
20200105T00-07,307
20200104T23-07,192
20200104T22-07,-7
20200104T21-07,-7
20200104T20-07,-120
20200104T19-07,-308
20200104T18-07,-552
20200104T17-07,-775
20200104T16-07,-661
20200104T15-07,-647
20200104T14-07,-617
20200104T13-07,-597
20200104T12-07,-808
20200104T11-07,-808
20200104T10-07,-451
20200104T09-07,-100
20200104T08-07,-61
20200104T07-07,20
20200104T06-07,-181
20200104T05-07,-189
20200104T04-07,35
20200104T03-07,97
20200104T02-07,238
20200104T01-07,343
20200104T00-07,322
20200103T23-07,102
20200103T22-07,-77
20200103T21-07,-260
20200103T20-07,-350
20200103T19-07,-604
20200103T18-07,-758
20200103T17-07,-727
20200103T16-07,-534
20200103T15-07,-463
20200103T14-07,-387
20200103T13-07,-219
20200103T12-07,-19
20200103T11-07,39
20200103T10-07,303
20200103T09-07,24
20200103T08-07,3
20200103T07-07,259
20200103T06-07,340
20200103T05-07,186
20200103T04-07,163
20200103T03-07,370
20200103T02-07,482
20200103T01-07,426
20200103T00-07,355
20200102T23-07,140
20200102T22-07,-193
20200102T21-07,-599
20200102T20-07,-396
20200102T19-07,-349
20200102T18-07,-182
20200102T17-07,-135
20200102T16-07,-159
20200102T15-07,-486
20200102T14-07,-591
20200102T13-07,-659
20200102T12-07,-878
20200102T11-07,-788
20200102T10-07,-805
20200102T09-07,-921
20200102T08-07,-1059
20200102T07-07,-963
20200102T06-07,-732
20200102T05-07,-407
20200102T04-07,-475
20200102T03-07,-543
20200102T02-07,-583
20200102T01-07,-408
20200102T00-07,-126
20200101T23-07,-84
20200101T22-07,-270
20200101T21-07,-428
20200101T20-07,-326
20200101T19-07,-294
20200101T18-07,-1066
20200101T17-07,-1536
20200101T16-07,-1492
20200101T15-07,-1422
20200101T14-07,-1333
20200101T13-07,-1306
20200101T12-07,-1326
20200101T11-07,-946
20200101T10-07,-373
20200101T09-07,139
20200101T08-07,206
20200101T07-07,-7
20200101T06-07,-122
20200101T05-07,-123
20200101T04-07,-67
20200101T03-07,18
20200101T02-07,35
20200101T01-07,-39
20200101T00-07,-160
20191231T23-07,-575
20191231T22-07,-736
20191231T21-07,-894
20191231T20-07,-1045
20191231T19-07,-1316
20191231T18-07,-1473
20191231T17-07,-1547
20191231T16-07,-1342
20191231T15-07,-1167
20191231T14-07,-1021
20191231T13-07,-868
20191231T12-07,-960
20191231T11-07,-934
20191231T10-07,-773
20191231T09-07,-770
20191231T08-07,-760
20191231T07-07,-523
20191231T06-07,-438
20191231T05-07,-443
20191231T04-07,-347
20191231T03-07,-456
20191231T02-07,-475
20191231T01-07,-582
20191231T00-07,-642
20191230T23-07,-866
20191230T22-07,-919
20191230T21-07,-1212
20191230T20-07,-1243
20191230T19-07,-1128
20191230T18-07,-1082
20191230T17-07,-805
20191230T16-07,-252
20191230T15-07,-11
20191230T14-07,-95
20191230T13-07,-220
20191230T12-07,-255
20191230T11-07,-98
20191230T10-07,-266
20191230T09-07,-544
20191230T08-07,-728
20191230T07-07,-531
20191230T06-07,-388
20191230T05-07,-368
20191230T04-07,-329
20191230T03-07,-262
20191230T02-07,-269
20191230T01-07,-186
20191230T00-07,-60
20191229T23-07,-157
20191229T22-07,-429
20191229T21-07,-662
20191229T20-07,-767
20191229T19-07,-861
20191229T18-07,-820
20191229T17-07,-458
20191229T16-07,-207
20191229T15-07,-42
20191229T14-07,-34
20191229T13-07,-98
20191229T12-07,-184
20191229T11-07,-93
20191229T10-07,-55
20191229T09-07,71
20191229T08-07,188
20191229T07-07,321
20191229T06-07,565
20191229T05-07,487
20191229T04-07,459
20191229T03-07,511
20191229T02-07,418
20191229T01-07,432
20191229T00-07,331
20191228T23-07,-39
20191228T22-07,-160
20191228T21-07,-78
20191228T20-07,-154
20191228T19-07,-270
20191228T18-07,-421
20191228T17-07,-313
20191228T16-07,-215
20191228T15-07,-231
20191228T14-07,-40
20191228T13-07,58
20191228T12-07,75
20191228T11-07,-69
20191228T10-07,-72
20191228T09-07,59
20191228T08-07,145
20191228T07-07,144
20191228T06-07,196
20191228T05-07,186
20191228T04-07,230
20191228T03-07,-38
20191228T02-07,-90
20191228T01-07,-174
20191228T00-07,-258
20191227T23-07,-494
20191227T22-07,-581
20191227T21-07,-871
20191227T20-07,-1168
20191227T19-07,-1160
20191227T18-07,-1189
20191227T17-07,-1153
20191227T16-07,-1181
20191227T15-07,-1157
20191227T14-07,-952
20191227T13-07,-1023
20191227T12-07,-919
20191227T11-07,-886
20191227T10-07,-600
20191227T09-07,-574
20191227T08-07,-605
20191227T07-07,-315
20191227T06-07,-60
20191227T05-07,158
20191227T04-07,191
20191227T03-07,223
20191227T02-07,140
20191227T01-07,78
20191227T00-07,-39
20191226T23-07,-116
20191226T22-07,-402
20191226T21-07,-443
20191226T20-07,-337
20191226T19-07,-256
20191226T18-07,-157
20191226T17-07,-210
20191226T16-07,-18
20191226T15-07,-24
20191226T14-07,-24
20191226T13-07,73
20191226T12-07,126
20191226T11-07,97
20191226T10-07,-64
20191226T09-07,-417
20191226T08-07,-360
20191226T07-07,-142
20191226T06-07,145
20191226T05-07,318
20191226T04-07,419
20191226T03-07,330
20191226T02-07,340
20191226T01-07,300
20191226T00-07,153
20191225T23-07,-52
20191225T22-07,91
20191225T21-07,-151
20191225T20-07,-340
20191225T19-07,-263
20191225T18-07,-62
20191225T17-07,32
20191225T16-07,65
20191225T15-07,-239
20191225T14-07,-543
20191225T13-07,-635
20191225T12-07,-533
20191225T11-07,-647
20191225T10-07,-202
20191225T09-07,-120
20191225T08-07,-91
20191225T07-07,-39
20191225T06-07,-7
20191225T05-07,60
20191225T04-07,166
20191225T03-07,193
20191225T02-07,150
20191225T01-07,142
20191225T00-07,101
20191224T23-07,-10
20191224T22-07,-149
20191224T21-07,-297
20191224T20-07,-351
20191224T19-07,-180
20191224T18-07,-178
20191224T17-07,-28
20191224T16-07,-88
20191224T15-07,33
20191224T14-07,280
20191224T13-07,331
20191224T12-07,527
20191224T11-07,654
20191224T10-07,673
20191224T09-07,417
20191224T08-07,425
20191224T07-07,533
20191224T06-07,724
20191224T05-07,649
20191224T04-07,448
20191224T03-07,446
20191224T02-07,543
20191224T01-07,535
20191224T00-07,544
20191223T23-07,288
20191223T22-07,0
20191223T21-07,-335
20191223T20-07,-540
20191223T19-07,-633
20191223T18-07,-580
20191223T17-07,-317
20191223T16-07,-245
20191223T15-07,-230
20191223T14-07,-210
20191223T13-07,-194
20191223T12-07,-27
20191223T11-07,39
20191223T10-07,-190
20191223T09-07,-482
20191223T08-07,-243
20191223T07-07,29
20191223T06-07,154
20191223T05-07,396
20191223T04-07,585
20191223T03-07,470
20191223T02-07,568
20191223T01-07,532
20191223T00-07,615
20191222T23-07,546
20191222T22-07,283
20191222T21-07,246
20191222T20-07,214
20191222T19-07,286
20191222T18-07,297
20191222T17-07,835
20191222T16-07,1169
20191222T15-07,878
20191222T14-07,992
20191222T13-07,1056
20191222T12-07,1167
20191222T11-07,1213
20191222T10-07,1165
20191222T09-07,1087
20191222T08-07,1086
20191222T07-07,1120
20191222T06-07,1095
20191222T05-07,933
20191222T04-07,824
20191222T03-07,836
20191222T02-07,743
20191222T01-07,708
20191222T00-07,792
20191221T23-07,832
20191221T22-07,653
20191221T21-07,283
20191221T20-07,148
20191221T19-07,120
20191221T18-07,101
20191221T17-07,346
20191221T16-07,529
20191221T15-07,626
20191221T14-07,609
20191221T13-07,739
20191221T12-07,1000
20191221T11-07,954
20191221T10-07,638
20191221T09-07,568
20191221T08-07,705
20191221T07-07,825
20191221T06-07,714
20191221T05-07,747
20191221T04-07,793
20191221T03-07,688
20191221T02-07,752
20191221T01-07,872
20191221T00-07,800
20191220T23-07,584
20191220T22-07,574
20191220T21-07,436
20191220T20-07,269
20191220T19-07,210
20191220T18-07,206
20191220T17-07,831
20191220T16-07,398
20191220T15-07,474
20191220T14-07,311
20191220T13-07,432
20191220T12-07,602
20191220T11-07,546
20191220T10-07,680
20191220T09-07,709
20191220T08-07,338
20191220T07-07,354
20191220T06-07,605
20191220T05-07,555
20191220T04-07,590
20191220T03-07,445
20191220T02-07,375
20191220T01-07,336
20191220T00-07,605
20191219T23-07,892
20191219T22-07,720
20191219T21-07,630
20191219T20-07,511
20191219T19-07,474
20191219T18-07,344
20191219T17-07,231
20191219T16-07,273
20191219T15-07,49
20191219T14-07,7
20191219T13-07,-99
20191219T12-07,62
20191219T11-07,-140
20191219T10-07,4
20191219T09-07,209
20191219T08-07,228
20191219T07-07,90
20191219T06-07,241
20191219T05-07,332
20191219T04-07,419
20191219T03-07,486
20191219T02-07,541
20191219T01-07,363
20191219T00-07,406
20191218T23-07,358
20191218T22-07,220
20191218T21-07,184
20191218T20-07,19
20191218T19-07,-151
20191218T18-07,-203
20191218T17-07,-117
20191218T16-07,166
20191218T15-07,427
20191218T14-07,602
20191218T13-07,600
20191218T12-07,616
20191218T11-07,702
20191218T10-07,654
20191218T09-07,478
20191218T08-07,420
20191218T07-07,334
20191218T06-07,388
20191218T05-07,498
20191218T04-07,540
20191218T03-07,355
20191218T02-07,198
20191218T01-07,119
20191218T00-07,98
20191217T23-07,164
20191217T22-07,82
20191217T21-07,-104
20191217T20-07,-178
20191217T19-07,-70
20191217T18-07,-109
20191217T17-07,285
20191217T16-07,323
20191217T15-07,200
20191217T14-07,39
20191217T13-07,22
20191217T12-07,118
20191217T11-07,248
20191217T10-07,327
20191217T09-07,128
20191217T08-07,65
20191217T07-07,-16
20191217T06-07,269
20191217T05-07,423
20191217T04-07,433
20191217T03-07,607
20191217T02-07,528
20191217T01-07,411
20191217T00-07,407
20191216T23-07,334
20191216T22-07,332
20191216T21-07,266
20191216T20-07,200
20191216T19-07,89
20191216T18-07,-68
20191216T17-07,-98
20191216T16-07,-231
20191216T15-07,-484
20191216T14-07,-327
20191216T13-07,-264
20191216T12-07,-111
20191216T11-07,-116
20191216T10-07,-135
20191216T09-07,-28
20191216T08-07,-90
20191216T07-07,-178
20191216T06-07,-46
20191216T05-07,53
20191216T04-07,-34
20191216T03-07,5
20191216T02-07,16
20191216T01-07,36
20191216T00-07,-12
20191215T23-07,-81
20191215T22-07,-83
20191215T21-07,-516
20191215T20-07,-635
20191215T19-07,-691
20191215T18-07,-688
20191215T17-07,-765
20191215T16-07,-1097
20191215T15-07,-1123
20191215T14-07,-1140
20191215T13-07,-1290
20191215T12-07,-1250
20191215T11-07,-1118
20191215T10-07,-752
20191215T09-07,-476
20191215T08-07,-338
20191215T07-07,-251
20191215T06-07,-135
20191215T05-07,-26
20191215T04-07,-101
20191215T03-07,-175
20191215T02-07,-218
20191215T01-07,-151
20191215T00-07,-51
20191214T23-07,93
20191214T22-07,124
20191214T21-07,203
20191214T20-07,118
20191214T19-07,23
20191214T18-07,-82
20191214T17-07,-190
20191214T16-07,-741
20191214T15-07,-769
20191214T14-07,-822
20191214T13-07,-869
20191214T12-07,-793
20191214T11-07,-674
20191214T10-07,-345
20191214T09-07,-181
20191214T08-07,-49
20191214T07-07,51
20191214T06-07,206
20191214T05-07,150
20191214T04-07,286
20191214T03-07,197
20191214T02-07,246
20191214T01-07,253
20191214T00-07,331
20191213T23-07,197
20191213T22-07,49
20191213T21-07,-65
20191213T20-07,-41
20191213T19-07,19
20191213T18-07,35
20191213T17-07,112
20191213T16-07,-18
20191213T15-07,81
20191213T14-07,127
20191213T13-07,258
20191213T12-07,181
20191213T11-07,-38
20191213T10-07,233
20191213T09-07,463
20191213T08-07,529
20191213T07-07,823
20191213T06-07,796
20191213T05-07,676
20191213T04-07,621
20191213T03-07,729
20191213T02-07,868
20191213T01-07,617
20191213T00-07,857
20191212T23-07,962
20191212T22-07,634
20191212T21-07,582
20191212T20-07,568
20191212T19-07,624
20191212T18-07,583
20191212T17-07,553
20191212T16-07,782
20191212T15-07,728
20191212T14-07,667
20191212T13-07,702
20191212T12-07,574
20191212T11-07,406
20191212T10-07,691
20191212T09-07,755
20191212T08-07,683
20191212T07-07,1006
20191212T06-07,947
20191212T05-07,902
20191212T04-07,968
20191212T03-07,1182
20191212T02-07,1162
20191212T01-07,908
20191212T00-07,912
20191211T23-07,580
20191211T22-07,461
20191211T21-07,453
20191211T20-07,340
20191211T19-07,484
20191211T18-07,390
20191211T17-07,453
20191211T16-07,558
20191211T15-07,588
20191211T14-07,371
20191211T13-07,270
20191211T12-07,292
20191211T11-07,134
20191211T10-07,67
20191211T09-07,158
20191211T08-07,17
20191211T07-07,198
20191211T06-07,521
20191211T05-07,723
20191211T04-07,912
20191211T03-07,989
20191211T02-07,1158
20191211T01-07,1061
20191211T00-07,1122
20191210T23-07,1074
20191210T22-07,933
20191210T21-07,714
20191210T20-07,632
20191210T19-07,523
20191210T18-07,319
20191210T17-07,293
20191210T16-07,439
20191210T15-07,530
20191210T14-07,480
20191210T13-07,448
20191210T12-07,679
20191210T11-07,670
20191210T10-07,598
20191210T09-07,348
20191210T08-07,224
20191210T07-07,379
20191210T06-07,525
20191210T05-07,764
20191210T04-07,1021
20191210T03-07,1045
20191210T02-07,969
20191210T01-07,830
