,Total interchange1
20191114T00-08,-1571
20191113T23-08,-1697
20191113T22-08,-1889
20191113T21-08,-2021
20191113T20-08,-2036
20191113T19-08,-2027
20191113T18-08,-1917
20191113T17-08,-1879
20191113T16-08,-1846
20191113T15-08,-1870
20191113T14-08,-1891
20191113T13-08,-1899
20191113T12-08,-1942
20191113T11-08,-1954
20191113T10-08,-1994
20191113T09-08,-1976
20191113T08-08,-1941
20191113T07-08,-1859
20191113T06-08,-1556
20191113T05-08,-1416
20191113T04-08,-1372
20191113T03-08,-1362
20191113T02-08,-1311
20191113T01-08,-1347
20191113T00-08,-1477
20191112T23-08,-1648
20191112T22-08,-1870
20191112T21-08,-1951
20191112T20-08,-2041
20191112T19-08,-2124
20191112T18-08,-2013
20191112T17-08,-2004
20191112T16-08,-1941
20191112T15-08,-1981
20191112T14-08,-2012
20191112T13-08,-2066
20191112T12-08,-2112
20191112T11-08,-2124
20191112T10-08,-2093
20191112T09-08,-2145
20191112T08-08,-2075
20191112T07-08,-1892
20191112T06-08,-1496
20191112T05-08,-1339
20191112T04-08,-1356
20191112T03-08,-1339
20191112T02-08,-1310
20191112T01-08,-1383
20191112T00-08,-1467
20191111T23-08,-1636
20191111T22-08,-1824
20191111T21-08,-1906
20191111T20-08,-1981
20191111T19-08,-2031
20191111T18-08,-1868
20191111T17-08,-1876
20191111T16-08,-1817
20191111T15-08,-1769
20191111T14-08,-1760
20191111T13-08,-1820
20191111T12-08,-1794
20191111T11-08,-1817
20191111T10-08,-1904
20191111T09-08,-1967
20191111T08-08,-1818
20191111T07-08,-1682
20191111T06-08,-1462
20191111T05-08,-1323
20191111T04-08,-1244
20191111T03-08,-1229
20191111T02-08,-1212
20191111T01-08,-1229
20191111T00-08,-1315
20191110T23-08,-1466
20191110T22-08,-1618
20191110T21-08,-1760
20191110T20-08,-1848
20191110T19-08,-1901
20191110T18-08,-1873
20191110T17-08,-1812
20191110T16-08,-1740
20191110T15-08,-1757
20191110T14-08,-1655
20191110T13-08,-1900
20191110T12-08,-1968
20191110T11-08,-1926
20191110T10-08,-1921
20191110T09-08,-1817
20191110T08-08,-1584
20191110T07-08,-1457
20191110T06-08,-1318
20191110T05-08,-1330
20191110T04-08,-1295
20191110T03-08,-1287
20191110T02-08,-1310
20191110T01-08,-1312
20191110T00-08,-1400
20191109T23-08,-1499
20191109T22-08,-1704
20191109T21-08,-1766
20191109T20-08,-1826
20191109T19-08,-1829
20191109T18-08,-1777
20191109T17-08,-1766
20191109T16-08,-1810
20191109T15-08,-1835
20191109T14-08,-1872
20191109T13-08,-1905
20191109T12-08,-1967
20191109T11-08,-1961
20191109T10-08,-1906
20191109T09-08,-1827
20191109T08-08,-1704
20191109T07-08,-1608
20191109T06-08,-1418
20191109T05-08,-1314
20191109T04-08,-1280
20191109T03-08,-1278
20191109T02-08,-1304
20191109T01-08,-1358
20191109T00-08,-1457
20191108T23-08,-1558
20191108T22-08,-1693
20191108T21-08,-1794
20191108T20-08,-1891
20191108T19-08,-1934
20191108T18-08,-1955
20191108T17-08,-1803
20191108T16-08,-1836
20191108T15-08,-1882
20191108T14-08,-1869
20191108T13-08,-1891
20191108T12-08,-2002
20191108T11-08,-2031
20191108T10-08,-2115
20191108T09-08,-2153
20191108T08-08,-2165
20191108T07-08,-1962
20191108T06-08,-1641
20191108T05-08,-1459
20191108T04-08,-1465
20191108T03-08,-1440
20191108T02-08,-1415
20191108T01-08,-1405
20191108T00-08,-1481
20191107T23-08,-1621
20191107T22-08,-1827
20191107T21-08,-1948
20191107T20-08,-1959
20191107T19-08,-1913
20191107T18-08,-2010
20191107T17-08,-1923
20191107T16-08,-1903
20191107T15-08,-1920
20191107T14-08,-1990
20191107T13-08,-1989
20191107T12-08,-2025
20191107T11-08,-2050
20191107T10-08,-2116
20191107T09-08,-2086
20191107T08-08,-2026
20191107T07-08,-1782
20191107T06-08,-1541
20191107T05-08,-1390
20191107T04-08,-1422
20191107T03-08,-1398
20191107T02-08,-1371
20191107T01-08,-1401
20191107T00-08,-1495
20191106T23-08,-1592
20191106T22-08,-1777
20191106T21-08,-1921
20191106T20-08,-1965
20191106T19-08,-1927
20191106T18-08,-1973
20191106T17-08,-1850
20191106T16-08,-1882
20191106T15-08,-1918
20191106T14-08,-1987
20191106T13-08,-2028
20191106T12-08,-2056
20191106T11-08,-2035
20191106T10-08,-2083
20191106T09-08,-2105
20191106T08-08,-2041
20191106T07-08,-1833
20191106T06-08,-1578
20191106T05-08,-1414
20191106T04-08,-1373
20191106T03-08,-1373
20191106T02-08,-1435
20191106T01-08,-1440
20191106T00-08,-1556
20191105T23-08,-1698
20191105T22-08,-1880
20191105T21-08,-2118
20191105T20-08,-2224
20191105T19-08,-2192
20191105T18-08,-2213
20191105T17-08,-2080
20191105T16-08,-2085
20191105T15-08,-2196
20191105T14-08,-2239
20191105T13-08,-2224
20191105T12-08,-2128
20191105T11-08,-2110
20191105T10-08,-2209
