,Total interchange1
20191218T00-05,3528
20191217T23-05,3614
20191217T22-05,3707
20191217T21-05,3818
20191217T20-05,4154
20191217T19-05,3432
20191217T18-05,3567
20191217T17-05,3439
20191217T16-05,3112
20191217T15-05,3162
20191217T14-05,3549
20191217T13-05,3583
20191217T12-05,3454
20191217T11-05,3503
20191217T10-05,3863
20191217T09-05,3349
20191217T08-05,2938
20191217T07-05,2563
20191217T06-05,2713
20191217T05-05,2826
20191217T04-05,3243
20191217T03-05,3186
20191217T02-05,3734
20191217T01-05,3719
20191217T00-05,2527
20191216T23-05,2555
20191216T22-05,2440
20191216T21-05,2343
20191216T20-05,3199
20191216T19-05,3728
20191216T18-05,2657
20191216T17-05,2942
20191216T16-05,3146
20191216T15-05,3541
20191216T14-05,3478
20191216T13-05,3514
20191216T12-05,3452
20191216T11-05,3274
20191216T10-05,2912
20191216T09-05,2613
20191216T08-05,2501
20191216T07-05,2430
20191216T06-05,2894
20191216T05-05,2881
20191216T04-05,2543
20191216T03-05,2707
20191216T02-05,2797
20191216T01-05,2702
20191216T00-05,2605
20191215T23-05,2987
20191215T22-05,3243
20191215T21-05,2998
20191215T20-05,2937
20191215T19-05,2971
20191215T18-05,3187
20191215T17-05,2835
20191215T16-05,2803
20191215T15-05,2977
20191215T14-05,3160
20191215T13-05,3141
20191215T12-05,3134
20191215T11-05,3136
20191215T10-05,2655
20191215T09-05,2478
20191215T08-05,2289
20191215T07-05,2480
20191215T06-05,3099
20191215T05-05,2978
20191215T04-05,3236
20191215T03-05,2931
20191215T02-05,3371
20191215T01-05,3091
20191213T00-05,2120
20191212T23-05,1643
20191212T22-05,1817
20191212T21-05,1209
20191212T20-05,1675
20191212T19-05,1670
20191212T18-05,1994
20191212T17-05,2343
20191212T16-05,2884
20191212T15-05,3062
20191212T14-05,2908
20191212T13-05,2663
20191212T12-05,3091
20191212T11-05,2408
20191212T10-05,2044
20191212T09-05,2743
20191212T08-05,1769
20191212T07-05,1711
20191212T06-05,2275
20191212T05-05,2165
20191212T04-05,2733
20191212T03-05,2595
20191212T02-05,2403
20191212T01-05,1697
20191212T00-05,789
20191211T23-05,41
20191211T22-05,-194
20191211T21-05,319
20191211T20-05,111
20191211T19-05,-870
20191211T18-05,-753
20191211T17-05,393
20191211T16-05,756
20191211T15-05,673
20191211T14-05,1013
20191211T13-05,1241
20191211T12-05,984
20191211T11-05,606
20191211T10-05,-24
20191211T09-05,501
20191211T08-05,492
20191211T07-05,-50
20191211T06-05,431
20191211T05-05,911
20191211T04-05,1434
20191211T03-05,1953
20191211T02-05,1511
20191211T01-05,1010
20191211T00-05,2661
20191210T23-05,2654
20191210T22-05,2610
20191210T21-05,2951
20191210T20-05,3075
20191210T19-05,3627
20191210T18-05,3177
20191210T17-05,3340
20191210T16-05,3664
20191210T15-05,3424
20191210T14-05,3147
20191210T13-05,3333
20191210T12-05,3270
20191210T11-05,4330
20191210T10-05,3348
20191210T09-05,3744
20191210T08-05,3775
20191210T07-05,4078
20191210T06-05,4615
20191210T05-05,4579
20191210T04-05,5411
20191210T03-05,5638
20191210T02-05,5718
20191210T01-05,4224
20191210T00-05,3416
20191209T23-05,3280
20191209T22-05,3109
20191209T21-05,3274
20191209T20-05,3156
20191209T19-05,3364
20191209T18-05,3198
20191209T17-05,3325
20191209T16-05,3626
20191209T15-05,3626
20191209T14-05,3859
20191209T13-05,3790
20191209T12-05,3582
20191209T11-05,3617
20191209T10-05,3519
20191209T09-05,3052
20191209T08-05,2764
20191209T07-05,2922
20191209T06-05,3688
20191209T05-05,4057
20191209T04-05,4264
20191209T03-05,4200
20191209T02-05,3959
20191209T01-05,3837
20191209T00-05,3172
20191208T23-05,3514
20191208T22-05,3557
20191208T21-05,2988
20191208T20-05,2618
20191208T19-05,2480
20191208T18-05,2472
20191208T17-05,2538
20191208T16-05,3182
20191208T15-05,2911
20191208T14-05,3538
20191208T13-05,3295
20191208T12-05,3278
20191208T11-05,3215
20191208T10-05,3061
20191208T09-05,2423
20191208T08-05,2443
20191208T07-05,2727
20191208T06-05,2822
20191208T05-05,2559
20191208T04-05,2796
20191208T03-05,2794
20191208T02-05,2713
20191208T01-05,2562
20191208T00-05,2108
20191207T23-05,1832
20191207T22-05,1811
20191207T21-05,2449
20191207T20-05,2446
20191207T19-05,2548
20191207T18-05,2796
20191207T17-05,2999
20191207T16-05,2961
20191207T15-05,3017
20191207T14-05,3125
20191207T13-05,2952
20191207T12-05,3139
20191207T11-05,3194
20191207T10-05,2811
20191207T09-05,2095
20191207T08-05,1887
20191207T07-05,2002
20191207T06-05,2773
20191207T05-05,3012
20191207T04-05,3463
20191207T03-05,3536
20191207T02-05,3554
20191207T01-05,2965
20191207T00-05,3182
20191206T23-05,2959
20191206T22-05,2702
20191206T21-05,2176
20191206T20-05,2908
20191206T19-05,2741
20191206T18-05,2226
20191206T17-05,2361
20191206T16-05,2627
