,Total interchange1
20191114T00-07,184
20191113T23-07,171
20191113T22-07,24
20191113T21-07,-105
20191113T20-07,-129
20191113T19-07,-207
20191113T18-07,-214
20191113T17-07,-160
20191113T16-07,12
20191113T15-07,4
20191113T14-07,17
20191113T13-07,-66
20191113T12-07,-49
20191113T11-07,-45
20191113T10-07,-20
20191113T09-07,-163
20191113T08-07,-107
20191113T07-07,53
20191113T06-07,200
20191113T05-07,110
20191113T04-07,123
20191113T03-07,155
20191113T02-07,135
20191113T01-07,165
20191113T00-07,160
20191112T23-07,68
20191112T22-07,131
20191112T21-07,58
20191112T20-07,-80
20191112T19-07,-11
20191112T18-07,-42
20191112T17-07,-115
20191112T16-07,-45
20191112T15-07,-45
20191112T14-07,-60
20191112T13-07,-21
20191112T12-07,-24
20191112T11-07,-64
20191112T10-07,71
20191112T09-07,-9
20191112T08-07,26
20191112T07-07,114
20191112T06-07,239
20191112T05-07,314
20191112T04-07,303
20191112T03-07,256
20191112T02-07,318
20191112T01-07,298
20191112T00-07,210
20191111T23-07,64
20191111T22-07,0
20191111T21-07,-20
20191111T20-07,4
20191111T19-07,85
20191111T18-07,10
20191111T17-07,-122
20191111T16-07,-50
20191111T15-07,-37
20191111T14-07,17
20191111T13-07,43
20191111T12-07,-32
20191111T11-07,-46
20191111T10-07,-4
20191111T09-07,34
20191111T08-07,83
20191111T07-07,93
20191111T06-07,199
20191111T05-07,147
20191111T04-07,183
20191111T03-07,279
20191111T02-07,294
20191111T01-07,234
20191111T00-07,210
20191110T23-07,41
20191110T22-07,42
20191110T21-07,14
20191110T20-07,62
20191110T19-07,40
20191110T18-07,35
20191110T17-07,219
20191110T16-07,115
20191110T15-07,100
20191110T14-07,186
20191110T13-07,160
20191110T12-07,37
20191110T11-07,86
20191110T10-07,173
20191110T09-07,241
20191110T08-07,265
20191110T07-07,357
20191110T06-07,355
20191110T05-07,310
20191110T04-07,288
20191110T03-07,300
20191110T02-07,317
20191110T01-07,268
20191110T00-07,247
20191109T23-07,143
20191109T22-07,112
20191109T21-07,68
20191109T20-07,78
20191109T19-07,-6
20191109T18-07,-217
20191109T17-07,-173
20191109T16-07,-169
20191109T15-07,-91
20191109T14-07,-99
20191109T13-07,-150
20191109T12-07,-138
20191109T11-07,-118
20191109T10-07,-48
20191109T09-07,-23
20191109T08-07,-73
20191109T07-07,-105
20191109T06-07,-71
20191109T05-07,12
20191109T04-07,35
20191109T03-07,70
20191109T02-07,150
20191109T01-07,44
20191109T00-07,-34
20191108T23-07,-17
20191108T22-07,-34
20191108T21-07,-69
20191108T20-07,-88
20191108T19-07,-14
20191108T18-07,-194
20191108T17-07,-184
20191108T16-07,-137
20191108T15-07,-57
20191108T14-07,-52
20191108T13-07,-13
20191108T12-07,-27
20191108T11-07,-17
20191108T10-07,-37
