,Total interchange1
20191218T00-05,2274
20191217T23-05,2379
20191217T22-05,2529
20191217T21-05,2612
20191217T20-05,2624
20191217T19-05,2603
20191217T18-05,2576
20191217T17-05,2435
20191217T16-05,2283
20191217T15-05,2382
20191217T14-05,2364
20191217T13-05,2371
20191217T12-05,2422
20191217T11-05,2392
20191217T10-05,2422
20191217T09-05,2387
20191217T08-05,2394
20191217T07-05,2368
20191217T06-05,2135
20191217T05-05,2060
20191217T04-05,2018
20191217T03-05,1997
20191217T02-05,2078
20191217T01-05,2049
20191217T00-05,2156
20191216T23-05,2374
20191216T22-05,2503
20191216T21-05,2624
20191216T20-05,2642
20191216T19-05,2616
20191216T18-05,2487
20191216T17-05,2307
20191216T16-05,2226
20191216T15-05,2198
20191216T14-05,2157
20191216T13-05,2198
20191216T12-05,2303
20191216T11-05,2478
20191216T10-05,2761
20191216T09-05,3145
20191216T08-05,3307
20191216T07-05,3297
20191216T06-05,2998
20191216T05-05,2787
20191216T04-05,2646
20191216T03-05,2596
20191216T02-05,2556
20191216T01-05,2592
20191216T00-05,2631
20191215T23-05,2717
20191215T22-05,2819
20191215T21-05,2841
20191215T20-05,2828
20191215T19-05,2779
20191215T18-05,2605
20191215T17-05,2405
20191215T16-05,2383
20191215T15-05,2470
20191215T14-05,2368
20191215T13-05,2525
20191215T12-05,2638
20191215T11-05,2820
20191215T10-05,3075
20191215T09-05,3289
20191215T08-05,3250
20191215T07-05,3079
20191215T06-05,2930
20191215T05-05,2757
20191215T04-05,2650
20191215T03-05,2639
20191215T02-05,2642
20191215T01-05,2679
20191215T00-05,2701
20191214T23-05,2815
20191214T22-05,2879
20191214T21-05,2922
20191214T20-05,2871
20191214T19-05,2855
20191214T18-05,2781
20191214T17-05,2576
20191214T16-05,2518
20191214T15-05,2473
20191214T14-05,2548
20191214T13-05,2637
20191214T12-05,2788
20191214T11-05,2833
20191214T10-05,2888
20191214T09-05,2793
20191214T08-05,2643
20191214T07-05,2519
20191214T06-05,2523
20191214T05-05,2479
20191214T04-05,2457
20191214T03-05,2472
20191214T02-05,2576
20191214T01-05,2533
20191214T00-05,2652
20191213T23-05,2795
20191213T22-05,2970
20191213T21-05,3037
20191213T20-05,3095
20191213T19-05,3165
20191213T18-05,3211
20191213T17-05,3125
20191213T16-05,3089
20191213T15-05,3123
20191213T14-05,3129
20191213T13-05,3166
20191213T12-05,3112
20191213T11-05,3087
20191213T10-05,3080
20191213T09-05,3143
20191213T08-05,3097
20191213T07-05,3213
20191213T06-05,2993
20191213T05-05,2853
20191213T04-05,2828
20191213T03-05,2770
20191213T02-05,2808
20191213T01-05,2823
20191213T00-05,2911
20191212T23-05,3008
20191212T22-05,3190
20191212T21-05,3228
20191212T20-05,3300
20191212T19-05,3256
20191212T18-05,3175
20191212T17-05,2854
20191212T16-05,2717
20191212T15-05,2734
20191212T14-05,2724
20191212T13-05,2816
20191212T12-05,2960
20191212T11-05,3193
20191212T10-05,3421
20191212T09-05,3600
20191212T08-05,3712
20191212T07-05,3678
20191212T06-05,3483
20191212T05-05,3283
20191212T04-05,3181
20191212T03-05,3123
20191212T02-05,3021
20191212T01-05,3020
20191212T00-05,2982
20191211T23-05,3087
20191211T22-05,3140
20191211T21-05,3187
20191211T20-05,3152
20191211T19-05,3099
20191211T18-05,2884
20191211T17-05,2624
20191211T16-05,2471
20191211T15-05,2389
20191211T14-05,2396
20191211T13-05,2335
20191211T12-05,2369
20191211T11-05,2401
20191211T10-05,2500
20191211T09-05,2418
20191211T08-05,2452
20191211T07-05,2398
20191211T06-05,2170
20191211T05-05,2071
20191211T04-05,2028
20191211T03-05,2025
20191211T02-05,2039
20191211T01-05,2092
20191211T00-05,2203
20191210T23-05,2360
20191210T22-05,2524
20191210T21-05,2628
20191210T20-05,2681
20191210T19-05,2674
20191210T18-05,2625
20191210T17-05,2427
20191210T16-05,2384
20191210T15-05,2325
20191210T14-05,2358
20191210T13-05,2245
20191210T12-05,2259
20191210T11-05,2292
20191210T10-05,2324
20191210T09-05,2392
20191210T08-05,2429
20191210T07-05,2358
20191210T06-05,2216
20191210T05-05,2110
20191210T04-05,2106
20191210T03-05,2095
20191210T02-05,2126
20191210T01-05,2156
20191210T00-05,2294
20191209T23-05,2424
20191209T22-05,2566
20191209T21-05,2665
20191209T20-05,2754
20191209T19-05,2674
20191209T18-05,2639
20191209T17-05,2421
20191209T16-05,2409
20191209T15-05,2385
20191209T14-05,2486
20191209T13-05,2548
20191209T12-05,2639
20191209T11-05,2706
20191209T10-05,2801
20191209T09-05,2850
20191209T08-05,2880
20191209T07-05,2848
20191209T06-05,2635
20191209T05-05,2489
20191209T04-05,2401
20191209T03-05,2447
20191209T02-05,2433
20191209T01-05,2469
20191209T00-05,2473
20191208T23-05,2704
20191208T22-05,2824
20191208T21-05,2923
20191208T20-05,2961
20191208T19-05,2939
20191208T18-05,2804
20191208T17-05,2581
20191208T16-05,2579
20191208T15-05,2566
20191208T14-05,2613
20191208T13-05,2699
20191208T12-05,2823
20191208T11-05,2977
20191208T10-05,3164
20191208T09-05,3207
20191208T08-05,3133
20191208T07-05,3031
20191208T06-05,2897
20191208T05-05,2765
20191208T04-05,2717
20191208T03-05,2629
20191208T02-05,2579
20191208T01-05,2547
20191208T00-05,2605
20191207T23-05,2639
20191207T22-05,2721
20191207T21-05,2682
20191207T20-05,2694
20191207T19-05,2634
20191207T18-05,2553
20191207T17-05,2407
20191207T16-05,2332
20191207T15-05,2337
20191207T14-05,2367
20191207T13-05,2398
20191207T12-05,2518
20191207T11-05,2612
20191207T10-05,2704
20191207T09-05,2796
20191207T08-05,2728
20191207T07-05,2652
20191207T06-05,2448
20191207T05-05,2398
20191207T04-05,2314
20191207T03-05,2240
20191207T02-05,2323
20191207T01-05,2351
20191207T00-05,2404
20191206T23-05,2518
20191206T22-05,2575
20191206T21-05,2620
20191206T20-05,2656
20191206T19-05,2673
20191206T18-05,2612
20191206T17-05,2463
20191206T16-05,2326
20191206T15-05,2325
20191206T14-05,2342
20191206T13-05,2423
20191206T12-05,2524
20191206T11-05,2702
20191206T10-05,3068
20191206T09-05,3364
20191206T08-05,3554
20191206T07-05,3495
20191206T06-05,3344
20191206T05-05,3187
20191206T04-05,3108
20191206T03-05,3020
20191206T02-05,2962
20191206T01-05,2935
20191206T00-05,2928
20191205T23-05,3010
20191205T22-05,3041
20191205T21-05,3057
20191205T20-05,2996
20191205T19-05,2906
20191205T18-05,2697
20191205T17-05,2449
20191205T16-05,2394
20191205T15-05,2386
20191205T14-05,2437
20191205T13-05,2456
20191205T12-05,2591
20191205T11-05,2756
20191205T10-05,2931
20191205T09-05,3119
20191205T08-05,3348
20191205T07-05,3288
20191205T06-05,3026
20191205T05-05,2844
20191205T04-05,2769
20191205T03-05,2711
20191205T02-05,2728
20191205T01-05,2736
20191205T00-05,2786
20191204T23-05,2896
20191204T22-05,3035
20191204T21-05,3089
20191204T20-05,3122
20191204T19-05,3037
20191204T18-05,2852
20191204T17-05,2594
20191204T16-05,2496
20191204T15-05,2487
20191204T14-05,2515
20191204T13-05,2637
20191204T12-05,2717
20191204T11-05,2982
20191204T10-05,3207
20191204T09-05,3447
20191204T08-05,3579
20191204T07-05,3544
20191204T06-05,3206
20191204T05-05,3046
20191204T04-05,2906
20191204T03-05,2890
20191204T02-05,2885
20191204T01-05,2877
20191203T14-05,2568
20191203T13-05,2493
20191203T12-05,2642
20191203T11-05,2876
20191203T10-05,3185
20191203T09-05,3451
20191203T08-05,3584
20191203T07-05,3526
20191203T06-05,3438
20191203T05-05,3183
20191203T04-05,3111
20191203T03-05,3015
20191203T02-05,2969
20191203T01-05,2930
20191203T00-05,2969
20191202T23-05,3038
20191202T22-05,3126
20191202T21-05,3194
20191202T20-05,3242
20191202T19-05,3176
20191202T18-05,2967
20191202T17-05,2664
20191202T16-05,2550
20191202T15-05,2497
20191202T14-05,2531
20191202T13-05,2593
20191202T12-05,2668
20191202T11-05,2792
20191202T10-05,2884
20191202T09-05,2929
20191202T08-05,2919
20191202T07-05,2856
20191202T06-05,2581
20191202T05-05,2376
20191202T04-05,2276
20191202T03-05,2189
20191202T02-05,2201
20191202T01-05,2218
20191202T00-05,2249
20191201T23-05,2389
20191201T22-05,2475
20191201T21-05,2547
20191201T20-05,2617
20191201T19-05,2610
20191201T18-05,2543
20191201T17-05,2396
20191201T16-05,2312
20191201T15-05,2377
20191201T14-05,2410
20191201T13-05,2330
20191201T12-05,2378
20191201T11-05,2436
20191201T10-05,2404
20191201T09-05,2338
20191201T08-05,2286
20191201T07-05,2218
20191201T06-05,2160
20191201T05-05,2146
20191201T04-05,2133
20191201T03-05,2113
20191201T02-05,2151
20191201T01-05,2198
20191201T00-05,2278
20191130T23-05,2403
20191130T22-05,2462
20191130T21-05,2446
20191130T20-05,2537
20191130T19-05,2491
20191130T18-05,2476
20191130T17-05,2328
20191130T16-05,2255
20191130T15-05,2293
20191130T14-05,2393
20191130T13-05,2448
20191130T12-05,2553
20191130T11-05,2665
20191130T10-05,2739
20191130T09-05,2739
20191130T08-05,2684
20191130T07-05,2589
20191130T06-05,2503
20191130T05-05,2475
20191130T04-05,2441
20191130T03-05,2455
20191130T02-05,2503
20191130T01-05,2581
20191130T00-05,2649
20191129T23-05,2723
20191129T22-05,2764
20191129T21-05,2783
20191129T20-05,2752
20191129T19-05,2747
20191129T18-05,2577
20191129T17-05,2426
20191129T16-05,2342
20191129T15-05,2356
20191129T14-05,2393
20191129T13-05,2441
20191129T12-05,2593
20191129T11-05,2669
20191129T10-05,2757
20191129T09-05,2755
20191129T08-05,2685
20191129T07-05,2626
20191129T06-05,2512
20191129T05-05,2419
20191129T04-05,2325
20191129T03-05,2346
20191129T02-05,2336
20191129T01-05,2325
20191129T00-05,2369
20191128T23-05,2360
20191128T22-05,2506
20191128T21-05,2452
20191128T20-05,2416
20191128T19-05,2331
20191128T18-05,2344
20191128T17-05,2249
20191128T16-05,2342
20191128T15-05,2388
20191128T14-05,2530
20191128T13-05,2610
20191128T12-05,2766
20191128T11-05,2826
20191128T10-05,2857
20191128T09-05,2781
20191128T08-05,2567
20191128T07-05,2385
20191128T06-05,2230
20191128T05-05,2162
20191128T04-05,2097
20191128T03-05,2071
20191128T02-05,2109
20191128T01-05,2158
20191128T00-05,2266
20191127T23-05,2427
20191127T22-05,2506
20191127T21-05,2619
20191127T20-05,2655
20191127T19-05,2674
20191127T18-05,2629
20191127T17-05,2471
20191127T16-05,2460
20191127T15-05,2451
20191127T14-05,2466
20191127T13-05,2452
20191127T12-05,2501
20191127T11-05,2603
20191127T10-05,2694
20191127T09-05,2787
20191127T08-05,2781
20191127T07-05,2653
20191127T06-05,2511
20191127T05-05,2423
20191127T04-05,2482
20191127T03-05,2491
20191127T02-05,2528
20191127T01-05,2559
20191126T16-05,2344
20191126T15-05,2406
20191126T14-05,2407
20191126T13-05,2494
20191126T12-05,2570
20191126T11-05,2786
20191126T10-05,3057
20191126T09-05,3313
20191126T08-05,3477
20191126T07-05,3362
20191126T06-05,3091
20191126T05-05,2986
20191126T04-05,2870
20191126T03-05,2813
20191126T02-05,2745
20191126T01-05,2741
20191126T00-05,2763
20191125T23-05,2840
20191125T22-05,2909
20191125T21-05,2930
20191125T20-05,2897
20191125T19-05,2811
20191125T18-05,2695
20191125T17-05,2441
20191125T16-05,2368
20191125T15-05,2354
20191125T14-05,2408
20191125T13-05,2480
20191125T12-05,2560
20191125T11-05,2741
20191125T10-05,3012
20191125T09-05,3282
20191125T08-05,3506
20191125T07-05,3370
20191125T06-05,3087
20191125T05-05,2880
20191125T04-05,2777
20191125T03-05,2687
20191125T02-05,2652
20191125T01-05,2627
20191125T00-05,2625
20191124T23-05,2672
20191124T22-05,2731
20191124T21-05,2823
20191124T20-05,2805
20191124T19-05,2771
20191124T18-05,2572
20191124T17-05,2403
20191124T16-05,2317
20191124T15-05,2364
20191124T14-05,2363
20191124T13-05,2438
20191124T12-05,2540
20191124T11-05,2515
20191124T10-05,2654
20191124T09-05,2642
20191124T08-05,2488
20191124T07-05,2348
20191124T06-05,2201
20191124T05-05,2097
20191124T04-05,2061
20191124T03-05,2054
20191124T02-05,2055
20191124T01-05,2102
20191124T00-05,2188
20191123T23-05,2247
20191123T22-05,2379
20191123T21-05,2457
20191123T20-05,2515
20191123T19-05,2559
20191123T18-05,2510
20191123T17-05,2312
20191123T16-05,2311
20191123T15-05,2281
20191123T14-05,2303
20191123T13-05,2339
20191123T12-05,2333
20191123T11-05,2441
20191123T10-05,2517
20191123T09-05,2488
20191123T08-05,2371
20191123T07-05,2308
20191123T06-05,2201
20191123T05-05,2109
20191123T04-05,2086
20191123T03-05,2091
20191123T02-05,2169
20191123T01-05,2284
20191123T00-05,2331
20191122T23-05,2455
20191122T22-05,2514
20191122T21-05,2609
20191122T20-05,2660
20191122T19-05,2648
20191122T18-05,2575
20191122T17-05,2415
20191122T16-05,2377
20191122T15-05,2336
20191122T14-05,2379
20191122T13-05,2463
20191122T12-05,2546
20191122T11-05,2633
20191122T10-05,2773
20191122T09-05,2966
20191122T08-05,3096
20191122T07-05,3104
20191122T06-05,2885
20191122T05-05,2682
20191122T04-05,2571
20191122T03-05,2548
20191122T02-05,2558
20191122T01-05,2569
20191122T00-05,2582
20191121T23-05,2699
20191121T22-05,2783
20191121T21-05,2845
20191121T20-05,2892
20191121T19-05,2848
20191121T18-05,2644
20191121T17-05,2450
20191121T16-05,2355
20191121T15-05,2346
20191121T14-05,2374
20191121T13-05,2472
20191121T12-05,2581
20191121T11-05,2731
20191121T10-05,2980
20191121T09-05,3221
20191121T08-05,3349
20191121T07-05,3378
20191121T06-05,3152
20191121T05-05,2883
20191121T04-05,2853
20191121T03-05,2759
20191121T02-05,2732
20191121T01-05,2704
20191121T00-05,2759
20191120T23-05,2797
20191120T22-05,2889
20191120T21-05,2917
20191120T20-05,2909
20191120T19-05,2800
20191120T18-05,2636
20191120T17-05,2379
20191120T16-05,2380
20191120T15-05,2353
20191120T14-05,2372
20191120T13-05,2321
20191120T12-05,2423
20191120T11-05,2622
20191120T10-05,2717
20191120T09-05,3009
20191120T08-05,3184
20191120T07-05,3102
20191120T06-05,2865
20191120T05-05,2707
20191120T04-05,2611
20191120T03-05,2553
20191120T02-05,2475
20191120T01-05,2572
20191120T00-05,2515
20191119T23-05,2624
20191119T22-05,2723
20191119T21-05,2786
20191119T20-05,2791
20191119T19-05,2733
20191119T18-05,2519
20191119T17-05,2300
20191119T16-05,2215
20191119T15-05,2224
20191119T14-05,2251
20191119T13-05,2307
20191119T12-05,2407
20191119T11-05,2523
20191119T10-05,2642
20191119T09-05,2709
20191119T08-05,2768
20191119T07-05,2753
20191119T06-05,2531
20191119T05-05,2375
20191119T04-05,2324
20191119T03-05,2270
20191119T02-05,2285
20191119T01-05,2320
20191119T00-05,2411
20191118T23-05,2549
20191118T22-05,2678
20191118T21-05,2791
20191118T20-05,2844
20191118T19-05,2832
20191118T18-05,2713
20191118T17-05,2537
20191118T16-05,2447
20191118T15-05,2427
20191118T14-05,2452
20191118T13-05,2473
20191118T12-05,2557
20191118T11-05,2633
20191118T10-05,2655
20191118T09-05,2681
20191118T08-05,2735
20191118T07-05,2684
20191118T06-05,2437
20191118T05-05,2274
20191118T04-05,2216
20191118T03-05,2211
20191118T02-05,2245
20191118T01-05,2259
20191118T00-05,2341
20191117T23-05,2417
20191117T22-05,2555
20191117T21-05,2588
20191117T20-05,2651
20191117T19-05,2617
20191117T18-05,2509
20191117T17-05,2313
20191117T16-05,2257
20191117T15-05,2242
20191117T14-05,2340
20191117T13-05,2404
20191117T12-05,2516
20191117T11-05,2699
20191117T10-05,2850
20191117T09-05,2879
20191117T08-05,2816
20191117T07-05,2687
20191117T06-05,2605
20191117T05-05,2550
20191117T04-05,2517
20191117T03-05,2493
20191117T02-05,2522
20191117T01-05,2524
20191116T00-05,2425
20191115T23-05,2494
20191115T22-05,2610
20191115T21-05,2711
20191115T20-05,2757
20191115T19-05,2791
20191115T18-05,2773
20191115T17-05,2643
20191115T16-05,2583
20191115T15-05,2577
20191115T14-05,2630
20191115T13-05,2660
20191115T12-05,2704
20191115T11-05,2763
20191115T10-05,2788
20191115T09-05,2788
20191115T08-05,2825
20191115T07-05,2784
20191115T06-05,2573
20191115T05-05,2445
20191115T04-05,2411
20191115T03-05,2405
20191115T02-05,2414
20191115T01-05,2470
20191115T00-05,2551
20191114T23-05,2678
20191114T22-05,2832
20191114T21-05,2974
20191114T20-05,3021
20191114T19-05,3032
20191114T18-05,2956
20191114T17-05,2782
20191114T16-05,2683
20191114T15-05,2664
20191114T14-05,2695
20191114T13-05,2763
20191114T12-05,2879
20191114T11-05,3008
20191114T10-05,3149
20191114T09-05,3259
20191114T08-05,3373
20191114T07-05,3432
20191114T06-05,3262
20191114T05-05,3143
20191114T04-05,3114
20191114T03-05,3094
20191114T02-05,3118
20191114T01-05,3160
20191114T00-05,3167
20191113T23-05,3269
20191113T22-05,3360
20191113T21-05,3436
20191113T20-05,3428
20191113T19-05,3351
20191113T18-05,3075
20191113T17-05,2786
20191113T16-05,2625
20191113T15-05,2609
20191113T14-05,2697
20191113T13-05,2828
20191113T12-05,3002
