,Total interchange1
20191114T00-06,530
20191113T23-06,-17
20191113T22-06,355
20191113T21-06,579
20191113T20-06,751
20191113T19-06,760
20191113T18-06,844
20191113T17-06,205
20191113T16-06,-216
20191113T15-06,-350
20191113T14-06,-290
20191113T13-06,-825
20191113T12-06,-971
20191113T11-06,-825
20191113T10-06,-1143
20191113T09-06,-1240
20191113T08-06,-1260
20191113T07-06,-1710
20191113T06-06,-1711
20191113T05-06,-1852
20191113T04-06,-2073
20191113T03-06,-1472
20191113T02-06,-1275
20191113T01-06,-1256
20191113T00-06,-361
20191112T23-06,-569
20191112T22-06,-224
20191112T21-06,324
20191112T20-06,862
20191112T19-06,793
20191112T18-06,882
20191112T17-06,891
20191112T16-06,1016
20191112T15-06,1056
20191112T14-06,1048
20191112T13-06,975
20191112T12-06,955
20191112T11-06,1033
20191112T10-06,1116
20191112T09-06,1296
20191112T08-06,1437
20191112T07-06,1594
20191112T06-06,1440
20191112T05-06,1817
20191112T04-06,1613
20191112T03-06,1621
20191112T02-06,1686
20191112T01-06,1576
20191112T00-06,1420
20191111T23-06,1430
20191111T22-06,1420
20191111T21-06,1732
20191111T20-06,1781
20191111T19-06,1891
20191111T18-06,1814
20191111T17-06,1675
20191111T16-06,1643
20191111T15-06,1618
20191111T14-06,1528
20191111T13-06,1486
20191111T12-06,1577
20191111T11-06,1514
20191111T10-06,1535
20191111T09-06,1278
20191111T08-06,1400
20191111T07-06,1442
20191111T06-06,1168
20191111T05-06,1128
20191111T04-06,1051
20191111T03-06,995
20191111T02-06,1090
20191111T01-06,1010
20191111T00-06,1214
20191110T23-06,1101
20191110T22-06,1019
20191110T21-06,1201
20191110T20-06,1229
20191110T19-06,1501
20191110T18-06,1687
20191110T17-06,1697
20191110T16-06,1572
20191110T15-06,1636
20191110T14-06,1619
20191110T13-06,1675
20191110T12-06,1701
20191110T11-06,1672
20191110T10-06,1574
20191110T09-06,1760
20191110T08-06,1956
20191110T07-06,1672
20191110T06-06,1445
20191110T05-06,1171
20191110T04-06,1343
20191110T03-06,1106
20191110T02-06,1049
20191110T01-06,1064
20191110T00-06,924
20191109T23-06,904
20191109T22-06,769
20191109T21-06,1011
20191109T20-06,1071
20191109T19-06,1212
20191109T18-06,1340
20191109T17-06,1361
20191109T16-06,1456
20191109T15-06,1438
20191109T14-06,1442
20191109T13-06,1484
20191109T12-06,1494
20191109T11-06,1371
20191109T10-06,1484
20191109T09-06,1454
20191109T08-06,1446
20191109T07-06,1572
20191109T06-06,1325
20191109T05-06,1327
20191109T04-06,1036
20191109T03-06,966
20191109T02-06,981
20191109T01-06,1135
20191109T00-06,1400
20191108T23-06,1521
20191108T22-06,2015
20191108T21-06,2295
20191108T20-06,2667
20191108T19-06,2965
20191108T18-06,3093
20191108T17-06,2675
20191108T16-06,2531
20191108T15-06,2638
20191108T14-06,2731
20191108T13-06,2575
20191108T12-06,2203
20191108T11-06,1995
20191108T10-06,2263
20191108T09-06,2500
20191108T08-06,2880
20191108T07-06,2925
20191108T06-06,2214
20191108T05-06,1742
20191108T04-06,1935
20191108T03-06,1751
20191108T02-06,1835
20191108T01-06,1862
20191108T00-06,1703
20191107T23-06,1750
20191107T22-06,1876
20191107T21-06,1917
20191107T20-06,-8313
20191107T19-06,13606
20191107T18-06,2972
20191107T17-06,162
20191107T16-06,1942
20191107T15-06,1762
20191107T14-06,1652
20191107T13-06,1654
20191107T12-06,1551
20191107T11-06,1584
20191107T10-06,1453
20191107T09-06,1580
20191107T08-06,1507
20191107T07-06,1899
20191107T06-06,2069
20191107T05-06,1607
20191107T04-06,1566
20191107T03-06,1552
20191107T02-06,1575
20191107T01-06,1436
20191107T00-06,1029
20191106T23-06,982
20191106T22-06,1235
20191106T21-06,1488
20191106T20-06,1635
20191106T19-06,1672
20191106T18-06,1768
20191106T17-06,1517
20191106T16-06,1505
20191106T15-06,1348
20191106T14-06,1437
20191106T13-06,1435
20191106T12-06,1473
20191106T11-06,1430
20191106T10-06,1617
20191106T09-06,1546
20191106T08-06,1539
20191106T07-06,1908
20191106T06-06,1602
20191106T05-06,1239
20191106T04-06,1445
20191106T03-06,1265
20191106T02-06,1268
20191106T01-06,1237
20191106T00-06,1338
20191105T23-06,1307
20191105T22-06,1548
20191105T21-06,1662
20191105T20-06,2016
20191105T19-06,2348
20191105T18-06,2405
20191105T17-06,2098
20191105T16-06,1839
20191105T15-06,1892
20191105T14-06,1544
20191105T13-06,1541
20191105T12-06,1509
20191105T11-06,1766
20191105T10-06,1704
20191105T09-06,1862
20191105T08-06,1741
20191105T07-06,1907
20191105T06-06,1636
20191105T05-06,1364
20191105T04-06,1182
20191105T03-06,1101
20191105T02-06,1052
20191105T01-06,1003
20191105T00-06,771
20191104T23-06,601
20191104T22-06,391
20191104T21-06,342
20191104T20-06,452
20191104T19-06,724
20191104T18-06,836
20191104T17-06,582
20191104T16-06,393
20191104T15-06,484
20191104T14-06,391
20191104T13-06,415
20191104T12-06,379
20191104T11-06,543
20191104T10-06,384
20191104T09-06,214
20191104T08-06,863
20191104T07-06,667
20191104T06-06,-153
20191104T05-06,36
20191104T04-06,103
20191104T03-06,235
20191104T02-06,320
20191104T01-06,305
20191104T00-06,-150
20191103T23-06,-96
20191103T22-06,-90
20191103T21-06,81
20191103T20-06,165
20191103T19-06,341
20191103T18-06,380
20191103T17-06,327
20191103T16-06,-8
20191103T15-06,-169
20191103T14-06,-176
20191103T13-06,-191
20191103T12-06,-217
20191103T11-06,-236
20191103T10-06,-204
20191103T09-06,-215
20191103T08-06,-57
20191103T07-06,25
20191103T06-06,25
20191103T05-06,-192
20191103T04-06,-220
20191103T03-06,-219
20191103T02-06,-238
20191103T01-06,-226
20191103T01-05,-239
20191103T00-05,-245
20191102T23-05,-266
20191102T22-05,-139
20191102T21-05,-66
20191102T20-05,245
20191102T19-05,588
20191102T18-05,568
20191102T17-05,357
20191102T16-05,508
20191102T15-05,820
20191102T14-05,672
20191102T13-05,316
20191102T12-05,265
20191102T11-05,-91
20191102T10-05,-40
20191102T09-05,310
20191102T08-05,140
20191102T07-05,-293
20191102T06-05,-559
20191102T05-05,-502
20191102T04-05,-242
20191102T03-05,146
20191102T02-05,142
20191102T01-05,169
20191102T00-05,-19
20191101T23-05,228
20191101T22-05,159
20191101T21-05,149
20191101T20-05,180
20191101T19-05,272
20191101T18-05,72
20191101T17-05,198
20191101T16-05,267
20191101T15-05,286
20191101T14-05,273
20191101T13-05,228
20191101T12-05,-9
20191101T11-05,-177
20191101T10-05,-756
20191101T09-05,-642
20191101T08-05,-479
20191101T07-05,-483
20191101T06-05,-963
20191101T05-05,-407
20191101T04-05,-143
20191101T03-05,-180
20191101T02-05,-161
20191101T01-05,-159
20191101T00-05,167
20191031T23-05,678
20191031T22-05,1087
20191031T21-05,1286
20191031T20-05,1953
20191031T19-05,2235
20191031T18-05,2189
20191031T17-05,2206
20191031T16-05,2099
20191031T15-05,1769
20191031T14-05,1681
20191031T13-05,1435
20191031T12-05,952
20191031T11-05,884
20191031T10-05,450
20191031T09-05,523
20191031T08-05,580
20191031T07-05,843
20191031T06-05,597
20191031T05-05,382
20191031T04-05,414
20191031T03-05,381
20191031T02-05,392
20191031T01-05,399
20191031T00-05,430
20191030T23-05,402
20191030T22-05,707
20191030T21-05,897
20191030T20-05,1444
20191030T19-05,1701
20191030T18-05,1682
20191030T17-05,1395
20191030T16-05,1272
20191030T15-05,1137
20191030T14-05,1303
20191030T13-05,781
20191030T12-05,344
20191030T11-05,295
20191030T10-05,248
20191030T09-05,257
20191030T08-05,469
20191030T07-05,886
20191030T06-05,381
20191030T05-05,313
20191030T04-05,505
20191030T03-05,388
20191030T02-05,406
20191030T01-05,419
20191030T00-05,1049
20191029T23-05,1203
20191029T22-05,1326
20191029T21-05,1191
20191029T20-05,1628
20191029T19-05,1919
20191029T18-05,1903
20191029T17-05,2021
20191029T16-05,1777
20191029T15-05,1614
20191029T14-05,1821
20191029T13-05,1353
20191029T12-05,984
20191029T11-05,1078
20191029T10-05,898
20191029T09-05,915
20191029T08-05,767
20191029T07-05,886
20191029T06-05,513
20191029T05-05,466
20191029T04-05,473
20191029T03-05,551
20191029T02-05,632
20191029T01-05,605
20191029T00-05,574
20191028T23-05,748
20191028T22-05,1271
20191028T21-05,1427
20191028T20-05,2186
20191028T19-05,2425
20191028T18-05,2402
20191028T17-05,2388
20191028T16-05,2537
20191028T15-05,2423
20191028T14-05,2185
20191028T13-05,1994
20191028T12-05,1787
20191028T11-05,1665
20191028T10-05,1190
20191028T09-05,821
20191028T08-05,676
20191028T07-05,553
20191028T06-05,440
20191028T05-05,358
20191028T04-05,374
20191028T03-05,442
20191028T02-05,414
20191028T01-05,462
20191028T00-05,555
20191027T23-05,358
20191027T22-05,606
20191027T21-05,533
20191027T20-05,791
20191027T19-05,1321
20191027T18-05,1097
20191027T17-05,1707
20191027T16-05,1837
20191027T15-05,1751
20191027T14-05,1653
20191027T13-05,1563
20191027T12-05,1391
20191027T11-05,1102
20191027T10-05,849
20191027T09-05,567
20191027T08-05,479
20191027T07-05,299
20191027T06-05,557
20191027T05-05,312
20191027T04-05,258
20191027T03-05,160
20191027T02-05,331
20191027T01-05,227
20191027T00-05,68
20191026T23-05,293
20191026T22-05,372
20191026T21-05,401
20191026T20-05,316
20191026T19-05,674
20191026T18-05,802
20191026T17-05,826
20191026T16-05,857
20191026T15-05,883
20191026T14-05,834
20191026T13-05,774
20191026T12-05,684
20191026T11-05,618
20191026T10-05,752
20191026T09-05,668
20191026T08-05,481
20191026T07-05,394
20191026T06-05,892
20191026T05-05,615
20191026T04-05,600
20191026T03-05,626
20191026T02-05,681
20191026T01-05,654
20191026T00-05,725
20191025T23-05,-385
20191025T22-05,-12453
20191025T21-05,1643
20191025T20-05,2006
20191025T19-05,2368
20191025T18-05,2328
20191025T17-05,2520
20191025T16-05,2202
20191025T15-05,2489
20191025T14-05,2332
20191025T13-05,2266
20191025T12-05,2235
20191025T11-05,1989
20191025T10-05,1803
20191025T09-05,1710
20191025T08-05,1556
20191025T07-05,1632
20191025T06-05,1444
20191025T05-05,1072
20191025T04-05,1135
20191025T03-05,1042
20191025T02-05,1262
20191025T01-05,1182
20191025T00-05,898
20191024T23-05,1204
20191024T22-05,1862
20191024T21-05,1861
20191024T20-05,2698
20191024T19-05,3061
20191024T18-05,3173
20191024T17-05,2963
20191024T16-05,2777
20191024T15-05,2580
20191024T14-05,2552
20191024T13-05,2505
20191024T12-05,2146
20191024T11-05,1756
20191024T10-05,1744
20191024T09-05,1597
20191024T08-05,1550
20191024T07-05,1595
20191024T06-05,1311
20191024T05-05,850
20191024T04-05,917
20191024T03-05,970
20191024T02-05,1023
20191024T01-05,1041
20191024T00-05,1106
20191023T23-05,1119
20191023T22-05,1842
20191023T21-05,2097
20191023T20-05,2505
20191023T19-05,2999
20191023T18-05,3016
20191023T17-05,2921
20191023T16-05,2471
20191023T15-05,2278
20191023T14-05,2292
20191023T13-05,1676
20191023T12-05,1474
20191023T11-05,1400
20191023T10-05,1395
20191023T09-05,1525
20191023T08-05,1350
20191023T07-05,1580
20191023T06-05,1227
20191023T05-05,915
20191023T04-05,1074
20191023T03-05,1140
20191023T02-05,1148
20191023T01-05,1127
20191023T00-05,976
20191022T23-05,1146
20191022T22-05,1688
20191022T21-05,1647
20191022T20-05,2068
20191022T19-05,2418
20191022T18-05,2494
20191022T17-05,2582
20191022T16-05,2769
20191022T15-05,2572
20191022T14-05,2394
20191022T13-05,1827
20191022T12-05,1817
20191022T11-05,1807
20191022T10-05,1775
20191022T09-05,1522
20191022T08-05,1585
20191022T07-05,1349
20191022T06-05,1057
20191022T05-05,725
20191022T04-05,869
20191022T03-05,1006
20191022T02-05,980
20191022T01-05,883
20191022T00-05,763
20191021T23-05,895
20191021T22-05,678
20191021T21-05,397
20191021T20-05,944
20191021T19-05,997
20191021T18-05,1011
20191021T17-05,990
20191021T16-05,1070
20191021T15-05,1010
20191021T14-05,974
20191021T13-05,850
20191021T12-05,780
20191021T11-05,725
20191021T10-05,892
20191021T09-05,1076
20191021T08-05,998
20191021T07-05,880
20191021T06-05,782
20191021T05-05,806
20191021T04-05,743
20191021T03-05,811
20191021T02-05,817
20191021T01-05,699
20191021T00-05,772
