,Total interchange
20191113T05Z,756
20191113T04Z,782
20191113T03Z,796
20191113T02Z,797
20191113T01Z,793
20191113T00Z,802
20191112T23Z,809
20191112T22Z,815
20191112T21Z,846
20191112T20Z,853
20191112T19Z,829
20191112T18Z,822
20191112T17Z,822
20191112T16Z,827
20191112T15Z,842
20191112T14Z,826
20191112T13Z,810
20191112T12Z,775
20191112T11Z,743
20191112T10Z,652
20191112T09Z,642
20191112T08Z,651
20191112T07Z,656
20191112T06Z,669
20191112T05Z,10626
20191112T04Z,122006
20191112T03Z,790
20191112T02Z,789
20191112T01Z,786
20191112T00Z,825
20191111T23Z,779
20191111T22Z,823
20191111T21Z,858
20191111T20Z,868
20191111T19Z,884
20191111T18Z,885
20191111T17Z,889
20191111T16Z,863
20191111T15Z,843
20191111T14Z,869
20191111T13Z,817
20191111T12Z,825
20191111T11Z,744
20191111T10Z,721
20191111T09Z,722
20191111T08Z,723
20191111T07Z,712
20191111T06Z,700
20191111T05Z,770
20191111T04Z,834
20191111T03Z,852
20191111T02Z,832
20191111T01Z,854
20191111T00Z,863
20191110T23Z,799
20191110T22Z,828
20191110T21Z,870
20191110T20Z,0
20191110T19Z,881
20191110T18Z,872
20191110T17Z,834
20191110T16Z,820
20191110T15Z,834
20191110T14Z,830
20191110T13Z,810
20191110T12Z,768
20191110T11Z,730
20191110T10Z,643
20191110T09Z,624
20191110T08Z,623
20191110T07Z,626
20191110T06Z,628
20191110T05Z,687
20191110T04Z,807
20191110T03Z,850
20191110T02Z,875
20191110T01Z,878
20191110T00Z,880
20191109T23Z,823
20191109T22Z,871
20191109T21Z,862
20191109T20Z,848
20191109T19Z,891
20191109T18Z,885
20191109T17Z,833
20191109T16Z,849
20191109T15Z,821
20191109T14Z,752
20191109T13Z,699
20191109T12Z,674
20191109T11Z,641
20191109T10Z,636
20191109T09Z,622
20191109T08Z,637
20191109T07Z,602
20191109T06Z,604
20191109T05Z,706
20191109T04Z,822
20191109T03Z,842
20191109T02Z,896
20191109T01Z,898
20191109T00Z,911
20191108T23Z,921
20191108T22Z,939
20191108T21Z,920
20191108T20Z,924
20191108T19Z,876
20191108T18Z,870
20191108T17Z,933
20191108T16Z,921
20191108T15Z,936
20191108T14Z,895
20191108T13Z,813
20191108T12Z,782
20191108T11Z,693
20191108T10Z,722
20191108T09Z,731
20191108T08Z,729
20191108T07Z,727
20191108T06Z,742
20191108T05Z,855
20191108T04Z,913
20191108T03Z,960
20191108T02Z,936
20191108T01Z,866
20191108T00Z,999
20191107T23Z,993
20191107T22Z,971
20191107T21Z,1032
20191107T20Z,1024
20191107T19Z,1057
20191107T18Z,1016
20191107T17Z,1017
20191107T16Z,953
20191107T15Z,976
20191107T14Z,930
20191107T13Z,878
20191107T12Z,855
20191107T11Z,756
20191107T10Z,769
20191107T09Z,744
20191107T08Z,763
20191107T07Z,779
20191107T06Z,763
20191107T05Z,756
20191107T04Z,869
20191107T03Z,858
20191107T02Z,844
20191107T01Z,808
20191107T00Z,948
20191106T23Z,907
20191106T22Z,984
20191106T21Z,1003
20191106T20Z,1030
20191106T19Z,1010
20191106T18Z,905
20191106T17Z,889
20191106T16Z,902
