,Total interchange1
20191218T00-06,623
20191217T23-06,877
20191217T22-06,888
20191217T21-06,1013
20191217T20-06,1286
20191217T19-06,1700
20191217T18-06,1906
20191217T17-06,1980
20191217T16-06,2071
20191217T15-06,1968
20191217T14-06,1869
20191217T13-06,1732
20191217T12-06,1758
20191217T11-06,1690
20191217T10-06,1600
20191217T09-06,1126
20191217T08-06,1241
20191217T07-06,927
20191217T06-06,889
20191217T05-06,1165
20191217T04-06,1864
20191217T03-06,1840
20191217T02-06,1765
20191217T01-06,1802
20191217T00-06,1604
20191216T23-06,1410
20191216T22-06,1428
20191216T21-06,1622
20191216T20-06,1938
20191216T19-06,2158
20191216T18-06,1901
20191216T17-06,1787
20191216T16-06,1812
20191216T15-06,1844
20191216T14-06,1754
20191216T13-06,1767
20191216T12-06,1687
20191216T11-06,1494
20191216T10-06,1460
20191216T09-06,1574
20191216T08-06,1559
20191216T07-06,1467
20191216T06-06,1269
20191216T05-06,1418
20191216T04-06,1300
20191216T03-06,1209
20191216T02-06,1232
20191216T01-06,1196
20191216T00-06,963
20191215T23-06,791
20191215T22-06,936
20191215T21-06,981
20191215T20-06,1141
20191215T19-06,1063
20191215T18-06,1223
20191215T17-06,1179
20191215T16-06,1197
20191215T15-06,1205
20191215T14-06,1079
20191215T13-06,1107
20191215T12-06,1113
20191215T11-06,1063
20191215T10-06,885
20191215T09-06,831
20191215T08-06,1024
20191215T07-06,1092
20191215T06-06,1073
20191215T05-06,939
20191215T04-06,882
20191215T03-06,848
20191215T02-06,767
20191215T01-06,705
20191215T00-06,18883
20191214T23-06,699
20191214T22-06,658
20191214T21-06,677
20191214T20-06,769
20191214T19-06,899
20191214T18-06,1006
20191214T17-06,946
20191214T16-06,952
20191214T15-06,1016
20191214T14-06,929
20191214T13-06,917
20191214T12-06,974
20191214T11-06,909
20191214T10-06,1016
20191214T09-06,900
20191214T08-06,870
20191214T07-06,688
20191214T06-06,898
20191214T05-06,1102
20191214T04-06,25922
20191214T03-06,-24121
20191214T02-06,25803
20191214T01-06,-24095
20191214T00-06,1053
20191213T23-06,729
20191213T22-06,-64327
20191213T21-06,124
20191213T20-06,-17579
20191213T19-06,17977
20191213T18-06,273
20191213T17-06,371
20191213T16-06,459
20191213T15-06,486
20191213T14-06,529
20191213T13-06,503
20191213T12-06,566
20191213T11-06,694
20191213T10-06,689
20191213T09-06,548
20191213T08-06,616
20191213T07-06,540
20191213T06-06,708
20191213T05-06,557
20191213T04-06,660
20191213T03-06,767
20191213T02-06,793
20191213T01-06,623
20191213T00-06,-25065
20191212T23-06,25807
20191212T22-06,-25255
20191212T21-06,-117
20191212T20-06,-13
20191212T19-06,348
20191212T18-06,427
20191212T17-06,-16732
20191212T16-06,759
20191212T15-06,17829
20191212T14-06,693
20191212T13-06,625
20191212T12-06,578
20191212T11-06,293
20191212T10-06,-63
20191212T09-06,-218
20191212T08-06,-559
20191212T07-06,26
20191212T06-06,-124
20191212T05-06,-62
20191212T04-06,207
20191212T03-06,410
20191212T02-06,877
20191212T01-06,1025
20191212T00-06,992
20191211T23-06,723
20191211T22-06,669
20191211T21-06,554
20191211T20-06,786
20191211T19-06,943
20191211T18-06,1125
20191211T17-06,26417
20191211T16-06,-24756
20191211T15-06,928
20191211T14-06,1060
20191211T13-06,1109
20191211T12-06,1076
20191211T11-06,1122
20191211T10-06,1150
20191211T09-06,967
20191211T08-06,1498
20191211T07-06,1407
20191211T06-06,474
20191211T05-06,269
20191211T04-06,714
20191211T03-06,935
20191211T02-06,1020
20191211T01-06,1074
20191211T00-06,1175
20191210T23-06,1252
20191210T22-06,1036
20191210T21-06,875
20191210T20-06,898
20191210T19-06,1070
20191210T18-06,1206
20191210T17-06,1380
20191210T16-06,1413
20191210T15-06,1355
20191210T14-06,1320
20191210T13-06,1458
20191210T12-06,1481
20191210T11-06,1448
20191210T10-06,1285
20191210T09-06,1399
20191210T08-06,1416
20191210T07-06,1483
20191210T06-06,1268
20191210T05-06,1230
20191210T04-06,1556
20191210T03-06,1461
20191210T02-06,1422
20191210T01-06,1322
20191210T00-06,1204
20191209T23-06,964
20191209T22-06,969
20191209T21-06,999
20191209T20-06,1073
20191209T19-06,1028
20191209T18-06,888
20191209T17-06,716
20191209T16-06,860
20191209T15-06,872
20191209T14-06,885
20191209T13-06,806
20191209T12-06,968
20191209T11-06,889
20191209T10-06,949
20191209T09-06,878
20191209T08-06,927
20191209T07-06,1003
20191209T06-06,816
20191209T05-06,650
20191209T04-06,805
20191209T03-06,800
20191209T02-06,954
20191209T01-06,839
20191209T00-06,983
20191208T23-06,996
20191208T22-06,1020
20191208T21-06,1018
20191208T20-06,1274
20191208T19-06,1480
20191208T18-06,1654
20191208T17-06,1589
20191208T16-06,1375
20191208T15-06,1155
20191208T14-06,1206
20191208T13-06,1165
20191208T12-06,1160
20191208T11-06,1307
20191208T10-06,1256
20191208T09-06,1318
20191208T08-06,1216
20191208T07-06,1133
20191208T06-06,1272
20191208T05-06,1033
20191208T04-06,807
20191208T03-06,630
20191208T02-06,646
20191208T01-06,771
20191208T00-06,940
20191207T23-06,744
20191207T22-06,895
20191207T21-06,854
20191207T20-06,822
20191207T19-06,972
20191207T18-06,1238
20191207T17-06,1079
20191207T16-06,965
20191207T15-06,993
20191207T14-06,1132
20191207T13-06,1089
20191207T12-06,1034
20191207T11-06,962
20191207T10-06,1007
20191207T09-06,1058
20191207T08-06,1161
20191207T07-06,1050
20191207T06-06,1033
20191207T05-06,765
20191207T04-06,1086
20191207T03-06,1082
20191207T02-06,1042
20191207T01-06,985
20191207T00-06,1074
20191206T23-06,1183
20191206T22-06,971
20191206T21-06,886
20191206T20-06,946
20191206T19-06,1010
20191206T18-06,888
20191206T17-06,951
20191206T16-06,887
20191206T15-06,881
20191206T14-06,913
20191206T13-06,953
20191206T12-06,912
20191206T11-06,732
20191206T10-06,676
20191206T09-06,798
